gene_ID	GHRL1_reverted_baseMean	GHRL1_reverted_log2FoldChange	GHRL1_reverted_lfcSE	GHRL1_reverted_stat	GHRL1_reverted_pvalue	GHRL1_reverted_padj	GHRL1_reverted_n_zeros
ENSG00000271254	1050	0.0792	0.0897	0.883	0.377	0.72	0
ENSG00000277196	51.7	0.586	0.266	2.2	0.0275	0.308	0
ENSG00000278817	73.1	0.387	0.226	1.71	0.0866	0.448	0
ENSG00000198692	464	-0.0459	0.106	-0.433	0.665	0.88	0
ENSG00000229236	4.62	-0.198	0.769	-0.258	0.797		0
ENSG00000260197	16.5	-0.698	0.425	-1.64	0.1	0.465	0
ENSG00000290853	120	-0.1	0.181	-0.555	0.579	0.84	0
ENSG00000067048	3800	-0.0498	0.0539	-0.923	0.356	0.706	0
ENSG00000286009	2.87	0.0926	1.03	0.0899	0.928		0
ENSG00000290323	1.69	1.27	1.46	0.873	0.383		2
ENSG00000176679	0.869	1.83	2.3	0.799	0.425		4
ENSG00000231535	294	-0.185	0.129	-1.44	0.15	0.524	0
ENSG00000233070	37.1	0.385	0.328	1.17	0.242	0.616	0
ENSG00000278847	1.36	-1.33	1.72	-0.774	0.439		2
ENSG00000182484	447	0.0114	0.106	0.108	0.914	0.971	0
ENSG00000124334	1.99	1.05	1.22	0.863	0.388		1
ENSG00000124333	940	-0.0264	0.0748	-0.353	0.724	0.908	0
ENSG00000224533	2.9	1.71	1.43	1.2	0.231		3
ENSG00000155961	19.6	-0.194	0.404	-0.482	0.63	0.864	0
ENSG00000274183	0.631	0.764	2.27	0.336	0.737		3
ENSG00000203870	26.1	0.273	0.393	0.695	0.487	0.789	0
ENSG00000154620	174	0.0268	0.157	0.171	0.864	0.957	0
ENSG00000130830	7580	0.208	0.0944	2.2	0.0277	0.309	0
ENSG00000272681	1.52	0.645	1.39	0.464	0.643		1
ENSG00000269335	398	0.0397	0.127	0.313	0.754	0.92	0
ENSG00000160211	1500	-0.033	0.0786	-0.42	0.674	0.884	0
ENSG00000102178	611	-0.0683	0.114	-0.599	0.549	0.826	0
ENSG00000130827	909	0.00351	0.0882	0.0397	0.968	0.989	0
ENSG00000071859	1290	0.123	0.111	1.1	0.27	0.641	0
ENSG00000013563	182	0.0723	0.143	0.505	0.613	0.858	0
ENSG00000280195	12.6	-0.582	0.489	-1.19	0.234	0.609	0
ENSG00000169057	672	-0.177	0.0919	-1.93	0.0537	0.386	0
ENSG00000177854	37.1	0.0493	0.293	0.168	0.866	0.958	0
ENSG00000102032	3.53	-0.563	0.947	-0.594	0.552		0
ENSG00000089820	24	0.28	0.362	0.775	0.438	0.758	0
ENSG00000198910	299	-0.838	0.452	-1.85	0.0637	0.41	0
ENSG00000067840	2.7	-0.08	0.92	-0.087	0.931		0
ENSG00000180879	1920	0.137	0.108	1.27	0.204	0.583	0
ENSG00000067829	837	0.126	0.0852	1.48	0.139	0.512	0
ENSG00000198753	2.21	0.736	1.2	0.613	0.54		1
ENSG00000185825	3540	0.117	0.0945	1.24	0.214	0.592	0
ENSG00000130822	38.9	0.377	0.502	0.752	0.452	0.768	0
ENSG00000067842	704	0.664	0.145	4.59	4.37e-06	0.00334	0
ENSG00000183837	4.3	0.847	0.852	0.994	0.32		0
ENSG00000147383	755	-0.23	0.099	-2.33	0.0201	0.276	0
ENSG00000147400	504	-0.158	0.103	-1.54	0.124	0.495	0
ENSG00000160131	1510	-0.131	0.106	-1.24	0.214	0.592	0
ENSG00000029993	4350	0.355	0.19	1.87	0.0618	0.406	0
ENSG00000102181	321	0.215	0.158	1.36	0.173	0.548	0
ENSG00000063601	1410	-0.0556	0.072	-0.773	0.439	0.759	0
ENSG00000269556	339	-0.0755	0.131	-0.577	0.564	0.832	0
ENSG00000241769	33.6	0.0395	0.319	0.124	0.901	0.967	0
ENSG00000277215	1.57	-0.649	1.6	-0.406	0.685		2
ENSG00000182195	433	0.0897	0.118	0.759	0.448	0.765	0
ENSG00000134595	0.579	0.929	2.52	0.369	0.712		4
ENSG00000129682	350	-0.0302	0.195	-0.155	0.877	0.961	0
ENSG00000291054	13.5	-0.425	0.498	-0.853	0.394	0.731	0
ENSG00000233093	2.27	1.89	1.38	1.37	0.17		1
ENSG00000102243	5610	-0.0333	0.0703	-0.473	0.636	0.866	0
ENSG00000165359	130	0.231	0.174	1.33	0.184	0.559	0
ENSG00000178947	16.2	0.132	0.472	0.279	0.78	0.931	0
ENSG00000173275	188	-0.107	0.137	-0.776	0.438	0.758	0
ENSG00000203950	407	-0.0434	0.103	-0.419	0.675	0.885	0
ENSG00000184785	25.3	-0.207	0.347	-0.598	0.55	0.827	0
ENSG00000101928	948	0.45	0.193	2.34	0.0194	0.273	0
ENSG00000156504	827	-0.0949	0.114	-0.833	0.405	0.739	0
ENSG00000170965	5.56	0.584	0.785	0.744	0.457		0
ENSG00000156531	1380	-0.135	0.103	-1.3	0.193	0.569	0
