gene_ID	PPARG_reverted_baseMean	PPARG_reverted_log2FoldChange	PPARG_reverted_lfcSE	PPARG_reverted_stat	PPARG_reverted_pvalue	PPARG_reverted_padj	PPARG_reverted_n_zeros
ENSG00000271254	550	0.0851	0.1	0.849	0.396	0.554	0
ENSG00000276345	5.36	-0.22	0.891	-0.247	0.805		1
ENSG00000277196	94.6	0.361	0.214	1.69	0.0905	0.187	0
ENSG00000278817	139	0.401	0.164	2.45	0.0145	0.0433	0
ENSG00000198692	301	-0.374	0.113	-3.3	0.000977	0.00433	0
ENSG00000260197	2.53	0.0603	1.13	0.0532	0.958		0
ENSG00000290853	81.7	-0.25	0.201	-1.24	0.214	0.36	0
ENSG00000067048	1760	-0.287	0.0616	-4.66	3.15e-06	2.59e-05	0
ENSG00000231535	76.7	-0.528	0.214	-2.46	0.0138	0.0417	0
ENSG00000233070	19.1	0.0638	0.41	0.156	0.876	0.927	0
ENSG00000182484	208	0.0841	0.133	0.631	0.528	0.673	0
ENSG00000124333	619	0.0515	0.0865	0.596	0.551	0.694	0
ENSG00000155961	15	-0.87	0.498	-1.75	0.0809	0.172	0
ENSG00000203870	12.1	0.363	0.559	0.649	0.516	0.664	0
ENSG00000154620	83.9	-4.81	0.399	-12	2.38e-33	8.52e-31	0
ENSG00000130830	5290	0.4	0.0558	7.17	7.78e-13	2e-11	0
ENSG00000269335	278	0.106	0.118	0.901	0.367	0.527	0
ENSG00000160211	2260	0.282	0.0592	4.76	1.92e-06	1.65e-05	0
ENSG00000102178	628	-0.107	0.0897	-1.19	0.232	0.38	0
ENSG00000130827	406	0.0631	0.102	0.621	0.535	0.679	0
ENSG00000071859	950	0.224	0.0728	3.08	0.00209	0.00844	0
ENSG00000013563	200	0.429	0.143	3	0.00268	0.0104	0
ENSG00000280195	6.56	1.01	0.749	1.34	0.179	0.315	0
ENSG00000169057	518	-0.117	0.0907	-1.29	0.197	0.338	0
ENSG00000177854	35.3	0.0427	0.312	0.137	0.891	0.936	0
ENSG00000102032	5.02	-0.582	0.81	-0.719	0.472		0
