gene_ID	day_2_vs_day_0_baseMean	day_2_vs_day_0_log2FoldChange	day_2_vs_day_0_lfcSE	day_2_vs_day_0_stat	day_2_vs_day_0_pvalue	day_2_vs_day_0_padj	day_2_vs_day_0_n_zeros
ENSG00000271254	439	0.0189	0.205	0.0922	0.927	0.957	0
ENSG00000276345	33.5	-0.634	0.429	-1.48	0.139	0.258	0
ENSG00000277196	1150	1.2	0.253	4.74	2.11e-06	2.34e-05	0
ENSG00000278817	69.3	-1.62	0.312	-5.2	2.04e-07	2.84e-06	0
ENSG00000280969	1.29	0.494	1.7	0.291	0.771		1
ENSG00000198692	590	0.0428	0.273	0.157	0.875	0.926	0
ENSG00000229236	6.97	-0.659	0.742	-0.889	0.374	0.528	0
ENSG00000260197	26.8	2.01	0.461	4.35	1.35e-05	0.000123	0
ENSG00000129862	8.35	-3.34	0.904	-3.69	0.000221	0.00138	1
ENSG00000290853	451	-0.12	0.246	-0.486	0.627	0.75	0
ENSG00000067048	4860	-0.51	0.196	-2.6	0.00921	0.0315	0
ENSG00000286009	9.22	-1.29	0.674	-1.91	0.0561	0.131	0
ENSG00000277930	4.48	-0.591	1.04	-0.568	0.57	0.702	1
ENSG00000231535	2.04	1.53	1.48	1.03	0.302		1
ENSG00000278847	1.58	-0.188	1.56	-0.12	0.904		1
ENSG00000182484	401	-0.427	0.263	-1.62	0.105	0.209	0
ENSG00000124334	2.56	0.868	1.29	0.674	0.5	0.644	1
ENSG00000124333	830	0.385	0.216	1.79	0.0741	0.161	0
ENSG00000224533	4.28	-0.42	1.08	-0.39	0.697	0.801	1
ENSG00000155961	356	0.39	0.209	1.87	0.062	0.141	0
ENSG00000154620	144	-0.487	0.293	-1.66	0.0968	0.198	0
ENSG00000130830	123	-1.64	0.254	-6.46	1.02e-10	2.63e-09	0
ENSG00000272681	1.25	1.38	1.81	0.761	0.446		1
ENSG00000269335	356	-0.00521	0.22	-0.0237	0.981	0.989	0
ENSG00000160211	1160	-0.44	0.206	-2.13	0.0329	0.0865	0
ENSG00000102178	579	0.0682	0.223	0.305	0.76	0.847	0
ENSG00000130827	318	0.899	0.272	3.3	0.000965	0.00482	0
ENSG00000071859	1030	-0.0929	0.182	-0.511	0.609	0.735	0
ENSG00000013563	249	-0.798	0.234	-3.41	0.000657	0.00348	0
ENSG00000280195	46	-0.654	0.334	-1.96	0.0502	0.12	0
ENSG00000007350	1.34	-0.301	1.67	-0.181	0.857		1
ENSG00000169057	1270	0.402	0.217	1.85	0.0639	0.144	0
ENSG00000177854	36.1	-1.72	0.393	-4.38	1.17e-05	0.000108	0
ENSG00000102032	166	-1.39	0.249	-5.56	2.64e-08	4.45e-07	0
ENSG00000089820	528	-1.06	0.256	-4.12	3.72e-05	0.000298	0
ENSG00000198910	1050	-2.13	0.291	-7.34	2.2e-13	8.32e-12	0
ENSG00000067840	2790	-2.84	0.252	-11.3	1.91e-29	3.26e-27	0
ENSG00000180879	925	-0.636	0.23	-2.76	0.00577	0.0217	0
ENSG00000067829	996	-0.49	0.205	-2.39	0.0169	0.0514	0
ENSG00000198753	19.9	-3.62	0.651	-5.56	2.63e-08	4.44e-07	0
ENSG00000185825	1380	-0.438	0.193	-2.27	0.0231	0.0659	0
ENSG00000130822	88.1	-0.698	0.266	-2.63	0.00861	0.0298	0
ENSG00000067842	6.11	-0.799	0.899	-0.889	0.374	0.527	0
ENSG00000183837	265	-0.344	0.23	-1.5	0.134	0.251	0
ENSG00000147383	532	-0.289	0.227	-1.27	0.203	0.341	0
ENSG00000147400	770	-0.3	0.226	-1.33	0.185	0.32	0
ENSG00000183305	2.81	-0.373	1.36	-0.275	0.783	0.864	2
ENSG00000160131	2720	0.111	0.244	0.454	0.65	0.767	0
ENSG00000234696	1.03	-0.375	1.96	-0.191	0.849		2
ENSG00000029993	6610	0.0919	0.202	0.455	0.649	0.767	0
ENSG00000102181	299	0.0587	0.253	0.232	0.816	0.887	0
ENSG00000063601	703	0.599	0.19	3.16	0.00159	0.00739	0
ENSG00000013619	8.67	1.09	0.71	1.53	0.125	0.239	0
ENSG00000269556	307	-0.0515	0.231	-0.223	0.824	0.892	0
ENSG00000241769	13.8	0.0353	0.631	0.056	0.955	0.974	0
ENSG00000277215	12	0.0475	0.638	0.0745	0.941	0.965	0
ENSG00000182195	322	-0.243	0.223	-1.09	0.276	0.427	0
ENSG00000134595	319	-1.42	0.219	-6.46	1.04e-10	2.69e-09	0
ENSG00000129682	595	-0.204	0.21	-0.973	0.33	0.484	0
ENSG00000283692	9.16	0.0484	0.646	0.0748	0.94	0.965	0
ENSG00000291054	39.8	-0.306	0.398	-0.768	0.442	0.593	0
ENSG00000165359	277	0.0834	0.229	0.363	0.716	0.817	0
ENSG00000178947	561	2.26	0.282	8.03	9.92e-16	4.94e-14	0
ENSG00000173275	410	0.494	0.227	2.17	0.0297	0.0802	0
ENSG00000203950	399	-0.548	0.193	-2.84	0.00451	0.0177	0
ENSG00000184785	77.9	-1.53	0.307	-4.99	5.91e-07	7.44e-06	0
ENSG00000101928	202	0.626	0.288	2.17	0.03	0.0808	0
ENSG00000156504	660	0.187	0.202	0.923	0.356	0.51	0
ENSG00000170965	4.71	-1.09	0.959	-1.13	0.256	0.404	0
ENSG00000156531	3640	0.365	0.196	1.86	0.063	0.143	0
ENSG00000147257	1850	1.41	0.19	7.42	1.18e-13	4.6e-12	0
ENSG00000076770	238	0.417	0.257	1.62	0.104	0.209	0
ENSG00000134602	4200	0.434	0.234	1.86	0.063	0.143	0
ENSG00000213468	2580	-0.203	0.185	-1.09	0.275	0.425	0
ENSG00000286060	1.42	-1.06	1.62	-0.655	0.512		0
ENSG00000287806	2.29	0.18	1.34	0.134	0.893	0.936	1
ENSG00000147256	10.4	-1.74	0.684	-2.55	0.0108	0.0358	0
ENSG00000102078	111	-0.536	0.27	-1.99	0.0469	0.114	0
ENSG00000085185	289	2.55	0.254	10	1.16e-23	1.26e-21	0
ENSG00000188706	879	-0.0581	0.194	-0.299	0.765	0.851	0
ENSG00000198354	23.1	-1.42	0.456	-3.1	0.00192	0.00864	0
ENSG00000009694	96.8	-1.92	0.338	-5.69	1.27e-08	2.28e-07	0
ENSG00000282419	1.55	-3.13	1.82	-1.72	0.0854		2
ENSG00000101966	1650	0.643	0.199	3.23	0.00125	0.00601	0
ENSG00000125676	3450	0.184	0.189	0.973	0.33	0.484	0
ENSG00000125675	71.2	-1.2	0.299	-4	6.28e-05	0.000467	0
ENSG00000171155	391	0.0664	0.234	0.283	0.777	0.859	0
ENSG00000158290	3880	0.247	0.191	1.3	0.195	0.332	0
ENSG00000005893	1630	0.491	0.192	2.56	0.0105	0.0351	0
ENSG00000125355	11.7	-0.209	0.586	-0.357	0.721	0.82	0
ENSG00000258545	64.6	-0.748	0.312	-2.4	0.0164	0.0503	0
ENSG00000125352	144	-0.446	0.235	-1.9	0.0572	0.133	0
ENSG00000286366	5.51	-0.521	0.821	-0.634	0.526	0.666	0
ENSG00000125354	1610	-1.32	0.195	-6.76	1.35e-11	3.96e-10	0
ENSG00000018610	401	-0.255	0.22	-1.16	0.246	0.393	0
ENSG00000077721	1210	0.575	0.222	2.59	0.00956	0.0324	0
ENSG00000005022	5760	-0.71	0.213	-3.33	0.000865	0.0044	0
ENSG00000224281	41.7	-0.708	0.365	-1.94	0.0524	0.124	0
ENSG00000077713	63.7	0.927	0.317	2.92	0.00346	0.0142	0
ENSG00000175556	1.41	-0.53	1.73	-0.306	0.76		2
ENSG00000235244	205	1.21	0.28	4.33	1.48e-05	0.000133	0
ENSG00000102024	6570	0.775	0.209	3.71	0.00021	0.00132	0
ENSG00000289287	63.7	-2.45	0.395	-6.2	5.67e-10	1.32e-08	0
ENSG00000288595	699	-0.768	0.183	-4.19	2.75e-05	0.000228	0
ENSG00000077279	369	-0.511	0.211	-2.42	0.0154	0.0477	0
ENSG00000133136	0.952	0.812	2.06	0.393	0.694		2
ENSG00000157600	382	0.539	0.259	2.08	0.0372	0.0954	0
ENSG00000289365	1.54	0.368	1.66	0.222	0.824		2
ENSG00000068366	2220	-0.744	0.228	-3.26	0.00113	0.0055	0
ENSG00000237863	55.7	-0.277	0.332	-0.833	0.405	0.558	0
ENSG00000197565	586	0.602	0.219	2.75	0.00595	0.0222	0
ENSG00000101844	63.8	-0.453	0.326	-1.39	0.165	0.293	0
ENSG00000080561	43.5	-0.0512	0.344	-0.149	0.882	0.929	0
ENSG00000198088	135	0.127	0.303	0.419	0.675	0.787	0
ENSG00000133131	38	0.0631	0.357	0.176	0.86	0.915	0
ENSG00000133138	406	0.107	0.239	0.448	0.654	0.77	0
ENSG00000133135	35	-0.945	0.391	-2.42	0.0157	0.0484	0
ENSG00000157502	95	-1.1	0.287	-3.85	0.000117	0.000804	0
ENSG00000189108	9.8	-1.51	0.699	-2.16	0.0306	0.0819	0
ENSG00000166707	45.6	-0.562	0.387	-1.45	0.147	0.269	0
ENSG00000269226	53.5	0.488	0.425	1.15	0.251	0.399	0
ENSG00000101812	1.48	0.0134	1.6	0.00836	0.993		1
ENSG00000231728	26.8	0.494	0.455	1.09	0.278	0.428	0
ENSG00000172476	6.62	0.396	0.756	0.523	0.601	0.728	0
ENSG00000234405	26.8	0.736	0.451	1.63	0.103	0.207	0
ENSG00000185222	1130	-0.382	0.222	-1.72	0.0856	0.18	0
ENSG00000182916	302	-0.999	0.251	-3.98	6.77e-05	0.000498	0
ENSG00000133134	1560	-1.57	0.285	-5.52	3.44e-08	5.63e-07	0
ENSG00000286846	7.25	2.25	0.852	2.64	0.00825	0.0288	0
ENSG00000286237	38.3	1.02	0.453	2.25	0.0245	0.069	0
ENSG00000158301	686	0.288	0.198	1.46	0.145	0.267	0
ENSG00000125962	528	0.162	0.189	0.858	0.391	0.545	0
ENSG00000290811	1.73	-0.88	1.46	-0.602	0.547		0
ENSG00000215029	4.32	-1.36	0.961	-1.41	0.157	0.283	0
ENSG00000269405	1.16	-0.663	1.72	-0.385	0.7		0
ENSG00000204071	27.6	-1.04	0.452	-2.3	0.0214	0.0622	0
ENSG00000184905	498	-1.19	0.197	-6.04	1.49e-09	3.17e-08	0
ENSG00000184867	3170	0.131	0.205	0.64	0.522	0.663	0
ENSG00000102401	1420	0.155	0.209	0.742	0.458	0.606	0
ENSG00000290908	3.43	-1.85	1.33	-1.39	0.164	0.292	2
ENSG00000010671	24.3	-0.801	0.428	-1.87	0.0617	0.141	0
ENSG00000102384	699	0.708	0.201	3.52	0.000426	0.00241	0
ENSG00000204086	11.1	2.03	0.684	2.97	0.00295	0.0125	0
ENSG00000147202	1330	0.513	0.197	2.6	0.00931	0.0317	0
ENSG00000286523	1.36	-0.296	1.61	-0.184	0.854		0
ENSG00000186310	875	-0.493	0.192	-2.56	0.0104	0.0348	0
ENSG00000289479	962	0.11	0.248	0.442	0.659	0.774	0
ENSG00000234161	8.06	-1.37	0.787	-1.74	0.0813	0.173	0
ENSG00000184788	48.4	-1.17	0.35	-3.35	0.000803	0.00413	0
ENSG00000072133	762	0.483	0.231	2.09	0.0366	0.0942	0
ENSG00000196767	196	-0.498	0.249	-2	0.0453	0.111	0
ENSG00000131171	1680	-0.228	0.254	-0.899	0.369	0.523	0
ENSG00000147255	1040	-1.37	0.211	-6.48	8.89e-11	2.32e-09	0
ENSG00000198157	1600	-1.28	0.234	-5.45	4.98e-08	7.87e-07	0
ENSG00000165288	6610	0.399	0.192	2.08	0.0378	0.0965	0
ENSG00000122145	5.04	-0.669	0.863	-0.775	0.438	0.589	0
ENSG00000078596	505	-2.39	0.272	-8.78	1.61e-18	1.06e-16	0
ENSG00000102158	1460	0.021	0.226	0.0929	0.926	0.956	0
ENSG00000198934	245	0.00138	0.239	0.00578	0.995	0.998	0
ENSG00000102390	831	0.244	0.212	1.15	0.249	0.396	0
ENSG00000094841	777	-0.731	0.204	-3.58	0.000348	0.00204	0
ENSG00000147100	1100	-0.0185	0.215	-0.0861	0.931	0.96	0
ENSG00000225470	2230	1.35	0.233	5.78	7.35e-09	1.39e-07	0
ENSG00000229807	13.6	2.17	0.641	3.39	0.000709	0.00371	0
ENSG00000131264	39.4	-1.11	0.402	-2.77	0.00568	0.0214	0
ENSG00000231963	5.44	-2.66	1.04	-2.56	0.0105	0.0351	0
ENSG00000186288	14.5	-1.74	0.679	-2.56	0.0105	0.0351	1
ENSG00000269911	37.2	-0.652	0.371	-1.76	0.079	0.169	0
ENSG00000147099	766	0.389	0.208	1.87	0.0611	0.14	0
ENSG00000198034	12400	0.317	0.222	1.42	0.154	0.279	0
ENSG00000186871	1340	0.695	0.195	3.57	0.000363	0.00211	0
ENSG00000102309	1220	-1.37	0.247	-5.56	2.72e-08	4.56e-07	0
ENSG00000204131	1190	0.822	0.203	4.05	5.14e-05	0.000393	0
ENSG00000290714	3.27	-3.3	1.4	-2.36	0.0182	0.0547	1
ENSG00000281852	32.9	-0.776	0.482	-1.61	0.107	0.214	0
ENSG00000283599	1.34	0.393	1.76	0.223	0.824		2
ENSG00000147133	2690	0.354	0.17	2.08	0.0376	0.0961	0
ENSG00000147140	23200	-0.188	0.177	-1.06	0.29	0.441	0
ENSG00000196338	937	1.1	0.224	4.93	8.17e-07	9.9e-06	0
ENSG00000184634	2080	0.693	0.22	3.14	0.00167	0.00767	0
ENSG00000184481	1950	1.5	0.218	6.88	6.11e-12	1.87e-10	0
ENSG00000165349	1410	0.964	0.192	5.02	5.15e-07	6.58e-06	0
ENSG00000120509	529	-0.545	0.231	-2.36	0.0184	0.0551	0
ENSG00000089289	1830	-0.479	0.197	-2.43	0.0151	0.0469	0
ENSG00000189401	1.22	-1.61	1.81	-0.89	0.374		1
