gene_ID	Auxin_24h_vs_Auxin_6h_baseMean	Auxin_24h_vs_Auxin_6h_log2FoldChange	Auxin_24h_vs_Auxin_6h_lfcSE	Auxin_24h_vs_Auxin_6h_stat	Auxin_24h_vs_Auxin_6h_pvalue	Auxin_24h_vs_Auxin_6h_padj	Auxin_24h_vs_Auxin_6h_n_zeros
ENSG00000271254	1310	-0.216	0.149	-1.45	0.146	0.28	0
ENSG00000276345	7.42	-0.39	1.3	-0.299	0.765		0
ENSG00000277196	2910	0.158	0.136	1.16	0.245	0.405	0
ENSG00000278817	294	-0.247	0.243	-1.02	0.308	0.475	0
ENSG00000198692	4400	-0.816	0.159	-5.12	3e-07	5.12e-06	0
ENSG00000229236	1.87	0.14	2.57	0.0547	0.956		0
ENSG00000260197	18.2	-0.859	0.848	-1.01	0.311	0.479	0
ENSG00000290853	1560	-0.649	0.153	-4.25	2.18e-05	0.000208	0
ENSG00000067048	19400	-0.0239	0.138	-0.172	0.863	0.923	0
ENSG00000286009	62.1	0.136	0.478	0.284	0.776	0.869	0
ENSG00000277930	19.9	0.546	0.823	0.663	0.507	0.668	0
ENSG00000231535	1.73	1.99	2.85	0.698	0.485		1
ENSG00000278847	13.1	-0.596	0.997	-0.597	0.55	0.704	0
ENSG00000182484	1950	0.0749	0.131	0.57	0.569	0.72	0
ENSG00000124334	27.9	-0.625	0.69	-0.906	0.365	0.535	0
ENSG00000124333	3720	-0.181	0.128	-1.41	0.158	0.296	0
ENSG00000155961	1600	-0.0574	0.138	-0.417	0.677	0.802	0
ENSG00000154620	1020	-1.67	0.156	-10.7	9.85e-27	6.11e-24	0
ENSG00000130830	1460	0.172	0.149	1.15	0.248	0.409	0
ENSG00000272681	2.02	0.72	2.78	0.259	0.796		1
ENSG00000184033	2.79	-2.51	2.33	-1.08	0.281		1
ENSG00000269335	1890	-0.237	0.14	-1.7	0.0897	0.194	0
ENSG00000160211	5360	-0.133	0.13	-1.02	0.306	0.473	0
ENSG00000102178	4400	-0.0674	0.119	-0.564	0.573	0.724	0
ENSG00000130827	1050	0.255	0.161	1.59	0.113	0.23	0
ENSG00000071859	4480	0.0884	0.123	0.717	0.473	0.638	0
ENSG00000013563	1690	0.529	0.134	3.94	8.17e-05	0.000643	0
ENSG00000280195	66.3	0.173	0.45	0.385	0.7	0.819	0
ENSG00000007350	14.4	0.0425	0.981	0.0433	0.965	0.982	0
ENSG00000169057	3430	-0.0637	0.118	-0.54	0.589	0.737	0
ENSG00000177854	339	1.41	0.222	6.35	2.11e-10	8.92e-09	0
ENSG00000102032	1010	0.458	0.152	3	0.00269	0.012	0
ENSG00000089820	3520	-0.23	0.121	-1.91	0.0567	0.137	0
ENSG00000273769	1.42	0.287	3.11	0.0923	0.926		1
ENSG00000198910	3740	0.461	0.123	3.75	0.000174	0.00121	0
ENSG00000067840	22600	-0.513	0.133	-3.87	0.000111	0.000831	0
ENSG00000180879	8480	0.0306	0.114	0.269	0.788	0.877	0
ENSG00000067829	2660	0.0756	0.131	0.576	0.564	0.717	0
ENSG00000198753	131	1.18	0.364	3.25	0.00115	0.00595	0
ENSG00000185825	12400	-0.0805	0.136	-0.593	0.553	0.707	0
ENSG00000130822	486	0.374	0.214	1.74	0.0816	0.181	0
ENSG00000067842	22.1	0.328	0.83	0.396	0.692	0.814	0
ENSG00000183837	1300	-0.404	0.147	-2.74	0.0061	0.0235	0
ENSG00000147383	3120	-0.742	0.142	-5.22	1.75e-07	3.24e-06	0
ENSG00000147400	3750	-0.232	0.123	-1.89	0.0593	0.142	0
ENSG00000268916	2.53	0.899	2.14	0.42	0.675		0
ENSG00000183305	12.8	0.698	1.06	0.656	0.512	0.672	0
ENSG00000160131	4370	0.123	0.115	1.08	0.282	0.448	0
ENSG00000234696	17.1	0.843	0.863	0.977	0.329	0.497	0
ENSG00000029993	31800	-0.23	0.109	-2.1	0.0355	0.0955	0
ENSG00000102181	1310	-0.115	0.14	-0.819	0.413	0.582	0
ENSG00000063601	2780	-0.378	0.121	-3.13	0.00176	0.00843	0
ENSG00000013619	32.4	0.67	0.648	1.03	0.301	0.469	0
ENSG00000269556	1480	-0.0339	0.152	-0.223	0.824	0.901	0
ENSG00000241769	17.2	-0.135	0.9	-0.15	0.881	0.934	0
ENSG00000277215	22.1	-1.84	0.777	-2.36	0.0181	0.0563	0
ENSG00000182195	2280	0.129	0.153	0.842	0.4	0.57	0
ENSG00000134595	4750	0.407	0.125	3.25	0.00115	0.00596	0
ENSG00000129682	5420	-0.124	0.111	-1.12	0.263	0.426	0
ENSG00000283692	18.4	0.641	0.888	0.722	0.47	0.636	0
ENSG00000291054	48.1	0.703	0.529	1.33	0.184	0.33	0
ENSG00000165359	962	-0.336	0.186	-1.81	0.0702	0.161	0
ENSG00000178947	1480	0.172	0.178	0.965	0.335	0.504	0
ENSG00000173275	1010	0.277	0.162	1.7	0.0884	0.192	0
ENSG00000169551	7.14	-1.29	1.32	-0.978	0.328		0
ENSG00000203950	2420	0.261	0.13	2.01	0.0446	0.114	0
ENSG00000184785	265	-0.554	0.246	-2.26	0.0241	0.0706	0
ENSG00000101928	2320	-0.0187	0.143	-0.131	0.896	0.944	0
ENSG00000156504	3500	-0.00847	0.117	-0.0727	0.942	0.97	0
ENSG00000170965	63	0.438	0.497	0.881	0.378	0.549	0
ENSG00000156531	8810	-0.133	0.141	-0.945	0.345	0.515	0
ENSG00000147257	7340	0.216	0.112	1.93	0.0541	0.132	0
ENSG00000076770	696	-0.0837	0.175	-0.477	0.633	0.77	0
ENSG00000134602	17100	-0.138	0.108	-1.27	0.203	0.353	0
ENSG00000213468	1890	-0.299	0.148	-2.02	0.043	0.111	0
ENSG00000286060	9.6	-1.22	1.16	-1.05	0.294	0.46	0
ENSG00000287806	9	1.45	1.24	1.17	0.241		0
ENSG00000147256	100	0.468	0.372	1.26	0.208	0.36	0
ENSG00000290740	2.43	1.7	2.29	0.741	0.458		0
ENSG00000102078	707	-0.424	0.172	-2.46	0.0139	0.0457	0
ENSG00000085185	526	0.879	0.209	4.21	2.55e-05	0.000238	0
ENSG00000188706	3000	-0.0203	0.119	-0.171	0.864	0.924	0
ENSG00000198354	179	-0.497	0.29	-1.71	0.0864	0.188	0
ENSG00000009694	123	-0.246	0.356	-0.692	0.489	0.651	0
ENSG00000282419	8.66	0.619	1.26	0.492	0.623		0
ENSG00000101966	3590	-0.413	0.115	-3.59	0.000334	0.00209	0
ENSG00000125676	9350	0.244	0.105	2.32	0.0203	0.0617	0
ENSG00000125675	254	-0.167	0.261	-0.642	0.521	0.679	0
ENSG00000171155	1890	-0.269	0.143	-1.88	0.0601	0.143	0
ENSG00000158290	7790	-0.183	0.125	-1.47	0.143	0.275	0
ENSG00000005893	5460	0.123	0.112	1.1	0.273	0.437	0
ENSG00000125355	56.8	1.29	0.506	2.54	0.0112	0.0385	0
ENSG00000258545	636	1.22	0.176	6.92	4.46e-12	2.74e-10	0
ENSG00000125352	1120	0.256	0.155	1.66	0.0978	0.207	0
ENSG00000286366	17.9	0.157	0.841	0.187	0.852	0.917	0
ENSG00000125354	2950	0.485	0.118	4.1	4.2e-05	0.000363	0
ENSG00000018610	3150	-0.616	0.135	-4.56	5.09e-06	6.02e-05	0
ENSG00000077721	5680	-0.414	0.111	-3.71	0.000205	0.00138	0
ENSG00000005022	42100	-0.0289	0.115	-0.251	0.802	0.886	0
ENSG00000224281	130	0.215	0.327	0.658	0.51	0.67	0
ENSG00000077713	676	0.537	0.174	3.09	0.002	0.00942	0
ENSG00000175556	8	-1.41	1.29	-1.1	0.273		0
ENSG00000235244	46.5	0.371	0.571	0.651	0.515	0.674	0
ENSG00000102024	33000	-0.296	0.133	-2.23	0.0259	0.0745	0
ENSG00000289287	188	0.481	0.288	1.67	0.0951	0.202	0
ENSG00000288595	982	0.269	0.16	1.68	0.0937	0.201	0
ENSG00000077279	596	0.914	0.186	4.9	9.53e-07	1.42e-05	0
ENSG00000287685	2.22	-1.16	2.29	-0.505	0.613		0
ENSG00000133136	3.21	-0.642	2.05	-0.313	0.754		0
ENSG00000157600	1840	-0.196	0.13	-1.5	0.133	0.26	0
ENSG00000289365	19.7	-1.11	0.802	-1.39	0.166	0.306	0
ENSG00000068366	10000	-0.0715	0.11	-0.65	0.516	0.675	0
ENSG00000101890	4.73	-0.235	1.64	-0.144	0.886		0
ENSG00000237863	155	0.02	0.304	0.0657	0.948	0.972	0
ENSG00000197565	1630	0.0854	0.14	0.609	0.542	0.698	0
ENSG00000101844	340	-0.176	0.217	-0.811	0.418	0.587	0
ENSG00000080561	266	0.614	0.243	2.53	0.0115	0.0394	0
ENSG00000198088	340	0.0812	0.221	0.367	0.713	0.828	0
ENSG00000133131	388	0.192	0.208	0.926	0.354	0.524	0
ENSG00000133138	670	0.39	0.18	2.16	0.0304	0.0846	0
ENSG00000133135	251	0.00577	0.247	0.0234	0.981	0.991	0
ENSG00000157502	536	0.289	0.199	1.45	0.146	0.28	0
ENSG00000189108	73	-0.804	0.472	-1.7	0.0889	0.193	0
ENSG00000166707	158	0.357	0.307	1.16	0.245	0.405	0
ENSG00000269226	203	0.202	0.29	0.697	0.486	0.649	0
ENSG00000101812	9.64	2.93	1.37	2.14	0.0321	0.0882	0
ENSG00000231728	14.5	0.601	0.946	0.635	0.525	0.683	0
ENSG00000172476	11.9	-1.04	1.08	-0.963	0.336	0.505	0
ENSG00000234405	101	-0.418	0.378	-1.11	0.269	0.433	0
ENSG00000185222	6880	-0.217	0.117	-1.86	0.0635	0.149	0
ENSG00000182916	1510	-0.0854	0.154	-0.553	0.58	0.73	0
ENSG00000133134	3990	-0.457	0.12	-3.81	0.000138	0.000993	0
