gene_ID	Auxin_6h_vs_DMSO_baseMean	Auxin_6h_vs_DMSO_log2FoldChange	Auxin_6h_vs_DMSO_lfcSE	Auxin_6h_vs_DMSO_stat	Auxin_6h_vs_DMSO_pvalue	Auxin_6h_vs_DMSO_padj	Auxin_6h_vs_DMSO_n_zeros
ENSG00000271254	1310	-0.0702	0.234	-0.3	0.764	0.862	0
ENSG00000276345	7.42	1.1	2.06	0.533	0.594		0
ENSG00000277196	2910	-0.882	0.213	-4.13	3.57e-05	0.00048	0
ENSG00000278817	294	-0.0242	0.382	-0.0633	0.95	0.973	0
ENSG00000198692	4400	0.663	0.251	2.64	0.00837	0.035	0
ENSG00000229236	1.87	-0.768	3.83	-0.201	0.841		0
ENSG00000260197	18.2	-0.493	1.31	-0.376	0.707		0
ENSG00000290853	1560	0.408	0.24	1.7	0.0887	0.202	0
ENSG00000067048	19400	-0.0106	0.218	-0.0486	0.961	0.98	0
ENSG00000286009	62.1	0.11	0.757	0.145	0.884	0.935	0
ENSG00000277930	19.9	0.103	1.29	0.0799	0.936		0
ENSG00000231535	1.73	-2.81	4.17	-0.673	0.501		1
ENSG00000278847	13.1	-0.047	1.56	-0.0302	0.976		0
ENSG00000182484	1950	0.0138	0.207	0.0666	0.947	0.972	0
ENSG00000124334	27.9	0.216	1.08	0.2	0.842		0
ENSG00000124333	3720	0.278	0.202	1.38	0.168	0.319	0
ENSG00000155961	1600	0.342	0.217	1.58	0.114	0.243	0
ENSG00000154620	1020	1.82	0.25	7.28	3.36e-13	1e-10	0
ENSG00000130830	1460	-0.0166	0.234	-0.0708	0.944	0.97	0
ENSG00000272681	2.02	0.275	4.31	0.0637	0.949		2
ENSG00000184033	2.79	1.19	3.42	0.349	0.727		0
ENSG00000269335	1890	0.247	0.22	1.12	0.261	0.432	0
ENSG00000160211	5360	0.153	0.205	0.748	0.454	0.623	0
ENSG00000102178	4400	0.209	0.188	1.11	0.267	0.438	0
ENSG00000130827	1050	-0.646	0.251	-2.58	0.00999	0.0402	0
ENSG00000071859	4480	0.133	0.195	0.684	0.494	0.658	0
ENSG00000013563	1690	-0.188	0.212	-0.89	0.373	0.548	0
ENSG00000280195	66.3	0.884	0.73	1.21	0.226	0.389	0
ENSG00000007350	14.4	-0.494	1.51	-0.327	0.744		0
ENSG00000169057	3430	-0.0743	0.185	-0.401	0.689	0.811	0
ENSG00000177854	339	-1.42	0.345	-4.12	3.8e-05	0.000507	0
ENSG00000102032	1010	-0.477	0.24	-1.99	0.0464	0.126	0
ENSG00000089820	3520	0.32	0.191	1.68	0.0932	0.209	0
ENSG00000273769	1.42	1.41	5.15	0.274	0.784		1
ENSG00000198910	3740	-0.523	0.193	-2.71	0.00667	0.0296	0
ENSG00000067840	22600	0.539	0.209	2.57	0.0101	0.0404	0
ENSG00000180879	8480	0.255	0.18	1.42	0.156	0.304	0
ENSG00000067829	2660	-0.0581	0.207	-0.281	0.779	0.872	0
