gene_ID	Auxin_6h_vs_DMSO_baseMean	Auxin_6h_vs_DMSO_log2FoldChange	Auxin_6h_vs_DMSO_lfcSE	Auxin_6h_vs_DMSO_stat	Auxin_6h_vs_DMSO_pvalue	Auxin_6h_vs_DMSO_padj	Auxin_6h_vs_DMSO_n_zeros
ENSG00000271254	1790	0.9	0.0902	9.99	1.74e-23	8.8e-22	0
ENSG00000276345	8.96	0.993	0.949	1.05	0.296	0.44	0
ENSG00000277196	2510	0.165	0.0931	1.77	0.0764	0.149	0
ENSG00000278817	191	0.845	0.221	3.83	0.000129	0.000552	0
ENSG00000198692	3080	0.43	0.0984	4.37	1.23e-05	6.54e-05	0
ENSG00000229236	1.8	-1.44	2.41	-0.599	0.549		1
ENSG00000260197	18.9	0.822	0.644	1.28	0.202	0.327	0
ENSG00000290853	2070	0.112	0.0835	1.34	0.181	0.3	0
ENSG00000067048	15100	-0.0541	0.0563	-0.962	0.336	0.483	0
ENSG00000286009	35.1	0.233	0.488	0.478	0.633	0.752	0
ENSG00000291034	4.12	-0.783	1.38	-0.567	0.571	0.702	0
ENSG00000277930	13.7	-0.4	0.745	-0.537	0.591	0.719	0
ENSG00000278847	7.41	0.175	1.05	0.168	0.867	0.918	0
ENSG00000182484	1690	0.194	0.0915	2.12	0.0341	0.0764	0
ENSG00000124334	20	0.723	0.629	1.15	0.25	0.386	0
ENSG00000124333	3950	0.106	0.068	1.55	0.12	0.217	0
ENSG00000224533	6.55	0.925	2.92	0.317	0.751	0.842	2
ENSG00000155961	1530	-0.264	0.101	-2.63	0.00862	0.0235	0
ENSG00000154620	186	0.718	0.243	2.95	0.00313	0.00961	0
ENSG00000130830	2210	0.126	0.0808	1.56	0.119	0.215	0
ENSG00000272681	1.81	0.23	2.11	0.109	0.913		0
ENSG00000184033	2.16	-0.775	2.38	-0.326	0.744		1
ENSG00000269335	1660	0.347	0.0864	4.01	6.01e-05	0.000279	0
ENSG00000160211	7070	0.0948	0.0618	1.53	0.125	0.224	0
ENSG00000102178	4070	-0.101	0.0673	-1.51	0.132	0.234	0
ENSG00000130827	1300	0.116	0.107	1.08	0.28	0.421	0
ENSG00000071859	3590	-0.0444	0.07	-0.634	0.526	0.664	0
ENSG00000013563	1190	-0.307	0.0973	-3.15	0.00162	0.00536	0
ENSG00000280195	25.3	-0.429	0.564	-0.76	0.447	0.593	0
ENSG00000007350	41.7	1.91	0.538	3.54	0.000395	0.00151	0
ENSG00000169057	4000	0.0788	0.0682	1.15	0.248	0.384	0
ENSG00000177854	178	-1.45	0.241	-6.02	1.77e-09	1.8e-08	0
ENSG00000102032	598	-0.302	0.146	-2.07	0.0384	0.0846	0
ENSG00000089820	3230	0.00917	0.0711	0.129	0.897	0.936	0
ENSG00000198910	6150	-0.828	0.0607	-13.6	2.36e-42	4.99e-40	0
ENSG00000067840	28700	0.0357	0.0544	0.656	0.512	0.652	0
ENSG00000180879	6690	-0.112	0.066	-1.7	0.0887	0.169	0
ENSG00000067829	3050	-0.144	0.0751	-1.91	0.056	0.116	0
ENSG00000198753	188	-0.812	0.226	-3.59	0.00033	0.00129	0
ENSG00000185825	12600	0.0372	0.0612	0.608	0.543	0.679	0
ENSG00000130822	160	-0.257	0.252	-1.02	0.308	0.453	0
ENSG00000067842	35.8	-0.585	0.503	-1.16	0.245	0.38	0
ENSG00000214897	2.77	2.62	2.28	1.15	0.25		2
ENSG00000183837	1220	0.345	0.102	3.37	0.000746	0.00269	0
ENSG00000147383	3810	0.394	0.0788	5	5.79e-07	3.9e-06	0
ENSG00000147400	3500	0.129	0.078	1.66	0.0976	0.183	0
ENSG00000160131	5250	-0.205	0.0654	-3.13	0.00174	0.00573	0
