DE_group	knockout_gene_strategy	n_ko	n_WT
ExM_day_6	MAFB_PTC	3	3
PrS_day_6_hyp_ASCL2_ELF5_HIF1A_TP63_hyp	ASCL2_PTC	3	3
PrS_day_6_hyp_ASCL2_ELF5_HIF1A_TP63_hyp	ELF5_PTC	3	3
PrS_day_6_hyp_ASCL2_ELF5_HIF1A_TP63_hyp	HIF1A_PTC	3	3
PrS_day_6_hyp_ASCL2_ELF5_HIF1A_TP63_hyp	TP63_PTC	3	3
PrS_day_6_nor_ASCL2_ELF5_NR2F2_nor	ASCL2_PTC	3	3
PrS_day_6_nor_ASCL2_ELF5_NR2F2_nor	ELF5_PTC	3	3
PrS_day_6_nor_ASCL2_ELF5_NR2F2_nor	NR2F2_PTC	3	3
PrS_day_6_nor_DLX3_MSX2_VGLL1_nor	DLX3_PTC	3	2
PrS_day_6_nor_DLX3_MSX2_VGLL1_nor	MSX2_PTC	3	2
PrS_day_6_nor_DLX3_MSX2_VGLL1_nor	VGLL1_PTC	3	2
PrS_day_6_nor_HIF1A_TP63_nor	HIF1A_PTC	3	3
PrS_day_6_nor_HIF1A_TP63_nor	TP63_PTC	3	3
