gene_ID	MAFB_PTC_baseMean	MAFB_PTC_log2FoldChange	MAFB_PTC_lfcSE	MAFB_PTC_stat	MAFB_PTC_pvalue	MAFB_PTC_padj	MAFB_PTC_n_zeros
ENSG00000271254	891	-0.0396	0.0802	-0.494	0.621	1	0
ENSG00000277196	50.7	-0.0764	0.271	-0.281	0.778	1	0
ENSG00000278817	81.8	-0.0134	0.212	-0.0631	0.95	1	0
ENSG00000124334	2.45	0.143	1.37	0.104	0.917		2
ENSG00000124333	1170	-0.022	0.0823	-0.268	0.789	1	0
ENSG00000224533	5.46	0.193	0.894	0.215	0.829		1
ENSG00000155961	84.7	0.0298	0.212	0.14	0.888	1	0
ENSG00000130830	137	-0.0465	0.171	-0.273	0.785	1	0
ENSG00000272681	2.6	-1.76	1.31	-1.35	0.178		2
ENSG00000269335	240	0.0208	0.131	0.159	0.873	1	0
ENSG00000160211	1520	0.0889	0.064	1.39	0.165	1	0
ENSG00000102178	667	0.0234	0.0848	0.275	0.783	1	0
ENSG00000130827	2840	-0.00319	0.0644	-0.0496	0.96	1	0
ENSG00000071859	949	-0.0574	0.0791	-0.726	0.468	1	0
ENSG00000013563	347	-0.0595	0.11	-0.541	0.588	1	0
ENSG00000280195	13.2	0.138	0.607	0.228	0.82		0
ENSG00000169057	1760	-0.0608	0.0634	-0.959	0.338	1	0
ENSG00000177854	35.7	-0.451	0.323	-1.4	0.163	1	0
ENSG00000102032	26.4	-0.267	0.376	-0.712	0.477	1	0
ENSG00000089820	22.9	-0.148	0.405	-0.365	0.715		0
ENSG00000198910	7170	0.00411	0.0502	0.0819	0.935	1	0
ENSG00000067840	59.2	-0.244	0.245	-0.996	0.319	1	0
ENSG00000180879	915	0.00435	0.0744	0.0584	0.953	1	0
ENSG00000067829	489	0.0117	0.0947	0.123	0.902	1	0
ENSG00000198753	39.6	0.476	0.3	1.59	0.113	1	0
ENSG00000185825	1980	0.0755	0.0598	1.26	0.207	1	0
ENSG00000130822	8.23	-0.241	0.665	-0.363	0.717		0
ENSG00000067842	2.12	0.184	1.27	0.145	0.885		0
ENSG00000183837	38.9	-0.536	0.303	-1.77	0.0774	1	0
ENSG00000147383	622	0.0822	0.093	0.883	0.377	1	0
ENSG00000147400	620	-0.000103	0.0877	-0.00117	0.999	1	0
ENSG00000160131	1550	-0.0543	0.0764	-0.711	0.477	1	0
ENSG00000029993	2170	-0.00589	0.0585	-0.101	0.92	1	0
ENSG00000102181	532	-0.0215	0.107	-0.201	0.841	1	0
ENSG00000063601	790	0.0277	0.0844	0.328	0.743	1	0
ENSG00000013619	54.3	0.272	0.27	1.01	0.314	1	0
ENSG00000269556	458	0.00561	0.101	0.0554	0.956	1	0
ENSG00000241769	37	-0.241	0.332	-0.724	0.469	1	0
ENSG00000277215	8.6	0.11	0.668	0.165	0.869		0
ENSG00000182195	622	0.116	0.0871	1.33	0.183	1	0
ENSG00000134595	12.7	0.166	0.533	0.311	0.756		0
ENSG00000129682	236	0.00401	0.139	0.029	0.977	1	0
ENSG00000102243	32.7	1.19	0.364	3.28	0.00105	0.216	0
ENSG00000198689	503	-0.0201	0.0971	-0.207	0.836	1	0
ENSG00000165359	191	-0.0811	0.146	-0.555	0.579	1	0
ENSG00000178947	16.8	-0.38	0.457	-0.833	0.405		0
ENSG00000173275	310	-0.0809	0.127	-0.636	0.525	1	0
ENSG00000203950	512	0.111	0.0945	1.17	0.241	1	0
ENSG00000184785	25	-0.167	0.371	-0.449	0.653	1	0
ENSG00000156504	414	-0.0326	0.108	-0.301	0.763	1	0
ENSG00000170965	1.59	1.02	1.57	0.648	0.517		1
ENSG00000156531	1610	-0.0944	0.0685	-1.38	0.168	1	0
ENSG00000147257	124	0.042	0.209	0.201	0.84	1	0
ENSG00000076770	64.9	0.361	0.25	1.44	0.149	1	0
ENSG00000134602	2350	-0.0721	0.0772	-0.933	0.351	1	0
ENSG00000213468	256	0.0237	0.142	0.167	0.867	1	0
ENSG00000286060	1.02	-1	1.96	-0.511	0.609		2
ENSG00000147256	1.02	-0.103	1.84	-0.0559	0.955		1
ENSG00000102078	179	-0.0227	0.15	-0.151	0.88	1	0
ENSG00000085185	802	-0.0674	0.0824	-0.818	0.413	1	0
ENSG00000188706	1710	0.0804	0.0644	1.25	0.212	1	0
ENSG00000198889	5	0.252	0.866	0.291	0.771		0
ENSG00000198354	5.02	-0.428	0.863	-0.496	0.62		0
ENSG00000009694	57.3	0.19	0.276	0.687	0.492	1	0
ENSG00000101966	1670	-0.0246	0.0688	-0.357	0.721	1	0
ENSG00000125676	1950	-0.125	0.0645	-1.93	0.0535	1	0
ENSG00000125675	52.2	-0.52	0.274	-1.9	0.0573	1	0
ENSG00000171155	378	-0.107	0.121	-0.883	0.377	1	0
ENSG00000158290	4300	-0.0944	0.0566	-1.67	0.0949	1	0
ENSG00000005893	3650	-0.0282	0.0603	-0.468	0.64	1	0
ENSG00000125355	67	0.0388	0.271	0.143	0.886	1	0
ENSG00000258545	0.906	0.537	2.05	0.262	0.794		2
ENSG00000125352	175	0.0279	0.166	0.168	0.866	1	0
ENSG00000125354	1230	-0.0522	0.0735	-0.711	0.477	1	0
ENSG00000077721	1350	0.0331	0.0686	0.482	0.63	1	0
