gene_ID	hyp_vs_nor_baseMean	hyp_vs_nor_log2FoldChange	hyp_vs_nor_lfcSE	hyp_vs_nor_stat	hyp_vs_nor_pvalue	hyp_vs_nor_padj	hyp_vs_nor_n_zeros
ENSG00000271254	1040	0.0378	0.135	0.281	0.779	0.842	0
ENSG00000277196	79.4	1.96	0.429	4.58	4.65e-06	1.86e-05	0
ENSG00000278817	102	1.45	0.396	3.67	0.000245	0.000757	0
ENSG00000124334	2.1	-1.92	2.68	-0.715	0.474		1
ENSG00000124333	993	-0.0289	0.137	-0.211	0.833	0.882	0
ENSG00000224533	3.16	-1.02	2.18	-0.468	0.64	0.734	1
ENSG00000155961	41.9	2.44	0.597	4.09	4.23e-05	0.000148	0
ENSG00000203870	19.2	-1.86	0.861	-2.16	0.031	0.062	0
ENSG00000130830	6410	-1.29	0.0788	-16.4	2.64e-60	2.25e-58	0
ENSG00000272681	1.56	2.2	3	0.733	0.464		1
ENSG00000269335	276	-0.571	0.233	-2.45	0.0144	0.0315	0
ENSG00000160211	1110	-0.832	0.13	-6.39	1.63e-10	1.05e-09	0
ENSG00000102178	373	-0.912	0.204	-4.46	8.11e-06	3.15e-05	0
ENSG00000130827	1210	1.43	0.124	11.5	1.43e-30	3.49e-29	0
ENSG00000071859	1230	-0.263	0.123	-2.14	0.0321	0.0641	0
ENSG00000013563	233	0.7	0.251	2.79	0.00523	0.0127	0
ENSG00000280195	7.44	0.0907	1.31	0.0695	0.945	0.962	0
ENSG00000169057	584	0.294	0.165	1.78	0.0744	0.132	0
ENSG00000177854	43.2	0.876	0.567	1.54	0.123	0.201	0
ENSG00000102032	3.46	1.86	1.97	0.944	0.345	0.463	1
ENSG00000089820	27	-0.218	0.707	-0.308	0.758	0.826	0
ENSG00000198910	82	-1.02	0.418	-2.44	0.0148	0.0323	0
ENSG00000067840	1.64	-1.22	2.97	-0.41	0.682		1
ENSG00000180879	1910	0.438	0.106	4.15	3.34e-05	0.000119	0
ENSG00000067829	712	-0.601	0.154	-3.91	9.14e-05	0.000304	0
ENSG00000198753	3.16	0.535	2.06	0.26	0.795	0.854	0
ENSG00000185825	3490	-0.45	0.0885	-5.08	3.75e-07	1.69e-06	0
ENSG00000130822	210	2.78	0.281	9.89	4.42e-23	7.12e-22	0
ENSG00000067842	544	-0.457	0.17	-2.69	0.00717	0.0168	0
ENSG00000214897	0.923	-0.713	3.87	-0.184	0.854		2
ENSG00000147383	548	-0.447	0.17	-2.63	0.00844	0.0195	0
ENSG00000147400	472	-0.317	0.18	-1.76	0.0779	0.138	0
ENSG00000160131	848	-1.37	0.144	-9.52	1.8e-21	2.64e-20	0
ENSG00000029993	6920	0.0635	0.0765	0.83	0.407	0.525	0
ENSG00000102181	368	0.121	0.209	0.578	0.563	0.669	0
ENSG00000063601	1150	-0.25	0.129	-1.94	0.0527	0.0986	0
ENSG00000269556	230	0.0867	0.251	0.346	0.73	0.804	0
ENSG00000241769	20.9	1.62	0.827	1.96	0.0499	0.0941	0
ENSG00000277215	1.03	0.553	3.66	0.151	0.88		2
ENSG00000182195	314	-0.398	0.221	-1.8	0.0715	0.128	0
ENSG00000129682	134	-1.46	0.334	-4.36	1.28e-05	4.84e-05	0
ENSG00000233093	3.09	-0.747	2.19	-0.342	0.733	0.806	0
ENSG00000102243	3520	-1.16	0.0953	-12.2	2.8e-34	8.04e-33	0
ENSG00000198689	1000	-0.00992	0.133	-0.0745	0.941	0.96	0
ENSG00000165359	314	1.91	0.222	8.6	8.32e-18	9.68e-17	0
ENSG00000178947	14.5	0.309	0.961	0.322	0.748	0.818	0
ENSG00000173275	259	1.71	0.253	6.75	1.45e-11	1.04e-10	0
ENSG00000169551	0.882	-1.91	3.98	-0.48	0.632		2
ENSG00000203950	314	-0.289	0.217	-1.34	0.181	0.277	0
ENSG00000184785	7.66	-2.21	1.51	-1.47	0.143	0.229	0
ENSG00000156504	617	-0.363	0.161	-2.26	0.0238	0.0492	0
ENSG00000170965	6.54	-3.13	1.78	-1.76	0.0785	0.138	1
ENSG00000156531	842	-0.451	0.144	-3.13	0.00173	0.00461	0
ENSG00000147257	320	3.9	0.256	15.2	2.8e-52	1.75e-50	0
ENSG00000076770	43700	-1.79	0.0711	-25.1	3.39e-139	2.71e-136	0
ENSG00000134602	2660	0.62	0.0954	6.5	8.18e-11	5.44e-10	0
ENSG00000213468	760	0.444	0.147	3.02	0.0025	0.00643	0
ENSG00000147256	2.21	-2.06	2.57	-0.805	0.421		1
ENSG00000102078	126	0.237	0.332	0.714	0.475	0.59	0
ENSG00000085185	6200	0.00444	0.0832	0.0534	0.957	0.97	0
ENSG00000188706	1330	-0.0967	0.12	-0.809	0.419	0.537	0
ENSG00000198889	1.16	1.04	3.2	0.327	0.744		1
ENSG00000198354	1.68	0.478	2.68	0.179	0.858		1
ENSG00000009694	9.22	-0.113	1.21	-0.0937	0.925	0.95	0
ENSG00000101966	2910	0.34	0.0922	3.69	0.000223	0.000693	0
ENSG00000125676	4370	0.313	0.0855	3.66	0.000251	0.000775	0
ENSG00000171155	326	-1.45	0.219	-6.62	3.65e-11	2.5e-10	0
ENSG00000158290	3060	0.803	0.0915	8.78	1.67e-18	2.04e-17	0
ENSG00000005893	4310	0.232	0.0843	2.75	0.00593	0.0141	0
ENSG00000125355	2.31	0.536	2.22	0.242	0.809		0
ENSG00000258545	17.5	2.11	0.924	2.29	0.0221	0.0462	0
ENSG00000125352	451	0.916	0.185	4.96	7.13e-07	3.13e-06	0
ENSG00000286366	2.72	-3.91	2.6	-1.5	0.132		2
ENSG00000125354	2390	0.584	0.0977	5.98	2.26e-09	1.3e-08	0
ENSG00000077721	3110	-1.32	0.093	-14.1	2.1e-45	1e-43	0
ENSG00000018610	622	-0.44	0.162	-2.71	0.00663	0.0157	0
ENSG00000005022	4410	-1.15	0.0844	-13.6	3.1e-42	1.28e-40	0
ENSG00000224281	6.5	-3.45	1.76	-1.96	0.0495	0.0934	1
ENSG00000077713	81.4	-0.585	0.432	-1.35	0.176	0.271	0
