gene_ID	hyp_vs_nor_baseMean	hyp_vs_nor_log2FoldChange	hyp_vs_nor_lfcSE	hyp_vs_nor_stat	hyp_vs_nor_pvalue	hyp_vs_nor_padj	hyp_vs_nor_n_zeros
ENSG00000271254	1060	-0.0616	0.232	-0.266	0.791	0.873	0
ENSG00000277196	53.5	2.6	0.594	4.37	1.24e-05	0.000118	0
ENSG00000278817	84.9	1.41	0.46	3.05	0.00227	0.0102	0
ENSG00000124334	1.33	1.52	3.18	0.479	0.632		1
ENSG00000124333	966	-0.0148	0.236	-0.0625	0.95	0.973	0
ENSG00000224533	3.73	1.45	1.9	0.763	0.446		1
ENSG00000155961	26.7	1.15	0.759	1.52	0.128	0.249	0
ENSG00000203870	17.4	-1.26	0.934	-1.34	0.179	0.32	0
ENSG00000130830	6000	-1.14	0.22	-5.2	2.03e-07	3.21e-06	0
ENSG00000272681	1.97	-2.67	2.83	-0.945	0.345		1
ENSG00000269335	281	-0.282	0.303	-0.93	0.353	0.51	0
ENSG00000160211	1150	-0.617	0.23	-2.68	0.00743	0.0271	0
ENSG00000102178	421	-0.681	0.295	-2.31	0.0209	0.062	0
ENSG00000130827	1100	1.45	0.234	6.21	5.25e-10	1.53e-08	0
ENSG00000071859	1200	-0.178	0.237	-0.75	0.453	0.607	0
ENSG00000013563	224	0.564	0.322	1.75	0.0802	0.177	0
ENSG00000280195	12.2	-0.181	1.1	-0.163	0.87	0.926	0
ENSG00000169057	596	0.226	0.254	0.888	0.374	0.531	0
ENSG00000177854	45	0.861	0.599	1.44	0.151	0.282	0
ENSG00000102032	1.62	1.97	2.73	0.722	0.47		0
ENSG00000089820	17.9	0.0616	0.915	0.0673	0.946	0.971	0
ENSG00000198910	117	-0.799	0.441	-1.81	0.0701	0.16	0
ENSG00000067840	1.3	0.377	3.1	0.122	0.903		1
ENSG00000180879	1820	0.444	0.221	2.01	0.044	0.112	0
ENSG00000067829	721	-0.405	0.247	-1.64	0.101	0.209	0
ENSG00000198753	2.98	1.85	2.1	0.878	0.38		0
ENSG00000185825	3460	-0.286	0.211	-1.36	0.175	0.314	0
ENSG00000130822	211	3.75	0.389	9.65	5.02e-22	1.16e-19	0
ENSG00000067842	500	-0.215	0.288	-0.748	0.454	0.608	0
ENSG00000183837	1.82	-0.014	2.59	-0.00542	0.996		0
ENSG00000147383	536	-0.815	0.259	-3.14	0.00168	0.00791	0
ENSG00000147400	483	-0.47	0.272	-1.73	0.0832	0.182	0
ENSG00000160131	1040	-1.34	0.249	-5.4	6.68e-08	1.18e-06	0
ENSG00000029993	7060	0.454	0.221	2.06	0.0396	0.103	0
ENSG00000102181	397	0.451	0.277	1.63	0.104	0.213	0
ENSG00000063601	1210	-0.223	0.23	-0.969	0.333	0.491	0
ENSG00000013619	0.695	0.691	4.49	0.154	0.878		2
ENSG00000269556	227	0.324	0.326	0.994	0.32	0.479	0
ENSG00000241769	23.9	1.48	0.814	1.81	0.0698	0.159	0
ENSG00000277215	0.829	0.13	4.15	0.0314	0.975		2
