gene_ID	hyp_vs_nor_baseMean	hyp_vs_nor_log2FoldChange	hyp_vs_nor_lfcSE	hyp_vs_nor_stat	hyp_vs_nor_pvalue	hyp_vs_nor_padj	hyp_vs_nor_n_zeros
ENSG00000271254	1180	-0.384	0.0965	-3.98	6.99e-05	0.000194	0
ENSG00000276345	1.68	-1.93	1.98	-0.973	0.33	0.427	2
ENSG00000277196	43.6	1.75	0.392	4.47	7.64e-06	2.38e-05	0
ENSG00000278817	73.8	1.22	0.309	3.96	7.62e-05	0.000211	0
ENSG00000124334	1.19	0.536	2.27	0.236	0.813		2
ENSG00000124333	843	0.0836	0.102	0.822	0.411	0.509	0
ENSG00000155961	32.3	2.55	0.456	5.6	2.18e-08	8.72e-08	0
ENSG00000203870	18.3	-2.31	0.63	-3.66	0.000254	0.000653	0
ENSG00000130830	5400	-1.27	0.0722	-17.5	9.25e-69	4.83e-67	0
ENSG00000272681	1.33	0.494	2.18	0.227	0.821	0.865	2
ENSG00000269335	278	-0.491	0.154	-3.2	0.00138	0.00321	0
ENSG00000160211	1180	-1.5	0.102	-14.7	4.09e-49	1.2e-47	0
ENSG00000102178	415	-0.682	0.14	-4.87	1.11e-06	3.76e-06	0
ENSG00000130827	903	1.62	0.102	15.9	9.67e-57	3.54e-55	0
ENSG00000071859	1190	-0.317	0.0949	-3.34	0.000832	0.002	0
ENSG00000013563	227	0.0534	0.18	0.296	0.767	0.825	0
ENSG00000280195	8.78	-0.848	0.9	-0.943	0.346	0.443	0
ENSG00000169057	540	0.268	0.118	2.27	0.0232	0.0424	0
ENSG00000177854	39	0.00432	0.387	0.0112	0.991	0.993	0
ENSG00000102032	4.43	0.906	1.09	0.827	0.408	0.506	0
ENSG00000089820	12.2	-0.208	0.679	-0.307	0.759	0.818	0
ENSG00000198910	123	-2.86	0.269	-10.6	1.86e-26	2.27e-25	0
ENSG00000067840	1.65	-1.43	2.04	-0.702	0.482	0.578	2
ENSG00000180879	1530	0.44	0.088	5	5.74e-07	2.01e-06	0
ENSG00000067829	618	-0.918	0.117	-7.82	5.35e-15	3.56e-14	0
ENSG00000198753	3.23	-0.375	1.43	-0.262	0.794	0.845	2
ENSG00000185825	3040	-0.737	0.0824	-8.95	3.66e-19	3.11e-18	0
ENSG00000130822	145	3.43	0.253	13.6	6.38e-42	1.46e-40	0
ENSG00000067842	358	0.22	0.157	1.39	0.163	0.237	0
ENSG00000183837	1.64	-2.33	2	-1.17	0.244	0.332	2
ENSG00000147383	529	-0.845	0.123	-6.85	7.33e-12	3.94e-11	0
ENSG00000147400	365	-0.679	0.14	-4.84	1.28e-06	4.31e-06	0
ENSG00000160131	617	-0.937	0.118	-7.92	2.43e-15	1.65e-14	0
ENSG00000029993	5690	1.15	0.0743	15.5	4.79e-54	1.65e-52	0
ENSG00000102181	308	0.45	0.166	2.72	0.00658	0.0135	0
ENSG00000063601	913	0.0908	0.0984	0.922	0.356	0.454	0
ENSG00000013619	1.04	1.15	2.41	0.477	0.633		2
ENSG00000269556	200	-0.482	0.176	-2.74	0.00609	0.0126	0
ENSG00000241769	21.6	1.06	0.543	1.96	0.0501	0.0849	0
ENSG00000182195	326	-1.18	0.153	-7.69	1.42e-14	9.22e-14	0
ENSG00000129682	99.8	-1.57	0.265	-5.93	3.07e-09	1.32e-08	0
ENSG00000233093	1.7	1.41	1.84	0.768	0.443	0.54	1
ENSG00000102243	3680	-1.14	0.0763	-15	1.48e-50	4.6e-49	0
ENSG00000198689	1130	0.673	0.105	6.42	1.39e-10	6.79e-10	0
ENSG00000165359	266	2.92	0.178	16.4	2.42e-60	9.95e-59	0
ENSG00000178947	11.3	-0.339	0.715	-0.474	0.635	0.717	0
ENSG00000173275	151	1.62	0.211	7.69	1.52e-14	9.87e-14	0
ENSG00000169551	1.8	1.82	1.95	0.931	0.352	0.449	2
ENSG00000203950	273	-0.528	0.155	-3.41	0.000647	0.00158	0
ENSG00000184785	4.46	-1.07	1.14	-0.936	0.349	0.446	0
ENSG00000156504	465	0.597	0.132	4.53	5.9e-06	1.86e-05	0
ENSG00000170965	4.94	-2.34	1.25	-1.87	0.0619	0.102	1
ENSG00000156531	598	-0.251	0.114	-2.2	0.0279	0.0501	0
ENSG00000147257	117	1.41	0.229	6.15	7.76e-10	3.54e-09	0
ENSG00000076770	36500	-0.976	0.0759	-12.9	8.55e-38	1.69e-36	0
ENSG00000134602	1540	0.834	0.0992	8.41	4.25e-17	3.2e-16	0
ENSG00000213468	519	0.743	0.125	5.92	3.14e-09	1.35e-08	0
ENSG00000147256	1.05	0.414	2.37	0.175	0.861		2
ENSG00000102078	78	0.306	0.268	1.14	0.254	0.343	0
ENSG00000085185	6770	0.0794	0.075	1.06	0.29	0.383	0
ENSG00000188706	1280	-0.202	0.0986	-2.05	0.0408	0.0705	0
ENSG00000198889	1.87	-1.11	1.68	-0.659	0.51	0.603	0
ENSG00000198354	0.722	2.07	2.74	0.755	0.45		2
ENSG00000009694	5.95	-0.823	0.967	-0.852	0.394	0.492	0
ENSG00000101966	2620	0.665	0.0785	8.48	2.23e-17	1.7e-16	0
ENSG00000125676	3030	0.627	0.0802	7.82	5.39e-15	3.59e-14	0
ENSG00000171155	223	-1.48	0.183	-8.1	5.43e-16	3.84e-15	0
ENSG00000158290	2180	0.539	0.0827	6.52	7.03e-11	3.51e-10	0
ENSG00000005893	3810	0.124	0.0747	1.66	0.0961	0.15	0
ENSG00000125355	5.89	1.3	0.958	1.36	0.175	0.252	0
ENSG00000258545	25.7	2.85	0.522	5.47	4.61e-08	1.79e-07	0
ENSG00000125352	270	1.25	0.157	7.97	1.62e-15	1.11e-14	0
ENSG00000286366	1.68	-1.32	1.84	-0.718	0.473	0.568	1
ENSG00000125354	2080	0.448	0.0833	5.38	7.65e-08	2.92e-07	0
ENSG00000077721	2220	-1.01	0.0837	-12.1	1.08e-33	1.83e-32	0
ENSG00000018610	526	-0.443	0.122	-3.62	0.000293	0.000748	0
ENSG00000005022	4580	-1.72	0.0912	-18.9	1.56e-79	1.06e-77	0
ENSG00000224281	7.17	-1.02	0.912	-1.12	0.264	0.354	0
ENSG00000077713	81.6	-1.46	0.287	-5.1	3.47e-07	1.25e-06	0
ENSG00000175556	21.6	1.18	0.511	2.32	0.0205	0.0379	0
ENSG00000235244	25.5	1.11	0.489	2.27	0.0232	0.0425	0
ENSG00000102024	7350	-0.56	0.0768	-7.28	3.24e-13	1.9e-12	0
ENSG00000077279	5.73	-0.462	1.08	-0.425	0.67	0.747	0
ENSG00000077274	19000	-0.301	0.0691	-4.35	1.33e-05	4.03e-05	0
ENSG00000224142	4.97	0.628	1.1	0.571	0.568	0.657	0
ENSG00000157600	756	-0.479	0.107	-4.5	6.73e-06	2.11e-05	0
ENSG00000068366	3960	-0.997	0.077	-12.9	2.37e-38	4.81e-37	0
ENSG00000101890	2.2	0.279	1.73	0.161	0.872	0.906	2
ENSG00000237863	2.64	1.87	1.46	1.28	0.202	0.283	0
ENSG00000197565	913	-0.185	0.106	-1.74	0.0811	0.13	0
ENSG00000101844	223	-1.25	0.177	-7.06	1.72e-12	9.59e-12	0
ENSG00000080561	17.7	0.0295	0.564	0.0522	0.958	0.97	0
ENSG00000198088	39.7	2.43	0.416	5.85	5.07e-09	2.14e-08	0
ENSG00000133131	2950	-2.35	0.0806	-29.2	2.67e-187	1.2e-184	0
ENSG00000133135	877	-1.22	0.108	-11.3	2.09e-29	2.95e-28	0
ENSG00000157502	1140	-0.531	0.0931	-5.7	1.17e-08	4.8e-08	0
ENSG00000189108	26	0.715	0.473	1.51	0.13	0.195	0
ENSG00000166707	1.5	1.94	2.08	0.934	0.35	0.447	2
ENSG00000269226	11	1.72	0.753	2.29	0.0222	0.0407	0
ENSG00000172476	2.71	2.65	1.58	1.68	0.0932	0.146	1
ENSG00000234405	4.17	-0.427	1.14	-0.375	0.708	0.777	0
ENSG00000185222	1060	0.0635	0.0944	0.673	0.501	0.594	0
ENSG00000182916	55.8	-3.2	0.399	-8.03	1e-15	7e-15	0
ENSG00000133134	203	0.61	0.179	3.4	0.000663	0.00161	0
ENSG00000180964	844	-0.0538	0.111	-0.485	0.627	0.71	0
ENSG00000286846	14.1	1.37	0.641	2.14	0.0324	0.0574	0
ENSG00000286237	19.6	2.88	0.699	4.13	3.63e-05	0.000105	1
ENSG00000158301	137	0.0735	0.209	0.352	0.725	0.791	0
ENSG00000125962	159	0.651	0.193	3.37	0.000759	0.00183	0
ENSG00000184867	485	0.0561	0.124	0.452	0.652	0.731	0
ENSG00000228275	0.9	2.36	2.51	0.938	0.348		2
ENSG00000102401	1810	0.583	0.0842	6.93	4.14e-12	2.26e-11	0
ENSG00000102393	3100	-0.36	0.0814	-4.41	1.01e-05	3.11e-05	0
ENSG00000010671	253	-1.3	0.177	-7.36	1.77e-13	1.06e-12	0
ENSG00000102384	129	-0.177	0.217	-0.813	0.416	0.514	0
ENSG00000102362	9.4	-1.65	0.812	-2.03	0.0424	0.073	0
ENSG00000204086	3.04	1.85	1.37	1.35	0.176	0.253	0
