gene_ID	hyp_vs_nor_baseMean	hyp_vs_nor_log2FoldChange	hyp_vs_nor_lfcSE	hyp_vs_nor_stat	hyp_vs_nor_pvalue	hyp_vs_nor_padj	hyp_vs_nor_n_zeros
ENSG00000271254	1060	-0.495	0.09	-5.51	3.68e-08	1.34e-07	0
ENSG00000277196	34.1	1.39	0.424	3.29	0.00102	0.00236	0
ENSG00000278817	54.4	0.509	0.323	1.58	0.115	0.177	0
ENSG00000124334	1.4	2.4	2.15	1.12	0.264	0.357	2
ENSG00000124333	742	-0.00993	0.104	-0.0955	0.924	0.945	0
ENSG00000224533	1.61	3.11	2.07	1.5	0.134	0.202	2
ENSG00000155961	20.8	1.63	0.529	3.07	0.00211	0.00468	0
ENSG00000203870	15.7	-1.99	0.648	-3.07	0.00215	0.00476	0
ENSG00000130830	5210	-0.958	0.0696	-13.8	5.01e-43	9.74e-42	0
ENSG00000272681	1.9	1.63	1.9	0.858	0.391	0.491	2
ENSG00000269335	264	-0.321	0.155	-2.08	0.0378	0.066	0
ENSG00000160211	1070	-1.75	0.0971	-18.1	6.8e-73	2.91e-71	0
ENSG00000102178	347	-1.06	0.14	-7.59	3.32e-14	1.85e-13	0
ENSG00000130827	1040	1.78	0.0952	18.6	1.41e-77	6.71e-76	0
ENSG00000071859	1150	-0.0626	0.0906	-0.692	0.489	0.586	0
ENSG00000013563	201	0.116	0.172	0.676	0.499	0.595	0
ENSG00000280195	6.58	-0.0197	0.931	-0.0212	0.983	0.988	0
ENSG00000169057	487	0.0491	0.124	0.395	0.693	0.766	0
ENSG00000177854	29.5	-0.0273	0.433	-0.0631	0.95	0.964	0
ENSG00000102032	4.7	1.36	1.1	1.23	0.217	0.303	0
ENSG00000089820	15.1	0.0897	0.626	0.143	0.886	0.918	0
ENSG00000198910	133	-1.82	0.223	-8.16	3.33e-16	2.09e-15	0
ENSG00000067840	2.68	-2.09	1.58	-1.32	0.186	0.267	1
ENSG00000180879	1530	0.614	0.0808	7.59	3.19e-14	1.78e-13	0
ENSG00000067829	601	-0.769	0.111	-6.95	3.62e-12	1.77e-11	0
ENSG00000198753	1.89	0.127	1.78	0.0712	0.943	0.959	1
ENSG00000185825	2870	-0.674	0.0698	-9.66	4.66e-22	3.93e-21	0
ENSG00000130822	60.4	2.08	0.338	6.15	7.63e-10	3.16e-09	0
ENSG00000067842	439	1.03	0.129	7.98	1.48e-15	8.96e-15	0
ENSG00000183837	1.69	0.876	1.86	0.47	0.638	0.719	1
ENSG00000147383	480	-1.02	0.128	-7.97	1.62e-15	9.8e-15	0
ENSG00000147400	330	-0.856	0.15	-5.69	1.24e-08	4.69e-08	0
ENSG00000160131	572	-1.27	0.114	-11.1	1.67e-28	1.88e-27	0
ENSG00000029993	3430	0.485	0.0695	6.98	3.02e-12	1.49e-11	0
ENSG00000102181	228	0.146	0.165	0.885	0.376	0.475	0
ENSG00000063601	759	-0.182	0.101	-1.81	0.0711	0.116	0
ENSG00000269556	170	-0.839	0.192	-4.38	1.19e-05	3.48e-05	0
ENSG00000241769	23.2	2.92	0.609	4.8	1.56e-06	4.95e-06	0
ENSG00000182195	306	-1.17	0.15	-7.84	4.46e-15	2.62e-14	0
ENSG00000129682	94	-2.28	0.28	-8.15	3.64e-16	2.28e-15	0
ENSG00000233093	1.67	1.18	2	0.591	0.555	0.645	2
ENSG00000102243	3840	-0.781	0.0678	-11.5	1.05e-30	1.29e-29	0
ENSG00000198689	1130	0.675	0.0891	7.57	3.71e-14	2.07e-13	0
ENSG00000165359	359	3.61	0.173	20.8	2.75e-96	1.93e-94	0
ENSG00000178947	10.5	0.584	0.713	0.819	0.413	0.513	0
ENSG00000173275	168	1.93	0.203	9.48	2.63e-21	2.13e-20	0
ENSG00000203950	223	-0.828	0.17	-4.88	1.06e-06	3.41e-06	0
