gene_ID	hyp_vs_nor_baseMean	hyp_vs_nor_log2FoldChange	hyp_vs_nor_lfcSE	hyp_vs_nor_stat	hyp_vs_nor_pvalue	hyp_vs_nor_padj	hyp_vs_nor_n_zeros
ENSG00000271254	1130	-0.614	0.249	-2.47	0.0137	0.0354	0
ENSG00000277196	44.6	1.59	0.502	3.17	0.00153	0.00522	0
ENSG00000278817	64.8	0.932	0.433	2.15	0.0315	0.0716	0
ENSG00000124334	2.39	-0.698	2.13	-0.328	0.743	0.83	4
ENSG00000124333	906	0.149	0.21	0.709	0.478	0.614	0
ENSG00000224533	1.47	-0.403	3.13	-0.129	0.897		6
ENSG00000155961	22.7	2.47	0.522	4.74	2.12e-06	1.34e-05	0
ENSG00000203870	27.8	-1.9	0.655	-2.91	0.00363	0.0111	0
ENSG00000130830	7540	-0.796	0.194	-4.09	4.24e-05	0.000206	0
ENSG00000272681	1.04	-0.595	2.68	-0.222	0.824		5
ENSG00000184033	0.976	2.79	3.01	0.925	0.355		6
ENSG00000269335	327	-0.439	0.177	-2.48	0.0131	0.034	0
ENSG00000160211	1380	-1.91	0.216	-8.84	9.24e-19	3.25e-17	0
ENSG00000102178	488	-1.25	0.164	-7.64	2.13e-14	4.54e-13	0
ENSG00000130827	988	1.4	0.396	3.55	0.000386	0.00152	0
ENSG00000071859	1300	-0.196	0.0992	-1.97	0.0485	0.103	0
ENSG00000013563	214	-0.0289	0.281	-0.103	0.918	0.95	0
ENSG00000280195	11.9	-0.299	0.724	-0.412	0.68	0.783	0
ENSG00000169057	538	0.0734	0.137	0.535	0.593	0.713	0
ENSG00000177854	36.3	-0.366	0.432	-0.847	0.397	0.538	0
ENSG00000102032	3.94	1.18	1.22	0.973	0.33	0.47	0
ENSG00000089820	21.6	0.424	0.518	0.819	0.413	0.553	0
ENSG00000198910	100	-2.15	0.435	-4.93	8.04e-07	5.51e-06	0
ENSG00000067840	1.9	-1.32	1.98	-0.668	0.504	0.637	3
ENSG00000180879	1790	0.444	0.264	1.68	0.0924	0.174	0
ENSG00000067829	770	-0.691	0.151	-4.57	4.94e-06	2.9e-05	0
ENSG00000198753	3.51	0.492	1.53	0.322	0.748	0.833	0
ENSG00000185825	3690	-0.574	0.143	-4	6.43e-05	0.000301	0
ENSG00000130822	167	3.42	0.493	6.94	3.95e-12	6.2e-11	0
ENSG00000067842	554	0.47	0.359	1.31	0.191	0.31	0
ENSG00000183837	2.84	-1.7	1.45	-1.18	0.24	0.37	1
ENSG00000147383	590	-0.911	0.214	-4.26	2.08e-05	0.000108	0
ENSG00000147400	422	-0.529	0.232	-2.28	0.0227	0.0545	0
ENSG00000160131	923	-1.17	0.161	-7.27	3.61e-13	6.54e-12	0
ENSG00000029993	5690	0.897	0.238	3.77	0.000162	0.000693	0
ENSG00000102181	343	0.216	0.266	0.81	0.418	0.558	0
ENSG00000063601	1090	0.186	0.141	1.32	0.186	0.304	0
ENSG00000013619	0.94	-0.296	2.68	-0.11	0.912		5
ENSG00000269556	191	-1.29	0.209	-6.15	7.58e-10	8.59e-09	0
ENSG00000241769	19.1	1.35	0.767	1.77	0.0773	0.151	0
ENSG00000287796	3.03	2.63	2.32	1.14	0.256	0.389	6
ENSG00000277215	0.542	-1.8	3.03	-0.593	0.553		5
ENSG00000182195	343	-1.36	0.258	-5.28	1.31e-07	1.05e-06	0
ENSG00000134595	0.434	-0.705	3.96	-0.178	0.859		7
ENSG00000129682	152	-1.79	0.314	-5.68	1.35e-08	1.27e-07	0
ENSG00000233093	0.936	0.205	2.55	0.0804	0.936		4
ENSG00000102243	4600	-1.02	0.153	-6.68	2.47e-11	3.44e-10	0
ENSG00000198689	1140	0.655	0.226	2.89	0.00381	0.0116	0
ENSG00000165359	242	3.37	0.446	7.56	3.96e-14	8.19e-13	0
ENSG00000178947	11	-0.819	0.793	-1.03	0.301	0.44	0
ENSG00000173275	140	1.9	0.274	6.94	3.99e-12	6.26e-11	0
ENSG00000169551	0.767	-1.55	3.13	-0.494	0.621		6
ENSG00000203950	309	-1.14	0.184	-6.19	5.98e-10	6.89e-09	0
ENSG00000184785	9.05	-2.73	0.974	-2.8	0.00514	0.0151	1
ENSG00000156504	537	0.0889	0.265	0.336	0.737	0.825	0
ENSG00000170965	6.21	-1.11	1.16	-0.965	0.335	0.475	2
ENSG00000156531	761	-0.521	0.142	-3.66	0.00025	0.00102	0
ENSG00000147257	70.9	2.29	0.465	4.93	8.2e-07	5.61e-06	0
ENSG00000076770	55700	-0.996	0.0967	-10.3	7.2e-25	4.82e-23	0
ENSG00000134602	1690	0.678	0.178	3.8	0.000143	0.000618	0
ENSG00000213468	629	0.415	0.232	1.79	0.0734	0.144	0
ENSG00000286060	0.392	-0.9	4.1	-0.219	0.826		7
ENSG00000147256	2.09	0.322	1.69	0.191	0.849	0.905	1
ENSG00000102078	103	0.0476	0.273	0.174	0.861	0.914	0
ENSG00000085185	7210	0.213	0.194	1.1	0.273	0.408	0
ENSG00000188706	1350	-0.0918	0.181	-0.508	0.611	0.728	0
ENSG00000198889	2.49	-0.314	1.56	-0.201	0.841	0.9	2
