gene_ID	ASCL2_PTC_baseMean	ASCL2_PTC_log2FoldChange	ASCL2_PTC_lfcSE	ASCL2_PTC_stat	ASCL2_PTC_pvalue	ASCL2_PTC_padj	ASCL2_PTC_n_zeros
ENSG00000271254	833	0.219	0.096	2.28	0.0227	0.0689	0
ENSG00000277196	65.9	0.485	0.305	1.59	0.112	0.237	0
ENSG00000278817	86.7	0.565	0.247	2.28	0.0225	0.0684	0
ENSG00000124334	1.88	-0.0519	1.61	-0.0322	0.974		2
ENSG00000124333	726	0.0331	0.12	0.277	0.782	0.876	0
ENSG00000224533	3.05	1.27	1.53	0.829	0.407		3
ENSG00000155961	40.3	0.382	0.39	0.98	0.327	0.505	0
ENSG00000274183	0.459	-2.44	3.47	-0.704	0.482		4
ENSG00000203870	6.94	-0.313	0.793	-0.394	0.693	0.817	0
ENSG00000130830	3060	-0.243	0.107	-2.27	0.0232	0.07	0
ENSG00000272681	1.56	0.562	2	0.281	0.779		2
ENSG00000184033	0.755	-1.41	2.7	-0.523	0.601		2
ENSG00000269335	204	-0.378	0.165	-2.29	0.0219	0.067	0
ENSG00000160211	569	0.258	0.118	2.2	0.0281	0.0817	0
ENSG00000102178	236	-0.275	0.148	-1.86	0.0635	0.154	0
ENSG00000130827	1360	-0.0709	0.113	-0.627	0.53	0.692	0
ENSG00000071859	957	-0.283	0.0964	-2.93	0.00338	0.0147	0
ENSG00000013563	207	-0.15	0.17	-0.88	0.379	0.556	0
ENSG00000280195	7.6	0.215	0.867	0.248	0.804	0.889	0
ENSG00000169057	488	0.0731	0.109	0.672	0.502	0.668	0
ENSG00000177854	36.5	0.217	0.355	0.612	0.54	0.699	0
ENSG00000102032	4.74	-0.643	0.941	-0.684	0.494		0
ENSG00000089820	16	-0.136	0.556	-0.244	0.807	0.891	0
ENSG00000198910	45.7	0.366	0.356	1.03	0.303	0.479	0
ENSG00000067840	1.17	1.67	2.23	0.749	0.454		3
ENSG00000180879	1650	-0.0928	0.0952	-0.974	0.33	0.508	0
ENSG00000067829	430	-0.0433	0.121	-0.359	0.719	0.836	0
ENSG00000198753	2.65	0.351	1.42	0.248	0.804		0
ENSG00000185825	2210	-0.0968	0.0742	-1.3	0.192	0.35	0
ENSG00000130822	258	-0.507	0.165	-3.08	0.0021	0.00986	0
ENSG00000067842	427	-0.231	0.159	-1.45	0.146	0.287	0
ENSG00000214897	0.5	15.8	3.43	4.59	4.38e-06		5
ENSG00000183837	1.21	-3.14	2.06	-1.53	0.127		2
ENSG00000147383	318	0.247	0.144	1.71	0.0871	0.195	0
ENSG00000147400	267	0.404	0.169	2.4	0.0165	0.0536	0
ENSG00000160131	369	0.313	0.152	2.06	0.0398	0.107	0
ENSG00000029993	5470	0.0507	0.0965	0.526	0.599	0.749	0
ENSG00000102181	298	0.0609	0.175	0.349	0.727	0.841	0
ENSG00000063601	794	-0.0664	0.0988	-0.673	0.501	0.668	0
ENSG00000013619	0.743	-1.74	2.54	-0.687	0.492		2
ENSG00000269556	148	0.786	0.182	4.32	1.55e-05	0.000143	0
ENSG00000241769	28.1	0.567	0.473	1.2	0.23	0.395	0
ENSG00000287796	4.98	-0.851	1	-0.847	0.397		0
ENSG00000277215	0.382	1.62	3.62	0.448	0.655		3
ENSG00000182195	192	0.143	0.165	0.867	0.386	0.563	0
ENSG00000134595	0.471	-1.23	3.43	-0.358	0.72		3
ENSG00000129682	48.3	0.523	0.342	1.53	0.126	0.258	0
ENSG00000233093	1.89	1.14	1.77	0.644	0.519		2
ENSG00000102243	2110	-0.541	0.0913	-5.93	3.09e-09	6.89e-08	0
