gene_ID	ELF5_PTC_baseMean	ELF5_PTC_log2FoldChange	ELF5_PTC_lfcSE	ELF5_PTC_stat	ELF5_PTC_pvalue	ELF5_PTC_padj	ELF5_PTC_n_zeros
ENSG00000271254	833	0.111	0.0893	1.25	0.212	0.345	0
ENSG00000277196	65.9	-0.0383	0.288	-0.133	0.894	0.938	0
ENSG00000278817	86.7	0.36	0.231	1.56	0.12	0.222	0
ENSG00000124334	1.88	-0.83	1.55	-0.536	0.592		1
ENSG00000124333	726	-0.0226	0.111	-0.203	0.839	0.902	0
ENSG00000224533	3.05	2.13	1.4	1.52	0.127		2
ENSG00000155961	40.3	-0.463	0.375	-1.24	0.217	0.35	0
ENSG00000274183	0.459	-2.2	3.21	-0.685	0.493		4
ENSG00000203870	6.94	-0.0364	0.72	-0.0506	0.96	0.976	0
ENSG00000130830	3060	-0.378	0.099	-3.82	0.000134	0.000673	0
ENSG00000272681	1.56	0.0819	1.92	0.0426	0.966		3
ENSG00000184033	0.755	-3.29	2.56	-1.29	0.199		4
ENSG00000269335	204	-0.322	0.152	-2.12	0.0343	0.081	0
ENSG00000160211	569	0.427	0.109	3.93	8.33e-05	0.000441	0
ENSG00000102178	236	0.0301	0.135	0.222	0.824	0.893	0
ENSG00000130827	1360	-0.248	0.105	-2.37	0.0179	0.0474	0
ENSG00000071859	957	-0.32	0.0894	-3.58	0.00034	0.00155	0
ENSG00000013563	207	-0.26	0.158	-1.64	0.1	0.193	0
ENSG00000280195	7.6	0.945	0.777	1.22	0.224	0.358	0
ENSG00000169057	488	0.0531	0.101	0.526	0.599	0.726	0
ENSG00000177854	36.5	0.454	0.325	1.4	0.163	0.282	0
ENSG00000102032	4.74	-1.79	0.974	-1.83	0.0665	0.139	0
ENSG00000089820	16	-0.518	0.521	-0.994	0.32	0.466	0
ENSG00000198910	45.7	0.821	0.323	2.54	0.011	0.0316	0
ENSG00000067840	1.17	1.07	2.11	0.504	0.614		2
ENSG00000180879	1650	-0.172	0.0883	-1.94	0.052	0.113	0
ENSG00000067829	430	0.0348	0.111	0.313	0.754	0.844	0
ENSG00000198753	2.65	0.511	1.3	0.392	0.695		0
ENSG00000185825	2210	-0.0484	0.0686	-0.705	0.481	0.624	0
ENSG00000130822	258	-0.39	0.152	-2.57	0.0101	0.0294	0
ENSG00000067842	427	-0.304	0.147	-2.07	0.0388	0.0897	0
ENSG00000214897	0.5	15.8	3.19	4.95	7.54e-07		5
ENSG00000183837	1.21	-1.12	1.69	-0.658	0.51		0
ENSG00000147383	318	-0.0806	0.135	-0.596	0.551	0.686	0
ENSG00000147400	267	0.443	0.156	2.83	0.00459	0.0149	0
ENSG00000160131	369	0.722	0.14	5.17	2.4e-07	2.22e-06	0
ENSG00000029993	5470	0.313	0.0893	3.51	0.000448	0.00197	0
ENSG00000102181	298	0.353	0.161	2.2	0.0281	0.0687	0
ENSG00000063601	794	0.022	0.0912	0.241	0.809	0.884	0
ENSG00000013619	0.743	-0.896	2.28	-0.392	0.695		1
ENSG00000269556	148	0.851	0.169	5.04	4.61e-07	4.04e-06	0
ENSG00000241769	28.1	0.566	0.438	1.29	0.196	0.325	0
ENSG00000287796	4.98	-1.74	1	-1.73	0.0829	0.166	1
ENSG00000277215	0.382	1.06	3.4	0.312	0.755		3
