gene_ID	HIF1A_PTC_baseMean	HIF1A_PTC_log2FoldChange	HIF1A_PTC_lfcSE	HIF1A_PTC_stat	HIF1A_PTC_pvalue	HIF1A_PTC_padj	HIF1A_PTC_n_zeros
ENSG00000271254	833	0.217	0.0807	2.69	0.00721	0.0358	0
ENSG00000277196	65.9	-0.112	0.264	-0.424	0.671	0.821	0
ENSG00000278817	86.7	0.361	0.213	1.7	0.0897	0.234	0
ENSG00000124334	1.88	-1.55	1.47	-1.06	0.291		2
ENSG00000124333	726	0.166	0.101	1.65	0.0987	0.248	0
ENSG00000224533	3.05	2.17	1.3	1.67	0.0945		2
ENSG00000155961	40.3	0.332	0.33	1.01	0.313	0.527	0
ENSG00000274183	0.459	-1.5	2.9	-0.517	0.605		4
ENSG00000203870	6.94	-0.492	0.681	-0.722	0.47		0
ENSG00000130830	3060	-0.305	0.0896	-3.4	0.000675	0.00534	0
ENSG00000272681	1.56	1.03	1.73	0.592	0.554		3
ENSG00000184033	0.755	-3.38	2.31	-1.46	0.143		4
ENSG00000269335	204	-0.162	0.137	-1.18	0.237	0.444	0
ENSG00000160211	569	0.164	0.1	1.64	0.101	0.252	0
ENSG00000102178	236	0.302	0.122	2.47	0.0135	0.0583	0
ENSG00000130827	1360	-0.292	0.0952	-3.06	0.00218	0.0138	0
ENSG00000071859	957	-0.158	0.0808	-1.96	0.0497	0.154	0
ENSG00000013563	207	-0.0556	0.144	-0.387	0.699	0.84	0
ENSG00000280195	7.6	-0.612	0.744	-0.822	0.411		0
ENSG00000169057	488	0.2	0.0916	2.19	0.0289	0.104	0
ENSG00000177854	36.5	0.165	0.306	0.54	0.589	0.765	0
ENSG00000102032	4.74	-0.274	0.77	-0.356	0.722		0
ENSG00000089820	16	-0.963	0.494	-1.95	0.0514	0.158	0
ENSG00000198910	45.7	-0.435	0.318	-1.37	0.172	0.361	0
ENSG00000067840	1.17	0.578	1.98	0.292	0.77		4
ENSG00000180879	1650	-0.131	0.0801	-1.64	0.101	0.252	0
ENSG00000067829	430	-0.203	0.103	-1.97	0.0484	0.151	0
ENSG00000198753	2.65	-0.179	1.21	-0.147	0.883		1
ENSG00000185825	2210	-0.208	0.0626	-3.33	0.000873	0.00656	0
ENSG00000130822	258	-0.697	0.139	-5.01	5.36e-07	1.14e-05	0
ENSG00000067842	427	-0.548	0.134	-4.09	4.36e-05	0.000522	0
ENSG00000214897	0.5	16.9	2.81	6.03	1.62e-09		4
ENSG00000183837	1.21	-1.76	1.65	-1.07	0.286		2
ENSG00000147383	318	0.152	0.122	1.24	0.213	0.416	0
ENSG00000147400	267	0.151	0.144	1.05	0.295	0.507	0
ENSG00000160131	369	0.33	0.129	2.57	0.0103	0.0475	0
ENSG00000029993	5470	0.49	0.0808	6.06	1.32e-09	5.14e-08	0
ENSG00000102181	298	0.135	0.147	0.923	0.356	0.57	0
ENSG00000063601	794	0.0589	0.083	0.709	0.478	0.68	0
ENSG00000013619	0.743	0.0722	1.93	0.0374	0.97		1
ENSG00000269556	148	0.597	0.158	3.77	0.000163	0.00161	0
ENSG00000241769	28.1	0.0946	0.403	0.235	0.814	0.907	0
ENSG00000287796	4.98	-1.11	0.839	-1.32	0.186		0
ENSG00000277215	0.382	-0.915	3.14	-0.291	0.771		5
ENSG00000182195	192	0.0297	0.142	0.21	0.834	0.916	0
ENSG00000134595	0.471	-1.88	2.88	-0.653	0.514		4
ENSG00000129682	48.3	0.236	0.295	0.799	0.424	0.633	0
ENSG00000233093	1.89	1.52	1.56	0.974	0.33		2
ENSG00000102243	2110	-0.238	0.0762	-3.13	0.00177	0.0116	0
ENSG00000198689	1080	-0.00636	0.0946	-0.0672	0.946	0.976	0
ENSG00000165359	447	-0.254	0.132	-1.93	0.0533	0.162	0
ENSG00000178947	8.46	0.501	0.618	0.812	0.417		0
ENSG00000173275	246	-0.00842	0.134	-0.0626	0.95	0.977	0
ENSG00000169551	0.793	3.76	2.26	1.66	0.097		4
ENSG00000203950	197	0.302	0.138	2.19	0.0282	0.102	0
ENSG00000184785	3.05	0.543	1.18	0.461	0.644		1
ENSG00000156504	420	0.523	0.111	4.71	2.53e-06	4.5e-05	0
ENSG00000170965	2.05	-0.508	1.6	-0.317	0.751		3
ENSG00000156531	471	0.426	0.0972	4.38	1.17e-05	0.000166	0
ENSG00000147257	232	0.222	0.213	1.04	0.298	0.511	0
ENSG00000183434	0.272	-0.823	3.72	-0.221	0.825		3
ENSG00000076770	19500	0.105	0.11	0.954	0.34	0.555	0
ENSG00000134602	1780	0.367	0.0946	3.88	0.000103	0.00109	0
ENSG00000213468	607	0.0268	0.117	0.228	0.82	0.91	0
ENSG00000147256	1.07	-0.378	1.71	-0.221	0.825		1
ENSG00000102078	82.1	0.254	0.208	1.22	0.223	0.428	0
ENSG00000085185	5950	-0.2	0.0848	-2.36	0.0183	0.0738	0
ENSG00000235189	0.548	-0.35	2.57	-0.136	0.892		3
ENSG00000188706	1010	-0.048	0.0803	-0.598	0.55	0.738	0
ENSG00000198889	0.846	0.0149	2.01	0.00742	0.994		2
ENSG00000198354	1.11	0.0544	1.77	0.0308	0.975		1
ENSG00000009694	6.35	-0.812	0.777	-1.04	0.296		0
ENSG00000282419	0.591	0.944	2.63	0.358	0.72		3
ENSG00000101966	2930	-0.288	0.076	-3.79	0.000149	0.0015	0
ENSG00000125676	3560	-0.113	0.0722	-1.56	0.118	0.278	0
ENSG00000125675	0.936	-2.42	2.14	-1.13	0.258		4
ENSG00000171155	120	0.0671	0.211	0.318	0.75	0.87	0
ENSG00000158290	2490	-0.0139	0.0919	-0.151	0.88	0.943	0
ENSG00000005893	3230	0.299	0.0696	4.3	1.74e-05	0.000236	0
ENSG00000125355	3.48	1.43	0.944	1.51	0.131		1
ENSG00000258545	19.7	1.88	0.414	4.54	5.56e-06	8.93e-05	0
ENSG00000125352	338	0.293	0.113	2.59	0.00951	0.0447	0
ENSG00000286366	1.19	1.1	2.01	0.545	0.586		3
ENSG00000125354	2110	0.0328	0.0759	0.432	0.666	0.817	0
ENSG00000077721	1360	-0.0598	0.0756	-0.791	0.429	0.637	0
ENSG00000018610	408	-0.143	0.104	-1.38	0.169	0.357	0
ENSG00000005022	2070	-0.302	0.0857	-3.53	0.000422	0.00361	0
ENSG00000224281	3.47	0.706	1	0.706	0.48		0
ENSG00000237903	0.607	-0.947	2.6	-0.364	0.716		5
ENSG00000077713	54.5	-0.93	0.253	-3.68	0.000236	0.00221	0
ENSG00000175556	39.2	-1.08	0.318	-3.4	0.000683	0.00539	0
ENSG00000235244	31.4	0.117	0.322	0.363	0.717	0.85	0
ENSG00000102024	4820	0.143	0.073	1.96	0.0499	0.154	0
ENSG00000077279	3.53	-0.424	0.915	-0.464	0.643		0
ENSG00000077274	15200	-0.138	0.0676	-2.05	0.0405	0.132	0
ENSG00000224142	4.41	-0.18	0.798	-0.226	0.821		0
ENSG00000157600	608	0.742	0.114	6.48	9.17e-11	4.48e-09	0
ENSG00000068366	2670	-0.388	0.0859	-4.51	6.44e-06	0.000101	0
ENSG00000101890	2.34	1.06	1.37	0.776	0.438		1
ENSG00000237863	3.23	1.1	1.09	1.01	0.311		1
ENSG00000197565	772	-0.0496	0.107	-0.463	0.644	0.803	0
ENSG00000101844	112	0.045	0.177	0.254	0.799	0.9	0
ENSG00000080561	18.3	-0.157	0.482	-0.327	0.744	0.866	0
ENSG00000198088	45	0.594	0.255	2.33	0.0196	0.0774	0
ENSG00000165376	0.985	-2.42	2.07	-1.17	0.243		3
ENSG00000147223	0.887	-0.382	1.88	-0.204	0.838		2
ENSG00000133131	1270	-0.648	0.0976	-6.64	3.13e-11	1.7e-09	0
ENSG00000133135	594	-0.562	0.135	-4.16	3.13e-05	0.000389	0
ENSG00000157502	1050	-0.147	0.0754	-1.95	0.0507	0.156	0
ENSG00000189108	34.6	-0.376	0.318	-1.18	0.237	0.444	0
ENSG00000269226	16.3	0.385	0.502	0.767	0.443	0.649	0
ENSG00000231728	0.471	0.1	2.68	0.0374	0.97		3
ENSG00000172476	3.84	-0.192	1.02	-0.188	0.851		0
ENSG00000234405	5.1	-0.799	0.816	-0.979	0.328		0
ENSG00000185222	992	-0.314	0.109	-2.88	0.00394	0.0221	0
ENSG00000182916	9.79	0.431	0.592	0.727	0.467	0.67	0
ENSG00000133134	212	-0.141	0.145	-0.977	0.329	0.543	0
ENSG00000180964	802	-0.089	0.0984	-0.905	0.366	0.58	0
ENSG00000147206	1.63	0.294	1.42	0.207	0.836		1
ENSG00000286846	12.7	0.833	0.506	1.65	0.0998	0.25	0
ENSG00000286237	32.5	-0.0521	0.346	-0.151	0.88	0.944	0
ENSG00000158301	139	-0.233	0.164	-1.42	0.154	0.336	0
ENSG00000125962	178	0.336	0.154	2.18	0.0289	0.104	0
ENSG00000184867	588	-0.00616	0.113	-0.0547	0.956	0.981	0
ENSG00000228275	1.32	0.27	1.63	0.166	0.868		1
ENSG00000102401	2100	-0.0824	0.0688	-1.2	0.231	0.437	0
ENSG00000102393	2380	-0.203	0.092	-2.21	0.0274	0.0997	0
ENSG00000010671	154	-0.689	0.206	-3.35	0.000811	0.0062	0
ENSG00000102384	109	0.827	0.195	4.23	2.29e-05	0.000299	0
ENSG00000102362	6.61	-1.08	0.712	-1.51	0.13		0
ENSG00000204086	4.66	-0.105	0.825	-0.127	0.899		0
ENSG00000147202	623	0.104	0.102	1.02	0.309	0.523	0
ENSG00000286523	0.267	1.85	3.75	0.494	0.621		4
ENSG00000186310	10.7	-0.0734	0.577	-0.127	0.899	0.954	0
ENSG00000102290	223	-0.263	0.14	-1.88	0.0608	0.178	0
ENSG00000184788	1.42	-1.29	1.63	-0.79	0.43		1
ENSG00000072133	311	-0.0858	0.127	-0.678	0.498	0.697	0
ENSG00000131171	316	0.321	0.125	2.57	0.0103	0.0477	0
ENSG00000147255	8.97	-1.48	0.673	-2.2	0.0279	0.101	0
ENSG00000198157	30	0.539	0.37	1.46	0.145	0.321	0
ENSG00000165288	3890	-0.000791	0.0709	-0.0112	0.991	0.995	0
ENSG00000122145	0.583	-0.758	2.84	-0.266	0.79		4
ENSG00000078596	39.5	-0.305	0.321	-0.95	0.342	0.557	0
ENSG00000102158	2280	0.062	0.0782	0.794	0.427	0.636	0
ENSG00000198934	19.2	0.578	0.43	1.34	0.18	0.371	0
ENSG00000102390	199	-0.0376	0.136	-0.277	0.782	0.889	0
ENSG00000147100	171	0.392	0.176	2.23	0.0259	0.0955	0
ENSG00000225470	364	0.0777	0.176	0.441	0.659	0.813	0
ENSG00000229807	4.77	-1.41	0.871	-1.62	0.105		0
ENSG00000186288	4.28	-0.813	1.02	-0.797	0.426		1
ENSG00000269502	5.42	3.97	1.34	2.97	0.00297		2
ENSG00000269911	14.7	-0.0574	0.518	-0.111	0.912	0.96	0
ENSG00000147099	336	0.0468	0.138	0.339	0.735	0.861	0
ENSG00000198034	9240	0.0184	0.0806	0.228	0.82	0.91	0
ENSG00000186871	153	0.338	0.173	1.95	0.0512	0.157	0
ENSG00000102309	91.6	-0.0125	0.189	-0.0659	0.947	0.976	0
ENSG00000204131	86.3	0.275	0.254	1.08	0.28	0.492	0
ENSG00000281852	2.95	-0.115	1.09	-0.106	0.916		1
ENSG00000147133	1130	-0.0802	0.0831	-0.964	0.335	0.549	0
ENSG00000147140	7330	-0.0509	0.0593	-0.859	0.391	0.604	0
ENSG00000196338	40.4	0.31	0.278	1.11	0.265	0.476	0
ENSG00000184634	1930	-0.0576	0.0685	-0.841	0.4	0.613	0
