gene_ID	TP63_PTC_baseMean	TP63_PTC_log2FoldChange	TP63_PTC_lfcSE	TP63_PTC_stat	TP63_PTC_pvalue	TP63_PTC_padj	TP63_PTC_n_zeros
ENSG00000271254	833	0.0532	0.0811	0.656	0.512	1	0
ENSG00000277196	65.9	-0.454	0.27	-1.68	0.0931	1	0
ENSG00000278817	86.7	-0.23	0.222	-1.04	0.299	1	0
ENSG00000124334	1.88	-0.565	1.33	-0.425	0.671	1	1
ENSG00000124333	726	0.0496	0.101	0.492	0.623	1	0
ENSG00000224533	3.05	1.42	1.34	1.07	0.287	1	2
ENSG00000155961	40.3	-0.376	0.343	-1.09	0.274	1	0
ENSG00000274183	0.459	-1.33	2.91	-0.458	0.647	1	4
ENSG00000203870	6.94	-0.41	0.676	-0.606	0.544	1	0
ENSG00000130830	3060	-0.0557	0.0893	-0.624	0.533	1	0
ENSG00000272681	1.56	2.08	1.66	1.26	0.209	1	3
ENSG00000184033	0.755	-0.971	2.14	-0.453	0.651	1	2
ENSG00000269335	204	-0.0568	0.136	-0.418	0.676	1	0
ENSG00000160211	569	-0.0522	0.101	-0.516	0.606	1	0
ENSG00000102178	236	-0.0854	0.125	-0.681	0.496	1	0
ENSG00000130827	1360	0.0194	0.0944	0.206	0.837	1	0
ENSG00000071859	957	0.0191	0.0801	0.238	0.812	1	0
ENSG00000013563	207	-0.0629	0.144	-0.437	0.662	1	0
ENSG00000280195	7.6	-0.694	0.738	-0.94	0.347	1	0
ENSG00000169057	488	0.0511	0.0924	0.553	0.58	1	0
ENSG00000177854	36.5	-0.12	0.314	-0.381	0.703	1	0
ENSG00000102032	4.74	0.0592	0.75	0.0789	0.937	1	0
ENSG00000089820	16	-0.413	0.471	-0.875	0.381	1	0
ENSG00000198910	45.7	0.62	0.295	2.1	0.0356	0.884	0
ENSG00000067840	1.17	0.56	1.97	0.284	0.776	1	3
ENSG00000180879	1650	0.0318	0.0798	0.399	0.69	1	0
ENSG00000067829	430	-0.0408	0.102	-0.402	0.688	1	0
ENSG00000198753	2.65	-0.518	1.23	-0.42	0.675	1	1
ENSG00000185825	2210	-0.156	0.0625	-2.5	0.0125	0.518	0
ENSG00000130822	258	-2.04	0.155	-13.1	1.71e-39	1.24e-36	0
ENSG00000067842	427	0.11	0.131	0.844	0.399	1	0
ENSG00000214897	0.5	16.3	2.86	5.72	1.08e-08	1.48e-06	5
ENSG00000183837	1.21	-0.214	1.44	-0.149	0.881	1	0
ENSG00000147383	318	-0.0197	0.123	-0.16	0.873	1	0
ENSG00000147400	267	0.00601	0.145	0.0413	0.967	1	0
ENSG00000160131	369	0.0722	0.13	0.555	0.579	1	0
ENSG00000029993	5470	-0.384	0.0812	-4.73	2.23e-06	0.000224	0
ENSG00000102181	298	-0.356	0.15	-2.38	0.0174	0.638	0
ENSG00000063601	794	-0.241	0.0842	-2.86	0.00418	0.232	0
ENSG00000013619	0.743	-2.86	2.14	-1.33	0.182	1	3
ENSG00000269556	148	0.275	0.162	1.69	0.0907	1	0
ENSG00000241769	28.1	0.627	0.39	1.61	0.108	1	0
ENSG00000287796	4.98	0.000703	0.768	0.000916	0.999	1	0
ENSG00000277215	0.382	-0.978	3.14	-0.311	0.756	1	5
ENSG00000182195	192	0.0757	0.141	0.536	0.592	1	0
ENSG00000134595	0.471	0.975	2.73	0.357	0.721	1	2
ENSG00000129682	48.3	-0.288	0.308	-0.938	0.348	1	0
