gene_ID	ASCL2_PTC_baseMean	ASCL2_PTC_log2FoldChange	ASCL2_PTC_lfcSE	ASCL2_PTC_stat	ASCL2_PTC_pvalue	ASCL2_PTC_padj	ASCL2_PTC_n_zeros
ENSG00000271254	1130	-0.108	0.074	-1.46	0.145	1	0
ENSG00000276345	1.76	-3.29	1.94	-1.69	0.0904	1	4
ENSG00000277196	36.7	0.203	0.372	0.547	0.585	1	0
ENSG00000278817	56.3	0.0379	0.305	0.124	0.901	1	0
ENSG00000124334	1.88	1.21	1.53	0.793	0.428	1	2
ENSG00000124333	1120	-0.0754	0.0834	-0.904	0.366	1	0
ENSG00000224533	1.93	0.788	1.49	0.529	0.597	1	1
ENSG00000155961	15.7	-0.0763	0.49	-0.156	0.876	1	0
ENSG00000274183	0.469	-0.767	3.2	-0.239	0.811	1	4
ENSG00000203870	34.7	-0.447	0.322	-1.39	0.165	1	0
ENSG00000130830	10200	-0.128	0.0762	-1.68	0.0932	1	0
ENSG00000272681	1.45	0.44	1.8	0.244	0.807	1	3
ENSG00000269335	355	-0.000223	0.112	-0.00199	0.998	1	0
ENSG00000160211	1530	-0.0202	0.0649	-0.311	0.756	1	0
ENSG00000102178	563	-0.0808	0.107	-0.758	0.449	1	0
ENSG00000130827	650	0.112	0.0853	1.31	0.191	1	0
ENSG00000071859	1370	0.129	0.0736	1.75	0.0802	1	0
ENSG00000013563	180	0.13	0.144	0.899	0.369	1	0
ENSG00000280195	10.4	-0.6	0.561	-1.07	0.284	1	0
ENSG00000169057	599	-9.42e-05	0.09	-0.00105	0.999	1	0
ENSG00000177854	33.9	0.0621	0.324	0.192	0.848	1	0
ENSG00000102032	2.42	-0.71	1.28	-0.554	0.58	1	1
ENSG00000089820	23.2	0.38	0.358	1.06	0.288	1	0
ENSG00000198910	160	0.346	0.232	1.49	0.137	1	0
ENSG00000067840	1.63	-0.786	1.38	-0.569	0.57	1	0
ENSG00000180879	1750	0.00541	0.0699	0.0773	0.938	1	0
