gene_ID	DLX3_PTC_baseMean	DLX3_PTC_log2FoldChange	DLX3_PTC_lfcSE	DLX3_PTC_stat	DLX3_PTC_pvalue	DLX3_PTC_padj	DLX3_PTC_n_zeros
ENSG00000271254	853	0.431	0.116	3.7	0.000215	0.00268	0
ENSG00000276345	2.57	0.597	1.94	0.307	0.759		2
ENSG00000277196	75.2	0.533	0.318	1.68	0.0936	0.297	0
ENSG00000278817	72.8	0.0658	0.33	0.199	0.842	0.943	0
ENSG00000276017	0.369	2.25	4.16	0.54	0.589		3
ENSG00000124334	4.29	0.518	1.18	0.438	0.661	0.857	0
ENSG00000124333	752	0.0517	0.141	0.367	0.713	0.884	0
ENSG00000224533	2.49	1.24	1.72	0.725	0.468		1
ENSG00000155961	10.6	0.115	0.704	0.163	0.871	0.956	0
ENSG00000274183	0.833	-0.623	2.81	-0.222	0.824		2
ENSG00000203870	17.3	-1.12	0.703	-1.59	0.112	0.335	0
ENSG00000130830	4950	-0.382	0.109	-3.52	0.000435	0.00492	0
ENSG00000272681	2.51	-0.974	1.53	-0.638	0.524		1
ENSG00000269335	391	0.194	0.149	1.3	0.195	0.464	0
ENSG00000160211	1500	0.023	0.112	0.205	0.837	0.941	0
ENSG00000102178	487	-0.242	0.16	-1.51	0.132	0.371	0
ENSG00000130827	789	-0.351	0.167	-2.1	0.0361	0.156	0
ENSG00000071859	1280	-0.13	0.13	-1	0.317	0.612	0
ENSG00000013563	152	-0.04	0.202	-0.198	0.843	0.943	0
ENSG00000280195	9.48	-0.0413	0.683	-0.0605	0.952	0.983	0
ENSG00000169057	436	0.0346	0.15	0.23	0.818	0.932	0
ENSG00000177854	27	0.169	0.456	0.371	0.71	0.882	0
ENSG00000102032	2.1	0.388	1.53	0.253	0.8		0
ENSG00000089820	19.7	0.0063	0.517	0.0122	0.99	0.997	0
ENSG00000198910	91.2	1.2	0.4	3.01	0.00258	0.0209	0
ENSG00000067840	1.69	-0.479	2	-0.239	0.811		2
ENSG00000180879	1990	-0.245	0.125	-1.96	0.0503	0.197	0
ENSG00000067829	732	-0.075	0.108	-0.694	0.488	0.75	0
ENSG00000198753	2.58	2.22	1.72	1.29	0.197		0
ENSG00000185825	3410	-0.00647	0.105	-0.0613	0.951	0.983	0
ENSG00000130822	126	1.28	0.774	1.65	0.0984	0.308	0
ENSG00000067842	431	-1.45	0.342	-4.23	2.3e-05	0.000399	0
ENSG00000214897	1.72	2.07	2.4	0.859	0.39		2
ENSG00000183837	1.57	-3.04	2.13	-1.43	0.153		2
ENSG00000147383	534	-0.0614	0.156	-0.394	0.694	0.873	0
ENSG00000147400	374	0.188	0.143	1.32	0.187	0.454	0
ENSG00000160131	997	0.101	0.155	0.653	0.514	0.768	0
ENSG00000029993	6560	0.297	0.209	1.42	0.155	0.407	0
ENSG00000102181	357	0.322	0.172	1.87	0.061	0.223	0
ENSG00000063601	1010	0.168	0.108	1.55	0.121	0.351	0
