gene_ID	ELF5_PTC_baseMean	ELF5_PTC_log2FoldChange	ELF5_PTC_lfcSE	ELF5_PTC_stat	ELF5_PTC_pvalue	ELF5_PTC_padj	ELF5_PTC_n_zeros
ENSG00000271254	1130	-0.0247	0.073	-0.338	0.735	0.922	0
ENSG00000276345	1.76	0.0262	1.66	0.0158	0.987		2
ENSG00000277196	36.7	-0.613	0.382	-1.61	0.108	0.473	0
ENSG00000278817	56.3	-0.403	0.307	-1.31	0.189	0.588	0
ENSG00000124334	1.88	0.459	1.59	0.288	0.773		3
ENSG00000124333	1120	-0.108	0.0827	-1.3	0.193	0.593	0
ENSG00000224533	1.93	-0.00414	1.52	-0.00273	0.998		2
ENSG00000155961	15.7	-0.149	0.481	-0.309	0.757		0
ENSG00000274183	0.469	1.02	3.05	0.334	0.739		3
ENSG00000203870	34.7	-0.726	0.324	-2.24	0.0252	0.243	0
ENSG00000130830	10200	-0.247	0.0758	-3.25	0.00114	0.0417	0
ENSG00000272681	1.45	1.94	1.65	1.18	0.239		2
ENSG00000269335	355	-0.0555	0.111	-0.501	0.616	0.875	0
ENSG00000160211	1530	-0.0686	0.0643	-1.07	0.286	0.683	0
ENSG00000102178	563	-0.029	0.105	-0.276	0.783	0.94	0
ENSG00000130827	650	-0.0991	0.0849	-1.17	0.243	0.644	0
ENSG00000071859	1370	0.0443	0.0731	0.607	0.544	0.842	0
ENSG00000013563	180	0.198	0.142	1.4	0.163	0.554	0
ENSG00000280195	10.4	-0.268	0.536	-0.499	0.618		0
ENSG00000169057	599	0.0429	0.0886	0.484	0.629	0.879	0
ENSG00000177854	33.9	-0.147	0.323	-0.456	0.648	0.887	0
ENSG00000102032	2.42	-1.58	1.38	-1.14	0.253		0
ENSG00000089820	23.2	-0.51	0.371	-1.37	0.17		0
ENSG00000198910	160	0.652	0.226	2.88	0.004	0.086	0
ENSG00000067840	1.63	-1.21	1.39	-0.872	0.383		1
ENSG00000180879	1750	-0.0819	0.0694	-1.18	0.238	0.642	0
ENSG00000067829	890	-0.0399	0.0853	-0.467	0.64	0.884	0
ENSG00000198753	2.65	-1.37	1.2	-1.15	0.252		0
ENSG00000185825	4270	-0.0475	0.0611	-0.778	0.437	0.785	0
ENSG00000130822	47.6	-0.745	0.327	-2.28	0.0227	0.228	0
ENSG00000067842	559	-0.132	0.125	-1.05	0.293	0.691	0
ENSG00000214897	0.676	0.993	2.71	0.367	0.714		5
ENSG00000183837	2.29	0.133	1.31	0.101	0.919		1
ENSG00000147383	770	0.076	0.0967	0.786	0.432	0.782	0
ENSG00000147400	590	0.00438	0.0913	0.0479	0.962	0.992	0
ENSG00000160131	1480	0.0912	0.079	1.15	0.248	0.652	0
ENSG00000029993	7200	-0.307	0.201	-1.53	0.126	0.503	0
ENSG00000102181	359	-0.173	0.115	-1.5	0.132	0.514	0
ENSG00000063601	1450	-0.0273	0.0654	-0.418	0.676	0.899	0
ENSG00000269556	223	0.0652	0.132	0.495	0.621	0.876	0
ENSG00000241769	13.3	-0.527	0.488	-1.08	0.28		0
ENSG00000277215	0.906	1.62	2.16	0.753	0.452		3
ENSG00000182195	352	-0.0136	0.109	-0.125	0.9	0.976	0
ENSG00000129682	188	-0.135	0.162	-0.83	0.407	0.764	0
ENSG00000233093	2.84	1.16	1.31	0.888	0.375		1
ENSG00000102243	5620	0.0715	0.0813	0.88	0.379	0.751	0
ENSG00000198689	1170	-0.0268	0.0706	-0.38	0.704	0.911	0
ENSG00000165359	122	-0.403	0.18	-2.23	0.0256	0.245	0
ENSG00000178947	18.4	0.315	0.477	0.659	0.51		0
ENSG00000173275	151	0.302	0.182	1.66	0.0971	0.455	0
ENSG00000169551	1.05	-2.2	1.98	-1.11	0.268		2
ENSG00000203950	365	0.0855	0.127	0.673	0.501	0.823	0
ENSG00000184785	15.9	0.598	0.538	1.11	0.266		0
ENSG00000156504	769	-0.0274	0.08	-0.342	0.732	0.922	0
ENSG00000170965	12.1	-0.0519	0.558	-0.0929	0.926		0
ENSG00000156531	1130	0.000646	0.084	0.00769	0.994	0.999	0
ENSG00000147257	61.7	-0.0233	0.254	-0.0919	0.927	0.984	0
ENSG00000076770	79000	-0.152	0.0653	-2.32	0.0202	0.212	0
ENSG00000134602	2600	-0.00279	0.0612	-0.0456	0.964	0.993	0
ENSG00000213468	660	-0.238	0.111	-2.14	0.0327	0.277	0
ENSG00000147256	2.69	-0.173	1.05	-0.165	0.869		0
ENSG00000102078	143	-0.167	0.17	-0.983	0.326	0.716	0
ENSG00000085185	6360	-0.162	0.0788	-2.06	0.0396	0.302	0
ENSG00000188706	1420	-0.0706	0.0696	-1.01	0.31	0.705	0
ENSG00000198889	4.2	0.375	0.824	0.455	0.649		0
ENSG00000198354	1.8	2.73	1.68	1.62	0.105		2
ENSG00000009694	9.52	-0.216	0.575	-0.375	0.707		0
ENSG00000101966	2880	-0.12	0.0761	-1.58	0.114	0.48	0
ENSG00000125676	4230	-0.168	0.0726	-2.31	0.0209	0.216	0
ENSG00000171155	535	0.0574	0.0977	0.587	0.557	0.845	0
ENSG00000158290	2600	0.0448	0.0699	0.64	0.522	0.834	0
ENSG00000005893	4600	-0.0211	0.0549	-0.384	0.701	0.91	0
ENSG00000125355	2.48	-0.0768	1.22	-0.0629	0.95		1
ENSG00000258545	10.8	-0.114	0.577	-0.197	0.844		0
ENSG00000125352	316	-0.205	0.156	-1.32	0.188	0.588	0
ENSG00000286366	2.72	-0.467	1.03	-0.455	0.649		0
ENSG00000125354	2130	-0.0589	0.0683	-0.862	0.389	0.755	0
ENSG00000077721	4660	-0.127	0.0702	-1.81	0.0696	0.394	0
ENSG00000018610	769	-0.0692	0.0829	-0.835	0.404	0.764	0
