gene_ID	HIF1A_PTC_baseMean	HIF1A_PTC_log2FoldChange	HIF1A_PTC_lfcSE	HIF1A_PTC_stat	HIF1A_PTC_pvalue	HIF1A_PTC_padj	HIF1A_PTC_n_zeros
ENSG00000271254	1450	0.045	0.0662	0.68	0.497	0.951	0
ENSG00000276345	1.07	3.76	1.92	1.96	0.05		3
ENSG00000277196	22.2	0.0311	0.394	0.0789	0.937		0
ENSG00000278817	48	0.206	0.28	0.737	0.461		0
ENSG00000124334	1.08	-0.0803	1.79	-0.0449	0.964		2
ENSG00000124333	902	-0.0553	0.0688	-0.803	0.422		0
ENSG00000155961	11.3	-0.184	0.518	-0.355	0.723		0
ENSG00000203870	34	-0.245	0.311	-0.787	0.431		0
ENSG00000130830	8470	-0.0943	0.0452	-2.09	0.0367	0.7	0
ENSG00000272681	0.991	-0.107	1.83	-0.0582	0.954		2
ENSG00000269335	343	0.123	0.106	1.15	0.248		0
ENSG00000160211	1940	-0.0417	0.0653	-0.638	0.523	0.955	0
ENSG00000102178	562	-0.0279	0.0919	-0.304	0.761		0
ENSG00000130827	506	0.0176	0.0982	0.179	0.858		0
ENSG00000071859	1400	0.103	0.063	1.63	0.103	0.837	0
ENSG00000013563	236	0.0198	0.121	0.163	0.87		0
ENSG00000280195	10.4	-0.131	0.567	-0.231	0.818		0
ENSG00000169057	542	0.035	0.0858	0.407	0.684		0
ENSG00000177854	41	-0.0971	0.276	-0.352	0.725		0
ENSG00000102032	3.32	0.0368	0.96	0.0383	0.969		0
ENSG00000089820	15.9	-0.247	0.445	-0.556	0.578		0
ENSG00000198910	215	0.511	0.164	3.12	0.00183		0
ENSG00000067840	3.15	-0.111	1.11	-0.0997	0.921		0
ENSG00000180879	1400	0.0847	0.0678	1.25	0.212	0.879	0
ENSG00000067829	882	0.031	0.0696	0.445	0.656		0
ENSG00000198753	3.4	-0.0828	0.985	-0.084	0.933		1
ENSG00000185825	4200	-0.0373	0.054	-0.691	0.49	0.951	0
ENSG00000130822	29	-0.293	0.341	-0.859	0.391		0
ENSG00000067842	359	-0.0855	0.112	-0.762	0.446		0
ENSG00000183837	2.75	-0.385	1.05	-0.365	0.715		0
ENSG00000147383	743	0.0377	0.0814	0.464	0.643		0
ENSG00000147400	494	0.0178	0.0931	0.191	0.849		0
ENSG00000160131	932	-0.101	0.0767	-1.32	0.188		0
ENSG00000029993	3720	-0.0041	0.0625	-0.0656	0.948	0.992	0
ENSG00000102181	271	0.0636	0.123	0.516	0.606		0
ENSG00000063601	959	0.0224	0.0693	0.324	0.746		0
ENSG00000013619	0.559	-0.126	2.44	-0.0518	0.959		3
ENSG00000269556	255	0.0326	0.126	0.259	0.796		0
ENSG00000241769	10.1	0.776	0.632	1.23	0.22		0
ENSG00000277215	0.971	1.5	1.89	0.795	0.427		2
ENSG00000182195	491	0.0512	0.0945	0.541	0.588		0
ENSG00000134595	0.874	1.21	1.95	0.623	0.533		2
ENSG00000129682	177	-0.158	0.194	-0.818	0.414		0
ENSG00000233093	1.12	0.922	1.85	0.498	0.619		2
ENSG00000102243	5640	-0.0259	0.053	-0.489	0.625	0.975	0
ENSG00000198689	1020	-0.182	0.0688	-2.65	0.00802		0
ENSG00000165359	63.4	0.242	0.258	0.937	0.349		0
ENSG00000178947	12.4	0.073	0.508	0.144	0.886		0
ENSG00000173275	78.7	0.167	0.209	0.798	0.425		0
ENSG00000203950	350	-0.0191	0.11	-0.173	0.862		0
ENSG00000184785	9.89	-0.829	0.648	-1.28	0.201		0
ENSG00000156504	416	-0.0552	0.0992	-0.557	0.578		0
ENSG00000170965	7.84	0.0787	0.69	0.114	0.909		0
ENSG00000156531	714	-0.0449	0.0801	-0.561	0.575		0
ENSG00000147257	49.9	0.748	0.274	2.73	0.00625		0
ENSG00000076770	55200	-0.158	0.0406	-3.88	0.000103	0.0304	0
ENSG00000134602	1200	-0.0665	0.0742	-0.896	0.37		0
ENSG00000213468	446	-0.218	0.106	-2.06	0.0398		0
ENSG00000147256	1.45	-1.31	1.66	-0.79	0.429		2
ENSG00000102078	80.7	-0.167	0.198	-0.845	0.398		0
ENSG00000085185	7420	-0.0478	0.052	-0.921	0.357	0.943	0
ENSG00000188706	1490	0.0288	0.065	0.443	0.658	0.978	0
ENSG00000198889	2.78	0.753	1.11	0.677	0.499		0
ENSG00000198354	0.896	-2.31	1.94	-1.19	0.232		2
ENSG00000009694	8.49	-0.0928	0.61	-0.152	0.879		0
ENSG00000101966	2310	-0.0619	0.059	-1.05	0.294	0.918	0
ENSG00000125676	2640	-0.00188	0.0537	-0.035	0.972	0.995	0
ENSG00000171155	361	0.0256	0.11	0.233	0.816		0
ENSG00000158290	1980	-0.0517	0.0575	-0.899	0.369	0.949	0
ENSG00000005893	4080	-0.0337	0.0467	-0.721	0.471	0.951	0
ENSG00000125355	3.18	0.183	1.01	0.182	0.856		0
ENSG00000258545	6.86	-0.104	0.67	-0.155	0.877		0
ENSG00000125352	177	-0.0153	0.144	-0.107	0.915		0
ENSG00000286366	3	-0.41	1.02	-0.402	0.687		0
ENSG00000125354	2040	-0.117	0.0662	-1.77	0.0764	0.799	0
ENSG00000077721	3240	0.0129	0.0542	0.238	0.812	0.982	0
ENSG00000018610	648	0.0764	0.0781	0.979	0.328		0
ENSG00000005022	7760	-0.0336	0.0473	-0.71	0.478	0.951	0
ENSG00000224281	7.68	0.656	0.637	1.03	0.303		0
ENSG00000077713	140	-0.0269	0.155	-0.174	0.862		0
ENSG00000175556	12.9	0.0351	0.482	0.0728	0.942		0
ENSG00000235244	16.2	0.385	0.462	0.833	0.405		0
ENSG00000102024	9880	-0.0459	0.0449	-1.02	0.307	0.925	0
ENSG00000077279	5.33	0.522	0.88	0.593	0.553		0
ENSG00000077274	23500	-0.0377	0.0427	-0.884	0.377	0.949	0
ENSG00000224142	1.48	4.34	1.69	2.57	0.0102		3
ENSG00000157600	1030	-0.112	0.0836	-1.34	0.181		0
ENSG00000068366	5510	-0.024	0.0634	-0.378	0.705	0.978	0
ENSG00000101890	2	0.709	1.31	0.539	0.59		1
ENSG00000237863	1.22	0.319	1.56	0.205	0.838		0
ENSG00000197565	1050	0.0767	0.0814	0.943	0.346		0
ENSG00000101844	323	0.139	0.105	1.33	0.184		0
ENSG00000080561	19.3	0.252	0.419	0.6	0.548		0
ENSG00000198088	13.9	-0.134	0.465	-0.288	0.774		0
ENSG00000165376	1.01	-1.11	1.88	-0.59	0.555		2
ENSG00000133131	5120	0.0266	0.121	0.219	0.826	0.986	0
ENSG00000133135	1380	-0.118	0.0704	-1.67	0.095	0.822	0
ENSG00000157502	1510	0.00892	0.0618	0.144	0.885	0.987	0
ENSG00000189108	22.3	-0.268	0.388	-0.69	0.49		0
ENSG00000166707	2.26	-1.3	1.39	-0.936	0.35		3
ENSG00000269226	7.42	0.345	0.798	0.432	0.666		0
ENSG00000172476	0.772	1.39	2.09	0.665	0.506		3
ENSG00000234405	3.61	0.656	0.931	0.705	0.481		0
ENSG00000185222	1140	-0.0157	0.072	-0.217	0.828		0
ENSG00000182916	103	0.136	0.201	0.675	0.5		0
ENSG00000133134	193	-0.173	0.145	-1.19	0.234		0
ENSG00000180964	925	0.0343	0.0732	0.468	0.64		0
ENSG00000286846	6.71	1.34	0.738	1.81	0.0696		0
ENSG00000286237	14.1	-1.42	1.18	-1.21	0.227		1
ENSG00000158301	140	0.0322	0.158	0.205	0.838		0
ENSG00000125962	151	-0.152	0.152	-1	0.318		0
ENSG00000184867	515	0.0752	0.093	0.808	0.419		0
ENSG00000228275	0.794	-0.989	2.24	-0.442	0.659		3
ENSG00000102401	1620	-0.0199	0.0626	-0.318	0.75	0.978	0
ENSG00000102393	3920	0.00329	0.0716	0.046	0.963	0.995	0
ENSG00000010671	396	0.116	0.122	0.955	0.34		0
ENSG00000102384	152	0.085	0.157	0.541	0.588		0
ENSG00000102362	15.5	-0.00878	0.451	-0.0195	0.984		0
ENSG00000204086	1.55	0.229	1.4	0.163	0.87		0
ENSG00000147202	565	0.0269	0.109	0.246	0.805		0
ENSG00000186310	18.9	-0.498	0.431	-1.16	0.248		0
ENSG00000102290	318	0.225	0.108	2.08	0.0371		0
