gene_ID	MSX2_PTC_baseMean	MSX2_PTC_log2FoldChange	MSX2_PTC_lfcSE	MSX2_PTC_stat	MSX2_PTC_pvalue	MSX2_PTC_padj	MSX2_PTC_n_zeros
ENSG00000271254	853	-0.586	0.111	-5.28	1.28e-07	1.43e-06	0
ENSG00000276345	2.57	0.294	1.8	0.163	0.87	0.934	2
ENSG00000277196	75.2	1.5	0.291	5.14	2.71e-07	2.86e-06	0
ENSG00000278817	72.8	-0.463	0.314	-1.47	0.141	0.287	0
ENSG00000276017	0.369	1.02	3.97	0.258	0.797		4
ENSG00000124334	4.29	-1.96	1.33	-1.47	0.14	0.287	2
ENSG00000124333	752	0.114	0.131	0.865	0.387	0.583	0
ENSG00000224533	2.49	-0.136	1.62	-0.0834	0.934	0.969	2
ENSG00000155961	10.6	1.06	0.624	1.71	0.0879	0.201	0
ENSG00000274183	0.833	-17	2.7	-6.3	3.02e-10		4
ENSG00000203870	17.3	-2.65	0.747	-3.55	0.000382	0.00205	0
ENSG00000130830	4950	-1.99	0.103	-19.3	3.9e-83	7.35e-80	0
ENSG00000272681	2.51	1.14	1.25	0.912	0.362	0.557	0
ENSG00000269335	391	0.0545	0.14	0.389	0.697	0.83	0
ENSG00000160211	1500	-0.0119	0.105	-0.114	0.909	0.956	0
ENSG00000102178	487	-0.176	0.149	-1.18	0.238	0.417	0
ENSG00000130827	789	-0.627	0.157	-3.99	6.53e-05	0.000427	0
ENSG00000071859	1280	-0.144	0.122	-1.18	0.236	0.416	0
ENSG00000013563	152	-0.314	0.19	-1.65	0.0986	0.22	0
ENSG00000280195	9.48	-0.243	0.635	-0.383	0.701	0.832	0
ENSG00000169057	436	-0.0811	0.14	-0.578	0.563	0.734	0
ENSG00000177854	27	-0.00792	0.427	-0.0185	0.985	0.994	0
ENSG00000102032	2.1	1.44	1.38	1.05	0.295	0.484	0
ENSG00000089820	19.7	-1.22	0.522	-2.33	0.0198	0.0609	0
ENSG00000198910	91.2	-0.248	0.378	-0.655	0.513	0.695	0
ENSG00000067840	1.69	0.0651	1.8	0.0362	0.971	0.988	2
ENSG00000180879	1990	-0.0864	0.117	-0.74	0.459	0.652	0
ENSG00000067829	732	-0.482	0.102	-4.72	2.39e-06	2.14e-05	0
ENSG00000198753	2.58	1.39	1.67	0.833	0.405	0.599	1
ENSG00000185825	3410	-0.32	0.0989	-3.23	0.00123	0.00576	0
ENSG00000130822	126	-1.67	0.744	-2.25	0.0246	0.0727	0
ENSG00000067842	431	-4.51	0.348	-13	1.88e-38	3.36e-36	0
