gene_ID	NR2F2_PTC_baseMean	NR2F2_PTC_log2FoldChange	NR2F2_PTC_lfcSE	NR2F2_PTC_stat	NR2F2_PTC_pvalue	NR2F2_PTC_padj	NR2F2_PTC_n_zeros
ENSG00000271254	1130	-0.291	0.0835	-3.48	0.000506	0.00338	0
ENSG00000276345	1.76	-0.667	1.97	-0.339	0.735		2
ENSG00000277196	36.7	0.5	0.41	1.22	0.222	0.415	0
ENSG00000278817	56.3	-0.261	0.346	-0.756	0.45	0.653	0
ENSG00000124334	1.88	0.584	1.76	0.331	0.74		2
ENSG00000124333	1120	-0.153	0.0937	-1.64	0.102	0.241	0
ENSG00000224533	1.93	-3.57	2.14	-1.67	0.0947		4
ENSG00000155961	15.7	-0.129	0.546	-0.236	0.814	0.902	0
ENSG00000274183	0.469	-1.42	3.61	-0.393	0.694		5
ENSG00000203870	34.7	-0.519	0.364	-1.42	0.154	0.322	0
ENSG00000130830	10200	-0.0766	0.0855	-0.896	0.37	0.58	0
ENSG00000272681	1.45	1.34	1.88	0.711	0.477		3
ENSG00000269335	355	-0.0548	0.125	-0.437	0.662	0.812	0
ENSG00000160211	1530	-0.0521	0.0727	-0.717	0.474	0.672	0
ENSG00000102178	563	0.151	0.118	1.28	0.202	0.388	0
ENSG00000130827	650	-0.318	0.0974	-3.27	0.00109	0.00646	0
ENSG00000071859	1370	-0.194	0.0833	-2.33	0.0197	0.0687	0
ENSG00000013563	180	-0.419	0.168	-2.5	0.0124	0.0467	0
ENSG00000280195	10.4	-0.545	0.624	-0.873	0.383	0.591	0
ENSG00000169057	599	0.17	0.0996	1.71	0.0876	0.216	0
ENSG00000177854	33.9	0.14	0.359	0.39	0.697	0.834	0
ENSG00000102032	2.42	0.867	1.3	0.665	0.506		0
ENSG00000089820	23.2	-0.215	0.413	-0.521	0.603	0.772	0
ENSG00000198910	160	1.85	0.249	7.45	9.19e-14	4.73e-12	0
ENSG00000067840	1.63	0.288	1.42	0.204	0.839		1
