gene_ID	TP63_PTC_baseMean	TP63_PTC_log2FoldChange	TP63_PTC_lfcSE	TP63_PTC_stat	TP63_PTC_pvalue	TP63_PTC_padj	TP63_PTC_n_zeros
ENSG00000271254	1450	0.0216	0.0666	0.325	0.746	0.954	0
ENSG00000276345	1.07	1.91	2.11	0.903	0.367		5
ENSG00000277196	22.2	0.0308	0.398	0.0775	0.938		0
ENSG00000278817	48	0.322	0.28	1.15	0.251		0
ENSG00000124334	1.08	-0.917	1.93	-0.476	0.634		3
ENSG00000124333	902	-0.11	0.0696	-1.58	0.114	0.602	0
ENSG00000155961	11.3	0.011	0.516	0.0212	0.983		0
ENSG00000203870	34	-0.429	0.319	-1.34	0.179		0
ENSG00000130830	8470	-0.16	0.0453	-3.54	0.000401	0.0462	0
ENSG00000272681	0.991	0.0491	1.83	0.0268	0.979		2
ENSG00000269335	343	0.058	0.108	0.539	0.59		0
ENSG00000160211	1940	-0.0402	0.0656	-0.613	0.54	0.901	0
ENSG00000102178	562	-0.072	0.0929	-0.776	0.438		0
ENSG00000130827	506	0.183	0.0982	1.87	0.0617		0
ENSG00000071859	1400	0.0226	0.0636	0.356	0.722	0.95	0
ENSG00000013563	236	-0.0985	0.123	-0.798	0.425		0
ENSG00000280195	10.4	-0.589	0.593	-0.992	0.321		0
ENSG00000169057	542	0.0861	0.0863	0.998	0.318		0
ENSG00000177854	41	-0.388	0.286	-1.36	0.175		0
ENSG00000102032	3.32	-0.0965	0.982	-0.0983	0.922		0
ENSG00000089820	15.9	-0.00541	0.442	-0.0122	0.99		0
ENSG00000198910	215	0.537	0.165	3.26	0.00112		0
ENSG00000067840	3.15	1.05	1.04	1.01	0.312		0
ENSG00000180879	1400	0.0606	0.0683	0.888	0.374	0.833	0
ENSG00000067829	882	0.0203	0.0702	0.289	0.773	0.961	0
ENSG00000198753	3.4	-1.31	1.11	-1.19	0.236		0
ENSG00000185825	4200	-0.0647	0.0542	-1.19	0.232	0.742	0
ENSG00000130822	29	-0.3	0.345	-0.867	0.386		0
ENSG00000067842	359	-0.184	0.114	-1.62	0.106		0
ENSG00000183837	2.75	-1.07	1.14	-0.94	0.347		1
ENSG00000147383	743	0.04	0.082	0.488	0.625	0.924	0
ENSG00000147400	494	0.0158	0.0939	0.169	0.866		0
ENSG00000160131	932	-0.0209	0.0769	-0.272	0.786	0.961	0
ENSG00000029993	3720	-0.229	0.0629	-3.65	0.000264	0.0357	0
ENSG00000102181	271	-0.118	0.126	-0.941	0.347		0
ENSG00000063601	959	-0.0276	0.07	-0.394	0.693	0.945	0
ENSG00000013619	0.559	-0.874	2.51	-0.348	0.727		4
ENSG00000269556	255	0.0195	0.127	0.153	0.878		0
ENSG00000241769	10.1	-0.144	0.671	-0.214	0.83		0
ENSG00000277215	0.971	-0.838	2.15	-0.39	0.696		3
ENSG00000182195	491	0.04	0.0954	0.42	0.675		0
ENSG00000134595	0.874	-0.864	2.18	-0.396	0.692		3
ENSG00000129682	177	-0.0173	0.194	-0.0893	0.929		0
ENSG00000233093	1.12	1.08	1.85	0.58	0.562		2
ENSG00000102243	5640	-0.00159	0.0531	-0.0299	0.976	0.995	0
ENSG00000198689	1020	-0.0912	0.069	-1.32	0.186	0.707	0
ENSG00000165359	63.4	0.134	0.262	0.51	0.61		0
ENSG00000178947	12.4	-0.454	0.535	-0.849	0.396		0
ENSG00000173275	78.7	0.151	0.212	0.714	0.475		0
ENSG00000203950	350	-0.112	0.112	-1	0.316		0
