gene_ID	VGLL1_PTC_baseMean	VGLL1_PTC_log2FoldChange	VGLL1_PTC_lfcSE	VGLL1_PTC_stat	VGLL1_PTC_pvalue	VGLL1_PTC_padj	VGLL1_PTC_n_zeros
ENSG00000271254	853	0.0953	0.137	0.697	0.486	0.863	0
ENSG00000276345	2.57	0.594	2.31	0.257	0.797		3
ENSG00000277196	75.2	0.596	0.363	1.64	0.1	0.463	0
ENSG00000278817	72.8	-0.35	0.388	-0.902	0.367	0.793	0
ENSG00000276017	0.369	1.47	4.89	0.3	0.764		4
ENSG00000124334	4.29	0.125	1.41	0.0886	0.929		0
ENSG00000124333	752	0.0977	0.163	0.598	0.55	0.89	0
ENSG00000224533	2.49	-2.49	2.36	-1.05	0.292		4
ENSG00000155961	10.6	-0.0453	0.841	-0.0538	0.957		0
ENSG00000274183	0.833	-1.23	3.32	-0.371	0.711		2
ENSG00000203870	17.3	0.727	0.798	0.911	0.362	0.789	0
ENSG00000130830	4950	0.231	0.126	1.83	0.0669	0.377	0
ENSG00000272681	2.51	0.451	1.6	0.282	0.778		0
ENSG00000269335	391	0.103	0.174	0.593	0.553	0.89	0
ENSG00000160211	1500	0.00115	0.13	0.00878	0.993	0.999	0
ENSG00000102178	487	-0.0883	0.187	-0.472	0.637	0.919	0
ENSG00000130827	789	-0.0837	0.194	-0.431	0.666	0.928	0
ENSG00000071859	1280	0.117	0.151	0.777	0.437	0.838	0
ENSG00000013563	152	-0.192	0.237	-0.811	0.417	0.828	0
ENSG00000280195	9.48	-0.421	0.826	-0.51	0.61		0
ENSG00000169057	436	-0.0455	0.176	-0.258	0.796	0.963	0
ENSG00000177854	27	0.168	0.534	0.314	0.753	0.954	0
ENSG00000102032	2.1	-0.667	1.87	-0.357	0.721		1
ENSG00000089820	19.7	0.156	0.606	0.257	0.797	0.963	0
ENSG00000198910	91.2	1.18	0.469	2.51	0.0121	0.138	0
ENSG00000067840	1.69	-0.568	2.41	-0.235	0.814		2
ENSG00000180879	1990	-0.00802	0.145	-0.0553	0.956	0.994	0
ENSG00000067829	732	-0.0189	0.126	-0.149	0.881	0.98	0
ENSG00000198753	2.58	1.32	1.99	0.66	0.509		0
ENSG00000185825	3410	-0.0101	0.122	-0.0824	0.934	0.989	0
ENSG00000130822	126	-1.07	0.907	-1.17	0.24	0.681	0
ENSG00000067842	431	-0.485	0.4	-1.21	0.226	0.665	0
ENSG00000214897	1.72	2.87	2.69	1.07	0.285		1
ENSG00000183837	1.57	-1.02	2.27	-0.45	0.653		1
ENSG00000147383	534	0.133	0.181	0.733	0.463	0.852	0
ENSG00000147400	374	0.0588	0.167	0.353	0.724	0.945	0
ENSG00000160131	997	0.155	0.18	0.861	0.389	0.812	0
ENSG00000029993	6560	-0.527	0.242	-2.18	0.0295	0.241	0
ENSG00000102181	357	-0.652	0.205	-3.19	0.00142	0.0308	0
ENSG00000063601	1010	-0.12	0.127	-0.945	0.345	0.778	0
ENSG00000269556	217	0.134	0.286	0.47	0.638	0.92	0
ENSG00000241769	18.4	-0.16	0.613	-0.262	0.794	0.962	0
ENSG00000277215	1.05	1.18	2.72	0.436	0.663		1
ENSG00000182195	348	0.00536	0.184	0.0292	0.977	0.997	0
ENSG00000129682	231	0.278	0.279	0.994	0.32	0.756	0
ENSG00000283692	0.418	-1.03	4.67	-0.22	0.826		2
ENSG00000233093	2.31	2.31	5.58	0.413	0.679		2
ENSG00000102243	3560	-2.15	0.213	-10.1	7.54e-24	2.75e-20	0
ENSG00000198689	1220	0.428	0.195	2.19	0.0285	0.235	0
ENSG00000165359	218	0.286	0.304	0.941	0.347	0.78	0
ENSG00000178947	10.9	-0.575	1.04	-0.552	0.581		0
ENSG00000173275	115	0.427	0.301	1.42	0.156	0.574	0
ENSG00000169551	0.887	-1.25	3.01	-0.416	0.677		2
ENSG00000203950	349	-0.0648	0.197	-0.328	0.743	0.952	0
ENSG00000184785	12.1	0.227	0.871	0.26	0.795	0.962	0
ENSG00000156504	647	0.142	0.192	0.739	0.46	0.85	0
ENSG00000170965	6.17	0.205	1.01	0.202	0.84		0
ENSG00000156531	929	-0.574	0.195	-2.94	0.00327	0.0562	0
ENSG00000147257	29.2	-1.11	0.548	-2.03	0.0425	0.295	0
ENSG00000076770	56200	-0.167	0.159	-1.05	0.293	0.734	0
ENSG00000134602	1720	-0.368	0.153	-2.4	0.0165	0.169	0
ENSG00000213468	600	-0.418	0.219	-1.91	0.0561	0.341	0
ENSG00000286060	0.368	-1.62	4.76	-0.341	0.733		2
ENSG00000147256	2.46	-1.91	1.99	-0.958	0.338		1
ENSG00000102078	109	-0.282	0.275	-1.03	0.305	0.743	0
ENSG00000085185	6430	-0.242	0.231	-1.05	0.293	0.734	0
ENSG00000235189	0.975	3.01	3.73	0.807	0.42		3
ENSG00000188706	1100	-0.242	0.17	-1.42	0.155	0.572	0
ENSG00000198889	2.93	-0.288	1.58	-0.182	0.856		1
ENSG00000198354	0.875	1.21	2.97	0.408	0.683		3
ENSG00000009694	7.7	0.7	0.946	0.741	0.459		0
ENSG00000282419	0.701	3.85	4.16	0.927	0.354		4
ENSG00000101966	2540	0.249	0.174	1.43	0.154	0.57	0
ENSG00000125676	2920	0.0992	0.167	0.594	0.552	0.89	0
ENSG00000125675	0.623	-0.861	3.89	-0.221	0.825		3
ENSG00000171155	310	-0.229	0.21	-1.09	0.276	0.717	0
ENSG00000158290	1610	-0.152	0.111	-1.38	0.169	0.592	0
ENSG00000005893	2830	-0.53	0.135	-3.93	8.62e-05	0.00363	0
ENSG00000125355	1.27	0.778	2.55	0.305	0.761		2
ENSG00000258545	8.08	0.674	0.973	0.693	0.488		0
ENSG00000125352	222	-0.666	0.237	-2.81	0.00493	0.076	0
ENSG00000286366	1.98	-1	2.13	-0.47	0.639		2
ENSG00000125354	1480	-0.31	0.145	-2.14	0.0321	0.252	0
ENSG00000077721	3020	-0.205	0.208	-0.985	0.325	0.759	0
ENSG00000018610	596	0.0389	0.245	0.159	0.874	0.979	0
ENSG00000005022	4400	0.141	0.112	1.27	0.205	0.642	0
ENSG00000224281	7.16	-0.139	0.924	-0.15	0.88		0
ENSG00000237903	0.81	2.51	2.94	0.853	0.394		4
ENSG00000077713	95.9	-0.113	0.32	-0.354	0.723	0.944	0
ENSG00000175556	6.81	-2.59	1.17	-2.22	0.0265		0
ENSG00000235244	32.4	1.2	0.662	1.82	0.069	0.383	0
ENSG00000102024	6740	0.83	0.166	5.01	5.57e-07	6.07e-05	0
ENSG00000077279	2.74	-0.562	1.7	-0.33	0.741		0
ENSG00000077274	14300	-0.714	0.194	-3.68	0.000234	0.0079	0
ENSG00000224142	3.61	-0.982	1.44	-0.68	0.496		0
ENSG00000157600	1230	-0.351	0.183	-1.92	0.0548	0.338	0
ENSG00000068366	2720	-0.364	0.173	-2.11	0.035	0.264	0
ENSG00000101890	1.41	1.55	2.03	0.762	0.446		0
ENSG00000237863	1.13	-1.63	3.1	-0.527	0.598		4
ENSG00000197565	708	-0.351	0.215	-1.63	0.103	0.47	0
ENSG00000101844	264	0.461	0.199	2.31	0.0208	0.195	0
ENSG00000080561	12.9	-0.296	0.734	-0.403	0.687	0.936	0
ENSG00000198088	20.6	-0.24	0.627	-0.383	0.702	0.941	0
ENSG00000165376	0.621	2.23	4.2	0.532	0.595		3
ENSG00000147223	4.15	-1.55	1.51	-1.03	0.304		0
ENSG00000133131	3360	-0.87	0.284	-3.07	0.00215	0.0413	0
ENSG00000133135	604	-0.651	0.219	-2.98	0.00292	0.0516	0
ENSG00000157502	897	-0.533	0.158	-3.37	0.000747	0.019	0
ENSG00000189108	14.8	-1.64	0.725	-2.26	0.024	0.214	0
