gene_ID	HES5_PTC_baseMean	HES5_PTC_log2FoldChange	HES5_PTC_lfcSE	HES5_PTC_stat	HES5_PTC_pvalue	HES5_PTC_padj	HES5_PTC_n_zeros
ENSG00000271254	1880	-0.0616	0.102	-0.606	0.544	0.872	0
ENSG00000276345	2.98	-3.75	2.55	-1.47	0.142		5
ENSG00000277196	89.9	-0.064	0.189	-0.339	0.734	0.935	0
ENSG00000278817	30.5	0.399	0.38	1.05	0.293	0.744	0
ENSG00000124334	2.29	0.869	1.26	0.688	0.491		1
ENSG00000124333	660	0.0984	0.0743	1.33	0.185	0.637	0
ENSG00000224533	0.857	-0.912	2.7	-0.338	0.736		5
ENSG00000155961	367	0.168	0.108	1.55	0.121	0.551	0
ENSG00000130830	4.78	-0.0816	0.937	-0.0871	0.931		0
ENSG00000272681	0.815	0.576	1.95	0.295	0.768		2
ENSG00000269335	219	0.156	0.124	1.25	0.211	0.669	0
ENSG00000160211	1370	0.0349	0.0602	0.58	0.562	0.878	0
ENSG00000102178	706	-0.00528	0.0841	-0.0628	0.95	0.989	0
ENSG00000130827	583	-0.0311	0.139	-0.225	0.822	0.955	0
ENSG00000071859	1010	-0.0131	0.0746	-0.176	0.861	0.968	0
ENSG00000013563	228	-0.129	0.119	-1.08	0.28	0.733	0
ENSG00000280195	19.8	-0.26	0.421	-0.618	0.536		0
ENSG00000007350	30.8	-0.0957	0.354	-0.271	0.787	0.947	0
ENSG00000169057	2270	-0.0158	0.0593	-0.265	0.791	0.948	0
ENSG00000177854	118	0.417	0.2	2.08	0.0372	0.343	0
ENSG00000102032	39.5	0.0342	0.309	0.111	0.912	0.98	0
ENSG00000089820	74.9	-0.101	0.249	-0.407	0.684	0.92	0
ENSG00000198910	167	0.645	0.179	3.6	0.000315	0.0207	0
ENSG00000067840	366	0.106	0.112	0.942	0.346	0.781	0
ENSG00000180879	1040	0.0978	0.0671	1.46	0.145	0.588	0
ENSG00000067829	711	0.12	0.0848	1.41	0.158	0.607	0
ENSG00000198753	6.66	0.214	0.712	0.301	0.763		0
ENSG00000185825	1690	0.204	0.0669	3.04	0.00233	0.0732	0
ENSG00000130822	538	0.179	0.109	1.64	0.102	0.524	0
ENSG00000067842	8.68	-0.204	0.625	-0.326	0.745		0
ENSG00000183837	277	0.0605	0.125	0.485	0.628	0.899	0
ENSG00000147383	552	0.181	0.0812	2.22	0.0261	0.292	0
ENSG00000147400	1290	0.0798	0.0594	1.34	0.179	0.629	0
ENSG00000268916	0.841	0.441	2.22	0.199	0.843		3
ENSG00000160131	4270	-0.091	0.0611	-1.49	0.136	0.576	0
ENSG00000234696	3.54	-0.567	0.992	-0.572	0.568		1
ENSG00000029993	5790	0.00206	0.0467	0.044	0.965	0.993	0
ENSG00000102181	1680	0.0129	0.061	0.212	0.832	0.959	0
ENSG00000063601	984	0.0214	0.0685	0.313	0.754	0.939	0
