gene_ID	POU3F2_PTC_baseMean	POU3F2_PTC_log2FoldChange	POU3F2_PTC_lfcSE	POU3F2_PTC_stat	POU3F2_PTC_pvalue	POU3F2_PTC_padj	POU3F2_PTC_n_zeros
ENSG00000271254	1880	0.238	0.101	2.35	0.0186	0.197	0
ENSG00000276345	2.98	0.394	2.3	0.171	0.864		2
ENSG00000277196	89.9	-0.231	0.188	-1.23	0.22	0.595	0
ENSG00000278817	30.5	-0.37	0.392	-0.944	0.345	0.713	0
ENSG00000124334	2.29	1.01	1.24	0.815	0.415		1
ENSG00000124333	660	-0.0945	0.0742	-1.27	0.203	0.576	0
ENSG00000224533	0.857	2.21	2.51	0.882	0.378		4
ENSG00000155961	367	0.243	0.106	2.29	0.0223	0.214	0
ENSG00000130830	4.78	-0.3	0.938	-0.319	0.749		0
ENSG00000272681	0.815	0.875	1.9	0.461	0.645		1
ENSG00000269335	219	0.113	0.123	0.917	0.359	0.723	0
ENSG00000160211	1370	0.0156	0.0596	0.262	0.794	0.94	0
ENSG00000102178	706	-0.0513	0.0835	-0.614	0.539	0.833	0
ENSG00000130827	583	0.122	0.138	0.887	0.375	0.733	0
ENSG00000071859	1010	0.234	0.0733	3.2	0.00138	0.0467	0
ENSG00000013563	228	-0.0368	0.117	-0.316	0.752	0.928	0
ENSG00000280195	19.8	0.0807	0.405	0.199	0.842		0
ENSG00000007350	30.8	0.0013	0.347	0.00374	0.997	0.999	0
ENSG00000169057	2270	0.0819	0.0588	1.39	0.164	0.525	0
ENSG00000177854	118	0.061	0.202	0.303	0.762	0.931	0
ENSG00000102032	39.5	0.138	0.302	0.457	0.648	0.883	0
ENSG00000089820	74.9	-0.167	0.247	-0.677	0.499	0.812	0
ENSG00000198910	167	0.523	0.178	2.93	0.00336	0.0801	0
ENSG00000067840	366	0.298	0.11	2.7	0.00697	0.121	0
ENSG00000180879	1040	0.0271	0.0666	0.406	0.685	0.901	0
ENSG00000067829	711	0.0602	0.0842	0.714	0.475	0.797	0
ENSG00000198753	6.66	-0.606	0.749	-0.809	0.418		0
ENSG00000185825	1690	0.2	0.0665	3	0.00268	0.0698	0
ENSG00000130822	538	0.159	0.109	1.46	0.144	0.497	0
ENSG00000067842	8.68	-0.0497	0.606	-0.082	0.935		0
ENSG00000183837	277	0.168	0.123	1.37	0.17	0.534	0
ENSG00000147383	552	0.0719	0.0807	0.89	0.373	0.731	0
ENSG00000147400	1290	0.0759	0.0588	1.29	0.196	0.568	0
ENSG00000268916	0.841	-1.61	2.4	-0.669	0.503		3
ENSG00000160131	4270	-0.139	0.061	-2.28	0.0223	0.214	0
ENSG00000234696	3.54	-0.814	0.996	-0.818	0.413		0
ENSG00000029993	5790	0.0444	0.0464	0.956	0.339	0.709	0
ENSG00000102181	1680	-0.0435	0.0606	-0.718	0.473	0.796	0
ENSG00000063601	984	-0.00654	0.0678	-0.0964	0.923	0.978	0
ENSG00000013619	5.93	0.211	0.754	0.28	0.78		0
ENSG00000269556	313	0.0376	0.11	0.343	0.732	0.919	0
ENSG00000241769	28.1	0.0643	0.351	0.183	0.855		0
ENSG00000277215	4.62	-0.817	0.837	-0.976	0.329		0
ENSG00000182195	634	0.0242	0.078	0.31	0.757	0.93	0
ENSG00000134595	2160	0.319	0.103	3.09	0.002	0.0595	0
ENSG00000129682	919	-0.219	0.084	-2.61	0.0091	0.139	0
ENSG00000283692	1.21	1.66	1.65	1.01	0.315		1
ENSG00000198689	799	0.0531	0.0731	0.726	0.468	0.793	0
ENSG00000165359	263	0.205	0.11	1.87	0.0614	0.348	0
ENSG00000178947	245	0.0284	0.132	0.215	0.83	0.951	0
ENSG00000173275	380	-0.126	0.103	-1.22	0.222	0.598	0
ENSG00000169551	1.84	0.523	1.24	0.421	0.673		1
ENSG00000203950	837	0.185	0.0781	2.37	0.018	0.196	0
ENSG00000184785	6.1	-0.348	0.694	-0.501	0.616		0
ENSG00000156504	842	-0.0668	0.0819	-0.815	0.415	0.762	0
ENSG00000170965	1.38	3.46	1.85	1.87	0.0618		3
ENSG00000156531	7360	-0.164	0.0485	-3.39	0.000695	0.0314	0
ENSG00000147257	20000	0.216	0.085	2.54	0.0112	0.155	0
ENSG00000076770	331	-0.368	0.146	-2.52	0.0117	0.158	0
ENSG00000134602	2020	-0.207	0.0877	-2.36	0.0182	0.196	0
ENSG00000213468	2010	-0.00489	0.0891	-0.0549	0.956	0.989	0
ENSG00000286060	1.97	-0.429	1.34	-0.321	0.748		0
ENSG00000287806	0.521	-2.01	2.64	-0.764	0.445		4
ENSG00000147256	0.488	0.687	2.92	0.235	0.814		4
ENSG00000102078	199	0.0763	0.135	0.567	0.571	0.848	0
ENSG00000085185	3700	-0.0244	0.0515	-0.474	0.636	0.877	0
ENSG00000235189	1.64	0.146	1.37	0.106	0.915		0
ENSG00000188706	1680	-0.0869	0.0895	-0.972	0.331	0.703	0
ENSG00000198889	29	0.0394	0.348	0.113	0.91		0
ENSG00000198354	88.8	-0.0923	0.193	-0.479	0.632	0.875	0
ENSG00000009694	20	-0.532	0.492	-1.08	0.279		0
ENSG00000101966	1520	-0.177	0.0705	-2.51	0.012	0.16	0
ENSG00000125676	2920	-0.072	0.0466	-1.54	0.122	0.465	0
ENSG00000125675	327	-0.115	0.109	-1.06	0.29	0.667	0
ENSG00000171155	390	-0.0139	0.0991	-0.14	0.888	0.967	0
ENSG00000158290	4620	0.0339	0.0556	0.611	0.542	0.835	0
ENSG00000005893	1190	-0.00333	0.0747	-0.0447	0.964	0.99	0
ENSG00000125355	179	0.39	0.157	2.48	0.0132	0.169	0
ENSG00000125352	156	-0.00964	0.152	-0.0634	0.949	0.986	0
ENSG00000286366	5.65	0.608	0.857	0.71	0.478		0
ENSG00000125354	625	-0.346	0.13	-2.67	0.00755	0.126	0
ENSG00000077721	1180	-0.101	0.0614	-1.64	0.101	0.43	0
ENSG00000018610	401	-0.0884	0.0919	-0.962	0.336	0.707	0
ENSG00000005022	3510	-0.0952	0.0637	-1.49	0.135	0.484	0
ENSG00000224281	36.4	0.044	0.301	0.146	0.884	0.967	0
ENSG00000077713	52.8	-0.0188	0.288	-0.0653	0.948	0.986	0
ENSG00000175556	10.5	0.874	0.595	1.47	0.142		0
ENSG00000235244	27.7	-0.374	0.364	-1.03	0.304		0
ENSG00000102024	2680	-0.014	0.0566	-0.248	0.804	0.943	0
ENSG00000077279	798	-0.23	0.116	-1.98	0.0481	0.308	0
ENSG00000077274	3750	-0.433	0.216	-2.01	0.0447	0.298	0
ENSG00000224142	0.698	-0.544	2.38	-0.229	0.819		2
ENSG00000157600	1980	-0.000845	0.0494	-0.0171	0.986	0.997	0
ENSG00000068366	3570	-0.243	0.0635	-3.83	0.00013	0.0106	0
ENSG00000101890	1.31	1.45	1.7	0.853	0.394		2
ENSG00000237863	146	0.049	0.17	0.288	0.773	0.934	0
ENSG00000197565	3250	0.1	0.0564	1.78	0.0758	0.379	0
ENSG00000101844	117	0.22	0.183	1.21	0.227	0.603	0
ENSG00000080561	52.1	0.0932	0.253	0.368	0.713	0.912	0
ENSG00000080572	0.491	-1.64	2.43	-0.674	0.5		2
ENSG00000198088	113	-0.0406	0.177	-0.229	0.819	0.947	0
ENSG00000165376	31.8	0.554	0.304	1.82	0.0689	0.365	0
ENSG00000147223	1.14	-0.197	1.55	-0.127	0.899		1
ENSG00000133131	183	0.0662	0.151	0.439	0.66	0.889	0
ENSG00000133135	2.65	-1.67	1.14	-1.47	0.143		1
ENSG00000157502	208	-0.269	0.162	-1.66	0.0961	0.421	0
ENSG00000189108	0.391	1.63	3.08	0.53	0.596		4
ENSG00000166707	92.4	0.123	0.184	0.669	0.504	0.814	0
ENSG00000269226	181	0.053	0.158	0.335	0.738	0.921	0
ENSG00000231728	10.4	0.367	0.564	0.651	0.515		0
ENSG00000172476	11.8	0.307	0.539	0.569	0.569		0
ENSG00000234405	27.8	0.0701	0.388	0.181	0.857		0
ENSG00000185222	631	0.00185	0.0998	0.0185	0.985	0.996	0
ENSG00000182916	524	-0.217	0.0911	-2.38	0.0175	0.193	0
ENSG00000133134	506	-0.0955	0.0902	-1.06	0.29	0.666	0
ENSG00000180964	1080	-0.125	0.0751	-1.66	0.0971	0.423	0
ENSG00000286846	6.05	-0.958	0.805	-1.19	0.234		0
ENSG00000286237	143	0.224	0.183	1.22	0.222	0.597	0
ENSG00000158301	2030	-0.0214	0.0524	-0.41	0.682	0.9	0
ENSG00000125962	589	-0.0464	0.0789	-0.587	0.557	0.842	0
ENSG00000215029	21.5	0.729	0.405	1.8	0.0717		0
ENSG00000269405	2.34	-2.55	1.83	-1.39	0.164		3
ENSG00000204071	3.14	0.0333	1.09	0.0305	0.976		0
ENSG00000184905	347	-0.154	0.119	-1.3	0.195	0.567	0
ENSG00000184867	10100	-0.0858	0.178	-0.481	0.63	0.874	0
ENSG00000228275	0.514	-1.03	2.5	-0.415	0.678		3
ENSG00000102401	3420	0.000691	0.146	0.00472	0.996	0.999	0
ENSG00000102393	416	0.0243	0.0955	0.255	0.799	0.942	0
ENSG00000010671	1.71	-0.189	1.42	-0.133	0.894		1
ENSG00000102384	896	-0.0505	0.0676	-0.747	0.455	0.786	0
ENSG00000102362	50.7	-0.11	0.239	-0.459	0.646	0.882	0
ENSG00000204086	1.67	-3.37	1.74	-1.94	0.0527		2
ENSG00000147202	584	-0.237	0.082	-2.89	0.00386	0.0876	0
ENSG00000186310	755	0.0292	0.0821	0.356	0.722	0.916	0
ENSG00000102290	996	0.00117	0.0786	0.0149	0.988	0.997	0
ENSG00000234161	2.9	1.24	1.32	0.944	0.345		0
ENSG00000184788	0.827	0.758	2.19	0.346	0.729		3
ENSG00000072133	688	-0.00165	0.074	-0.0223	0.982	0.995	0
ENSG00000196767	45.7	1.01	0.783	1.29	0.197	0.569	0
ENSG00000131171	1580	-0.33	0.0817	-4.03	5.49e-05	0.00534	0
ENSG00000147255	250	-0.392	0.174	-2.25	0.0243	0.222	0
