gene_ID	SOX1_PTC_baseMean	SOX1_PTC_log2FoldChange	SOX1_PTC_lfcSE	SOX1_PTC_stat	SOX1_PTC_pvalue	SOX1_PTC_padj	SOX1_PTC_n_zeros
ENSG00000271254	1880	-0.517	0.102	-5.06	4.24e-07	3.31e-05	0
ENSG00000276345	2.98	1.18	2.29	0.517	0.605		3
ENSG00000277196	89.9	0.044	0.187	0.236	0.813	0.911	0
ENSG00000278817	30.5	0.269	0.381	0.706	0.48	0.689	0
ENSG00000124334	2.29	-0.737	1.43	-0.514	0.607		2
ENSG00000124333	660	0.0246	0.0744	0.331	0.741	0.866	0
ENSG00000224533	0.857	1.91	2.54	0.754	0.451		3
ENSG00000155961	367	0.000451	0.109	0.00414	0.997	0.998	0
ENSG00000130830	4.78	0.00487	0.93	0.00524	0.996		0
ENSG00000272681	0.815	-0.894	2.12	-0.423	0.673		3
ENSG00000269335	219	0.0983	0.124	0.791	0.429	0.649	0
ENSG00000160211	1370	0.0035	0.0601	0.0582	0.954	0.979	0
ENSG00000102178	706	-0.161	0.0846	-1.9	0.0575	0.187	0
ENSG00000130827	583	-0.104	0.139	-0.749	0.454	0.668	0
ENSG00000071859	1010	-0.115	0.0748	-1.53	0.125	0.309	0
ENSG00000013563	228	0.00866	0.117	0.0737	0.941	0.974	0
ENSG00000280195	19.8	-0.335	0.422	-0.795	0.427	0.647	0
ENSG00000007350	30.8	-0.101	0.353	-0.285	0.775	0.887	0
ENSG00000169057	2270	0.0653	0.0591	1.1	0.269	0.497	0
ENSG00000177854	118	0.443	0.199	2.22	0.0264	0.11	0
ENSG00000102032	39.5	0.466	0.299	1.56	0.12	0.299	0
ENSG00000089820	74.9	0.412	0.242	1.7	0.0884	0.248	0
ENSG00000198910	167	0.351	0.181	1.94	0.0522	0.176	0
ENSG00000067840	366	-0.161	0.114	-1.42	0.156	0.353	0
ENSG00000180879	1040	0.0757	0.067	1.13	0.259	0.484	0
ENSG00000067829	711	0.000766	0.0851	0.009	0.993	0.996	0
ENSG00000198753	6.66	0.639	0.691	0.925	0.355		0
ENSG00000185825	1690	-0.0477	0.0673	-0.709	0.479	0.688	0
ENSG00000130822	538	0.459	0.108	4.25	2.17e-05	0.000673	0
ENSG00000067842	8.68	0.5	0.59	0.847	0.397		0
ENSG00000183837	277	-0.384	0.128	-3.01	0.00264	0.0219	0
ENSG00000147383	552	-0.102	0.0825	-1.24	0.214	0.429	0
ENSG00000147400	1290	-0.055	0.0596	-0.923	0.356	0.583	0
ENSG00000268916	0.841	-0.528	2.33	-0.227	0.821		3
ENSG00000160131	4270	-0.221	0.0612	-3.62	0.000298	0.00456	0
ENSG00000234696	3.54	0.619	0.904	0.685	0.493		0
ENSG00000029993	5790	-0.138	0.0467	-2.96	0.00306	0.0244	0
ENSG00000102181	1680	0.059	0.0607	0.971	0.331	0.558	0
ENSG00000063601	984	-0.0172	0.0684	-0.252	0.801	0.903	0
ENSG00000013619	5.93	-0.432	0.802	-0.539	0.59		0
ENSG00000269556	313	0.0127	0.111	0.115	0.909	0.959	0
ENSG00000241769	28.1	-0.0621	0.357	-0.174	0.862	0.937	0
ENSG00000277215	4.62	-0.794	0.847	-0.937	0.349		0
ENSG00000182195	634	0.0122	0.0788	0.155	0.877	0.945	0
ENSG00000134595	2160	-0.307	0.104	-2.95	0.00322	0.0252	0
ENSG00000129682	919	0.0932	0.0835	1.12	0.264	0.49	0
ENSG00000283692	1.21	0.966	1.72	0.562	0.574		2
ENSG00000198689	799	-0.0228	0.074	-0.308	0.758	0.876	0
ENSG00000165359	263	-0.0176	0.113	-0.156	0.876	0.944	0
ENSG00000178947	245	0.489	0.13	3.77	0.000165	0.00295	0
ENSG00000173275	380	0.301	0.102	2.96	0.00309	0.0245	0
ENSG00000169551	1.84	-0.742	1.4	-0.528	0.597		1
ENSG00000203950	837	-0.0401	0.0795	-0.504	0.614	0.785	0
ENSG00000184785	6.1	-0.818	0.733	-1.12	0.264		0
ENSG00000156504	842	-0.0641	0.0824	-0.777	0.437	0.655	0
ENSG00000170965	1.38	3.84	1.84	2.08	0.0373		3
