gene_ID	EMX2_PTC_baseMean	EMX2_PTC_log2FoldChange	EMX2_PTC_lfcSE	EMX2_PTC_stat	EMX2_PTC_pvalue	EMX2_PTC_padj	EMX2_PTC_n_zeros
ENSG00000271254	1930	0.163	0.17	0.958	0.338	1	0
ENSG00000277196	65.4	0.00626	0.296	0.0211	0.983	1	0
ENSG00000278817	49.3	0.0562	0.306	0.183	0.855	1	0
ENSG00000124333	636	0.0708	0.114	0.621	0.534	1	0
ENSG00000155961	394	0.172	0.128	1.35	0.177	1	0
ENSG00000130830	18.4	-0.0102	0.48	-0.0212	0.983	1	0
ENSG00000272681	1.32	0.659	1.77	0.371	0.71		1
ENSG00000269335	204	0.0107	0.176	0.0608	0.952	1	0
ENSG00000160211	1410	-0.00707	0.0907	-0.0779	0.938	1	0
ENSG00000102178	816	-0.0389	0.0967	-0.402	0.688	1	0
ENSG00000130827	667	-0.0519	0.125	-0.415	0.678	1	0
ENSG00000071859	1040	-0.0144	0.102	-0.141	0.888	1	0
ENSG00000013563	229	-0.118	0.163	-0.723	0.47	1	0
ENSG00000280195	19.9	-0.136	0.494	-0.275	0.783	1	0
ENSG00000007350	881	-0.334	0.56	-0.597	0.551	1	0
ENSG00000169057	2720	0.0103	0.072	0.143	0.886	1	0
ENSG00000177854	129	0.00651	0.2	0.0326	0.974	1	0
ENSG00000102032	38.3	0.371	0.381	0.976	0.329	1	0
ENSG00000089820	36.9	-0.0664	0.363	-0.183	0.855	1	0
ENSG00000198910	191	0.15	0.221	0.68	0.497	1	0
ENSG00000067840	1020	0.0622	0.177	0.351	0.726	1	0
ENSG00000180879	914	0.078	0.0908	0.858	0.391	1	0
ENSG00000067829	712	-0.0917	0.0982	-0.934	0.35	1	0
ENSG00000198753	9.04	-0.615	0.732	-0.841	0.4	1	0
ENSG00000185825	1530	0.0227	0.0955	0.238	0.812	1	0
ENSG00000130822	264	0.344	0.225	1.53	0.126	1	0
ENSG00000067842	8.45	-0.122	0.792	-0.155	0.877	1	0
ENSG00000183837	262	0.204	0.193	1.05	0.292	1	0
ENSG00000147383	441	0.0612	0.12	0.509	0.611	1	0
ENSG00000147400	1400	-0.037	0.123	-0.3	0.764	1	0
ENSG00000160131	4160	0.14	0.0901	1.55	0.121	1	0
ENSG00000234696	7.67	1.43	0.783	1.83	0.0678	1	0
ENSG00000029993	6430	-0.0844	0.0869	-0.971	0.331	1	0
ENSG00000102181	1860	-0.0228	0.0768	-0.296	0.767	1	0
ENSG00000063601	887	0.0023	0.0931	0.0247	0.98	1	0
ENSG00000013619	24.4	-0.106	0.57	-0.187	0.852	1	0
ENSG00000269556	453	-0.032	0.136	-0.236	0.814	1	0
ENSG00000241769	27.1	-0.169	0.432	-0.392	0.695	1	0
ENSG00000277215	5.89	0.314	0.875	0.359	0.72		0
