gene_ID	FOXG1_PTC_baseMean	FOXG1_PTC_log2FoldChange	FOXG1_PTC_lfcSE	FOXG1_PTC_stat	FOXG1_PTC_pvalue	FOXG1_PTC_padj	FOXG1_PTC_n_zeros
ENSG00000271254	917	0.385	0.111	3.46	0.000547	0.0214	0
ENSG00000276345	3.77	1.54	1.25	1.23	0.22		2
ENSG00000277196	374	-0.1	0.118	-0.854	0.393	0.704	0
ENSG00000278817	25.2	-0.837	0.438	-1.91	0.0559		0
ENSG00000276017	0.685	-0.0122	2.42	-0.00504	0.996		2
ENSG00000124334	4	-0.474	1.01	-0.471	0.638		0
ENSG00000124333	710	0.0242	0.0923	0.262	0.793	0.928	0
ENSG00000155961	338	0.0524	0.12	0.438	0.662	0.869	0
ENSG00000130830	1.17	-1.32	1.91	-0.693	0.488		1
ENSG00000272681	0.684	-0.0123	2.42	-0.00509	0.996		2
ENSG00000269335	209	-0.14	0.147	-0.951	0.341	0.663	0
ENSG00000160211	1590	-0.066	0.0705	-0.936	0.349	0.671	0
ENSG00000102178	556	-0.138	0.102	-1.35	0.176	0.496	0
ENSG00000130827	542	-0.0649	0.105	-0.621	0.535	0.798	0
ENSG00000071859	860	-0.199	0.0929	-2.14	0.0321	0.218	0
ENSG00000013563	309	-0.0525	0.129	-0.406	0.684	0.883	0
ENSG00000280195	21.8	0.321	0.427	0.752	0.452		0
ENSG00000007350	4.44	-0.0817	0.978	-0.0836	0.933		0
ENSG00000169057	1780	0.139	0.0727	1.91	0.0561	0.29	0
ENSG00000177854	60.4	-0.0193	0.259	-0.0744	0.941	0.983	0
ENSG00000102032	78.1	-0.641	0.272	-2.36	0.0183	0.161	0
ENSG00000089820	239	-0.279	0.141	-1.97	0.0487	0.27	0
ENSG00000198910	242	-0.0536	0.154	-0.348	0.728	0.903	0
ENSG00000067840	127	-0.214	0.209	-1.03	0.305	0.635	0
ENSG00000180879	1250	-0.183	0.0748	-2.44	0.0146	0.142	0
ENSG00000067829	758	-0.219	0.0879	-2.49	0.0129	0.131	0
ENSG00000198753	10.5	0.167	0.631	0.264	0.791		0
ENSG00000185825	1850	-0.176	0.0665	-2.65	0.00796	0.0995	0
ENSG00000130822	332	-0.173	0.127	-1.36	0.174	0.495	0
ENSG00000067842	10.2	-0.522	0.672	-0.777	0.437		0
ENSG00000183837	158	-0.00109	0.165	-0.00658	0.995	0.999	0
ENSG00000147383	384	-0.072	0.121	-0.593	0.553	0.81	0
ENSG00000147400	1000	-0.0513	0.0905	-0.567	0.571	0.819	0
ENSG00000160131	4930	0.0783	0.0575	1.36	0.173	0.494	0
ENSG00000029993	5580	0.257	0.0747	3.45	0.000566	0.022	0
ENSG00000102181	997	0.253	0.0947	2.67	0.00752	0.0978	0
ENSG00000063601	1070	-0.111	0.0753	-1.48	0.14	0.449	0
ENSG00000013619	8.28	-0.692	0.805	-0.86	0.39		0
ENSG00000269556	274	0.0263	0.16	0.164	0.869	0.957	0
ENSG00000241769	11	0.851	0.698	1.22	0.223		0
ENSG00000277215	5.58	-0.0577	0.939	-0.0615	0.951		0
ENSG00000182195	560	-0.076	0.1	-0.76	0.447	0.743	0
ENSG00000134595	727	-0.0791	0.0927	-0.853	0.394	0.704	0
ENSG00000129682	513	-0.00829	0.109	-0.0763	0.939	0.983	0
ENSG00000233093	0.973	0.0765	2.08	0.0369	0.971		2
ENSG00000198689	725	-0.0125	0.0885	-0.141	0.888	0.965	0
ENSG00000165359	213	0.0854	0.156	0.548	0.583	0.826	0
ENSG00000178947	212	-0.0776	0.149	-0.52	0.603	0.839	0
ENSG00000173275	291	0.255	0.134	1.9	0.0577	0.294	0
ENSG00000203950	685	-0.0349	0.0936	-0.373	0.709	0.895	0
ENSG00000184785	3.14	0.484	1.12	0.432	0.666		0
ENSG00000156504	907	0.0654	0.0845	0.775	0.439	0.737	0
ENSG00000170965	6.8	0.0802	0.834	0.0962	0.923		0
ENSG00000156531	6230	0.102	0.0553	1.85	0.064	0.311	0
ENSG00000147257	9340	-0.284	0.0752	-3.77	0.000162	0.0108	0
ENSG00000076770	645	-0.235	0.351	-0.669	0.504	0.778	0
ENSG00000134602	3260	0.000705	0.0591	0.0119	0.99	0.998	0
ENSG00000213468	2100	-0.0198	0.0693	-0.286	0.775	0.922	0
ENSG00000286060	1.8	0.368	1.63	0.226	0.821		2
ENSG00000147256	5.13	-0.822	0.911	-0.903	0.367		0
ENSG00000102078	163	-0.0388	0.164	-0.237	0.813	0.936	0
ENSG00000085185	2810	-0.00917	0.0716	-0.128	0.898	0.969	0
ENSG00000188706	1670	0.162	0.0861	1.88	0.0606	0.301	0
ENSG00000198889	78.5	-0.24	0.234	-1.03	0.304	0.634	0
ENSG00000198354	72.5	0.0877	0.26	0.337	0.736	0.905	0
ENSG00000009694	22.9	-0.0463	0.434	-0.107	0.915		0
ENSG00000101966	1590	0.129	0.0727	1.77	0.0772	0.339	0
ENSG00000125676	3250	0.128	0.0629	2.03	0.0421	0.252	0
ENSG00000125675	258	-0.0907	0.133	-0.683	0.495	0.772	0
ENSG00000171155	386	0.171	0.117	1.46	0.146	0.458	0
ENSG00000158290	3960	0.0702	0.0586	1.2	0.231	0.561	0
ENSG00000005893	889	-0.0629	0.0975	-0.645	0.519	0.789	0
ENSG00000125355	109	-0.0443	0.207	-0.214	0.83	0.943	0
