gene_ID	SP8_PTC_baseMean	SP8_PTC_log2FoldChange	SP8_PTC_lfcSE	SP8_PTC_stat	SP8_PTC_pvalue	SP8_PTC_padj	SP8_PTC_n_zeros
ENSG00000271254	1250	0.281	0.078	3.61	0.000311	0.00823	0
ENSG00000277196	203	0.509	0.177	2.87	0.00405	0.058	0
ENSG00000278817	29.4	0.877	0.37	2.37	0.0179	0.159	0
ENSG00000124334	3.54	-0.509	1.05	-0.484	0.628		0
ENSG00000124333	681	0.0373	0.111	0.337	0.736	0.939	0
ENSG00000224533	5.08	0.683	0.865	0.789	0.43		0
ENSG00000155961	312	-0.137	0.127	-1.08	0.28	0.685	0
ENSG00000130830	0.804	-1.87	2.21	-0.843	0.399		2
ENSG00000272681	2.28	-0.454	1.28	-0.354	0.724		0
ENSG00000269335	178	0.176	0.157	1.12	0.263	0.667	0
ENSG00000160211	1250	0.0256	0.0826	0.31	0.757	0.946	0
ENSG00000102178	572	0.0686	0.0955	0.718	0.472	0.826	0
ENSG00000130827	570	0.261	0.109	2.4	0.0164	0.15	0
ENSG00000071859	705	0.172	0.0896	1.92	0.0554	0.317	0
ENSG00000013563	242	0.202	0.144	1.4	0.161	0.544	0
ENSG00000280195	34	-0.344	0.353	-0.974	0.33	0.732	0
ENSG00000007350	28.6	-1.92	0.413	-4.65	3.27e-06	0.000179	0
ENSG00000169057	1760	0.175	0.0704	2.49	0.0129	0.129	0
ENSG00000177854	77.2	0.127	0.227	0.559	0.576	0.878	0
ENSG00000102032	46.5	0.484	0.295	1.64	0.101	0.436	0
ENSG00000089820	143	0.337	0.186	1.81	0.07	0.36	0
ENSG00000198910	408	-0.977	0.266	-3.67	0.00024	0.00664	0
ENSG00000067840	257	0.169	0.305	0.553	0.58	0.88	0
ENSG00000180879	1100	0.0324	0.0893	0.363	0.717	0.934	0
ENSG00000067829	676	0.158	0.0963	1.64	0.1	0.434	0
ENSG00000198753	13.9	0.0368	0.52	0.0708	0.944	0.988	0
ENSG00000185825	1400	0.0109	0.0741	0.148	0.883	0.978	0
ENSG00000130822	414	0.401	0.111	3.6	0.000318	0.00837	0
ENSG00000067842	6.69	-1.37	0.795	-1.73	0.0842		0
ENSG00000183837	190	-0.184	0.15	-1.23	0.218	0.619	0
ENSG00000147383	425	-0.0342	0.111	-0.307	0.759	0.947	0
ENSG00000147400	1060	0.0788	0.0876	0.899	0.368	0.761	0
ENSG00000160131	4410	-0.0375	0.0721	-0.52	0.603	0.89	0
ENSG00000029993	5490	-0.0862	0.0588	-1.47	0.143	0.514	0
ENSG00000102181	1290	-0.0387	0.0767	-0.504	0.614	0.895	0
ENSG00000063601	973	0.0705	0.0923	0.763	0.445	0.81	0
ENSG00000013619	4.95	-1.36	0.992	-1.37	0.171		1
ENSG00000269556	258	-0.173	0.131	-1.32	0.186	0.578	0
ENSG00000241769	29.6	-0.266	0.386	-0.689	0.491	0.835	0
