gene_ID	EOMES_KO_baseMean	EOMES_KO_log2FoldChange	EOMES_KO_lfcSE	EOMES_KO_stat	EOMES_KO_pvalue	EOMES_KO_padj	EOMES_KO_n_zeros
ENSG00000271254	588	0.787	0.0879	8.96	3.26e-19	1.65e-18	0
ENSG00000276345	1.47	-1.97	2.02	-0.974	0.33	0.421	5
ENSG00000277196	49.9	-3.87	0.446	-8.69	3.66e-18	1.79e-17	0
ENSG00000278817	55.7	-0.816	0.254	-3.22	0.0013	0.00269	0
ENSG00000224533	2.15	-0.656	1.48	-0.443	0.657	0.734	3
ENSG00000155961	267	-0.949	0.121	-7.87	3.49e-15	1.52e-14	0
ENSG00000130830	379	1.15	0.106	10.8	3.43e-27	2.21e-26	0
ENSG00000272681	1.3	-2.71	1.89	-1.43	0.152	0.217	2
ENSG00000269335	279	0.00339	0.115	0.0295	0.976	0.985	0
ENSG00000160211	1610	0.371	0.0584	6.35	2.18e-10	7.53e-10	0
ENSG00000102178	1240	-0.53	0.0634	-8.36	6.53e-17	3.04e-16	0
ENSG00000130827	952	0.175	0.0752	2.33	0.0198	0.0347	0
ENSG00000071859	1330	-0.347	0.0805	-4.31	1.62e-05	4.07e-05	0
ENSG00000013563	297	-0.472	0.111	-4.27	1.96e-05	4.89e-05	0
ENSG00000280195	27.1	-0.293	0.412	-0.713	0.476	0.568	0
ENSG00000007350	1.13	-0.114	1.7	-0.0672	0.946	0.965	1
ENSG00000169057	1790	0.128	0.0603	2.12	0.0336	0.0564	0
ENSG00000177854	56.7	-0.604	0.245	-2.46	0.0139	0.0251	0
ENSG00000102032	119	-0.705	0.176	-4	6.42e-05	0.000153	0
ENSG00000089820	461	-1.41	0.11	-12.8	1.05e-37	8.57e-37	0
ENSG00000273769	0.613	0.725	2.5	0.29	0.772		4
ENSG00000198910	1050	1.37	0.0678	20.2	2.16e-90	3.73e-89	0
ENSG00000067840	851	-1.72	0.0809	-21.3	1.03e-100	2e-99	0
ENSG00000180879	2170	0.274	0.0582	4.7	2.59e-06	6.95e-06	0
ENSG00000067829	781	0.373	0.0773	4.83	1.37e-06	3.75e-06	0
ENSG00000198753	15.6	1.23	0.481	2.56	0.0106	0.0195	0
ENSG00000185825	3150	-0.484	0.0554	-8.74	2.34e-18	1.15e-17	0
ENSG00000130822	21.1	-0.971	0.417	-2.33	0.0199	0.0348	0
ENSG00000067842	3.05	3.36	1.35	2.49	0.0128	0.0233	1
ENSG00000183837	262	-0.909	0.125	-7.27	3.62e-13	1.44e-12	0
ENSG00000147383	1180	-0.0732	0.0813	-0.901	0.368	0.461	0
ENSG00000147400	1620	-0.249	0.0618	-4.03	5.57e-05	0.000133	0
ENSG00000214915	1.06	-3.57	2.03	-1.76	0.0791	0.122	4
ENSG00000160131	3240	-0.046	0.0537	-0.857	0.391	0.485	0
ENSG00000234696	2.01	1.93	1.41	1.37	0.17	0.239	1
ENSG00000029993	5670	-0.231	0.0444	-5.21	1.9e-07	5.51e-07	0
ENSG00000102181	624	2.11	0.0914	23.1	2.89e-118	6.56e-117	0
ENSG00000063601	694	-0.385	0.0764	-5.04	4.76e-07	1.35e-06	0
ENSG00000013619	19.8	1.86	0.426	4.38	1.17e-05	2.99e-05	0
ENSG00000269556	2810	-0.5	0.0621	-8.06	7.57e-16	3.37e-15	0
ENSG00000241769	23.2	-1.02	0.433	-2.36	0.0182	0.0322	0
ENSG00000277215	11.2	0.0328	0.574	0.0571	0.954	0.97	0
ENSG00000182195	841	-0.0796	0.0728	-1.09	0.274	0.36	0
ENSG00000134595	4.72	-1.15	0.907	-1.26	0.207	0.283	0
ENSG00000129682	1470	-2.7	0.074	-36.5	5.56e-292	4.06e-290	0
ENSG00000283692	5.71	-1.26	0.88	-1.43	0.154	0.22	0
ENSG00000291054	17.4	-0.467	0.435	-1.07	0.283	0.371	0
ENSG00000102239	0.458	-2.5	2.58	-0.967	0.334		3
ENSG00000165359	258	1.05	0.116	9.01	2.04e-19	1.04e-18	0
ENSG00000178947	355	-2.18	0.123	-17.8	1.43e-70	1.92e-69	0
ENSG00000173275	354	-0.241	0.104	-2.33	0.02	0.035	0
ENSG00000169551	1.13	1.37	1.79	0.766	0.443	0.536	2
ENSG00000203950	591	-0.221	0.084	-2.63	0.00849	0.0158	0
ENSG00000184785	18.5	0.146	0.432	0.339	0.734	0.797	0
ENSG00000101928	535	0.389	0.095	4.1	4.17e-05	0.000101	0
ENSG00000156504	709	-0.688	0.0896	-7.68	1.6e-14	6.76e-14	0
ENSG00000170965	2.76	2.79	1.24	2.25	0.0243	0.0419	1
ENSG00000156531	2990	0.536	0.0503	10.6	1.77e-26	1.12e-25	0
ENSG00000147257	530	2.46	0.118	20.8	6.87e-96	1.27e-94	0
ENSG00000076770	745	-1.76	0.0924	-19.1	3.47e-81	5.39e-80	0
ENSG00000134602	4320	-1.11	0.0639	-17.4	1.7e-67	2.19e-66	0
ENSG00000213468	1490	0.049	0.0599	0.818	0.413	0.507	0
ENSG00000286060	1.53	-0.367	1.36	-0.27	0.787	0.84	0
ENSG00000147256	2.25	5.12	1.57	3.26	0.00111	0.00232	3
ENSG00000102078	207	0.447	0.138	3.24	0.00119	0.00247	0
ENSG00000085185	2080	-0.423	0.058	-7.29	3.12e-13	1.25e-12	0
ENSG00000188706	1740	-0.2	0.0639	-3.13	0.00177	0.00361	0
ENSG00000198354	94.5	-0.63	0.203	-3.1	0.00191	0.00389	0
ENSG00000009694	92.2	3.36	0.239	14.1	5.73e-45	5.33e-44	0
ENSG00000101966	3690	-0.77	0.0539	-14.3	3.05e-46	2.89e-45	0
ENSG00000125676	2220	0.506	0.0672	7.53	4.92e-14	2.04e-13	0
ENSG00000125675	108	3.99	0.262	15.2	2.99e-52	3.09e-51	0
ENSG00000171155	367	-0.188	0.101	-1.85	0.0636	0.101	0
ENSG00000158290	3160	0.609	0.0585	10.4	2.24e-25	1.37e-24	0
ENSG00000005893	2550	0.708	0.0514	13.8	4.45e-43	4.01e-42	0
ENSG00000125355	50.7	-2.12	0.314	-6.75	1.49e-11	5.47e-11	0
ENSG00000125352	212	0.00665	0.127	0.0523	0.958	0.973	0
ENSG00000286366	7.18	0.302	0.71	0.426	0.67	0.743	0
ENSG00000125354	2030	1.78	0.0671	26.6	1.38e-155	4.16e-154	0
ENSG00000018610	390	0.24	0.0969	2.48	0.0133	0.0241	0
ENSG00000077721	1740	-0.393	0.0612	-6.43	1.25e-10	4.37e-10	0
ENSG00000005022	4960	-0.0211	0.0472	-0.446	0.656	0.732	0
ENSG00000224281	24.8	-0.432	0.365	-1.18	0.237	0.319	0
ENSG00000237903	0.527	-0.054	2.39	-0.0225	0.982		2
ENSG00000077713	247	-0.244	0.123	-1.98	0.048	0.078	0
ENSG00000175556	28.8	2.36	0.375	6.28	3.36e-10	1.15e-09	0
ENSG00000235244	51.5	-0.409	0.272	-1.51	0.132	0.193	0
ENSG00000102024	6040	1.62	0.062	26	2.06e-149	5.95e-148	0
