gene_ID	NKX2.1_KO_baseMean	NKX2.1_KO_log2FoldChange	NKX2.1_KO_lfcSE	NKX2.1_KO_stat	NKX2.1_KO_pvalue	NKX2.1_KO_padj	NKX2.1_KO_n_zeros
ENSG00000271254	588	-0.0855	0.092	-0.929	0.353		0
ENSG00000276345	1.47	2.41	1.7	1.42	0.156		2
ENSG00000277196	49.9	0.273	0.243	1.13	0.261		0
ENSG00000278817	55.7	-0.0405	0.24	-0.169	0.866		0
ENSG00000224533	2.15	-0.444	1.47	-0.302	0.762		2
ENSG00000155961	267	-0.155	0.114	-1.36	0.174		0
ENSG00000130830	379	0.0487	0.113	0.433	0.665		0
ENSG00000272681	1.3	-0.772	1.65	-0.469	0.639		2
ENSG00000269335	279	0.145	0.114	1.27	0.203		0
ENSG00000160211	1610	0.0385	0.0594	0.648	0.517	0.856	0
ENSG00000102178	1240	-0.0393	0.062	-0.633	0.527	0.862	0
ENSG00000130827	952	0.111	0.0756	1.46	0.144		0
ENSG00000071859	1330	0.0827	0.0797	1.04	0.299	0.738	0
ENSG00000013563	297	0.128	0.107	1.2	0.229		0
ENSG00000280195	27.1	0.152	0.403	0.378	0.706		0
ENSG00000007350	1.13	-1.07	1.85	-0.578	0.564		3
ENSG00000169057	1790	-0.0376	0.0608	-0.618	0.537	0.868	0
ENSG00000177854	56.7	-0.207	0.239	-0.866	0.387		0
ENSG00000102032	119	0.171	0.166	1.03	0.302		0
ENSG00000089820	461	0.218	0.0995	2.19	0.0288		0
ENSG00000273769	0.613	1.46	2.42	0.606	0.545		3
ENSG00000198910	1050	0.105	0.072	1.46	0.143	0.612	0
ENSG00000067840	851	0.115	0.0713	1.61	0.107		0
ENSG00000180879	2170	0.137	0.0586	2.35	0.019	0.355	0
ENSG00000067829	781	0.106	0.0786	1.35	0.178		0
ENSG00000198753	15.6	0.52	0.503	1.03	0.301		0
ENSG00000185825	3150	0.00887	0.0548	0.162	0.871	0.967	0
ENSG00000130822	21.1	0.0217	0.386	0.0562	0.955		0
ENSG00000067842	3.05	1.33	1.47	0.908	0.364		2
ENSG00000183837	262	-0.00298	0.118	-0.0253	0.98		0
ENSG00000147383	1180	0.0433	0.0812	0.533	0.594	0.885	0
ENSG00000147400	1620	0.0724	0.0612	1.18	0.237	0.698	0
ENSG00000214915	1.06	-1.01	1.85	-0.545	0.586		2
ENSG00000160131	3240	-0.0538	0.0538	-1	0.317	0.748	0
ENSG00000234696	2.01	-0.0487	1.59	-0.0307	0.975		3
ENSG00000029993	5670	0.0513	0.0442	1.16	0.246	0.703	0
ENSG00000102181	624	0.0849	0.1	0.846	0.398		0
ENSG00000063601	694	0.03	0.0748	0.401	0.689		0
ENSG00000013619	19.8	-0.501	0.505	-0.993	0.321		0
ENSG00000269556	2810	0.0732	0.0613	1.19	0.233	0.696	0
ENSG00000241769	23.2	0.0892	0.403	0.222	0.825		0
ENSG00000277215	11.2	0.0334	0.577	0.0579	0.954		0
ENSG00000182195	841	0.0798	0.0724	1.1	0.271		0
ENSG00000134595	4.72	0.543	0.787	0.69	0.49		0
ENSG00000129682	1470	0.014	0.0608	0.23	0.818	0.952	0
ENSG00000283692	5.71	0.422	0.777	0.543	0.587		0
ENSG00000291054	17.4	-0.225	0.43	-0.524	0.6		0
ENSG00000102239	0.458	-1.46	2.58	-0.564	0.572		2
ENSG00000165359	258	0.0184	0.124	0.148	0.883		0
ENSG00000178947	355	0.00747	0.101	0.074	0.941		0
ENSG00000173275	354	-0.135	0.103	-1.3	0.192		0
ENSG00000169551	1.13	-2.36	2.08	-1.13	0.257		4
ENSG00000203950	591	0.0905	0.0828	1.09	0.275		0
ENSG00000184785	18.5	0.101	0.435	0.231	0.817		0
ENSG00000101928	535	0.0263	0.0969	0.271	0.786		0
ENSG00000156504	709	0.0842	0.0866	0.972	0.331		0
ENSG00000170965	2.76	-1.44	1.68	-0.859	0.391		3
ENSG00000156531	2990	-0.0684	0.0514	-1.33	0.183	0.652	0
ENSG00000147257	530	0.0589	0.129	0.456	0.648		0
ENSG00000076770	745	-0.124	0.084	-1.48	0.138		0
ENSG00000134602	4320	-0.0257	0.0628	-0.409	0.683	0.916	0
ENSG00000213468	1490	-0.0965	0.0605	-1.59	0.111	0.575	0
ENSG00000286060	1.53	-0.985	1.45	-0.679	0.497		0
ENSG00000147256	2.25	0.987	1.94	0.51	0.61		5
ENSG00000102078	207	0.0847	0.141	0.6	0.549		0
ENSG00000085185	2080	-0.0886	0.0574	-1.54	0.123	0.583	0
ENSG00000188706	1740	0.0704	0.0635	1.11	0.267	0.719	0
ENSG00000198354	94.5	0.102	0.194	0.526	0.599		0
ENSG00000009694	92.2	-0.437	0.31	-1.41	0.159		0
ENSG00000101966	3690	-0.0688	0.0531	-1.3	0.195	0.66	0
ENSG00000125676	2220	-0.000847	0.0681	-0.0125	0.99	0.998	0
ENSG00000125675	108	0.564	0.306	1.84	0.0654		0
ENSG00000171155	367	-0.0755	0.101	-0.749	0.454		0
ENSG00000158290	3160	0.0326	0.0593	0.549	0.583	0.882	0
ENSG00000005893	2550	-0.05	0.0529	-0.945	0.345	0.766	0
ENSG00000125355	50.7	0.000976	0.257	0.00379	0.997		0
ENSG00000125352	212	-0.112	0.129	-0.873	0.383		0
ENSG00000286366	7.18	0.561	0.702	0.799	0.424		0
ENSG00000125354	2030	-0.018	0.0705	-0.255	0.799	0.947	0
ENSG00000018610	390	-0.0483	0.0992	-0.487	0.626		0
ENSG00000077721	1740	0.0161	0.0604	0.266	0.79	0.946	0
ENSG00000005022	4960	0.102	0.0472	2.16	0.0305	0.407	0
ENSG00000224281	24.8	-0.329	0.364	-0.904	0.366		0
ENSG00000237903	0.527	-0.83	2.46	-0.338	0.736		3
ENSG00000077713	247	0.0957	0.121	0.789	0.43		0
ENSG00000175556	28.8	-0.799	0.475	-1.68	0.0924		0
ENSG00000235244	51.5	-0.0848	0.267	-0.317	0.751		0
ENSG00000102024	6040	0.069	0.0631	1.09	0.274	0.724	0
ENSG00000288595	13.4	-0.222	0.579	-0.383	0.702		0
ENSG00000077279	75.8	-0.0187	0.305	-0.0614	0.951		0
ENSG00000133136	1.2	0.561	1.84	0.305	0.76		3
ENSG00000157600	1080	0.059	0.0684	0.863	0.388	0.798	0
ENSG00000289365	4.97	0.449	0.954	0.47	0.638		0
ENSG00000068366	2130	-0.0941	0.0753	-1.25	0.212	0.675	0
ENSG00000237863	2.83	-0.585	1.59	-0.368	0.713		2
ENSG00000197565	5880	0.16	0.0595	2.69	0.00725	0.262	0
ENSG00000101844	174	-0.082	0.159	-0.516	0.606		0
ENSG00000080561	314	-0.107	0.107	-1	0.316		0
ENSG00000198088	31.9	0.206	0.332	0.622	0.534		0
ENSG00000165376	9.15	-0.777	0.695	-1.12	0.264		0
ENSG00000147223	12.5	-0.371	0.517	-0.718	0.473		0
ENSG00000133131	198	-0.00291	0.164	-0.0177	0.986		0
ENSG00000133138	210	-0.0279	0.134	-0.209	0.835		0
ENSG00000133135	11.4	0.48	0.781	0.615	0.539		1
ENSG00000157502	239	-0.0842	0.129	-0.655	0.513		0
ENSG00000166707	61.7	-0.224	0.225	-0.996	0.319		0
ENSG00000269226	666	-0.163	0.365	-0.446	0.655		0
ENSG00000231728	10.3	0.193	0.568	0.34	0.734		0
ENSG00000172476	8.33	-0.236	0.653	-0.361	0.718		0
ENSG00000234405	116	-0.22	0.162	-1.36	0.173		0
ENSG00000185222	2800	-0.108	0.0572	-1.88	0.0601	0.482	0
ENSG00000182916	388	-0.0879	0.132	-0.665	0.506		0
ENSG00000133134	421	-0.146	0.0942	-1.55	0.122		0
ENSG00000147206	3.53	1.89	1.75	1.08	0.279		4
ENSG00000286846	3.99	-0.809	1.01	-0.801	0.423		1
ENSG00000286237	53.2	-0.329	0.735	-0.448	0.654		0
ENSG00000158301	1200	0.0344	0.0651	0.528	0.598	0.886	0
ENSG00000125962	516	-0.0206	0.085	-0.242	0.809		0
ENSG00000215029	16.5	-0.485	0.519	-0.935	0.35		0
ENSG00000269405	2.75	-0.36	1.14	-0.317	0.751		1
ENSG00000184905	176	-0.205	0.15	-1.37	0.171		0
ENSG00000184867	2990	0.0276	0.053	0.52	0.603	0.889	0
ENSG00000102401	1590	-0.0649	0.0638	-1.02	0.309	0.742	0
ENSG00000290908	4.26	-0.254	2.58	-0.0986	0.921		2
ENSG00000010671	162	-0.568	0.257	-2.21	0.027		0
ENSG00000102384	1040	0.061	0.0863	0.707	0.48	0.843	0
ENSG00000204086	3.74	0.486	0.887	0.548	0.584		0
ENSG00000147202	1450	0.0765	0.0772	0.99	0.322	0.751	0
ENSG00000286523	0.775	-2.22	2.08	-1.07	0.286		2
ENSG00000186310	370	0.15	0.112	1.34	0.181		0
ENSG00000289479	25.1	0.264	0.371	0.71	0.478		0
ENSG00000234161	2.41	0.425	1.49	0.286	0.775		2
ENSG00000184788	21.6	-0.123	0.383	-0.321	0.748		0
ENSG00000072133	1040	-0.00804	0.0748	-0.108	0.914	0.982	0
ENSG00000196767	0.86	0.0254	2.25	0.0113	0.991		4
ENSG00000131171	1230	-0.082	0.0772	-1.06	0.288	0.731	0
ENSG00000147255	82.9	0.507	0.214	2.37	0.018		0
ENSG00000198157	180	0.275	0.15	1.84	0.0664		0
ENSG00000165288	4120	0.0418	0.0536	0.779	0.436	0.822	0
ENSG00000122145	65	0.0344	0.376	0.0914	0.927		0
ENSG00000078596	913	-0.0081	0.0912	-0.0889	0.929		0
ENSG00000102158	3150	-0.0757	0.0563	-1.34	0.179	0.648	0
ENSG00000198934	361	-0.108	0.101	-1.08	0.282		0
ENSG00000102390	691	-0.0745	0.0781	-0.954	0.34		0
ENSG00000094841	440	0.0196	0.0941	0.208	0.835		0
ENSG00000147100	662	0.193	0.0941	2.06	0.0398		0
ENSG00000225470	919	-0.0602	0.0705	-0.854	0.393		0
ENSG00000186288	4.02	0.00595	1.12	0.0053	0.996		2
ENSG00000269502	14.4	-0.469	0.992	-0.473	0.636		1
ENSG00000269911	33.4	-0.43	0.333	-1.29	0.196		0
ENSG00000147099	524	-0.0301	0.0941	-0.32	0.749		0
ENSG00000198034	19300	0.0595	0.0414	1.44	0.151	0.622	0
ENSG00000186871	638	-0.0422	0.0779	-0.543	0.587		0
ENSG00000102309	506	-0.0206	0.0899	-0.229	0.819		0
ENSG00000204131	945	0.022	0.114	0.193	0.847		0
ENSG00000215113	5.33	-1.11	2.73	-0.408	0.683		2
ENSG00000290713	2.61	0.052	1.06	0.0493	0.961		0
ENSG00000281852	11.5	-0.497	0.536	-0.928	0.354		0
ENSG00000147133	2120	-0.0199	0.0577	-0.345	0.73	0.931	0
ENSG00000147140	18300	0.0551	0.0415	1.33	0.184	0.652	0
ENSG00000196338	87.2	-0.174	0.201	-0.87	0.385		0
ENSG00000184634	2460	0.103	0.0573	1.8	0.0724	0.504	0
