gene_ID	ISL1_PTC_baseMean	ISL1_PTC_log2FoldChange	ISL1_PTC_lfcSE	ISL1_PTC_stat	ISL1_PTC_pvalue	ISL1_PTC_padj	ISL1_PTC_n_zeros
ENSG00000271254	539	0.0176	0.12	0.146	0.884	0.955	0
ENSG00000278817	15.4	0.616	0.532	1.16	0.247		0
ENSG00000224533	2.62	-0.534	1.33	-0.401	0.688		2
ENSG00000155961	121	-0.337	0.186	-1.81	0.0699	0.303	0
ENSG00000130830	1010	0.012	0.0951	0.126	0.9	0.961	0
ENSG00000269335	206	0.325	0.161	2.02	0.0435	0.242	0
ENSG00000160211	1560	0.136	0.0743	1.83	0.0667	0.297	0
ENSG00000102178	741	0.206	0.109	1.89	0.0594	0.282	0
ENSG00000130827	616	0.157	0.102	1.54	0.124	0.4	0
ENSG00000071859	925	0.0907	0.0907	0.999	0.318	0.62	0
ENSG00000013563	305	0.00388	0.128	0.0304	0.976	0.992	0
ENSG00000280195	18.9	0.784	0.459	1.71	0.0875		0
ENSG00000007350	2.27	-1.4	1.38	-1.02	0.308		1
ENSG00000169057	1260	0.0672	0.0751	0.894	0.371	0.665	0
ENSG00000177854	89.9	-0.0777	0.235	-0.331	0.741	0.894	0
ENSG00000102032	174	0.0727	0.154	0.471	0.638	0.84	0
ENSG00000089820	281	0.179	0.133	1.35	0.177	0.474	0
ENSG00000198910	698	-0.0191	0.0925	-0.206	0.837	0.936	0
ENSG00000067840	55.5	0.613	0.272	2.26	0.0241		0
ENSG00000180879	1860	-0.00371	0.0682	-0.0544	0.957	0.984	0
ENSG00000067829	815	0.147	0.0904	1.62	0.105	0.371	0
ENSG00000198753	11.4	-0.307	0.569	-0.539	0.59		0
ENSG00000185825	2380	0.0599	0.0716	0.837	0.403	0.69	0
ENSG00000130822	19.9	-0.0372	0.477	-0.0779	0.938		0
ENSG00000067842	10.7	0.0684	0.603	0.114	0.91		0
ENSG00000183837	140	0.178	0.174	1.03	0.305	0.611	0
ENSG00000147383	682	0.202	0.11	1.83	0.0668	0.297	0
ENSG00000147400	1100	-0.0222	0.0845	-0.262	0.793	0.917	0
ENSG00000160131	3510	-0.226	0.067	-3.37	0.000755	0.0317	0
ENSG00000029993	4670	0.107	0.0833	1.28	0.201	0.502	0
ENSG00000102181	747	0.0349	0.0889	0.392	0.695	0.87	0
ENSG00000063601	493	0.108	0.104	1.05	0.295	0.601	0
ENSG00000013619	1.57	0.363	1.66	0.22	0.826		2
ENSG00000269556	508	0.054	0.0995	0.543	0.587	0.816	0
ENSG00000241769	11.8	0.524	0.584	0.897	0.37		0
ENSG00000277215	4.16	-0.384	0.945	-0.406	0.685		0
ENSG00000182195	522	0.0165	0.113	0.146	0.884	0.955	0
ENSG00000134595	34.7	0.801	0.391	2.05	0.0404		0
ENSG00000129682	527	0.0873	0.107	0.815	0.415	0.7	0
ENSG00000283692	7.39	-1.12	0.715	-1.57	0.116		0
ENSG00000291054	37	-0.0483	0.322	-0.15	0.881		0
ENSG00000165359	275	-0.142	0.142	-1	0.315	0.618	0
ENSG00000178947	94.6	-0.121	0.234	-0.52	0.603	0.822	0
ENSG00000173275	442	-0.186	0.116	-1.6	0.109	0.378	0
ENSG00000169551	1.16	-0.711	1.86	-0.383	0.702		2
ENSG00000203950	607	-0.0262	0.0984	-0.267	0.79	0.916	0
ENSG00000184785	51.1	0.0754	0.276	0.274	0.784		0
ENSG00000101928	332	-0.181	0.12	-1.5	0.132	0.414	0
ENSG00000156504	671	-0.0681	0.0921	-0.739	0.46	0.737	0
ENSG00000170965	93.2	-0.291	0.241	-1.21	0.227	0.533	0
ENSG00000156531	5570	-0.231	0.0769	-3.01	0.00264	0.0603	0
ENSG00000147257	13800	-0.0416	0.0698	-0.596	0.551	0.795	0
ENSG00000076770	215	0.334	0.147	2.27	0.023	0.181	0
ENSG00000134602	2480	-0.319	0.0847	-3.76	0.000168	0.0128	0
ENSG00000213468	1440	-0.108	0.0768	-1.41	0.158	0.446	0
ENSG00000287806	1.57	-2	1.74	-1.15	0.249		2
ENSG00000147256	4.45	1.62	0.995	1.63	0.103		0
ENSG00000102078	208	-0.0161	0.156	-0.103	0.918	0.969	0
ENSG00000085185	2440	-0.00323	0.0739	-0.0437	0.965	0.988	0
ENSG00000235189	1.28	0.398	1.79	0.222	0.824		2
ENSG00000188706	1010	0.0815	0.0884	0.922	0.356	0.653	0
ENSG00000198354	5.76	-1.28	0.838	-1.53	0.127		0
ENSG00000009694	931	-0.236	0.0978	-2.41	0.0159	0.151	0
ENSG00000101966	2260	-0.267	0.0819	-3.26	0.0011	0.0371	0
ENSG00000125676	2820	-0.083	0.07	-1.19	0.236	0.542	0
ENSG00000125675	31.7	0.386	0.343	1.13	0.26		0
ENSG00000171155	407	-0.376	0.133	-2.83	0.00459	0.0811	0
ENSG00000158290	4700	-0.246	0.095	-2.59	0.0097	0.118	0
ENSG00000005893	2650	-0.2	0.0718	-2.79	0.0053	0.0859	0
