gene_ID	LHX5_CE_baseMean	LHX5_CE_log2FoldChange	LHX5_CE_lfcSE	LHX5_CE_stat	LHX5_CE_pvalue	LHX5_CE_padj	LHX5_CE_n_zeros
ENSG00000271254	1010	-0.105	0.187	-0.562	0.574	0.802	0
ENSG00000276345	2.51	1.39	4.54	0.307	0.759		9
ENSG00000277196	420	-0.849	0.178	-4.78	1.79e-06	0.000848	0
ENSG00000278817	26	-1.45	0.413	-3.51	0.000449	0.0204	0
ENSG00000276017	0.645	-2.43	3.31	-0.735	0.462		10
ENSG00000198692	534	0.222	0.118	1.88	0.0605	0.275	6
ENSG00000229236	2.04	1.08	1.51	0.711	0.477		6
ENSG00000260197	27.4	0.86	0.578	1.49	0.137	0.413	6
ENSG00000290853	502	0.164	0.121	1.35	0.177	0.468	6
ENSG00000067048	3830	0.221	0.12	1.85	0.0648	0.284	6
ENSG00000286009	5.25	-0.056	0.873	-0.0642	0.949		6
ENSG00000277930	2.66	0.683	1.19	0.575	0.565		6
ENSG00000278847	0.684	1.16	2.98	0.389	0.697		9
ENSG00000182484	286	-0.192	0.148	-1.3	0.193	0.487	6
ENSG00000124334	11.4	-0.369	0.643	-0.573	0.566		6
ENSG00000124333	645	0.0212	0.154	0.138	0.89	0.96	6
ENSG00000224533	3.03	1.08	1.82	0.593	0.553		6
ENSG00000155961	655	-0.115	0.145	-0.796	0.426	0.705	0
ENSG00000274183	1.05	3.55	2.69	1.32	0.186		8
ENSG00000154620	258	0.346	0.171	2.03	0.0425	0.233	6
ENSG00000130830	238	0.0641	0.184	0.348	0.728	0.883	0
ENSG00000272681	1.18	-1.44	1.89	-0.762	0.446		4
ENSG00000269335	342	-0.264	0.149	-1.77	0.0766	0.308	0
ENSG00000160211	1800	-0.115	0.0968	-1.18	0.236	0.535	0
ENSG00000102178	768	-0.0827	0.143	-0.58	0.562	0.793	0
ENSG00000130827	654	-0.129	0.108	-1.2	0.231	0.529	0
ENSG00000071859	917	-0.285	0.121	-2.35	0.0186	0.153	0
ENSG00000013563	275	-0.247	0.144	-1.72	0.0863	0.327	0
ENSG00000280195	24.5	0.281	0.446	0.63	0.528	0.772	0
ENSG00000007350	13.4	1.29	1.07	1.2	0.231	0.529	1
ENSG00000169057	1840	0.0015	0.109	0.0137	0.989	0.995	0
ENSG00000177854	42.9	-0.635	0.429	-1.48	0.139	0.414	0
ENSG00000102032	165	-0.253	0.184	-1.38	0.169	0.457	0
ENSG00000089820	684	-0.421	0.116	-3.64	0.000276	0.0163	0
ENSG00000198910	2260	-0.147	0.0866	-1.69	0.0905	0.335	0
ENSG00000067840	4480	-0.135	0.11	-1.23	0.22	0.516	0
ENSG00000180879	1510	0.037	0.0859	0.43	0.667	0.852	0
ENSG00000067829	785	-0.0178	0.112	-0.16	0.873	0.954	0
ENSG00000198753	38.9	-0.204	0.338	-0.604	0.546	0.783	0
ENSG00000185825	2330	0.0385	0.0985	0.391	0.696	0.867	0
ENSG00000130822	74.8	-0.42	0.26	-1.61	0.107	0.364	0
ENSG00000067842	14.1	-0.305	0.575	-0.531	0.596	0.814	0
ENSG00000183837	622	-0.199	0.175	-1.14	0.255	0.556	0
ENSG00000147383	813	0.0419	0.176	0.238	0.812	0.925	0
ENSG00000147400	871	0.0568	0.121	0.471	0.638	0.838	0
ENSG00000268916	0.668	-1.36	3.09	-0.441	0.659		9
ENSG00000124260	0.464	-2.32	3.58	-0.649	0.516		10
ENSG00000160131	4280	0.281	0.13	2.16	0.0305	0.196	0
