gene_ID	LHX5_PTC_baseMean	LHX5_PTC_log2FoldChange	LHX5_PTC_lfcSE	LHX5_PTC_stat	LHX5_PTC_pvalue	LHX5_PTC_padj	LHX5_PTC_n_zeros
ENSG00000271254	1010	-0.0933	0.197	-0.474	0.635	0.878	0
ENSG00000276345	1.38	-0.7	2.27	-0.308	0.758		7
ENSG00000277196	492	-0.248	0.231	-1.07	0.284	0.686	0
ENSG00000278817	28.8	-0.807	0.44	-1.83	0.0665	0.415	0
ENSG00000276017	0.574	-2.53	3.51	-0.72	0.472		10
ENSG00000198692	514	0.164	0.135	1.22	0.224	0.632	6
ENSG00000229236	2.45	1.1	1.49	0.743	0.457		6
ENSG00000260197	28	0.52	0.589	0.883	0.377	0.745	6
ENSG00000290853	465	-0.00296	0.147	-0.0201	0.984	0.995	6
ENSG00000067048	3800	0.221	0.12	1.84	0.0659	0.414	6
ENSG00000286009	5.57	0.309	0.954	0.324	0.746		6
ENSG00000277930	2.63	1.32	1.22	1.08	0.28		6
ENSG00000278847	0.327	-0.494	4.2	-0.117	0.906		10
ENSG00000182484	287	-0.285	0.135	-2.11	0.0353	0.331	6
ENSG00000124334	11	-0.748	0.686	-1.09	0.275		6
ENSG00000124333	640	0.0821	0.15	0.547	0.584	0.859	6
ENSG00000224533	2.37	0.665	2	0.333	0.739		7
ENSG00000155961	649	-0.0663	0.143	-0.465	0.642	0.88	0
ENSG00000274183	0.758	-0.0312	3.59	-0.00869	0.993		10
ENSG00000154620	199	-0.123	0.907	-0.136	0.892	0.965	6
ENSG00000130830	259	0.449	0.327	1.37	0.17	0.577	0
ENSG00000272681	2.07	0.376	1.53	0.246	0.806		2
ENSG00000269335	349	-0.157	0.157	-1	0.317	0.708	0
ENSG00000160211	1790	-0.152	0.0823	-1.85	0.0645	0.409	0
ENSG00000102178	768	-0.126	0.141	-0.895	0.371	0.74	0
ENSG00000130827	679	0.0133	0.128	0.104	0.917	0.974	0
ENSG00000071859	921	-0.152	0.0972	-1.57	0.117	0.509	0
ENSG00000013563	276	-0.241	0.133	-1.81	0.0698	0.422	0
ENSG00000280195	24.3	0.567	0.462	1.23	0.22	0.629	0
ENSG00000007350	11.7	-0.585	1.12	-0.523	0.601		1
ENSG00000169057	1860	0.115	0.117	0.983	0.326	0.713	0
ENSG00000177854	45.1	-0.584	0.508	-1.15	0.25	0.654	0
ENSG00000102032	170	-0.0706	0.18	-0.393	0.694	0.9	0
ENSG00000089820	742	0.0576	0.145	0.397	0.691	0.9	0
ENSG00000198910	2370	0.0824	0.0822	1	0.316	0.706	0
ENSG00000067840	4970	0.223	0.144	1.55	0.121	0.515	0
ENSG00000180879	1480	0.0447	0.0983	0.454	0.65	0.884	0
ENSG00000067829	788	0.0536	0.12	0.448	0.654	0.886	0
ENSG00000198753	39.5	-0.222	0.323	-0.686	0.493	0.813	0
ENSG00000185825	2330	0.138	0.115	1.2	0.229	0.637	0
ENSG00000130822	80.8	0.0466	0.304	0.153	0.878	0.962	0
ENSG00000067842	13.5	-0.42	0.63	-0.666	0.505		0
ENSG00000183837	655	0.041	0.17	0.241	0.809	0.941	0
ENSG00000147383	772	-0.384	0.126	-3.04	0.00233	0.119	0
ENSG00000147400	855	-0.102	0.123	-0.826	0.409	0.767	0
ENSG00000268916	0.344	0.402	3.66	0.11	0.913		9
ENSG00000124260	0.402	-1.46	3.89	-0.374	0.708		10
ENSG00000160131	4260	0.169	0.112	1.51	0.132	0.528	0
ENSG00000234696	2.28	2.43	1.61	1.51	0.132		4
ENSG00000029993	11100	0.147	0.0993	1.48	0.14	0.536	0
ENSG00000102181	414	-0.443	0.209	-2.12	0.0337	0.326	0
ENSG00000063601	1250	0.0299	0.091	0.328	0.743	0.921	0
ENSG00000013619	8.41	-0.176	0.795	-0.222	0.824		0
ENSG00000269556	619	-0.293	0.166	-1.77	0.0772	0.434	0
ENSG00000241769	31.8	-0.312	0.366	-0.852	0.394	0.757	0
ENSG00000277215	18.3	0.981	0.452	2.17	0.0301		0
ENSG00000182195	751	-0.314	0.114	-2.76	0.00584	0.158	0
ENSG00000134595	459	-0.3	0.147	-2.04	0.0415	0.348	0
ENSG00000129682	791	-0.0276	0.136	-0.204	0.839	0.951	0
