gene_ID	LHX5_KO_baseMean	LHX5_KO_log2FoldChange	LHX5_KO_lfcSE	LHX5_KO_stat	LHX5_KO_pvalue	LHX5_KO_padj	LHX5_KO_n_zeros
ENSG00000271254	1060	0.186	0.177	1.05	0.293	0.612	0
ENSG00000276345	1.75	0.637	4.23	0.15	0.88		9
ENSG00000277196	495	0.15	0.146	1.03	0.304	0.621	0
ENSG00000278817	27.2	-0.465	0.483	-0.963	0.335	0.646	0
ENSG00000276017	0.719	-0.671	3.24	-0.207	0.836		10
ENSG00000198692	542	0.0173	0.116	0.149	0.882	0.954	6
ENSG00000229236	1.48	0.0432	1.6	0.027	0.978		6
ENSG00000260197	22	0.382	0.559	0.683	0.495	0.757	6
ENSG00000290853	514	0.152	0.117	1.3	0.195	0.51	6
ENSG00000067048	3950	-0.299	0.122	-2.45	0.0143	0.185	6
ENSG00000286009	5.22	0.547	0.822	0.665	0.506		6
ENSG00000277930	2.01	0.908	1.4	0.648	0.517		6
ENSG00000278847	0.756	1.42	3.22	0.441	0.659		10
ENSG00000182484	306	0.148	0.139	1.06	0.289	0.609	6
ENSG00000124334	11.7	0.0515	0.567	0.0908	0.928		6
ENSG00000124333	668	0.125	0.129	0.973	0.331	0.643	6
ENSG00000224533	3.65	1.09	1.38	0.793	0.428		4
ENSG00000155961	665	0.0439	0.141	0.311	0.756	0.899	0
ENSG00000274183	0.637	-0.233	3.48	-0.0669	0.947		10
ENSG00000154620	226	-0.0654	0.213	-0.308	0.758	0.901	6
ENSG00000130830	242	-0.311	0.193	-1.61	0.108	0.402	0
ENSG00000272681	1.72	0.109	1.47	0.0739	0.941		1
ENSG00000269335	365	0.00243	0.132	0.0184	0.985	0.996	0
ENSG00000160211	1910	0.00192	0.0879	0.0219	0.983	0.995	0
ENSG00000102178	804	0.0168	0.129	0.13	0.897	0.96	0
ENSG00000130827	696	-0.121	0.099	-1.22	0.221	0.54	0
ENSG00000071859	978	0.000804	0.0908	0.00885	0.993	0.998	0
ENSG00000013563	297	-0.0982	0.117	-0.838	0.402	0.695	0
ENSG00000280195	25.4	-0.183	0.498	-0.367	0.714	0.88	0
ENSG00000007350	12.4	0.862	0.925	0.932	0.351		0
ENSG00000169057	1900	-0.181	0.105	-1.73	0.0844	0.364	0
ENSG00000177854	46.4	-0.686	0.419	-1.64	0.102	0.392	0
ENSG00000102032	174	0.172	0.186	0.926	0.355	0.661	0
ENSG00000089820	719	-0.17	0.123	-1.38	0.168	0.48	0
ENSG00000198910	2360	-0.219	0.088	-2.48	0.013	0.179	0
ENSG00000067840	4760	-0.32	0.111	-2.89	0.00383	0.112	0
ENSG00000180879	1590	0.047	0.0918	0.512	0.608	0.825	0
ENSG00000067829	831	-0.284	0.123	-2.31	0.0211	0.213	0
ENSG00000198753	39.6	-0.313	0.3	-1.04	0.297	0.615	0
ENSG00000185825	2420	-0.105	0.0969	-1.08	0.28	0.601	0
ENSG00000130822	77.6	-0.22	0.304	-0.723	0.47	0.742	0
ENSG00000067842	15.6	-0.439	0.591	-0.743	0.457	0.734	0
ENSG00000183837	659	0.0252	0.168	0.15	0.881	0.953	0
ENSG00000147383	859	0.108	0.159	0.677	0.499	0.759	0
ENSG00000147400	908	0.097	0.11	0.881	0.378	0.678	0
ENSG00000124260	0.502	0.502	3.29	0.153	0.879		10
ENSG00000160131	4430	0.0196	0.109	0.18	0.857	0.945	0
ENSG00000234696	1.59	1.86	1.73	1.08	0.282		5
ENSG00000029993	12000	-0.117	0.0896	-1.31	0.19	0.504	0
ENSG00000102181	443	0.255	0.195	1.31	0.192	0.506	0
ENSG00000063601	1320	0.0304	0.107	0.285	0.776	0.908	0
ENSG00000013619	8.67	0.361	0.844	0.428	0.669		0
ENSG00000269556	729	0.296	0.13	2.27	0.0232	0.221	0
ENSG00000241769	40.1	0.359	0.318	1.13	0.259	0.58	0
ENSG00000277215	17.4	0.486	0.464	1.05	0.295	0.613	0
ENSG00000182195	795	-0.159	0.126	-1.26	0.207	0.523	0
ENSG00000134595	468	-0.164	0.138	-1.19	0.234	0.554	0
ENSG00000129682	812	0.0513	0.132	0.389	0.697	0.872	0
ENSG00000283692	1.6	1.85	2.06	0.895	0.371		4
ENSG00000291054	46	0.816	0.309	2.64	0.00829	0.147	0
ENSG00000165359	724	-0.106	0.154	-0.688	0.491	0.755	0
ENSG00000178947	330	0.301	0.143	2.11	0.0351	0.259	0
ENSG00000173275	422	0.441	0.185	2.38	0.0174	0.197	0
ENSG00000169551	1.05	0.729	2.58	0.283	0.777		7
ENSG00000203950	537	-0.187	0.134	-1.39	0.164	0.476	0
ENSG00000184785	41.2	0.143	0.347	0.412	0.68	0.864	0
ENSG00000101928	552	0.0577	0.136	0.424	0.672	0.859	0
ENSG00000156504	1570	0.173	0.146	1.18	0.236	0.557	0
