gene_ID	FEZF2_CE_baseMean	FEZF2_CE_log2FoldChange	FEZF2_CE_lfcSE	FEZF2_CE_stat	FEZF2_CE_pvalue	FEZF2_CE_padj	FEZF2_CE_n_zeros
ENSG00000271254	1100	0.194	0.124	1.57	0.117	0.48	0
ENSG00000277196	1110	0.823	0.353	2.33	0.0198	0.154	0
ENSG00000278817	31.3	-0.255	0.685	-0.372	0.71	0.954	0
ENSG00000276017	1.74	1.57	3.1	0.505	0.614	0.929	3
ENSG00000198692	520	-0.509	0.169	-3	0.00267	0.0337	3
ENSG00000229236	5.36	2.85	1.77	1.61	0.107	0.455	3
ENSG00000260197	34.2	0.577	0.62	0.93	0.352	0.79	3
ENSG00000290853	410	0.372	0.189	1.97	0.049	0.283	3
ENSG00000067048	2800	-0.203	0.0967	-2.09	0.0362	0.232	3
ENSG00000286009	6.24	-0.178	1.41	-0.126	0.899	0.989	3
ENSG00000277930	1.85	0.994	2.63	0.378	0.706	0.953	3
ENSG00000278847	1.32	1.57	3.2	0.492	0.623	0.932	3
ENSG00000182484	335	0.0678	0.205	0.331	0.741	0.96	3
ENSG00000124334	6.44	0.82	1.44	0.569	0.569	0.916	3
ENSG00000124333	593	-0.282	0.16	-1.76	0.0783	0.379	3
ENSG00000224533	7.99	0.831	1.47	0.564	0.573	0.917	1
ENSG00000155961	624	-0.0419	0.156	-0.269	0.788	0.969	0
ENSG00000154620	91.3	-0.822	1.63	-0.505	0.613	0.929	3
ENSG00000130830	147	-0.456	0.29	-1.57	0.116	0.478	0
ENSG00000272681	2.05	1.8	2.67	0.673	0.501	0.886	1
ENSG00000269335	339	0.0797	0.195	0.409	0.683	0.949	0
ENSG00000160211	1670	-0.119	0.102	-1.16	0.245	0.687	0
ENSG00000102178	635	-0.389	0.163	-2.39	0.0169	0.136	0
ENSG00000130827	656	0.268	0.161	1.66	0.0967	0.43	0
ENSG00000071859	1070	0.094	0.128	0.733	0.464	0.867	0
ENSG00000013563	299	0.0209	0.217	0.0962	0.923	0.993	0
ENSG00000280195	25.3	0.48	0.698	0.687	0.492	0.882	0
ENSG00000007350	15.7	0.176	1.87	0.0942	0.925	0.993	2
ENSG00000169057	1900	0.216	0.112	1.94	0.0529	0.297	0
ENSG00000177854	59.1	-0.154	0.465	-0.331	0.74	0.96	0
ENSG00000102032	242	-0.124	0.262	-0.474	0.636	0.935	0
ENSG00000089820	518	-0.444	0.163	-2.73	0.00637	0.0652	0
ENSG00000198910	1440	-0.393	0.113	-3.46	0.000534	0.00934	0
ENSG00000067840	1560	-0.575	0.131	-4.4	1.06e-05	0.000388	0
ENSG00000180879	1250	-0.261	0.115	-2.27	0.0232	0.172	0
ENSG00000067829	713	-0.0945	0.149	-0.633	0.527	0.898	0
ENSG00000198753	20.6	-0.471	0.823	-0.573	0.567	0.915	0
ENSG00000185825	1890	-0.218	0.0976	-2.24	0.0253	0.182	0
ENSG00000130822	141	-0.0302	0.297	-0.102	0.919	0.992	0
