gene_ID	FEZF2_KO_baseMean	FEZF2_KO_log2FoldChange	FEZF2_KO_lfcSE	FEZF2_KO_stat	FEZF2_KO_pvalue	FEZF2_KO_padj	FEZF2_KO_n_zeros
ENSG00000271254	1110	0.168	0.117	1.44	0.149	0.48	0
ENSG00000277196	938	0.229	0.141	1.63	0.103	0.407	0
ENSG00000278817	33.3	-0.219	0.6	-0.365	0.715		0
ENSG00000198692	547	-0.418	0.151	-2.77	0.00556	0.0856	3
ENSG00000229236	4.49	2.44	1.65	1.48	0.139		3
ENSG00000260197	31.6	0.453	0.527	0.86	0.39		3
ENSG00000290853	395	0.261	0.179	1.46	0.145		3
ENSG00000067048	3000	-0.0782	0.089	-0.878	0.38	0.715	3
ENSG00000286009	6.48	-0.214	1.15	-0.186	0.853		3
ENSG00000277930	2.29	1.39	2.07	0.671	0.502		3
ENSG00000278847	0.803	0.787	3.3	0.238	0.812		3
ENSG00000182484	346	0.066	0.173	0.381	0.703		3
ENSG00000124334	5.9	0.649	1.23	0.526	0.599		3
ENSG00000124333	624	-0.181	0.14	-1.29	0.196	0.545	3
ENSG00000224533	7.3	0.35	1.21	0.29	0.772		0
ENSG00000155961	621	-0.135	0.144	-0.942	0.346	0.69	0
ENSG00000154620	104	-0.307	1.08	-0.283	0.777		3
ENSG00000130830	176	0.117	0.226	0.515	0.606		0
ENSG00000272681	1.4	0.671	2.6	0.258	0.797		1
ENSG00000269335	353	0.0894	0.177	0.506	0.613		0
ENSG00000160211	1730	-0.105	0.102	-1.03	0.304	0.659	0
ENSG00000102178	674	-0.249	0.137	-1.82	0.0681	0.328	0
ENSG00000130827	654	0.123	0.15	0.821	0.412	0.74	0
ENSG00000071859	1100	0.118	0.107	1.1	0.271	0.629	0
ENSG00000013563	325	0.237	0.183	1.29	0.195		0
ENSG00000280195	23.8	0.00256	0.66	0.00388	0.997		0
ENSG00000007350	17.7	2.45	2.33	1.05	0.294		1
ENSG00000169057	1890	0.116	0.108	1.08	0.282	0.639	0
ENSG00000177854	57.8	-0.409	0.418	-0.979	0.328		0
ENSG00000102032	259	0.0368	0.232	0.159	0.874		0
ENSG00000089820	608	0.0253	0.143	0.177	0.86	0.961	0
ENSG00000198910	1600	-0.00876	0.124	-0.0705	0.944	0.985	0
ENSG00000067840	1770	-0.0893	0.111	-0.804	0.421	0.744	0
ENSG00000180879	1310	-0.133	0.104	-1.28	0.201	0.552	0
ENSG00000067829	751	-0.00317	0.127	-0.025	0.98	0.995	0
ENSG00000198753	22	-0.0308	0.673	-0.0458	0.964		0
ENSG00000185825	1970	-0.141	0.0918	-1.54	0.124	0.44	0
ENSG00000130822	134	-0.291	0.273	-1.06	0.287		0
ENSG00000067842	15.2	-0.0148	0.799	-0.0185	0.985		0
ENSG00000183837	470	0.066	0.155	0.425	0.671	0.883	0
ENSG00000147383	807	0.123	0.13	0.945	0.344	0.688	0
ENSG00000147400	863	-0.187	0.135	-1.39	0.164	0.501	0
ENSG00000268916	0.949	-1.48	3.33	-0.444	0.657		3
ENSG00000160131	3550	-0.0499	0.0878	-0.569	0.57	0.832	0
ENSG00000234696	3.87	0.73	1.56	0.467	0.64		0
ENSG00000029993	9560	0.0377	0.0753	0.5	0.617	0.858	0
ENSG00000102181	495	0.0273	0.154	0.177	0.859	0.961	0
