gene_ID	FEZF2_PTC_baseMean	FEZF2_PTC_log2FoldChange	FEZF2_PTC_lfcSE	FEZF2_PTC_stat	FEZF2_PTC_pvalue	FEZF2_PTC_padj	FEZF2_PTC_n_zeros
ENSG00000271254	1130	0.141	0.111	1.27	0.206	0.446	0
ENSG00000276345	1.74	0.545	2.18	0.25	0.802		2
ENSG00000277196	1000	0.351	0.116	3.03	0.00243	0.0272	0
ENSG00000278817	40.4	0.348	0.46	0.757	0.449		0
ENSG00000198692	554	-0.439	0.135	-3.24	0.00119	0.0164	3
ENSG00000229236	6.02	2.86	1.45	1.96	0.0495		3
ENSG00000260197	30.9	0.363	0.532	0.683	0.495		3
ENSG00000290853	411	0.292	0.15	1.95	0.0515	0.198	3
ENSG00000067048	2980	-0.14	0.074	-1.89	0.0587	0.213	3
ENSG00000286009	7.46	0.0191	1.08	0.0177	0.986		3
ENSG00000277930	3.21	1.89	1.75	1.08	0.28		3
ENSG00000278847	0.999	1.13	2.91	0.388	0.698		3
ENSG00000182484	358	0.0896	0.155	0.579	0.562	0.772	3
ENSG00000124334	5.4	0.454	1.21	0.374	0.708		3
ENSG00000124333	631	-0.206	0.126	-1.63	0.103	0.298	3
ENSG00000224533	6.55	-0.34	1.3	-0.262	0.794		1
ENSG00000155961	652	-0.0368	0.126	-0.291	0.771	0.897	0
ENSG00000154620	65.8	-1.43	1.42	-1	0.315		3
ENSG00000130830	159	-0.272	0.243	-1.12	0.262	0.511	0
ENSG00000272681	1.57	0.928	2.57	0.361	0.718		2
ENSG00000269335	343	-0.0635	0.163	-0.39	0.696	0.857	0
ENSG00000160211	1780	-0.0704	0.0899	-0.783	0.433	0.675	0
ENSG00000102178	679	-0.33	0.131	-2.52	0.0118	0.0784	0
ENSG00000130827	657	0.0733	0.133	0.553	0.58	0.784	0
ENSG00000071859	1090	0.00652	0.0996	0.0655	0.948	0.975	0
ENSG00000013563	314	0.038	0.18	0.212	0.832	0.926	0
ENSG00000280195	25.6	0.21	0.601	0.35	0.726		0
ENSG00000007350	17.5	1.92	1.63	1.18	0.239		0
ENSG00000169057	1970	0.176	0.0968	1.82	0.0686	0.234	0
ENSG00000177854	64	-0.106	0.391	-0.271	0.787		0
ENSG00000102032	258	-0.0531	0.201	-0.264	0.792	0.907	0
ENSG00000089820	576	-0.21	0.131	-1.6	0.11	0.31	0
ENSG00000198910	1550	-0.191	0.104	-1.83	0.0673	0.232	0
ENSG00000067840	1730	-0.268	0.0876	-3.06	0.00221	0.0253	0
ENSG00000180879	1330	-0.171	0.0997	-1.72	0.0859	0.269	0
ENSG00000067829	735	-0.184	0.122	-1.51	0.131	0.346	0
ENSG00000198753	23.6	0.126	0.604	0.209	0.834		0
ENSG00000185825	2010	-0.155	0.0928	-1.67	0.0947	0.284	0
ENSG00000130822	152	-0.0266	0.246	-0.108	0.914	0.963	0
ENSG00000067842	13.9	-0.705	0.864	-0.816	0.415		0
ENSG00000183837	457	-0.109	0.176	-0.621	0.535	0.754	0
ENSG00000147383	802	-0.0127	0.137	-0.0925	0.926	0.968	0
ENSG00000147400	868	-0.256	0.128	-2.01	0.0449	0.182	0
ENSG00000268916	0.935	-1.56	3.26	-0.478	0.633		3
ENSG00000160131	3670	-0.0053	0.0809	-0.0655	0.948	0.975	0
ENSG00000234696	3.5	0.429	1.46	0.293	0.77		0
ENSG00000029993	9740	0.0222	0.0679	0.327	0.744	0.882	0
ENSG00000102181	493	-0.0653	0.142	-0.459	0.647	0.828	0
ENSG00000063601	1350	0.00993	0.0992	0.1	0.92	0.965	0
ENSG00000013619	29.9	1.13	0.575	1.97	0.0489		0
ENSG00000269556	634	0.225	0.136	1.65	0.0986	0.29	0
ENSG00000241769	54	0.319	0.386	0.826	0.409		0
ENSG00000277215	14.2	1.82	0.971	1.87	0.0612		0
ENSG00000182195	753	-0.00569	0.136	-0.0419	0.967	0.985	0
ENSG00000134595	512	-0.212	0.156	-1.36	0.173	0.403	0
ENSG00000129682	699	-0.0656	0.122	-0.537	0.591	0.791	0
ENSG00000283692	3.74	0.672	1.52	0.441	0.659		0
ENSG00000291054	53.9	0.594	0.432	1.38	0.169		0
ENSG00000165359	642	0.226	0.122	1.85	0.064	0.225	0
ENSG00000178947	495	0.102	0.162	0.63	0.529	0.75	0
ENSG00000173275	527	0.246	0.136	1.81	0.0702	0.238	0
ENSG00000169551	0.631	-0.173	3.54	-0.049	0.961		3
ENSG00000203950	522	-0.289	0.159	-1.82	0.0684	0.234	0
ENSG00000184785	50.7	0.0375	0.399	0.094	0.925		0
ENSG00000101928	471	-0.0662	0.151	-0.437	0.662	0.837	0
ENSG00000156504	1660	0.213	0.0834	2.55	0.0107	0.0732	0
ENSG00000170965	28.3	0.606	0.561	1.08	0.28		0
ENSG00000156531	5060	-0.0938	0.066	-1.42	0.155	0.379	0
ENSG00000147257	2770	-0.175	0.178	-0.984	0.325	0.575	0
ENSG00000076770	1950	0.563	0.0852	6.61	3.89e-11	1.81e-08	0
ENSG00000134602	4330	-0.183	0.0844	-2.17	0.0301	0.141	0
ENSG00000213468	1830	0.198	0.0983	2.02	0.0439	0.178	0
ENSG00000286060	2.57	-0.495	1.69	-0.293	0.77		1
ENSG00000287806	4.9	-0.317	1.21	-0.261	0.794		0
ENSG00000147256	46.9	0.539	0.457	1.18	0.238		0
ENSG00000290740	1.13	3.44	3.24	1.06	0.288		3
ENSG00000102078	181	0.164	0.219	0.749	0.454	0.692	0
ENSG00000085185	1090	-0.059	0.246	-0.239	0.811	0.916	0
ENSG00000235189	0.594	-1.56	3.69	-0.423	0.673		3
ENSG00000188706	1260	0.081	0.107	0.759	0.448	0.688	0
ENSG00000198354	64.4	-0.188	0.378	-0.497	0.619		0
ENSG00000009694	249	0.521	0.199	2.62	0.00868	0.0642	0
ENSG00000282419	2.06	3.1	2.72	1.14	0.254		1
ENSG00000101966	2500	0.157	0.0945	1.66	0.0967	0.287	0
ENSG00000125676	4560	-0.00136	0.0726	-0.0187	0.985	0.994	0
ENSG00000125675	133	0.506	0.271	1.87	0.0618		0
ENSG00000171155	493	-0.288	0.14	-2.06	0.0389	0.165	0
ENSG00000158290	5270	0.000153	0.0676	0.00226	0.998	0.999	0
ENSG00000005893	2940	0.24	0.0901	2.67	0.00763	0.0596	0
ENSG00000125355	36.3	-0.187	0.511	-0.366	0.714		0
ENSG00000258545	219	0.524	0.211	2.48	0.013	0.0832	0
ENSG00000125352	233	-0.0205	0.201	-0.102	0.919	0.964	0
ENSG00000286366	12.2	0.025	0.827	0.0303	0.976		0
ENSG00000125354	2210	0.497	0.0793	6.26	3.85e-10	1.11e-07	0
ENSG00000018610	647	-0.373	0.125	-2.98	0.00293	0.031	0
ENSG00000077721	1630	-0.0214	0.0899	-0.238	0.812	0.916	0
ENSG00000005022	8300	-0.194	0.0709	-2.74	0.00609	0.0514	0
ENSG00000224281	49.2	0.0577	0.408	0.141	0.887		0
ENSG00000237903	1.76	0.339	2.12	0.16	0.873		0
ENSG00000077713	161	0.328	0.247	1.32	0.185	0.421	0
ENSG00000175556	7.42	0.312	1.08	0.289	0.772		0
ENSG00000235244	93.8	1.14	0.333	3.42	0.000637		0
ENSG00000102024	7130	-0.236	0.0755	-3.13	0.00175	0.0215	0
ENSG00000289287	1.21	-1.24	2.62	-0.473	0.636		3
ENSG00000288595	198	-1.84	2.14	-0.86			0
ENSG00000077279	483	0.134	0.162	0.827	0.408	0.653	0
ENSG00000157600	1500	-0.137	0.0913	-1.5	0.133	0.348	0
ENSG00000289365	4.66	0.885	1.55	0.571	0.568		0
ENSG00000068366	3140	-0.0693	0.0754	-0.919	0.358	0.607	0
ENSG00000101890	1.44	1.88	3.14	0.599	0.55		3
ENSG00000237863	34.5	-0.249	0.52	-0.479	0.632		0
ENSG00000197565	1660	-0.113	0.105	-1.07	0.283	0.531	0
ENSG00000101844	110	0.143	0.294	0.487	0.626		0
ENSG00000080561	122	0.21	0.27	0.777	0.437		0
ENSG00000198088	136	-0.0297	0.25	-0.119	0.905		0
ENSG00000133131	117	0.382	0.281	1.36	0.175		0
ENSG00000133138	396	0.286	0.186	1.54	0.124	0.333	0
ENSG00000133135	41.7	0.256	0.49	0.523	0.601		0
ENSG00000157502	181	-0.103	0.223	-0.464	0.643	0.826	0
ENSG00000189108	1.95	3.78	2.84	1.33	0.183		2
ENSG00000166707	68.2	-0.168	0.347	-0.485	0.628		0
ENSG00000269226	138	0.146	0.598	0.244	0.808		0
ENSG00000101812	1.8	-3.01	2.12	-1.42	0.156		2
ENSG00000231728	26.5	0.623	0.596	1.04	0.296		0
ENSG00000172476	16.3	-0.0135	0.73	-0.0185	0.985		0
ENSG00000234405	45.2	0.0667	0.441	0.151	0.88		0
ENSG00000185222	1220	-0.253	0.119	-2.13	0.0334	0.15	0
ENSG00000182916	412	-0.159	0.157	-1.01	0.311	0.56	0
ENSG00000133134	992	-0.117	0.123	-0.954	0.34	0.59	0
ENSG00000286846	8.8	0.41	0.997	0.411	0.681		0
ENSG00000286237	51.4	-0.424	0.486	-0.871	0.384		0
ENSG00000158301	1530	-0.0394	0.0925	-0.426	0.67	0.842	0
ENSG00000125962	750	-0.0704	0.118	-0.595	0.552	0.764	0
ENSG00000290811	5.09	-0.863	1.21	-0.715	0.475		2
ENSG00000215029	7.74	0.482	1.08	0.445	0.656		0
ENSG00000269405	2.23	0.286	2.29	0.125	0.901		1
ENSG00000204071	15.2	0.457	0.842	0.542	0.588		0
ENSG00000184905	460	0.119	0.166	0.716	0.474	0.707	0
ENSG00000184867	4690	-0.145	0.0661	-2.19	0.0288	0.138	0
ENSG00000102401	1670	0.102	0.0887	1.15	0.252	0.5	0
ENSG00000010671	20.9	0.345	0.633	0.545	0.586		0
ENSG00000102384	1690	0.0926	0.0943	0.982	0.326	0.576	0
ENSG00000204086	3.76	2.73	1.9	1.44	0.149		0
ENSG00000147202	838	0.245	0.122	2.01	0.0447	0.181	0
ENSG00000186310	1030	-0.136	0.107	-1.27	0.203	0.443	0
ENSG00000289479	3020	0.0555	0.0829	0.67	0.503	0.729	0
ENSG00000234161	0.605	0.884	3.92	0.226	0.821		3
ENSG00000184788	24.8	-0.57	0.624	-0.913	0.361		0
ENSG00000072133	854	0.168	0.116	1.44	0.15	0.372	0
ENSG00000196767	900	0.318	0.3	1.06	0.288	0.536	0
ENSG00000131171	1670	-0.123	0.106	-1.16	0.248	0.496	0
ENSG00000147255	1860	0.0139	0.0977	0.143	0.886	0.952	0
ENSG00000198157	966	0.0123	0.142	0.0868	0.931	0.97	0
ENSG00000165288	5010	0.281	0.0762	3.69	0.000221	0.00477	0
ENSG00000122145	18.1	-0.16	0.689	-0.232	0.817		0
ENSG00000078596	521	-0.0901	0.164	-0.548	0.583	0.786	0
ENSG00000102158	2790	0.122	0.0901	1.36	0.175	0.406	0
ENSG00000198934	335	-0.101	0.178	-0.568	0.57	0.778	0
ENSG00000102390	1090	-0.259	0.105	-2.48	0.0132	0.0837	0
ENSG00000094841	483	-0.0593	0.147	-0.405	0.686	0.851	0
ENSG00000147100	2020	0.0272	0.0888	0.307	0.759	0.89	0
ENSG00000225470	1430	0.37	0.116	3.2	0.00138	0.0182	0
ENSG00000229807	8.39	0.368	1.05	0.351	0.726		1
ENSG00000131264	190	0.204	0.232	0.881	0.378	0.626	0
ENSG00000231963	5.17	1.17	1.6	0.729	0.466		2
ENSG00000186288	23.5	1.13	0.749	1.5	0.133		0
ENSG00000269502	3.24	-2.52	2.33	-1.08	0.278		3
ENSG00000269911	76.8	-0.232	0.34	-0.682	0.495		0
ENSG00000147099	924	0.293	0.124	2.37	0.0178	0.101	0
ENSG00000198034	23700	-0.147	0.0558	-2.64	0.00836	0.0632	0
ENSG00000186871	1970	-0.0833	0.0884	-0.942	0.346	0.596	0
ENSG00000102309	582	0.0198	0.152	0.131	0.896	0.956	0
ENSG00000204131	1330	-0.014	0.124	-0.113	0.91	0.963	0
ENSG00000215113	1.07	-1.56	3.15	-0.495	0.621		3
ENSG00000281852	73.5	0.27	0.346	0.78	0.435		0
ENSG00000283599	2.24	-0.675	1.85	-0.364	0.716		1
ENSG00000147133	3670	0.181	0.0694	2.61	0.00909	0.0659	0
ENSG00000147140	27700	-0.0254	0.057	-0.446	0.655	0.833	0
ENSG00000196338	1310	-0.0273	0.112	-0.243	0.808	0.915	0
ENSG00000184634	3540	0.162	0.0749	2.17	0.03	0.141	0
ENSG00000147168	1.07	-0.309	2.82	-0.11	0.913		3
ENSG00000184481	947	0.119	0.106	1.13	0.26	0.509	0
ENSG00000165349	2730	-0.127	0.0828	-1.53	0.126	0.336	0
ENSG00000120509	614	-0.0919	0.134	-0.686	0.493	0.721	0
ENSG00000089289	1270	-0.12	0.103	-1.17	0.243	0.489	0
ENSG00000189401	1.28	-0.63	2.31	-0.272	0.785		0
ENSG00000158813	422	0.118	0.156	0.755	0.451	0.689	0
ENSG00000181704	2010	0.0888	0.0825	1.08	0.282	0.53	0
ENSG00000289038	3.42	-1.47	1.44	-1.02	0.308		0
ENSG00000089472	3050	0.123	0.0798	1.54	0.124	0.334	0
ENSG00000198881	6.87	-0.103	1.23	-0.0837	0.933		0
ENSG00000184675	1490	0.116	0.095	1.22	0.223	0.467	0
ENSG00000186767	639	0.233	0.131	1.78	0.0757	0.249	0
ENSG00000235437	1210	0.0121	0.0982	0.123	0.902	0.96	0
ENSG00000198205	140	0.0775	0.26	0.298	0.766		0
ENSG00000147059	69.9	0.578	0.401	1.44	0.15		0
ENSG00000186787	187	-0.181	0.225	-0.807	0.42	0.663	0
ENSG00000102349	700	0.378	0.117	3.23	0.00125	0.017	0
ENSG00000227486	65.8	1.36	0.432	3.14	0.00167		0
ENSG00000083750	260	-0.0901	0.178	-0.507	0.612	0.805	0
ENSG00000247746	887	0.0867	0.107	0.807	0.42	0.663	0
ENSG00000182518	244	-0.107	0.202	-0.533	0.594	0.794	0
ENSG00000130119	4000	-0.0843	0.0817	-1.03	0.302	0.551	0
ENSG00000196632	3590	0.141	0.0796	1.78	0.0756	0.249	0
ENSG00000184083	440	0.339	0.157	2.16	0.0306	0.143	0
ENSG00000158423	30	-0.0169	0.521	-0.0324	0.974		0
ENSG00000235262	1.87	-2.08	2.33	-0.89	0.373		3
ENSG00000126012	4930	-0.0539	0.0694	-0.776	0.438	0.679	0
ENSG00000232593	717	0.621	0.135	4.61	4.08e-06	0.000229	0
ENSG00000184205	1230	-0.0195	0.106	-0.183	0.854	0.937	0
ENSG00000287215	3.28	-0.00459	1.67	-0.00274	0.998		0
ENSG00000179222	6440	-0.148	0.0726	-2.04	0.0413	0.172	0
ENSG00000189369	1670	-0.0887	0.0871	-1.02	0.308	0.557	0
ENSG00000283093	70	-0.331	2.26	-0.146	0.884		1
ENSG00000224109	129	0.138	0.26	0.533	0.594		0
ENSG00000226530	92.3	-0.00439	0.303	-0.0145	0.988		0
ENSG00000230317	2.56	1.68	2.06	0.813	0.416		0
ENSG00000158352	210	0.358	0.225	1.59	0.112	0.314	0
ENSG00000274588	716	-0.114	0.13	-0.874	0.382	0.63	0
ENSG00000270012	141	0.337	0.253	1.33	0.183		0
ENSG00000286181	38.5	-0.211	0.468	-0.451	0.652		0
ENSG00000012211	229	-0.0581	0.208	-0.28	0.78	0.901	0
ENSG00000269313	17.9	0.213	0.728	0.292	0.77		0
ENSG00000243279	320	-0.156	0.177	-0.886	0.376	0.624	0
ENSG00000068400	2630	0.131	0.0779	1.68	0.0936	0.282	0
ENSG00000102100	470	-0.0261	0.157	-0.166	0.868	0.944	0
