gene_ID	ISL1_OE_baseMean	ISL1_OE_log2FoldChange	ISL1_OE_lfcSE	ISL1_OE_stat	ISL1_OE_pvalue	ISL1_OE_padj	ISL1_OE_n_zeros
ENSG00000271254	656	0.331	0.355	0.932	0.351	0.755	0
ENSG00000276345	4.58	-0.485	1.18	-0.412	0.681	0.906	1
ENSG00000277196	178	0.653	0.296	2.21	0.0274	0.258	0
ENSG00000278817	714	-0.54	0.3	-1.8	0.0718	0.42	0
ENSG00000292372	311	-0.0942	0.583	-0.161	0.872	0.968	0
ENSG00000291016	0.534	0.956	3.11	0.308	0.758		3
ENSG00000289707	1	1.56	3.33	0.469	0.639		2
ENSG00000198692	2690	-0.121	0.25	-0.483	0.629	0.887	0
ENSG00000229236	23.6	0.993	0.459	2.16	0.0307	0.274	0
ENSG00000260197	31.8	0.261	0.54	0.483	0.629	0.887	0
ENSG00000228787	1.14	-1.6	1.77	-0.902	0.367		2
ENSG00000290853	275	0.424	0.259	1.64	0.102	0.489	0
ENSG00000067048	6300	0.0153	0.252	0.0608	0.951	0.988	0
ENSG00000286009	49.3	-0.504	0.375	-1.35	0.178	0.605	0
ENSG00000291034	346	-0.24	0.245	-0.979	0.328	0.739	0
ENSG00000212855	1.56	-3.1	2.04	-1.52	0.13		4
ENSG00000290323	2.32	1.64	2.14	0.767	0.443		5
ENSG00000277930	1.06	0.762	2.36	0.323	0.746		5
ENSG00000231535	47.2	0.667	0.359	1.86	0.0632	0.394	0
ENSG00000233070	1.06	-3.1	2.4	-1.29	0.196		3
ENSG00000278847	6.89	0.281	0.716	0.393	0.695	0.913	0
ENSG00000292348	16900	0.231	0.176	1.32	0.188	0.617	0
ENSG00000292345	2520	0.48	0.389	1.23	0.217	0.648	0
ENSG00000292337	2.4	1.5	1.37	1.1	0.273		0
ENSG00000292338	1320	-0.177	0.259	-0.685	0.494	0.834	0
ENSG00000292339	824	-0.531	0.271	-1.96	0.0501	0.353	0
ENSG00000292331	21	0.169	0.472	0.358	0.721	0.922	0
ENSG00000292360	103	0.53	0.578	0.917	0.359	0.76	0
ENSG00000292341	4.92	-0.965	0.935	-1.03	0.302	0.722	0
ENSG00000292332	4.83	0.406	1.16	0.351	0.725	0.924	0
ENSG00000292335	0.327	0	5.32	0	1		6
ENSG00000292327	2440	0.072	0.18	0.4	0.689	0.91	0
ENSG00000182484	384	0.273	0.38	0.719	0.472	0.822	0
ENSG00000124334	1.04	-2.24	2.74	-0.818	0.414		3
ENSG00000124333	1310	-0.0988	0.249	-0.397	0.691	0.91	0
ENSG00000224533	8.21	0.298	0.744	0.401	0.688	0.91	0
ENSG00000155961	1360	-0.484	0.205	-2.36	0.0182	0.204	0
ENSG00000274183	2.32	0.171	1.26	0.136	0.892		0
ENSG00000154620	308	0.136	0.237	0.574	0.566	0.864	0
ENSG00000130830	1870	-1.01	0.277	-3.64	0.000276	0.0123	0
ENSG00000272681	1.98	-0.865	1.78	-0.487	0.627		1
ENSG00000269335	1490	-0.0486	0.137	-0.355	0.722	0.922	0
ENSG00000160211	450	-0.228	0.164	-1.39	0.165	0.59	0
ENSG00000102178	1890	0.146	0.113	1.29	0.197	0.627	0
ENSG00000130827	2940	0.0655	0.383	0.171	0.864	0.967	0
ENSG00000071859	6810	-0.29	0.232	-1.25	0.21	0.64	0
ENSG00000013563	1380	-0.325	0.202	-1.61	0.108	0.499	0
ENSG00000280195	159	0.314	0.2	1.57	0.116	0.512	0
ENSG00000231830	1.18	-1.48	2.16	-0.684	0.494		3
ENSG00000007350	3.25	-0.194	1.14	-0.17	0.865		0
ENSG00000269433	12.9	-0.728	0.928	-0.785	0.433	0.803	0
ENSG00000268221	2.08	-0.611	1.51	-0.404	0.686		1
ENSG00000169057	1520	0.131	0.125	1.05	0.296	0.716	0
ENSG00000177854	651	-0.222	0.238	-0.93	0.352	0.756	0
ENSG00000102032	34.9	-0.302	0.428	-0.706	0.48	0.828	0
