gene_ID	ISL1_OE_baseMean	ISL1_OE_log2FoldChange	ISL1_OE_lfcSE	ISL1_OE_stat	ISL1_OE_pvalue	ISL1_OE_padj	ISL1_OE_n_zeros
ENSG00000271254	656	-1.23	0.356	-3.44	0.000586	0.0158	0
ENSG00000276345	4.58	0.391	1.16	0.336	0.737		1
ENSG00000277196	178	0.918	0.294	3.12	0.0018	0.0336	0
ENSG00000278817	714	0.166	0.3	0.555	0.579	0.788	0
ENSG00000292372	311	-0.702	0.585	-1.2	0.23	0.53	0
ENSG00000291016	0.534	2.13	3.01	0.71	0.478		2
ENSG00000289707	1	0.852	3.63	0.235	0.814		5
ENSG00000198692	2690	0.276	0.25	1.1	0.27	0.569	0
ENSG00000229236	23.6	0.896	0.471	1.9	0.057	0.275	0
ENSG00000260197	31.8	1.36	0.566	2.4	0.0165	0.139	0
ENSG00000228787	1.14	3.48	1.86	1.87	0.0611		3
ENSG00000290853	275	0.0261	0.259	0.101	0.92	0.967	0
ENSG00000067048	6300	-0.186	0.252	-0.737	0.461	0.716	0
ENSG00000286009	49.3	0.0818	0.353	0.232	0.817	0.921	0
ENSG00000291034	346	0.352	0.244	1.45	0.148	0.432	0
ENSG00000212855	1.56	-1.48	2.12	-0.701	0.483		3
ENSG00000290323	2.32	1.2	1.76	0.685	0.493		2
ENSG00000277930	1.06	-0.0846	1.86	-0.0454	0.964		0
ENSG00000231535	47.2	0.977	0.352	2.78	0.00546	0.0701	0
ENSG00000233070	1.06	3.04	2.4	1.27	0.205		4
ENSG00000278847	6.89	0.61	0.728	0.838	0.402		0
ENSG00000292348	16900	0.547	0.176	3.11	0.00186	0.0344	0
ENSG00000292345	2520	0.151	0.389	0.387	0.699	0.859	0
ENSG00000292337	2.4	0.141	1.39	0.101	0.92		1
ENSG00000292338	1320	0.449	0.26	1.73	0.0833	0.331	0
ENSG00000292339	824	-0.868	0.273	-3.18	0.00147	0.0295	0
ENSG00000292331	21	0.194	0.492	0.395	0.693	0.856	0
ENSG00000292360	103	1.07	0.574	1.87	0.0617	0.285	0
ENSG00000292341	4.92	0.615	0.971	0.633	0.526		0
ENSG00000292332	4.83	-1.17	1.15	-1.02	0.307		1
ENSG00000292335	0.327	-0.534	5.22	-0.102	0.918		2
ENSG00000292327	2440	0.141	0.18	0.784	0.433	0.697	0
ENSG00000182484	384	0.276	0.38	0.725	0.468	0.721	0
ENSG00000124334	1.04	1.44	2.87	0.501	0.617		3
ENSG00000124333	1310	-0.349	0.249	-1.4	0.16	0.449	0
ENSG00000224533	8.21	-0.272	0.789	-0.345	0.73		0
ENSG00000155961	1360	-0.459	0.205	-2.24	0.0248	0.176	0
ENSG00000274183	2.32	-0.842	1.39	-0.607	0.544		1
ENSG00000154620	308	0.744	0.238	3.13	0.00173	0.0329	0
ENSG00000130830	1870	-1	0.277	-3.62	0.000291	0.0098	0
ENSG00000272681	1.98	-0.0513	1.76	-0.0291	0.977		2
ENSG00000269335	1490	-0.414	0.138	-3.01	0.00261	0.0433	0
ENSG00000160211	450	-0.284	0.165	-1.72	0.0846	0.332	0
ENSG00000102178	1890	-0.358	0.115	-3.12	0.00178	0.0335	0
ENSG00000130827	2940	-0.698	0.383	-1.82	0.0688	0.299	0
ENSG00000071859	6810	0.106	0.232	0.459	0.646	0.83	0
ENSG00000013563	1380	-0.68	0.202	-3.36	0.00078	0.0195	0
ENSG00000280195	159	0.31	0.2	1.55	0.122	0.396	0
ENSG00000231830	1.18	2.55	2.07	1.23	0.217		3
ENSG00000007350	3.25	-0.218	1.4	-0.156	0.876		2
ENSG00000269433	12.9	0.613	1.19	0.513	0.608	0.807	2
ENSG00000268221	2.08	-0.115	1.77	-0.0646	0.949		2
ENSG00000169057	1520	0.0273	0.126	0.217	0.828	0.927	0
ENSG00000177854	651	0.168	0.238	0.705	0.481	0.729	0
ENSG00000102032	34.9	0.139	0.454	0.305	0.76	0.892	0
ENSG00000089820	680	-0.86	0.262	-3.28	0.00104	0.0234	0
ENSG00000273769	0.367	0.457	3.69	0.124	0.901		1
ENSG00000198910	763	-1.4	0.344	-4.08	4.56e-05	0.00257	0
ENSG00000067840	432	-1.07	0.305	-3.52	0.000439	0.0129	0
ENSG00000180879	13600	0.538	0.258	2.08	0.0374	0.222	0
ENSG00000067829	4440	0.0163	0.219	0.0744	0.941	0.976	0
ENSG00000198753	8.06	0.281	0.739	0.381	0.703		0
ENSG00000185825	13900	-0.105	0.213	-0.494	0.622	0.816	0
ENSG00000130822	20.3	-0.237	0.559	-0.424	0.672	0.843	0
ENSG00000067842	70.9	-0.665	0.319	-2.08	0.0372	0.221	0
ENSG00000183837	2020	-0.36	0.275	-1.31	0.191	0.488	0
ENSG00000286939	0.664	0.56	4.45	0.126	0.9		4
ENSG00000147383	4060	0.102	0.262	0.391	0.696	0.857	0
ENSG00000147400	5310	0.546	0.289	1.89	0.0588	0.279	0
ENSG00000268916	17.2	0.0314	0.733	0.0429	0.966	0.988	0
ENSG00000213401	0.554	-1.04	4.01	-0.26	0.795		4
ENSG00000183305	49.8	0.182	0.856	0.213	0.831	0.928	1
ENSG00000214915	0.643	-2.27	2.64	-0.859	0.39		2
ENSG00000160131	3890	-0.0838	0.278	-0.302	0.763	0.894	0
ENSG00000029993	10700	0.571	0.14	4.09	4.32e-05	0.00244	0
ENSG00000102181	4100	-0.674	0.288	-2.34	0.0194	0.153	0
ENSG00000063601	2180	-0.662	0.257	-2.57	0.0101	0.102	0
ENSG00000013619	1790	-0.575	0.352	-1.63	0.103	0.365	0
ENSG00000269556	6090	0.368	0.177	2.08	0.0375	0.222	0
ENSG00000241769	196	0.0554	0.315	0.176	0.861	0.942	0
ENSG00000277215	10.5	-0.105	0.931	-0.113	0.91		0
ENSG00000182195	5020	0.00708	0.243	0.0292	0.977	0.991	0
ENSG00000134595	27	-0.411	0.604	-0.68	0.497	0.739	0
ENSG00000129682	943	0.256	0.261	0.979	0.327	0.62	0
ENSG00000291054	120	0.294	0.29	1.01	0.311	0.607	0
ENSG00000102243	45.1	-1.4	1.17	-1.2	0.23	0.531	0
ENSG00000102239	3.11	1.11	1.64	0.675	0.5		3
ENSG00000165359	517	0.136	0.203	0.672	0.502	0.743	0
ENSG00000178947	482	-0.649	0.286	-2.27	0.0232	0.17	0
ENSG00000173275	622	-0.177	0.269	-0.659	0.51	0.747	0
ENSG00000284994	0.61	-1.03	2.99	-0.345	0.73		5
ENSG00000169551	2.6	2.7	1.5	1.8	0.0726		1
ENSG00000203950	7330	0.0468	0.246	0.19	0.849	0.937	0
ENSG00000184785	93.5	0.128	0.358	0.358	0.72	0.872	0
ENSG00000101928	2410	-0.248	0.187	-1.32	0.186	0.483	0
ENSG00000156504	888	-0.107	0.153	-0.7	0.484	0.73	0
ENSG00000170965	4.87	0.000324	1.05	0.00031	1		0
ENSG00000156531	4160	-0.0371	0.25	-0.148	0.882	0.951	0
