gene_ID	ISL1_OE_baseMean	ISL1_OE_log2FoldChange	ISL1_OE_lfcSE	ISL1_OE_stat	ISL1_OE_pvalue	ISL1_OE_padj	ISL1_OE_n_zeros
ENSG00000271254	656	-0.549	0.434	-1.27	0.206	0.437	0
ENSG00000276345	4.58	-2.71	1.86	-1.46	0.146		1
ENSG00000277196	178	2.31	0.363	6.36	2.01e-10	2.87e-08	0
ENSG00000278817	714	-0.127	0.363	-0.351	0.726	0.873	0
ENSG00000292372	311	0.138	0.707	0.196	0.845	0.934	0
ENSG00000291016	0.534	-1.69	3.79	-0.447	0.655		4
ENSG00000289707	1	0	4.39	0	1		5
ENSG00000198692	2690	-0.109	0.303	-0.359	0.719	0.869	0
ENSG00000229236	23.6	0.548	0.585	0.937	0.349	0.601	0
ENSG00000260197	31.8	-0.7	0.681	-1.03	0.304	0.556	0
ENSG00000228787	1.14	1.38	2.09	0.662	0.508		1
ENSG00000290853	275	0.441	0.313	1.41	0.159	0.372	0
ENSG00000067048	6300	-0.398	0.305	-1.3	0.193	0.419	0
ENSG00000286009	49.3	-0.698	0.451	-1.55	0.122	0.313	0
ENSG00000291034	346	0.108	0.297	0.364	0.716	0.867	0
ENSG00000212855	1.56	0.248	2.16	0.115	0.909		1
ENSG00000290323	2.32	-0.365	2.31	-0.158	0.875		2
ENSG00000277930	1.06	-0.724	2.7	-0.268	0.788		2
ENSG00000231535	47.2	2.61	0.425	6.13	8.53e-10	1.01e-07	0
ENSG00000233070	1.06	4.59	2.74	1.67	0.0941		3
ENSG00000278847	6.89	-0.284	0.907	-0.314	0.754	0.887	0
ENSG00000292348	16900	1.11	0.213	5.21	1.93e-07	1.11e-05	0
ENSG00000292345	2520	-0.579	0.472	-1.23	0.22	0.458	0
ENSG00000292337	2.4	0.744	1.63	0.456	0.648		2
ENSG00000292338	1320	-0.287	0.314	-0.913	0.361	0.613	0
ENSG00000292339	824	-0.0793	0.33	-0.241	0.81	0.916	0
ENSG00000292331	21	0.946	0.618	1.53	0.126	0.319	0
ENSG00000292360	103	0.425	0.692	0.615	0.539	0.757	0
ENSG00000292341	4.92	0.332	1.12	0.296	0.767		0
ENSG00000292332	4.83	0.185	1.4	0.133	0.894		0
ENSG00000292335	0.327	0.573	6.42	0.0893	0.929		3
ENSG00000292327	2440	-0.269	0.219	-1.23	0.218	0.454	0
ENSG00000182484	384	0.486	0.464	1.05	0.295	0.546	0
ENSG00000124334	1.04	3.07	3.38	0.908	0.364		3
ENSG00000124333	1310	-0.529	0.302	-1.76	0.0792	0.238	0
ENSG00000224533	8.21	3.37	1.26	2.68	0.00746	0.0466	2
ENSG00000155961	1360	-1.2	0.249	-4.82	1.43e-06	5.83e-05	0
ENSG00000274183	2.32	-0.414	1.77	-0.234	0.815		2
ENSG00000154620	308	0.521	0.286	1.82	0.0684	0.216	0
ENSG00000130830	1870	-1.5	0.336	-4.46	8.03e-06	0.000227	0
ENSG00000272681	1.98	3.47	2.34	1.49	0.137		2
ENSG00000269335	1490	-0.11	0.167	-0.663	0.507	0.734	0
ENSG00000160211	450	-0.249	0.201	-1.24	0.215	0.449	0
ENSG00000102178	1890	-0.12	0.139	-0.861	0.389	0.639	0
ENSG00000130827	2940	-0.368	0.465	-0.792	0.428	0.672	0
ENSG00000071859	6810	0.0315	0.281	0.112	0.911	0.963	0
ENSG00000013563	1380	-0.927	0.245	-3.78	0.00016	0.00256	0
ENSG00000280195	159	0.554	0.248	2.24	0.0253	0.11	0
ENSG00000231830	1.18	0.746	2.23	0.335	0.738		1
ENSG00000007350	3.25	-4.21	1.98	-2.12	0.0336		1
ENSG00000269433	12.9	4.86	1.67	2.91	0.00367	0.0277	3
ENSG00000268221	2.08	4.17	2.12	1.97	0.0487		3
ENSG00000169057	1520	-0.183	0.153	-1.19	0.233	0.474	0
ENSG00000177854	651	-0.0879	0.289	-0.304	0.761	0.891	0
ENSG00000102032	34.9	-0.205	0.524	-0.392	0.695	0.855	0
ENSG00000089820	680	-1.48	0.317	-4.65	3.26e-06	0.000113	0
ENSG00000273769	0.367	-2	4.59	-0.436	0.662		3
ENSG00000198910	763	-2.12	0.42	-5.04	4.64e-07	2.26e-05	0
ENSG00000067840	432	-1.29	0.376	-3.43	0.000608	0.00729	0
ENSG00000180879	13600	0.534	0.313	1.7	0.0883	0.255	0
ENSG00000067829	4440	-0.138	0.266	-0.517	0.605	0.803	0
ENSG00000198753	8.06	-0.637	0.997	-0.639	0.523	0.745	0
ENSG00000185825	13900	0.272	0.258	1.05	0.292	0.542	0
ENSG00000130822	20.3	-0.978	0.73	-1.34	0.18	0.402	0
ENSG00000067842	70.9	-1.03	0.396	-2.6	0.00934	0.0547	0
ENSG00000183837	2020	-0.393	0.334	-1.18	0.24	0.481	0
ENSG00000286939	0.664	3.12	5.34	0.585	0.559		4
ENSG00000147383	4060	-0.151	0.317	-0.476	0.634	0.821	0
ENSG00000147400	5310	0.176	0.35	0.504	0.615	0.809	0
ENSG00000268916	17.2	0.986	0.88	1.12	0.262	0.509	0
ENSG00000213401	0.554	3.55	4.72	0.753	0.451		3
ENSG00000183305	49.8	2.23	1.03	2.17	0.0298	0.123	0
ENSG00000214915	0.643	1.41	3.23	0.437	0.662		3
ENSG00000160131	3890	-0.14	0.337	-0.415	0.678	0.846	0
ENSG00000029993	10700	0.0308	0.169	0.182	0.855	0.939	0
ENSG00000102181	4100	-1.04	0.349	-2.99	0.00278	0.0226	0
ENSG00000063601	2180	-0.598	0.312	-1.92	0.0553	0.188	0
ENSG00000013619	1790	-0.438	0.428	-1.02	0.306	0.558	0
ENSG00000269556	6090	1.52	0.214	7.1	1.28e-12	2.79e-10	0
ENSG00000241769	196	0.126	0.383	0.328	0.743	0.881	0
ENSG00000277215	10.5	-0.856	1.15	-0.748	0.455	0.693	0
ENSG00000182195	5020	-0.244	0.294	-0.83	0.406	0.654	0
ENSG00000134595	27	-1.73	0.694	-2.49	0.0126	0.0679	0
ENSG00000129682	943	-0.0987	0.318	-0.31	0.756	0.888	0
ENSG00000291054	120	-0.26	0.353	-0.737	0.461	0.699	0
ENSG00000102243	45.1	2.36	1.4	1.69	0.0917	0.261	0
ENSG00000102239	3.11	-1	1.9	-0.528	0.598		1
ENSG00000165359	517	0.142	0.246	0.577	0.564	0.775	0
ENSG00000178947	482	0.483	0.347	1.39	0.164	0.379	0
ENSG00000173275	622	-0.31	0.327	-0.948	0.343	0.596	0
ENSG00000284994	0.61	-1.7	3.59	-0.474	0.636		3
ENSG00000169551	2.6	-0.626	1.48	-0.423	0.672		0
ENSG00000203950	7330	-0.269	0.298	-0.901	0.367	0.619	0
ENSG00000184785	93.5	0.0328	0.445	0.0738	0.941	0.977	0
ENSG00000101928	2410	0.233	0.227	1.03	0.305	0.556	0
ENSG00000156504	888	-0.326	0.184	-1.77	0.0765	0.232	0
ENSG00000170965	4.87	0.857	1.25	0.686	0.493		0
ENSG00000156531	4160	-0.0684	0.303	-0.226	0.821	0.922	0
ENSG00000147257	33400	0.611	0.283	2.16	0.031	0.127	0
ENSG00000076770	77.8	0.763	0.57	1.34	0.181	0.402	0
ENSG00000134602	2410	0.105	0.199	0.529	0.597	0.797	0
ENSG00000213468	367	0.56	0.256	2.19	0.0287	0.12	0
ENSG00000286060	23	-1.42	0.62	-2.29	0.0222	0.101	0
ENSG00000287806	2.99	-2.67	2.04	-1.31	0.192		1
ENSG00000147256	319	4.79	1.31	3.65	0.000258	0.0038	2
ENSG00000102078	2160	-0.428	0.328	-1.3	0.193	0.419	0
ENSG00000085185	767	-0.0272	0.201	-0.135	0.892	0.954	0
ENSG00000235189	2.66	0.265	1.46	0.181	0.856		0
ENSG00000188706	4340	-0.141	0.138	-1.03	0.305	0.557	0
ENSG00000198354	112	0.189	0.466	0.406	0.685	0.849	0
ENSG00000009694	269	-1.99	0.371	-5.35	8.72e-08	5.78e-06	0
ENSG00000101966	838	0.0337	0.158	0.214	0.83	0.927	0
ENSG00000125676	7710	0.0573	0.174	0.329	0.742	0.881	0
ENSG00000125675	1650	-0.0552	0.226	-0.244	0.807	0.915	0
ENSG00000171155	2640	-0.195	0.315	-0.62	0.535	0.754	0
ENSG00000158290	3960	-0.764	0.317	-2.41	0.0159	0.0794	0
ENSG00000005893	11700	-0.165	0.132	-1.26	0.209	0.442	0
ENSG00000125355	94.2	-0.435	0.425	-1.02	0.307	0.559	0
ENSG00000131721	5.54	-0.884	1.21	-0.732	0.464	0.701	0
ENSG00000258545	5.4	0.629	1.6	0.393	0.694	0.855	1
ENSG00000125352	1690	-0.238	0.274	-0.87	0.384	0.635	0
ENSG00000286366	14.9	-1.54	0.749	-2.06	0.0393	0.149	0
ENSG00000125354	1550	-0.127	0.239	-0.529	0.597	0.797	0
ENSG00000018610	733	0.0942	0.293	0.322	0.748	0.884	0
ENSG00000077721	4900	0.00392	0.218	0.018	0.986	0.994	0
ENSG00000005022	24800	0.0022	0.305	0.00722	0.994	0.998	0
ENSG00000224281	181	-0.277	0.308	-0.9	0.368	0.62	0
ENSG00000237903	1.56	0.402	1.66	0.243	0.808		1
ENSG00000077713	870	-0.266	0.18	-1.47	0.14	0.344	0
ENSG00000175556	150	1.55	0.386	4	6.22e-05	0.00121	0
ENSG00000180772	3.82	2.6	5.99	0.434	0.664		4
ENSG00000235244	127	-0.142	0.561	-0.253	0.8	0.911	0
ENSG00000102024	7900	-0.547	0.163	-3.37	0.000763	0.00857	0
ENSG00000123496	28.1	-0.347	0.853	-0.407	0.684	0.849	0
ENSG00000077279	3330	-1.14	0.243	-4.69	2.75e-06	9.87e-05	0
ENSG00000133136	14.2	2.02	0.764	2.65	0.0081	0.0493	0
ENSG00000157600	519	-0.369	0.224	-1.64	0.1	0.276	0
ENSG00000289365	14	-0.542	0.811	-0.668	0.504	0.732	0
ENSG00000068366	2120	-0.978	0.333	-2.93	0.00334	0.0258	0
ENSG00000101890	0.595	-2.56	4.84	-0.529	0.597		3
ENSG00000237863	31.5	0.566	0.677	0.836	0.403	0.651	0
ENSG00000197565	1120	0.586	0.422	1.39	0.165	0.381	0
ENSG00000101844	1320	-0.323	0.19	-1.7	0.0884	0.255	0
ENSG00000080561	579	-0.9	0.244	-3.7	0.00022	0.00331	0
ENSG00000080572	2.32	3.04	2.02	1.51	0.132		2
ENSG00000198088	267	0.929	0.31	3	0.00272	0.0223	0
ENSG00000165376	111	2.29	1.13	2.03	0.0428	0.158	0
ENSG00000147223	13.2	1.19	1.05	1.13	0.257	0.502	1
ENSG00000133131	792	0.702	0.28	2.5	0.0123	0.0667	0
ENSG00000133138	560	0.048	0.193	0.249	0.803	0.913	0
ENSG00000133135	8690	-0.188	0.207	-0.911	0.362	0.614	0
ENSG00000157502	295	-0.553	0.345	-1.6	0.109	0.291	0
ENSG00000189108	11	1.5	0.956	1.57	0.116	0.304	0
ENSG00000166707	1520	-0.743	0.307	-2.42	0.0156	0.0785	0
ENSG00000269226	1100	0.884	0.549	1.61	0.107	0.288	0
ENSG00000101812	0.363	1.57	6.13	0.256	0.798		3
ENSG00000292357	2.85	-1.95	2.36	-0.829	0.407		4
ENSG00000231728	132	-0.628	0.284	-2.21	0.027	0.115	0
ENSG00000172476	59.7	1.55	0.512	3.03	0.00244	0.0205	0
ENSG00000234405	18.5	1.68	0.617	2.73	0.00637	0.0416	0
ENSG00000185222	7240	0.407	0.295	1.38	0.168	0.386	0
ENSG00000182916	352	-1.61	0.499	-3.23	0.00126	0.0124	0
ENSG00000133134	3270	-0.673	0.413	-1.63	0.103	0.282	0
ENSG00000147206	2.62	2.13	2.13	0.999	0.318		2
ENSG00000286846	2.66	-1.82	2.44	-0.748	0.455		3
