gene_ID	ISL1_OE_baseMean	ISL1_OE_log2FoldChange	ISL1_OE_lfcSE	ISL1_OE_stat	ISL1_OE_pvalue	ISL1_OE_padj	ISL1_OE_n_zeros
ENSG00000271254	656	-0.0587	0.46	-0.128	0.898	0.983	0
ENSG00000276345	4.58	0.79	1.47	0.538	0.591	0.898	0
ENSG00000277196	178	0.339	0.369	0.918	0.359	0.812	0
ENSG00000278817	714	0.432	0.382	1.13	0.258	0.771	0
ENSG00000292372	311	0.0445	0.745	0.0598	0.952	0.992	0
ENSG00000291016	0.534	1.24	4.02	0.308	0.758		3
ENSG00000289707	1	1.86	4.44	0.419	0.675		2
ENSG00000198692	2690	0.444	0.318	1.39	0.163	0.736	0
ENSG00000229236	23.6	0.277	0.62	0.447	0.655	0.919	0
ENSG00000260197	31.8	0.871	0.728	1.2	0.232	0.763	0
ENSG00000228787	1.14	0.995	2.46	0.405	0.685		1
ENSG00000290853	275	-0.129	0.329	-0.392	0.695	0.929	0
ENSG00000067048	6300	-0.59	0.321	-1.84	0.066	0.61	0
ENSG00000286009	49.3	0.157	0.5	0.315	0.753	0.945	0
ENSG00000291034	346	0.213	0.316	0.673	0.501	0.86	0
ENSG00000212855	1.56	2.51	2.29	1.09	0.274		1
ENSG00000290323	2.32	-0.53	2.06	-0.257	0.797		0
ENSG00000277930	1.06	2.13	2.97	0.719	0.472		3
ENSG00000231535	47.2	0.376	0.416	0.904	0.366	0.814	0
ENSG00000233070	1.06	-0.347	2.92	-0.119	0.905		1
ENSG00000278847	6.89	-0.293	1.03	-0.283	0.777	0.952	0
ENSG00000292348	16900	0.519	0.224	2.32	0.0204	0.452	0
ENSG00000292345	2520	-0.222	0.496	-0.447	0.655	0.919	0
ENSG00000292337	2.4	1.43	1.91	0.748	0.455		1
ENSG00000292338	1320	0.316	0.331	0.954	0.34	0.805	0
ENSG00000292339	824	-0.181	0.345	-0.523	0.601	0.901	0
ENSG00000292331	21	-1.19	0.697	-1.7	0.0886	0.646	0
ENSG00000292360	103	0.835	0.757	1.1	0.27	0.776	0
ENSG00000292341	4.92	-1.38	1.29	-1.07	0.286	0.783	0
ENSG00000292332	4.83	1.33	1.63	0.817	0.414	0.83	0
ENSG00000292335	0.327	0	6.77	0	1		4
ENSG00000292327	2440	0.0171	0.23	0.0743	0.941	0.99	0
ENSG00000182484	384	-0.178	0.487	-0.366	0.714	0.933	0
ENSG00000124334	1.04	3.06	3.6	0.849	0.396		3
ENSG00000124333	1310	-0.123	0.317	-0.389	0.698	0.929	0
ENSG00000224533	8.21	0.312	1.04	0.3	0.764	0.948	0
ENSG00000155961	1360	-0.116	0.262	-0.443	0.658	0.92	0
ENSG00000274183	2.32	-1.73	2.13	-0.812	0.417		1
ENSG00000154620	308	0.267	0.303	0.882	0.378	0.818	0
ENSG00000130830	1870	-0.197	0.354	-0.557	0.578	0.893	0
ENSG00000272681	1.98	2.98	2.63	1.13	0.258		3
ENSG00000269335	1490	-0.242	0.176	-1.37	0.171	0.74	0
ENSG00000160211	450	0.127	0.215	0.591	0.554	0.883	0
ENSG00000102178	1890	-0.207	0.146	-1.42	0.157	0.733	0
ENSG00000130827	2940	0.0163	0.489	0.0333	0.973	0.995	0
ENSG00000071859	6810	0.21	0.295	0.712	0.477	0.852	0
ENSG00000013563	1380	-0.235	0.259	-0.908	0.364	0.813	0
ENSG00000280195	159	0.0401	0.265	0.152	0.88	0.978	0
ENSG00000231830	1.18	0.957	2.72	0.352	0.725		1
ENSG00000007350	3.25	2.86	1.88	1.52	0.128		2
ENSG00000269433	12.9	-0.167	1.18	-0.142	0.887	0.979	0
ENSG00000268221	2.08	2.76	2.29	1.2	0.228		1
ENSG00000169057	1520	0.158	0.162	0.973	0.33	0.8	0
ENSG00000177854	651	0.542	0.305	1.78	0.0751	0.63	0
ENSG00000102032	34.9	-0.102	0.581	-0.175	0.861	0.973	0
ENSG00000089820	680	-0.642	0.335	-1.92	0.0552	0.583	0
ENSG00000273769	0.367	0	4.87	0	1		4
ENSG00000198910	763	-0.28	0.443	-0.633	0.527	0.872	0
ENSG00000067840	432	-0.201	0.398	-0.505	0.614	0.905	0
ENSG00000180879	13600	0.524	0.329	1.59	0.111	0.678	0
ENSG00000067829	4440	0.136	0.28	0.485	0.627	0.91	0
ENSG00000198753	8.06	-1.31	1	-1.31	0.191	0.752	0
ENSG00000185825	13900	0.0484	0.271	0.178	0.858	0.973	0
ENSG00000130822	20.3	-0.845	0.782	-1.08	0.28	0.78	0
ENSG00000067842	70.9	0.993	0.459	2.17	0.0303	0.506	0
ENSG00000183837	2020	-0.607	0.351	-1.73	0.0834	0.639	0
ENSG00000286939	0.664	0	5.77	0	1		4
ENSG00000147383	4060	0.233	0.334	0.699	0.485	0.854	0
ENSG00000147400	5310	0.275	0.368	0.747	0.455	0.847	0
ENSG00000268916	17.2	-0.0919	0.878	-0.105	0.917	0.986	0
ENSG00000213401	0.554	0.448	5.02	0.0893	0.929		2
ENSG00000183305	49.8	-0.87	1.07	-0.811	0.417	0.831	0
ENSG00000214915	0.643	2.09	3.42	0.612	0.541		2
ENSG00000160131	3890	-0.436	0.353	-1.23	0.218	0.761	0
ENSG00000029993	10700	0.15	0.178	0.843	0.399	0.825	0
ENSG00000102181	4100	-0.641	0.367	-1.75	0.0805	0.637	0
ENSG00000063601	2180	-0.713	0.328	-2.18	0.0296	0.506	0
ENSG00000013619	1790	-0.783	0.45	-1.74	0.0816	0.638	0
ENSG00000269556	6090	0.171	0.225	0.759	0.448	0.846	0
ENSG00000241769	196	-0.0224	0.414	-0.0542	0.957	0.992	0
ENSG00000277215	10.5	1.91	1.27	1.51	0.131	0.704	0
ENSG00000182195	5020	0.303	0.309	0.98	0.327	0.799	0
ENSG00000134595	27	-0.613	0.812	-0.755	0.45	0.846	0
ENSG00000129682	943	0.8	0.335	2.39	0.017	0.426	0
ENSG00000291054	120	0.00772	0.39	0.0198	0.984	0.997	0
ENSG00000102243	45.1	-0.15	1.47	-0.102	0.919	0.986	0
ENSG00000102239	3.11	1.19	2.04	0.583	0.56		1
ENSG00000165359	517	-0.111	0.258	-0.432	0.666	0.922	0
ENSG00000178947	482	-0.404	0.365	-1.11	0.268	0.775	0
ENSG00000173275	622	-0.444	0.343	-1.3	0.195	0.752	0
ENSG00000284994	0.61	-1.64	3.8	-0.433	0.665		3
ENSG00000169551	2.6	-0.894	1.88	-0.475	0.635		1
ENSG00000203950	7330	0.262	0.313	0.838	0.402	0.826	0
ENSG00000184785	93.5	0.197	0.459	0.429	0.668	0.923	0
ENSG00000101928	2410	-0.423	0.237	-1.78	0.0744	0.629	0
ENSG00000156504	888	-0.239	0.192	-1.24	0.214	0.761	0
ENSG00000170965	4.87	-1.72	1.35	-1.27	0.204	0.759	0
ENSG00000156531	4160	-0.502	0.319	-1.58	0.115	0.683	0
ENSG00000147257	33400	-0.192	0.298	-0.644	0.52	0.869	0
ENSG00000076770	77.8	0.0968	0.596	0.163	0.871	0.975	0
ENSG00000134602	2410	0.0464	0.208	0.223	0.824	0.965	0
ENSG00000213468	367	0.477	0.269	1.77	0.0762	0.633	0
ENSG00000286060	23	-0.164	0.645	-0.254	0.799	0.958	0
ENSG00000287806	2.99	3.22	2.11	1.53	0.127		1
ENSG00000147256	319	1.75	0.536	3.26	0.00112	0.119	0
ENSG00000102078	2160	0.141	0.345	0.408	0.683	0.926	0
ENSG00000085185	767	0.0233	0.214	0.109	0.913	0.986	0
ENSG00000235189	2.66	0.679	1.65	0.412	0.68		1
ENSG00000188706	4340	-0.428	0.145	-2.96	0.00309	0.209	0
ENSG00000198354	112	-0.257	0.501	-0.514	0.608	0.903	0
ENSG00000009694	269	-0.575	0.416	-1.38	0.167	0.737	0
ENSG00000101966	838	0.0429	0.168	0.256	0.798	0.958	0
ENSG00000125676	7710	-0.296	0.183	-1.62	0.106	0.672	0
ENSG00000125675	1650	0.111	0.237	0.466	0.641	0.914	0
ENSG00000171155	2640	0.176	0.331	0.533	0.594	0.899	0
ENSG00000158290	3960	-0.276	0.333	-0.829	0.407	0.828	0
ENSG00000005893	11700	0.0712	0.139	0.514	0.607	0.903	0
ENSG00000125355	94.2	-0.137	0.418	-0.327	0.743	0.942	0
ENSG00000131721	5.54	-2.16	1.95	-1.1	0.269	0.776	1
ENSG00000258545	5.4	-0.35	1.5	-0.233	0.816	0.963	0
ENSG00000125352	1690	0.33	0.288	1.14	0.253	0.77	0
ENSG00000286366	14.9	0.849	0.753	1.13	0.259	0.771	0
ENSG00000125354	1550	0.157	0.252	0.621	0.534	0.875	0
ENSG00000018610	733	0.269	0.309	0.869	0.385	0.821	0
ENSG00000077721	4900	0.109	0.229	0.476	0.634	0.913	0
ENSG00000005022	24800	0.331	0.321	1.03	0.303	0.788	0
ENSG00000224281	181	0.244	0.327	0.746	0.456	0.847	0
ENSG00000237903	1.56	0.976	2.25	0.434	0.664		1
ENSG00000077713	870	-0.202	0.189	-1.07	0.285	0.783	0
ENSG00000175556	150	-0.732	0.398	-1.84	0.0657	0.609	0
ENSG00000180772	3.82	1.98	6.25	0.317	0.751		2
ENSG00000235244	127	-0.00313	0.596	-0.00525	0.996	0.999	0
ENSG00000102024	7900	-0.407	0.17	-2.39	0.017	0.426	0
ENSG00000123496	28.1	2.45	1.24	1.98	0.048	0.557	1
ENSG00000077279	3330	0.0268	0.255	0.105	0.916	0.986	0
ENSG00000133136	14.2	-0.977	0.783	-1.25	0.212	0.76	0
ENSG00000157600	519	0.000531	0.238	0.00223	0.998	1	0
ENSG00000289365	14	-0.433	0.85	-0.51	0.61	0.904	0
ENSG00000068366	2120	-0.499	0.35	-1.43	0.154	0.73	0
ENSG00000101890	0.595	0	5.16	0	1		4
ENSG00000237863	31.5	-0.584	0.712	-0.82	0.412	0.83	0
ENSG00000197565	1120	-0.112	0.445	-0.251	0.802	0.959	0
ENSG00000101844	1320	-0.0581	0.2	-0.291	0.771	0.95	0
ENSG00000080561	579	-0.347	0.257	-1.35	0.177	0.743	0
ENSG00000080572	2.32	0	2.78	0	1		4
ENSG00000198088	267	0.818	0.329	2.49	0.0128	0.383	0
ENSG00000165376	111	-1.75	1.16	-1.5	0.133	0.705	0
ENSG00000147223	13.2	-2.66	1.02	-2.62	0.0088	0.34	0
ENSG00000133131	792	-0.36	0.293	-1.23	0.22	0.761	0
ENSG00000133138	560	-0.236	0.203	-1.16	0.245	0.766	0
ENSG00000133135	8690	-0.492	0.217	-2.27	0.0235	0.471	0
ENSG00000157502	295	-1.23	0.361	-3.42	0.000633	0.0811	0
ENSG00000189108	11	1.56	0.915	1.71	0.0872	0.643	0
ENSG00000166707	1520	-0.14	0.324	-0.431	0.666	0.923	0
ENSG00000269226	1100	0.039	0.578	0.0676	0.946	0.991	0
ENSG00000101812	0.363	1.76	6.47	0.271	0.786		3
ENSG00000292357	2.85	1.13	1.97	0.572	0.567		2
ENSG00000231728	132	-0.194	0.324	-0.599	0.549	0.881	0
ENSG00000172476	59.7	0.204	0.549	0.372	0.71	0.932	0
ENSG00000234405	18.5	0.512	0.688	0.744	0.457	0.848	0
ENSG00000185222	7240	0.63	0.31	2.03	0.0422	0.546	0
ENSG00000182916	352	0.716	0.526	1.36	0.174	0.741	0
ENSG00000133134	3270	0.49	0.435	1.13	0.26	0.771	0
ENSG00000147206	2.62	0.297	2.28	0.13	0.896		0
ENSG00000286846	2.66	4.15	2.45	1.69	0.0905		2
ENSG00000286237	166	-0.37	0.437	-0.846	0.397	0.825	0
ENSG00000158301	1960	-0.41	0.344	-1.19	0.234	0.764	0
ENSG00000125962	1230	-0.155	0.193	-0.804	0.421	0.833	0
ENSG00000290811	1.04	0	4.36	0	1		4
ENSG00000215029	296	-0.276	0.457	-0.604	0.546	0.88	0
ENSG00000269405	192	-2.3	0.688	-3.35	0.000817	0.0967	0
ENSG00000290743	0.634	0	4.53	0	1		4
ENSG00000204071	2.28	0	2.69	0	1		4
ENSG00000184905	643	0.62	0.451	1.37	0.17	0.74	0
ENSG00000184867	636	0.114	0.28	0.405	0.685	0.926	0
ENSG00000228275	2.01	0.789	2.33	0.339	0.734		1
ENSG00000102401	9080	-0.194	0.188	-1.03	0.303	0.788	0
ENSG00000290908	76.8	-1.62	1.97	-0.82	0.413	0.83	0
ENSG00000010671	6.04	3.35	1.67	2.01	0.0448	0.549	0
ENSG00000102384	237	0.0165	0.516	0.0319	0.975	0.995	0
ENSG00000204086	13.2	0.576	0.928	0.621	0.535	0.875	0
ENSG00000147202	828	-0.133	0.305	-0.436	0.663	0.921	0
ENSG00000286523	0.693	-3.12	3.85	-0.811	0.417		3
ENSG00000186310	1950	-0.129	0.369	-0.349	0.727	0.937	0
ENSG00000289479	0.799	-0.274	4.42	-0.062	0.951		2
ENSG00000234161	0.737	-0.47	3.26	-0.144	0.885		2
ENSG00000184788	63	-0.0782	0.572	-0.137	0.891	0.98	0
ENSG00000072133	1650	-0.294	0.391	-0.751	0.453	0.847	0
ENSG00000196767	578	0.14	0.417	0.334	0.738	0.94	0
ENSG00000131171	5170	0.225	0.246	0.915	0.36	0.812	0
ENSG00000147255	1290	0.0781	0.227	0.343	0.731	0.938	0
ENSG00000198157	865	0.159	0.258	0.617	0.538	0.876	0
ENSG00000165288	634	-0.179	0.263	-0.678	0.497	0.859	0
ENSG00000122145	13.8	-0.496	1.2	-0.412	0.681	0.925	0
ENSG00000078596	460	0.356	0.219	1.62	0.105	0.672	0
ENSG00000102158	5800	-0.272	0.137	-1.98	0.0472	0.556	0
ENSG00000198934	801	-0.813	0.352	-2.31	0.0207	0.454	0
ENSG00000102390	2200	0.325	0.312	1.04	0.298	0.787	0
ENSG00000094841	1580	-0.0489	0.169	-0.289	0.773	0.95	0
ENSG00000147100	2680	-0.778	0.307	-2.53	0.0113	0.369	0
ENSG00000225470	2060	0.243	0.224	1.09	0.277	0.779	0
ENSG00000186288	0.684	-1.81	3.57	-0.506	0.613		3
ENSG00000269502	207	0.914	0.394	2.32	0.0204	0.452	0
ENSG00000269911	73	0.0251	0.379	0.0661	0.947	0.991	0
ENSG00000231944	4.48	-1.26	1.17	-1.08	0.279	0.779	0
ENSG00000147099	2240	0.14	0.275	0.509	0.611	0.904	0
ENSG00000198034	7310	0.45	0.309	1.46	0.145	0.719	0
ENSG00000186871	331	0.0618	0.551	0.112	0.911	0.985	0
ENSG00000102309	1740	0.448	0.326	1.37	0.169	0.74	0
ENSG00000204131	223	0.00778	0.516	0.0151	0.988	0.997	0
ENSG00000281852	16.8	0.799	1.03	0.773	0.44	0.843	0
ENSG00000147133	527	-0.00131	0.311	-0.0042	0.997	0.999	0
ENSG00000147140	30000	-0.198	0.166	-1.2	0.231	0.763	0
ENSG00000228427	2.83	-0.603	1.87	-0.323	0.747		1
ENSG00000196338	1190	-0.873	0.371	-2.35	0.0186	0.443	0
ENSG00000184634	2920	-0.108	0.515	-0.209	0.834	0.969	0
ENSG00000147168	195	-0.285	0.617	-0.461	0.645	0.916	0
ENSG00000184481	857	-0.791	0.285	-2.78	0.00552	0.275	0
ENSG00000165349	157	0.903	0.422	2.14	0.0322	0.514	0
ENSG00000231651	3.4	3.37	1.9	1.77	0.0765		1
ENSG00000147127	0.326	-1.91	5.76	-0.332	0.74		3
ENSG00000120509	2400	0.275	0.328	0.84	0.401	0.826	0
ENSG00000089289	1680	0.239	0.273	0.876	0.381	0.819	0
ENSG00000286077	2.13	-3.31	2.27	-1.46	0.144		1
ENSG00000158813	220	-0.762	0.458	-1.67	0.0957	0.658	0
ENSG00000181704	6520	0.319	0.268	1.19	0.234	0.764	0
ENSG00000289038	17.5	1.01	0.682	1.49	0.137	0.712	0
ENSG00000089472	3240	-0.714	0.533	-1.34	0.18	0.747	0
ENSG00000198881	24.2	-0.278	0.546	-0.51	0.61	0.904	0
ENSG00000184675	51	-0.243	0.582	-0.417	0.677	0.925	0
ENSG00000186767	531	0.102	0.15	0.683	0.495	0.858	0
ENSG00000235437	1420	-0.0926	0.159	-0.582	0.56	0.886	0
ENSG00000198205	329	-0.0244	0.422	-0.0579	0.954	0.992	0
ENSG00000147059	48.5	0.87	0.465	1.87	0.0612	0.604	0
ENSG00000186787	540	0.467	0.318	1.47	0.142	0.715	0
ENSG00000224799	1.52	0.748	2.69	0.278	0.781		2
ENSG00000102349	174	-0.00426	0.277	-0.0154	0.988	0.997	0
ENSG00000227486	89.7	0.809	0.428	1.89	0.0588	0.593	0
ENSG00000083750	2040	0.0465	0.275	0.169	0.866	0.974	0
ENSG00000247746	133	0.616	0.332	1.85	0.0637	0.607	0
ENSG00000182518	1130	0.374	0.224	1.67	0.0949	0.655	0
ENSG00000130119	1310	-0.282	0.235	-1.2	0.229	0.763	0
ENSG00000196632	1680	-0.0195	0.226	-0.0863	0.931	0.988	0
ENSG00000184083	299	0.318	0.295	1.08	0.281	0.781	0
ENSG00000233250	0.915	-2.85	2.88	-0.988	0.323		2
ENSG00000158423	266	0.219	0.333	0.658	0.51	0.865	0
ENSG00000235262	2.46	3.1	2.25	1.38	0.168		2
ENSG00000126012	4730	-0.133	0.3	-0.445	0.656	0.92	0
ENSG00000232593	272	-0.172	0.2	-0.861	0.389	0.823	0
ENSG00000184205	1770	-0.0907	0.214	-0.423	0.672	0.924	0
ENSG00000171402	0.495	0	6.23	0	1		4
ENSG00000179028	0.914	1.24	4.19	0.296	0.767		3
ENSG00000287215	22.8	0.486	0.867	0.56	0.575	0.892	0
ENSG00000182776	0.475	0.774	5.38	0.144	0.886		3
ENSG00000179222	28200	-0.391	0.225	-1.74	0.0816	0.638	0
ENSG00000189369	1800	0.0111	0.223	0.0499	0.96	0.993	0
ENSG00000223591	79.4	0.851	0.698	1.22	0.223	0.761	0
ENSG00000283093	77.1	-0.379	1.06	-0.358	0.721	0.935	1
ENSG00000224109	559	-0.0447	0.283	-0.158	0.874	0.976	0
ENSG00000226530	34.9	-0.128	0.689	-0.185	0.853	0.972	0
ENSG00000287767	0.938	1.71	2.96	0.577	0.564		2
ENSG00000230317	13	0.21	0.753	0.279	0.78	0.953	0
ENSG00000158352	34.4	-0.189	0.749	-0.253	0.801	0.958	0
ENSG00000274588	91.7	-0.455	0.63	-0.723	0.47	0.851	0
ENSG00000270012	90.2	-0.243	0.495	-0.491	0.623	0.909	0
ENSG00000286181	14.7	0.123	0.667	0.184	0.854	0.972	0
ENSG00000012211	445	-0.37	0.317	-1.17	0.243	0.765	0
ENSG00000269313	457	0.31	0.394	0.786	0.432	0.838	0
ENSG00000243279	4190	0.32	0.35	0.913	0.361	0.812	0
ENSG00000068400	4030	-0.279	0.213	-1.31	0.189	0.752	0
