gene_ID	ISL1_KO_baseMean	ISL1_KO_log2FoldChange	ISL1_KO_lfcSE	ISL1_KO_stat	ISL1_KO_pvalue	ISL1_KO_padj	ISL1_KO_n_zeros
ENSG00000271254	747	1.65	0.345	4.78	1.71e-06	2.15e-05	0
ENSG00000276345	4.35	-0.474	1.32	-0.359	0.72	0.836	0
ENSG00000277196	123	-1.17	0.378	-3.08	0.00206	0.0101	0
ENSG00000278817	648	-0.262	0.217	-1.2	0.228	0.399	0
ENSG00000292372	331	0.49	0.702	0.699	0.485	0.657	0
ENSG00000198692	2340	-0.114	0.158	-0.724	0.469	0.644	0
ENSG00000229236	17.6	-0.034	0.586	-0.058	0.954	0.977	0
ENSG00000260197	27.4	0.971	0.68	1.43	0.153	0.301	0
ENSG00000228787	0.76	1.45	2.75	0.527	0.598		1
ENSG00000290853	259	-0.641	0.211	-3.04	0.00236	0.0113	0
ENSG00000067048	6770	-0.192	0.157	-1.22	0.221	0.391	0
ENSG00000286009	45.7	0.0104	0.364	0.0287	0.977	0.989	0
ENSG00000291034	298	-0.127	0.204	-0.624	0.532	0.699	0
ENSG00000212855	1.27	0.276	2.31	0.119	0.905		2
ENSG00000290323	2.02	-5.72	2.09	-2.73	0.0063		3
ENSG00000277930	0.701	0	3.29	0	1		5
ENSG00000231535	30	-1.58	0.427	-3.7	0.000213	0.00147	0
ENSG00000233070	0.629	0.111	3.05	0.0365	0.971		0
ENSG00000278847	6.48	0.332	0.967	0.344	0.731	0.842	0
ENSG00000292348	12200	-0.84	0.164	-5.13	2.96e-07	4.47e-06	0
ENSG00000292345	2450	0.351	0.241	1.46	0.145	0.289	0
ENSG00000292337	1.78	0.306	2.37	0.129	0.897		1
ENSG00000292338	1190	0.0817	0.28	0.292	0.77	0.868	0
ENSG00000292339	927	0.0605	0.303	0.199	0.842	0.914	0
ENSG00000292331	19.5	0.35	0.654	0.536	0.592	0.745	0
ENSG00000292360	84.8	0.896	0.642	1.4	0.162	0.313	0
ENSG00000292341	5.43	0.22	1.13	0.194	0.846	0.916	0
ENSG00000292332	4.99	1.05	1.5	0.702	0.483	0.656	0
ENSG00000292327	2400	0.136	0.178	0.766	0.444	0.623	0
ENSG00000182484	355	0.365	0.387	0.943	0.346	0.529	0
ENSG00000124333	1430	-0.272	0.243	-1.12	0.264	0.441	0
ENSG00000224533	7.01	0.9	1.02	0.879	0.379	0.561	0
ENSG00000155961	1610	0.0722	0.22	0.329	0.742	0.85	0
ENSG00000274183	2.14	0.0228	1.55	0.0147	0.988		0
ENSG00000154620	245	-0.454	0.209	-2.17	0.0301	0.0876	0
ENSG00000130830	2480	0.56	0.264	2.12	0.0338	0.0959	0
ENSG00000272681	1.41	3.45	2.58	1.34	0.18		2
ENSG00000269335	1600	0.328	0.157	2.09	0.0366	0.102	0
ENSG00000160211	478	0.473	0.178	2.66	0.00781	0.03	0
ENSG00000102178	1940	0.235	0.14	1.69	0.0919	0.206	0
ENSG00000130827	3200	1.41	0.296	4.75	2.04e-06	2.52e-05	0
ENSG00000071859	6250	-0.0273	0.157	-0.174	0.862	0.926	0
ENSG00000013563	1660	0.398	0.168	2.36	0.0181	0.0589	0
ENSG00000280195	138	-0.0794	0.249	-0.319	0.749	0.855	0
ENSG00000231830	0.749	0.451	2.95	0.153	0.878		2
ENSG00000007350	3.19	1.94	1.58	1.23	0.218		1
ENSG00000269433	10.1	-1.18	0.79	-1.49	0.135	0.274	0
ENSG00000268221	1.12	2.14	2.61	0.823	0.411		2
ENSG00000169057	1490	0.292	0.136	2.15	0.0319	0.0917	0
ENSG00000177854	588	-0.0356	0.195	-0.182	0.856	0.923	0
ENSG00000102032	36.5	0.576	0.454	1.27	0.204	0.369	0
ENSG00000089820	868	0.604	0.193	3.13	0.00175	0.00888	0
ENSG00000273769	0.359	0	4.54	0	1		5
ENSG00000198910	1050	1.12	0.262	4.29	1.76e-05	0.000169	0
ENSG00000067840	546	1.33	0.223	5.96	2.53e-09	5.99e-08	0
ENSG00000180879	10000	-0.844	0.151	-5.59	2.28e-08	4.39e-07	0
ENSG00000067829	4190	-0.0848	0.148	-0.575	0.566	0.725	0
ENSG00000198753	8.03	-2.85	1.08	-2.63	0.0085	0.0322	0
