gene_ID	PAX6_KO_baseMean	PAX6_KO_log2FoldChange	PAX6_KO_lfcSE	PAX6_KO_stat	PAX6_KO_pvalue	PAX6_KO_padj	PAX6_KO_n_zeros
ENSG00000271254	656	1.25	0.436	2.87	0.00415	0.03	0
ENSG00000276345	4.58	-0.168	1.46	-0.115	0.908		1
ENSG00000277196	178	-1.09	0.357	-3.07	0.00217	0.0187	0
ENSG00000278817	714	0.175	0.364	0.48	0.631	0.782	0
ENSG00000292372	311	0.305	0.709	0.43	0.667	0.807	0
ENSG00000291016	0.534	0.663	3.82	0.174	0.862		4
ENSG00000289707	1	-1.63	4.38	-0.372	0.71		4
ENSG00000198692	2690	0.453	0.303	1.49	0.135	0.311	0
ENSG00000229236	23.6	-0.252	0.599	-0.421	0.674	0.811	0
ENSG00000260197	31.8	-0.419	0.714	-0.587	0.557	0.728	0
ENSG00000228787	1.14	-1.48	2.49	-0.594	0.553		4
ENSG00000290853	275	-0.566	0.314	-1.8	0.0714	0.207	0
ENSG00000067048	6300	-0.853	0.305	-2.8	0.00518	0.0349	0
ENSG00000286009	49.3	1.44	0.456	3.16	0.00155	0.0148	0
ENSG00000291034	346	0.685	0.299	2.29	0.0218	0.095	0
ENSG00000212855	1.56	-0.365	2.36	-0.155	0.877		2
ENSG00000290323	2.32	-1.61	2.06	-0.782	0.434		1
ENSG00000277930	1.06	4.31	2.61	1.65	0.099		2
ENSG00000231535	47.2	-1.29	0.418	-3.09	0.00199	0.0176	0
ENSG00000233070	1.06	-2.92	2.88	-1.01	0.311		3
ENSG00000278847	6.89	0.0296	0.957	0.0309	0.975	0.988	0
ENSG00000292348	16900	-0.459	0.213	-2.16	0.0311	0.12	0
ENSG00000292345	2520	-0.516	0.472	-1.09	0.274	0.477	0
ENSG00000292337	2.4	0.191	1.9	0.101	0.92		2
ENSG00000292338	1320	0.215	0.315	0.683	0.494	0.679	0
ENSG00000292339	824	-0.781	0.329	-2.37	0.0177	0.0827	0
ENSG00000292331	21	-0.0437	0.613	-0.0713	0.943	0.971	0
ENSG00000292360	103	1.14	0.718	1.58	0.113	0.277	0
ENSG00000292341	4.92	-1.05	1.17	-0.891	0.373		0
ENSG00000292332	4.83	1.93	1.55	1.24	0.215		1
ENSG00000292335	0.327	2.02	6.39	0.316	0.752		3
ENSG00000292327	2440	0.264	0.219	1.21	0.227	0.426	0
ENSG00000182484	384	-0.0695	0.463	-0.15	0.881	0.939	0
ENSG00000124334	1.04	0.998	3.58	0.279	0.78		4
