gene_ID	PDX1_KO_baseMean	PDX1_KO_log2FoldChange	PDX1_KO_lfcSE	PDX1_KO_stat	PDX1_KO_pvalue	PDX1_KO_padj	PDX1_KO_n_zeros
ENSG00000271254	656	0.761	0.433	1.76	0.0792	0.189	0
ENSG00000276345	4.58	-0.164	1.44	-0.114	0.91		0
ENSG00000277196	178	-2.17	0.363	-5.97	2.33e-09	1.71e-07	0
ENSG00000278817	714	0.689	0.361	1.91	0.0558	0.148	0
ENSG00000292372	311	0.61	0.703	0.867	0.386	0.555	0
ENSG00000291016	0.534	1.51	3.76	0.401	0.689		4
ENSG00000289707	1	-1.6	4.35	-0.367	0.714		4
ENSG00000198692	2690	0.768	0.3	2.56	0.0106	0.0446	0
ENSG00000229236	23.6	-0.415	0.601	-0.69	0.49	0.648	0
ENSG00000260197	31.8	0.755	0.692	1.09	0.275	0.446	0
ENSG00000228787	1.14	0.418	2.41	0.174	0.862		2
ENSG00000290853	275	-0.612	0.312	-1.96	0.0498	0.136	0
ENSG00000067048	6300	-0.638	0.303	-2.11	0.0351	0.106	0
ENSG00000286009	49.3	1.29	0.454	2.85	0.00434	0.023	0
ENSG00000291034	346	0.575	0.297	1.94	0.0526	0.142	0
ENSG00000212855	1.56	0.426	2.28	0.187	0.852		2
ENSG00000290323	2.32	-1.61	2.04	-0.789	0.43		1
ENSG00000277930	1.06	2.68	2.72	0.985	0.324		3
ENSG00000231535	47.2	-1.91	0.434	-4.41	1.01e-05	0.000191	0
ENSG00000233070	1.06	-2.87	2.86	-1	0.316		3
ENSG00000278847	6.89	0.333	0.942	0.353	0.724	0.829	0
ENSG00000292348	16900	-0.601	0.211	-2.84	0.00447	0.0234	0
ENSG00000292345	2520	-0.251	0.468	-0.535	0.593	0.732	0
ENSG00000292337	2.4	0.352	1.88	0.187	0.852		3
ENSG00000292338	1320	0.691	0.312	2.21	0.0268	0.0882	0
ENSG00000292339	824	-0.788	0.327	-2.41	0.0159	0.0603	0
ENSG00000292331	21	-0.788	0.629	-1.25	0.21	0.372	0
ENSG00000292360	103	2	0.711	2.81	0.00489	0.0251	0
ENSG00000292341	4.92	-0.441	1.14	-0.387	0.699		0
ENSG00000292332	4.83	1.19	1.56	0.765	0.444		0
ENSG00000292335	0.327	0.596	6.39	0.0932	0.926		4
ENSG00000292327	2440	0.26	0.217	1.2	0.23	0.395	0
ENSG00000182484	384	-0.921	0.461	-2	0.0458	0.128	0
ENSG00000124334	1.04	0	3.56	0	1		5
ENSG00000124333	1310	0.0471	0.299	0.157	0.875	0.928	0
ENSG00000224533	8.21	-3.76	1.3	-2.88	0.00393	0.0213	1
ENSG00000155961	1360	0.603	0.247	2.44	0.0145	0.0565	0
ENSG00000274183	2.32	0.111	1.66	0.067	0.947		1
ENSG00000154620	308	0.118	0.286	0.412	0.681	0.799	0
ENSG00000130830	1870	1.74	0.333	5.23	1.7e-07	6.71e-06	0
ENSG00000272681	1.98	0.912	2.68	0.34	0.734		4
ENSG00000269335	1490	0.0505	0.166	0.304	0.761	0.855	0
ENSG00000160211	450	0.369	0.202	1.83	0.0678	0.169	0
ENSG00000102178	1890	-0.151	0.138	-1.09	0.276	0.446	0
ENSG00000130827	2940	0.437	0.462	0.948	0.343	0.514	0
ENSG00000071859	6810	0.514	0.279	1.84	0.0653	0.165	0
ENSG00000013563	1380	0.641	0.244	2.63	0.00858	0.0381	0
ENSG00000280195	159	-0.237	0.252	-0.942	0.346	0.517	0
ENSG00000231830	1.18	1.33	2.55	0.521	0.602		2
ENSG00000007350	3.25	2.94	1.84	1.6	0.11		1
ENSG00000269433	12.9	-6.03	1.61	-3.75	0.000178	0.00193	3
ENSG00000268221	2.08	-1.23	2.46	-0.5	0.617		4
ENSG00000169057	1520	0.169	0.153	1.11	0.269	0.439	0
ENSG00000177854	651	0.675	0.288	2.35	0.0189	0.0683	0
ENSG00000102032	34.9	0.651	0.537	1.21	0.226	0.39	0
ENSG00000089820	680	0.752	0.315	2.39	0.0169	0.0631	0
ENSG00000273769	0.367	1.81	4.56	0.397	0.692		3
ENSG00000198910	763	1.4	0.417	3.35	0.000798	0.00622	0
ENSG00000067840	432	0.786	0.375	2.1	0.036	0.108	0
ENSG00000180879	13600	-0.0985	0.311	-0.317	0.751	0.848	0
ENSG00000067829	4440	0.62	0.264	2.35	0.0187	0.0678	0
ENSG00000198753	8.06	-1.26	0.951	-1.32	0.186	0.342	0
