baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Name
795	0.3	0.114	2.63	0.00863	0.0963	ENSG00000271254
36	-0.656	0.342	-1.92	0.0553	0.348	ENSG00000277196
51.4	-0.53	0.257	-2.07	0.0388	0.282	ENSG00000278817
0.414	-0.941	4.39	-0.214	0.83	0.994	ENSG00000276017
301	-0.238	0.286	-0.835	0.404	0.858	ENSG00000198692
8.35	-0.238	0.623	-0.382	0.702	0.988	ENSG00000229236
19.2	-0.553	0.527	-1.05	0.294	0.774	ENSG00000260197
64.2	0.384	0.306	1.25	0.21	0.674	ENSG00000290853
1940	-0.124	0.174	-0.71	0.478	0.904	ENSG00000067048
3.53	-0.0437	1.17	-0.0374	0.97	1	ENSG00000286009
0.268	0	4.41	0	1	1	ENSG00000290323
0.167	-0.92	4.41	-0.209	0.835	0.994	ENSG00000277930
0.0851	0	4.41	0	1	1	ENSG00000176679
66.4	1.89	0.907	2.08	0.0372	0.274	ENSG00000231535
5.58	2.55	1.95	1.31	0.191	0.648	ENSG00000233070
0.995	-0.0114	1.89	-0.00607	0.995	1	ENSG00000278847
338	0.297	0.243	1.22	0.223	0.693	ENSG00000182484
1.71	1.26	1.43	0.88	0.379	0.842	ENSG00000124334
1120	0.038	0.138	0.275	0.783	0.994	ENSG00000124333
5.89	-0.506	1.16	-0.437	0.662	0.979	ENSG00000224533
53.4	-0.00494	0.356	-0.0139	0.989	1	ENSG00000155961
0.811	-0.602	2.53	-0.238	0.812	0.994	ENSG00000274183
6.17	19.5	2.44	8.01	1.18e-15	1.18e-13	ENSG00000203870
52.5	-0.0137	0.479	-0.0285	0.977	1	ENSG00000154620
1090	2.9	1.44	2.01	0.0441	0.305	ENSG00000130830
2.75	-1.4	1.51	-0.926	0.354	0.826	ENSG00000272681
250	0.315	0.123	2.57	0.0102	0.11	ENSG00000269335
942	-0.0285	0.134	-0.212	0.832	0.994	ENSG00000160211
406	-0.151	0.131	-1.15	0.251	0.726	ENSG00000102178
2670	-0.0207	0.171	-0.122	0.903	1	ENSG00000130827
1010	0.206	0.16	1.29	0.197	0.657	ENSG00000071859
275	-0.296	0.19	-1.56	0.119	0.523	ENSG00000013563
11.8	1.18	0.588	2.01	0.0444	0.306	ENSG00000280195
1200	-0.245	0.179	-1.37	0.171	0.621	ENSG00000169057
29.6	-0.107	0.313	-0.343	0.732	0.994	ENSG00000177854
32.9	0.0144	0.292	0.0494	0.961	1	ENSG00000102032
21.3	-0.266	0.424	-0.627	0.531	0.931	ENSG00000089820
5880	0.113	0.252	0.448	0.654	0.977	ENSG00000198910
42.9	-0.44	0.433	-1.02	0.31	0.788	ENSG00000067840
849	0.082	0.288	0.285	0.776	0.994	ENSG00000180879
405	0.149	0.118	1.26	0.206	0.668	ENSG00000067829
29.5	0.486	0.49	0.99	0.322	0.8	ENSG00000198753
2020	0.264	0.204	1.29	0.196	0.655	ENSG00000185825
9.03	1.01	0.63	1.61	0.108	0.499	ENSG00000130822
165	5.63	1.92	2.93	0.00334	0.0441	ENSG00000067842
0.0743	0.984	4.41	0.223	0.823	0.994	ENSG00000214897
23.5	-0.5	0.399	-1.25	0.21	0.674	ENSG00000183837
407	-0.033	0.157	-0.211	0.833	0.994	ENSG00000147383
465	-0.367	0.187	-1.97	0.0492	0.326	ENSG00000147400
1180	-0.423	0.222	-1.9	0.0568	0.352	ENSG00000160131
1730	0.0297	0.175	0.17	0.865	0.997	ENSG00000029993
398	-0.278	0.193	-1.44	0.148	0.584	ENSG00000102181
609	-0.0296	0.147	-0.201	0.841	0.994	ENSG00000063601
