baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Name
795	0.204	0.122	1.68	0.0932	0.611	ENSG00000271254
36	-0.227	0.354	-0.642	0.521	1	ENSG00000277196
51.4	-1.1	0.288	-3.82	0.000131	0.0036	ENSG00000278817
0.414	1.54	4.57	0.337	0.736	1	ENSG00000276017
301	-0.0184	0.303	-0.0606	0.952	1	ENSG00000198692
8.35	-0.119	0.658	-0.18	0.857	1	ENSG00000229236
19.2	0.435	0.536	0.811	0.417	1	ENSG00000260197
64.2	0.0773	0.329	0.235	0.814	1	ENSG00000290853
1940	-0.154	0.185	-0.831	0.406	1	ENSG00000067048
3.53	0.0711	1.24	0.0574	0.954	1	ENSG00000286009
0.268	15	4.67	3.22	0.0013	0.0231	ENSG00000290323
0.167	0.158	4.67	0.0339	0.973	1	ENSG00000277930
0.0851	1.24	4.67	0.266	0.79	1	ENSG00000176679
66.4	1.97	0.961	2.05	0.0402	0.369	ENSG00000231535
5.58	2.94	2.04	1.44	0.15	0.77	ENSG00000233070
0.995	-31.3	2.26	-13.8	1.62e-43	2.59e-40	ENSG00000278847
338	0.234	0.259	0.905	0.365	1	ENSG00000182484
1.71	0.899	1.53	0.586	0.558	1	ENSG00000124334
1120	0.211	0.146	1.44	0.15	0.771	ENSG00000124333
5.89	-0.038	1.21	-0.0314	0.975	1	ENSG00000224533
53.4	0.0327	0.378	0.0865	0.931	1	ENSG00000155961
0.811	-1.38	2.75	-0.503	0.615	1	ENSG00000274183
6.17	19.5	2.55	7.65	1.99e-14	1.99e-12	ENSG00000203870
52.5	-0.739	0.518	-1.43	0.154	0.778	ENSG00000154620
1090	3.17	1.53	2.08	0.038	0.356	ENSG00000130830
2.75	0.312	1.48	0.211	0.833	1	ENSG00000272681
250	0.15	0.132	1.14	0.255	0.937	ENSG00000269335
942	-0.0206	0.143	-0.144	0.885	1	ENSG00000160211
406	-0.103	0.139	-0.736	0.462	1	ENSG00000102178
2670	-0.0481	0.181	-0.265	0.791	1	ENSG00000130827
1010	-0.043	0.17	-0.253	0.8	1	ENSG00000071859
275	-0.21	0.202	-1.04	0.299	0.984	ENSG00000013563
11.8	0.743	0.635	1.17	0.242	0.917	ENSG00000280195
1200	-0.0399	0.19	-0.21	0.833	1	ENSG00000169057
29.6	0.0402	0.329	0.122	0.903	1	ENSG00000177854
32.9	-0.217	0.318	-0.684	0.494	1	ENSG00000102032
21.3	-0.459	0.459	-1	0.317	0.996	ENSG00000089820
5880	0.275	0.268	1.03	0.304	0.989	ENSG00000198910
42.9	-0.411	0.461	-0.89	0.373	1	ENSG00000067840
849	-0.198	0.306	-0.649	0.517	1	ENSG00000180879
405	-0.0523	0.126	-0.413	0.679	1	ENSG00000067829
29.5	0.41	0.522	0.785	0.433	1	ENSG00000198753
2020	0.119	0.216	0.549	0.583	1	ENSG00000185825
9.03	0.587	0.682	0.862	0.389	1	ENSG00000130822
165	5.56	2.03	2.74	0.00617	0.0879	ENSG00000067842
0.0743	0	4.67	0	1	1	ENSG00000214897
23.5	-1.08	0.446	-2.43	0.0152	0.182	ENSG00000183837
407	0.143	0.166	0.863	0.388	1	ENSG00000147383
465	-0.303	0.198	-1.53	0.126	0.709	ENSG00000147400
1180	-0.193	0.236	-0.82	0.412	1	ENSG00000160131
1730	-0.0584	0.186	-0.314	0.754	1	ENSG00000029993
398	-0.205	0.205	-1	0.317	0.996	ENSG00000102181
609	0.00538	0.156	0.0344	0.973	1	ENSG00000063601
45.4	0.749	0.664	1.13	0.26	0.942	ENSG00000013619
355	-0.0322	0.167	-0.193	0.847	1	ENSG00000269556
58.3	-0.0104	0.335	-0.0311	0.975	1	ENSG00000241769
0.195	54.6	4.67	11.7	1.1e-31	4.34e-29	ENSG00000287796
0.618	-18.4	4.56	-4.04	5.44e-05	0.00165	ENSG00000203926
9.78	0.45	0.674	0.668	0.504	1	ENSG00000277215
496	-0.101	0.298	-0.338	0.735	1	ENSG00000182195
6.85	0.39	0.798	0.489	0.625	1	ENSG00000134595
123	-0.392	0.348	-1.13	0.259	0.941	ENSG00000129682
13.4	-0.73	0.668	-1.09	0.274	0.959	ENSG00000291054
0.746	0.156	3.34	0.0467	0.963	1	ENSG00000233093
555	4.52	1.65	2.74	0.00612	0.0875	ENSG00000102243
179	-0.451	0.195	-2.32	0.0206	0.229	ENSG00000165359
15.6	0.353	0.456	0.776	0.438	1	ENSG00000178947
285	0.0915	0.178	0.513	0.608	1	ENSG00000173275
0.324	-0.668	4.66	-0.143	0.886	1	ENSG00000169551
408	0.0609	0.232	0.262	0.793	1	ENSG00000203950
26.1	0.515	0.461	1.12	0.265	0.948	ENSG00000184785
1470	0.461	0.29	1.59	0.112	0.667	ENSG00000101928
389	0.218	0.167	1.3	0.193	0.849	ENSG00000156504
2.7	-2.88	1.68	-1.72	0.0859	0.584	ENSG00000170965
1360	-0.31	0.207	-1.5	0.133	0.729	ENSG00000156531
104	-1.09	0.356	-3.06	0.0022	0.0358	ENSG00000147257
0.833	1.49	2.86	0.523	0.601	1	ENSG00000183434
2790	5.61	1.96	2.87	0.00411	0.0622	ENSG00000076770
1440	-0.421	0.303	-1.39	0.165	0.802	ENSG00000134602
241	-0.217	0.125	-1.73	0.0834	0.576	ENSG00000213468
0.157	0.443	4.67	0.0949	0.924	1	ENSG00000286060
0.618	15.6	3.5	4.45	8.58e-06	0.000304	ENSG00000147256
172	-0.0262	0.186	-0.141	0.888	1	ENSG00000102078
1120	0.766	0.618	1.24	0.215	0.879	ENSG00000085185
0.241	0	4.66	0	1	1	ENSG00000235189
1570	0.0607	0.108	0.562	0.574	1	ENSG00000188706
0.343	0	4.66	0	1	1	ENSG00000123165
2.04	1.61	1.67	0.964	0.335	1	ENSG00000198354
50.5	0.302	0.548	0.552	0.581	1	ENSG00000009694
0.477	-0.736	4.63	-0.159	0.874	1	ENSG00000282419
1660	-0.0884	0.153	-0.577	0.564	1	ENSG00000101966
1980	-0.176	0.141	-1.24	0.214	0.876	ENSG00000125676
40.9	-0.914	0.389	-2.35	0.0188	0.214	ENSG00000125675
296	-0.0733	0.148	-0.494	0.621	1	ENSG00000171155
3610	-0.692	0.233	-2.97	0.00297	0.0469	ENSG00000158290
4700	-0.0276	0.104	-0.264	0.792	1	ENSG00000005893
41.7	-0.373	0.484	-0.77	0.441	1	ENSG00000125355
0.464	15.7	4.65	3.38	0.000725	0.0151	ENSG00000258545
148	0.0161	0.158	0.102	0.919	1	ENSG00000125352
1.85	-1.1	1.74	-0.631	0.528	1	ENSG00000286366
1030	-0.0671	0.102	-0.658	0.51	1	ENSG00000125354
258	0.0722	0.317	0.227	0.82	1	ENSG00000018610
1590	0.35	0.392	0.892	0.372	1	ENSG00000077721
2200	-0.00339	0.206	-0.0165	0.987	1	ENSG00000005022
7.73	-0.349	0.71	-0.492	0.623	1	ENSG00000224281
3.9	-0.583	1.24	-0.471	0.638	1	ENSG00000237903
170	0.212	0.233	0.911	0.362	1	ENSG00000077713
11.3	-0.628	0.798	-0.787	0.431	1	ENSG00000175556
80.5	-0.514	0.235	-2.19	0.0289	0.292	ENSG00000235244
6770	0.12	0.146	0.82	0.412	1	ENSG00000102024
1.62	29.6	3.37	8.76	1.89e-18	3.09e-16	ENSG00000288595
0.394	15.5	3.62	4.29	1.82e-05	0.000609	ENSG00000286767
44.1	-2.15	0.373	-5.76	8.4e-09	4.56e-07	ENSG00000077279
0.236	15.7	4.67	3.37	0.000759	0.0157	ENSG00000133136
1.24	1.29	2.45	0.526	0.599	1	ENSG00000224142
462	-0.15	0.162	-0.927	0.354	1	ENSG00000157600
21.1	0.458	0.465	0.986	0.324	1	ENSG00000289365
3510	0.258	0.207	1.25	0.212	0.874	ENSG00000068366
2.34	1.28	1.6	0.8	0.423	1	ENSG00000101890
3.39	-1.13	0.985	-1.14	0.253	0.934	ENSG00000237863
1670	0.291	0.206	1.42	0.156	0.784	ENSG00000197565
284	0.163	0.138	1.18	0.238	0.911	ENSG00000101844
186	0.0248	0.384	0.0647	0.948	1	ENSG00000080561
11.2	0.084	0.552	0.152	0.879	1	ENSG00000198088
0.451	2.8	4.56	0.613	0.54	1	ENSG00000165376
0.825	20.8	4.4	4.73	2.23e-06	8.67e-05	ENSG00000147223
1520	1.44	1.09	1.33	0.184	0.839	ENSG00000133131
167	-0.329	0.157	-2.09	0.0367	0.348	ENSG00000133138
256	1.09	1.23	0.883	0.377	1	ENSG00000133135
262	2.28	1.2	1.89	0.0586	0.468	ENSG00000157502
6.13	4.12	2.06	2	0.0455	0.403	ENSG00000189108
22.3	0.42	0.656	0.64	0.522	1	ENSG00000166707
127	-0.542	0.507	-1.07	0.285	0.97	ENSG00000269226
18.7	0.746	0.578	1.29	0.197	0.851	ENSG00000231728
3.56	0.471	1.03	0.459	0.646	1	ENSG00000172476
8.36	0.31	0.694	0.447	0.655	1	ENSG00000234405
1240	-0.0869	0.106	-0.823	0.411	1	ENSG00000185222
335	0.15	0.416	0.361	0.718	1	ENSG00000182916
118	0.316	0.221	1.43	0.154	0.778	ENSG00000133134
0.284	15	4.67	3.22	0.00128	0.023	ENSG00000147206
21	0.906	0.446	2.03	0.042	0.381	ENSG00000286846
25.6	1.27	0.764	1.67	0.0951	0.617	ENSG00000286237
193	-0.0768	0.218	-0.352	0.725	1	ENSG00000158301
163	-0.277	0.188	-1.47	0.14	0.747	ENSG00000125962
0.351	-15.3	4.67	-3.28	0.00105	0.0201	ENSG00000290811
0.994	-1.89	2.08	-0.91	0.363	1	ENSG00000184905
843	-0.314	0.163	-1.93	0.0531	0.443	ENSG00000184867
0.779	-1.77	2.72	-0.648	0.517	1	ENSG00000228275
2200	-0.0668	0.138	-0.485	0.627	1	ENSG00000102401
118	3.34	1.75	1.91	0.0556	0.455	ENSG00000010671
317	-0.211	0.194	-1.09	0.276	0.961	ENSG00000102384
4.14	-1.2	1.24	-0.971	0.332	1	ENSG00000204086
305	0.262	0.201	1.31	0.192	0.848	ENSG00000147202
0.43	14.9	4.66	3.2	0.00136	0.0237	ENSG00000286523
293	-0.242	0.468	-0.518	0.605	1	ENSG00000186310
47.5	-0.23	0.28	-0.82	0.412	1	ENSG00000289479
0.927	1.48	2.39	0.62	0.536	1	ENSG00000234161
8.26	0.336	0.808	0.416	0.677	1	ENSG00000184788
311	-0.0409	0.207	-0.198	0.843	1	ENSG00000072133
1.54	0.135	1.5	0.0898	0.928	1	ENSG00000196767
961	-0.223	0.369	-0.606	0.545	1	ENSG00000131171
14.9	-0.348	0.497	-0.7	0.484	1	ENSG00000147255
58.7	-0.0175	0.296	-0.0591	0.953	1	ENSG00000198157
1930	-0.0986	0.0949	-1.04	0.299	0.984	ENSG00000165288
1.44	1.36	1.89	0.716	0.474	1	ENSG00000122145
199	-0.0589	0.33	-0.178	0.858	1	ENSG00000078596
1470	-0.194	0.152	-1.27	0.203	0.86	ENSG00000102158
79.1	-0.0706	0.272	-0.26	0.795	1	ENSG00000198934
435	0.0802	0.152	0.526	0.599	1	ENSG00000102390
243	0.109	0.215	0.507	0.612	1	ENSG00000094841
280	0.304	0.41	0.741	0.459	1	ENSG00000147100
828	-0.0751	0.0975	-0.771	0.441	1	ENSG00000225470
2.54	-0.0585	1.44	-0.0405	0.968	1	ENSG00000229807
0.781	0.152	2.63	0.0578	0.954	1	ENSG00000131264
0.59	-15.5	4.45	-3.48	0.000497	0.011	ENSG00000186288
2.26	-1.14	2.82	-0.403	0.687	1	ENSG00000269502
26.2	0.149	0.33	0.453	0.651	1	ENSG00000269911
556	0.0565	0.119	0.475	0.635	1	ENSG00000147099
6590	-0.101	0.0929	-1.09	0.278	0.963	ENSG00000198034
80.1	-0.283	0.364	-0.776	0.438	1	ENSG00000186871
236	0.0283	0.179	0.158	0.875	1	ENSG00000102309
970	-0.0995	0.192	-0.518	0.604	1	ENSG00000204131
0.0923	0	4.67	0	1	1	ENSG00000215113
7.16	-0.654	0.793	-0.825	0.409	1	ENSG00000281852
0.251	0	4.67	0	1	1	ENSG00000283599
1290	0.00777	0.0783	0.0992	0.921	1	ENSG00000147133
6930	-0.12	0.0729	-1.65	0.0996	0.631	ENSG00000147140
74	0.152	0.647	0.234	0.815	1	ENSG00000196338
1900	-0.0294	0.177	-0.166	0.868	1	ENSG00000184634
0.25	1.33	4.66	0.285	0.776	1	ENSG00000147168
919	1.4	1.06	1.33	0.185	0.84	ENSG00000184481
31	0.693	0.383	1.81	0.0705	0.521	ENSG00000165349
388	-0.178	0.202	-0.88	0.379	1	ENSG00000120509
627	-0.0607	0.109	-0.556	0.578	1	ENSG00000089289
58.1	0.00904	0.386	0.0234	0.981	1	ENSG00000158813
1160	0.0834	0.201	0.416	0.678	1	ENSG00000181704
1.92	-1.29	1.55	-0.833	0.405	1	ENSG00000289038
1160	-0.368	0.122	-3.01	0.0026	0.0416	ENSG00000089472
1.65	17	4.2	4.05	5.14e-05	0.00158	ENSG00000274536
2.15	1.22	1.59	0.769	0.442	1	ENSG00000198881
172	-0.0507	0.331	-0.153	0.878	1	ENSG00000184675
321	-0.664	0.14	-4.74	2.17e-06	8.47e-05	ENSG00000186767
706	-0.122	0.119	-1.02	0.306	0.99	ENSG00000235437
120	-0.253	0.345	-0.734	0.463	1	ENSG00000198205
7.9	0.0243	0.718	0.0338	0.973	1	ENSG00000147059
68.2	-0.0646	0.259	-0.249	0.803	1	ENSG00000186787
1110	0.0857	0.251	0.342	0.732	1	ENSG00000102349
104	-0.0798	0.273	-0.293	0.77	1	ENSG00000227486
239	-0.0722	0.222	-0.326	0.744	1	ENSG00000083750
96	-0.292	0.301	-0.969	0.333	1	ENSG00000247746
60.1	-0.257	0.269	-0.953	0.34	1	ENSG00000182518
1940	-0.13	0.0783	-1.67	0.0957	0.619	ENSG00000130119
438	-0.134	0.225	-0.596	0.551	1	ENSG00000196632
158	0.111	0.209	0.53	0.596	1	ENSG00000184083
4.86	-0.396	0.92	-0.43	0.667	1	ENSG00000158423
3.97	-0.178	0.954	-0.186	0.852	1	ENSG00000235262
2130	0.0907	0.134	0.678	0.497	1	ENSG00000126012
211	-0.215	0.163	-1.32	0.186	0.841	ENSG00000232593
303	-0.24	0.206	-1.16	0.244	0.92	ENSG00000184205
0.27	16.3	4.64	3.52	0.00043	0.00983	ENSG00000179028
7070	-0.313	0.0655	-4.78	1.76e-06	6.98e-05	ENSG00000179222
285	-0.0633	0.217	-0.292	0.771	1	ENSG00000189369
3.94	0.963	1.33	0.723	0.47	1	ENSG00000223591
0.673	-0.854	4.32	-0.198	0.843	1	ENSG00000283093
25.2	0.408	0.473	0.863	0.388	1	ENSG00000224109
3.39	-0.949	1.15	-0.826	0.409	1	ENSG00000226530
1.11	0.38	1.85	0.205	0.838	1	ENSG00000230317
446	0.107	0.246	0.435	0.664	1	ENSG00000158352
12.1	-0.89	0.598	-1.49	0.136	0.738	ENSG00000274588
0						ENSG00000147081
36.6	-0.31	0.339	-0.916	0.36	1	ENSG00000270012
1.57	-1.54	1.72	-0.894	0.371	1	ENSG00000286181
144	0.261	0.214	1.22	0.223	0.889	ENSG00000012211
12.5	0.0895	0.902	0.0993	0.921	1	ENSG00000269313
291	-0.389	0.352	-1.1	0.269	0.953	ENSG00000243279
814	0.0702	0.112	0.625	0.532	1	ENSG00000068400
496	-0.167	0.141	-1.18	0.237	0.909	ENSG00000102100
0.721	-0.731	2.25	-0.325	0.745	1	ENSG00000187682
896	-0.124	0.111	-1.12	0.264	0.946	ENSG00000094631
1.64	-0.968	1.47	-0.659	0.51	1	ENSG00000015285
3640	-0.0471	0.187	-0.251	0.802	1	ENSG00000102317
459	0.0224	0.153	0.147	0.883	1	ENSG00000147155
176	-0.0353	0.27	-0.131	0.896	1	ENSG00000102312
2.31	0.599	1.19	0.504	0.614	1	ENSG00000287757
504	0.022	0.147	0.15	0.881	1	ENSG00000197779
12.7	0.118	0.978	0.121	0.904	1	ENSG00000267064
330	0.0839	0.134	0.628	0.53	1	ENSG00000126756
544	0.134	0.147	0.913	0.361	1	ENSG00000078061
1.57	-1.81	1.71	-1.06	0.29	0.974	ENSG00000289890
13.6	-0.0186	0.509	-0.0365	0.971	1	ENSG00000196741
277	-0.00361	0.198	-0.0182	0.985	1	ENSG00000147124
924	-0.0751	0.144	-0.52	0.603	1	ENSG00000102226
542	-0.0943	0.133	-0.711	0.477	1	ENSG00000147123
2.98	-0.197	1.02	-0.193	0.847	1	ENSG00000130988
712	0.12	0.367	0.326	0.744	1	ENSG00000102221
1.69	-0.0227	1.33	-0.0171	0.986	1	ENSG00000204904
959	0.303	0.154	1.97	0.0488	0.421	ENSG00000065923
149	0.0462	0.211	0.219	0.827	1	ENSG00000251192
7.79	0.151	0.687	0.22	0.826	1	ENSG00000236751
470	0.0763	0.297	0.257	0.797	1	ENSG00000270069
4.94	1.31	0.978	1.34	0.18	0.832	ENSG00000224294
1.64	2.42	1.74	1.39	0.163	0.801	ENSG00000287223
1.91	1.05	1.27	0.828	0.408	1	ENSG00000188937
8.11	-0.494	0.955	-0.517	0.605	1	ENSG00000126950
4.17	1.07	0.99	1.08	0.281	0.965	ENSG00000223486
0.441	16.2	4.64	3.49	0.00049	0.0109	ENSG00000289127
0.449	-0.998	4.54	-0.22	0.826	1	ENSG00000238123
127	0.19	0.208	0.914	0.361	1	ENSG00000156313
0.43	0.808	3.56	0.227	0.82	1	ENSG00000165168
19.9	0.484	0.51	0.95	0.342	1	ENSG00000147036
1150	0.226	0.0983	2.3	0.0215	0.235	ENSG00000130962
0.252	-2.07	4.63	-0.446	0.655	1	ENSG00000198173
1.12	-1.93	1.7	-1.13	0.259	0.941	ENSG00000174016
1.37	-0.813	1.63	-0.498	0.619	1	ENSG00000165164
0.0743	0	4.67	0	1	1	ENSG00000189023
195	0.654	0.156	4.19	2.84e-05	0.000922	ENSG00000198947
15.5	-0.268	0.454	-0.591	0.554	1	ENSG00000198814
27.8	-0.463	0.382	-1.21	0.225	0.891	ENSG00000169297
0.838	-0.89	2.43	-0.366	0.714	1	ENSG00000198798
0.434	0	4.66	0	1	1	ENSG00000004848
385	0.0538	0.16	0.337	0.736	1	ENSG00000101868
14.7	0.306	0.555	0.551	0.582	1	ENSG00000289472
183	-0.127	0.455	-0.278	0.781	1	ENSG00000174010
0.527	-16.5	4.59	-3.6	0.000316	0.0077	ENSG00000165182
83.8	0.336	0.222	1.51	0.131	0.722	ENSG00000184831
1120	-0.0281	0.258	-0.109	0.913	1	ENSG00000123130
1380	-0.222	0.177	-1.26	0.209	0.869	ENSG00000123131
180	0.695	0.167	4.17	3.1e-05	0.000999	ENSG00000165186
0						ENSG00000233067
33.3	0.375	0.475	0.79	0.429	1	ENSG00000102174
1.07	-1.47	2.03	-0.721	0.471	1	ENSG00000288832
124	-0.687	0.402	-1.71	0.0878	0.59	ENSG00000149970
57.2	-0.0751	0.295	-0.255	0.799	1	ENSG00000184368
2700	0.163	0.0855	1.91	0.0563	0.458	ENSG00000147010
34.9	0.0104	0.631	0.0164	0.987	1	ENSG00000180815
18.4	1.37	1.08	1.26	0.207	0.867	ENSG00000173698
301	-0.0365	0.218	-0.167	0.867	1	ENSG00000044446
1.21	2.53	2.06	1.22	0.221	0.887	ENSG00000237836
1.02	-1.32	2.86	-0.462	0.644	1	ENSG00000086717
739	0.29	0.321	0.905	0.365	1	ENSG00000008086
40.4	0.408	0.51	0.8	0.424	1	ENSG00000102098
1.76	0.226	1.38	0.164	0.87	1	ENSG00000225882
99.3	0.204	0.219	0.931	0.352	1	ENSG00000047634
3.56	1.59	1.41	1.13	0.259	0.942	ENSG00000235834
124	0.0474	0.234	0.203	0.839	1	ENSG00000169891
0.486	-1.61	4.53	-0.355	0.723	1	ENSG00000238178
30.3	0.289	0.653	0.442	0.658	1	ENSG00000126010
864	0.382	0.459	0.832	0.405	1	ENSG00000182287
20.5	0.357	0.432	0.826	0.409	1	ENSG00000147003
128	1.38	0.767	1.8	0.0726	0.53	ENSG00000130234
44.2	0.166	0.344	0.483	0.629	1	ENSG00000087842
76.6	0.0853	0.225	0.38	0.704	1	ENSG00000046647
9.63	0.28	0.682	0.411	0.681	1	ENSG00000289449
554	0.66	0.479	1.38	0.168	0.809	ENSG00000123595
26.3	0.481	0.573	0.84	0.401	1	ENSG00000176896
0.239	1.01	4.63	0.219	0.827	1	ENSG00000101916
0.596	16.1	4.54	3.54	0.000406	0.00944	ENSG00000233338
24	2.7	0.963	2.8	0.0051	0.0753	ENSG00000196664
376	-0.336	0.133	-2.53	0.0114	0.146	ENSG00000101911
5.55	1.15	0.915	1.26	0.207	0.867	ENSG00000047648
5520	-0.4	0.158	-2.54	0.0111	0.143	ENSG00000101871
0.231	0.154	4.67	0.0331	0.974	1	ENSG00000227042
182	-0.184	0.356	-0.517	0.605	1	ENSG00000101850
960	0.0737	0.0717	1.03	0.304	0.988	ENSG00000101849
5.04	-1.84	1.04	-1.77	0.0774	0.552	ENSG00000287171
