baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Name
770	-0.0838	0.0881	-0.951	0.342	0.513	ENSG00000271254
45.7	-1.01	0.322	-3.13	0.00174	0.00909	ENSG00000277196
60.9	-0.847	0.314	-2.7	0.00691	0.0273	ENSG00000278817
0.0546	-0.0827	6.34	-0.013	0.99		ENSG00000276017
303	-0.31	0.0979	-3.17	0.00155	0.00827	ENSG00000198692
7.21	-0.648	0.538	-1.2	0.229	0.39	ENSG00000229236
18	-0.331	0.316	-1.05	0.295	0.466	ENSG00000260197
101	-0.441	0.248	-1.78	0.0752	0.176	ENSG00000290853
3050	0.446	0.1	4.46	8.31e-06	0.000127	ENSG00000067048
1.42	-0.255	1.06	-0.241	0.81	0.889	ENSG00000286009
0.752	0.185	1.31	0.141	0.888		ENSG00000290323
0.395	1.1	1.97	0.559	0.576		ENSG00000277930
0.451	-1.1	1.75	-0.631	0.528		ENSG00000176679
247	-0.104	0.181	-0.577	0.564	0.711	ENSG00000231535
26.5	0.163	0.184	0.887	0.375	0.546	ENSG00000233070
1.24	-0.465	1	-0.465	0.642		ENSG00000278847
356	0.312	0.0795	3.93	8.52e-05	0.000818	ENSG00000182484
2.5	0.0996	0.571	0.174	0.862	0.92	ENSG00000124334
720	-0.0207	0.0635	-0.326	0.745	0.847	ENSG00000124333
3.52	0.0262	1.11	0.0236	0.981	0.99	ENSG00000224533
14.8	-0.32	0.321	-0.998	0.318	0.49	ENSG00000155961
0.252	-0.355	2.86	-0.124	0.901		ENSG00000274183
19.1	0.196	0.546	0.359	0.72	0.829	ENSG00000203870
96.3	-0.864	0.669	-1.29	0.196	0.352	ENSG00000154620
5740	-0.0729	0.234	-0.311	0.756	0.855	ENSG00000130830
2.05	-0.989	0.787	-1.26	0.209	0.367	ENSG00000272681
315	-0.0447	0.0972	-0.459	0.646	0.775	ENSG00000269335
1050	-0.367	0.125	-2.92	0.00346	0.0157	ENSG00000160211
421	-0.228	0.0865	-2.64	0.00834	0.0317	ENSG00000102178
953	0.639	0.139	4.59	4.36e-06	7.49e-05	ENSG00000130827
1000	0.378	0.114	3.33	0.000878	0.00522	ENSG00000071859
155	0.325	0.102	3.18	0.00146	0.00793	ENSG00000013563
10.3	-0.114	0.305	-0.375	0.708	0.82	ENSG00000280195
522	-0.117	0.126	-0.93	0.353	0.524	ENSG00000169057
33.8	0.108	0.193	0.559	0.576	0.72	ENSG00000177854
3.32	1.63	0.591	2.76	0.0057	0.0234	ENSG00000102032
24.7	-0.156	0.227	-0.687	0.492	0.652	ENSG00000089820
199	-0.447	0.413	-1.08	0.279	0.449	ENSG00000198910
2.02	1.16	0.776	1.5	0.134	0.267	ENSG00000067840
1770	0.427	0.108	3.95	7.97e-05	0.000781	ENSG00000180879
637	0.0264	0.0958	0.275	0.783	0.872	ENSG00000067829
2.66	0.335	0.504	0.666	0.506	0.664	ENSG00000198753
2860	0.132	0.109	1.21	0.227	0.389	ENSG00000185825
110	0.265	0.512	0.518	0.605	0.743	ENSG00000130822
720	0.43	0.219	1.96	0.05	0.129	ENSG00000067842
0.899	-0.123	1.1	-0.112	0.911		ENSG00000214897
3.67	-0.365	0.598	-0.611	0.541	0.693	ENSG00000183837
486	-0.158	0.119	-1.33	0.182	0.333	ENSG00000147383
357	-0.0925	0.0826	-1.12	0.263	0.43	ENSG00000147400
1050	-0.508	0.114	-4.47	7.82e-06	0.000121	ENSG00000160131
4690	-0.826	0.168	-4.93	8.3e-07	1.92e-05	ENSG00000029993
319	-0.673	0.128	-5.24	1.59e-07	5.09e-06	ENSG00000102181
1050	-0.115	0.0692	-1.67	0.0959	0.21	ENSG00000063601
0.767	-0.195	1.31	-0.15	0.881		ENSG00000013619
204	-0.144	0.0973	-1.48	0.138	0.274	ENSG00000269556
31.3	-0.149	0.28	-0.532	0.595	0.735	ENSG00000241769
1.34	1.93	0.938	2.05	0.04		ENSG00000287796
0.0119	0	6.34	0	1		ENSG00000203926
1.37	-2.85	1.28	-2.23	0.0256		ENSG00000277215
294	-0.0162	0.0935	-0.174	0.862	0.92	ENSG00000182195
0.341	2.78	2.54	1.09	0.275		ENSG00000134595
200	-0.757	0.224	-3.38	0.000725	0.00451	ENSG00000129682
10.8	-0.223	0.332	-0.673	0.501	0.66	ENSG00000291054
1.81	0.801	0.769	1.04	0.298	0.469	ENSG00000233093
3710	0.114	0.15	0.759	0.448	0.614	ENSG00000102243
144	1.09	0.213	5.13	2.87e-07	8.19e-06	ENSG00000165359
11.3	0.385	0.298	1.29	0.197	0.352	ENSG00000178947
139	0.269	0.202	1.33	0.184	0.335	ENSG00000173275
0.685	-0.839	1.46	-0.576	0.565		ENSG00000169551
308	-0.115	0.113	-1.02	0.309	0.48	ENSG00000203950
13	-0.815	0.321	-2.54	0.0111	0.0396	ENSG00000184785
972	0.575	0.208	2.76	0.0057	0.0234	ENSG00000101928
632	-0.205	0.0801	-2.56	0.0106	0.0384	ENSG00000156504
5.47	0.71	0.465	1.53	0.127	0.257	ENSG00000170965
