baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Name
770	-0.161	0.0864	-1.86	0.0623	0.271	ENSG00000271254
45.7	-1.25	0.319	-3.91	9.2e-05	0.00398	ENSG00000277196
60.9	-1.23	0.311	-3.95	7.66e-05	0.00356	ENSG00000278817
0.0546	0.241	6.23	0.0387	0.969		ENSG00000276017
303	-0.0036	0.0936	-0.0384	0.969	0.99	ENSG00000198692
7.21	0.0582	0.506	0.115	0.908	0.97	ENSG00000229236
18	0.261	0.292	0.896	0.371	0.681	ENSG00000260197
101	-0.194	0.241	-0.804	0.421	0.72	ENSG00000290853
3050	0.278	0.0983	2.83	0.00465	0.0571	ENSG00000067048
1.42	1.42	0.793	1.79	0.0728		ENSG00000286009
0.752	-0.115	1.31	-0.0882	0.93		ENSG00000290323
0.395	-0.324	1.98	-0.164	0.87		ENSG00000277930
0.451	0.876	1.62	0.541	0.589		ENSG00000176679
247	0.274	0.177	1.55	0.121	0.389	ENSG00000231535
26.5	0.279	0.175	1.6	0.111	0.372	ENSG00000233070
1.24	-0.0149	0.894	-0.0167	0.987		ENSG00000278847
356	0.0262	0.0787	0.333	0.739	0.905	ENSG00000182484
2.5	-0.2	0.572	-0.349	0.727		ENSG00000124334
720	0.0171	0.0618	0.276	0.783	0.924	ENSG00000124333
3.52	-0.172	1.09	-0.157	0.875		ENSG00000224533
14.8	-0.844	0.331	-2.55	0.0108	0.095	ENSG00000155961
0.252	-0.104	2.81	-0.0369	0.971		ENSG00000274183
19.1	0.11	0.535	0.205	0.837	0.943	ENSG00000203870
96.3	-0.0228	0.654	-0.0349	0.972	0.991	ENSG00000154620
5740	-0.0844	0.23	-0.366	0.714	0.892	ENSG00000130830
2.05	0.598	0.65	0.92	0.358		ENSG00000272681
315	-0.234	0.0956	-2.45	0.0142	0.114	ENSG00000269335
1050	-0.353	0.123	-2.87	0.00406	0.0526	ENSG00000160211
421	-0.315	0.0845	-3.72	0.000196	0.00674	ENSG00000102178
953	0.13	0.137	0.95	0.342	0.656	ENSG00000130827
1000	0.0478	0.112	0.427	0.67	0.872	ENSG00000071859
155	-0.0354	0.102	-0.347	0.728	0.898	ENSG00000013563
10.3	-0.264	0.302	-0.874	0.382	0.691	ENSG00000280195
522	-0.107	0.124	-0.865	0.387	0.695	ENSG00000169057
33.8	0.0088	0.189	0.0466	0.963	0.988	ENSG00000177854
3.32	0.167	0.636	0.263	0.792		ENSG00000102032
24.7	-0.273	0.223	-1.22	0.221	0.527	ENSG00000089820
199	0.0189	0.404	0.0469	0.963	0.988	ENSG00000198910
2.02	0.531	0.798	0.665	0.506		ENSG00000067840
1770	0.084	0.106	0.789	0.43	0.726	ENSG00000180879
637	-0.19	0.0943	-2.01	0.0442	0.224	ENSG00000067829
2.66	-0.801	0.58	-1.38	0.168		ENSG00000198753
2860	-0.0754	0.107	-0.702	0.483	0.767	ENSG00000185825
110	-0.116	0.504	-0.23	0.818	0.936	ENSG00000130822
720	0.0967	0.216	0.449	0.654	0.864	ENSG00000067842
0.899	0.228	1.06	0.216	0.829		ENSG00000214897
3.67	0.109	0.548	0.2	0.842		ENSG00000183837
486	-0.145	0.116	-1.25	0.21	0.514	ENSG00000147383
357	0.0685	0.0794	0.863	0.388	0.696	ENSG00000147400
1050	-0.0502	0.111	-0.454	0.65	0.862	ENSG00000160131
4690	-0.827	0.165	-5.02	5.17e-07	0.000101	ENSG00000029993
319	-0.592	0.125	-4.73	2.26e-06	0.000291	ENSG00000102181
1050	-0.0523	0.0676	-0.773	0.439	0.734	ENSG00000063601
0.767	-0.276	1.31	-0.21	0.833		ENSG00000013619
204	-0.034	0.0936	-0.363	0.717	0.893	ENSG00000269556
31.3	0.0616	0.271	0.228	0.82	0.936	ENSG00000241769
1.34	1.21	0.95	1.28	0.201		ENSG00000287796
0.0119	0.445	6.23	0.0714	0.943		ENSG00000203926
1.37	-0.935	1.19	-0.783	0.434		ENSG00000277215
294	-0.0313	0.0911	-0.343	0.731	0.9	ENSG00000182195
0.341	0.715	2.58	0.277	0.782		ENSG00000134595
200	-0.0208	0.213	-0.0979	0.922	0.975	ENSG00000129682
10.8	-0.339	0.327	-1.04	0.299	0.616	ENSG00000291054
1.81	-0.217	0.822	-0.264	0.792		ENSG00000233093
3710	-0.0102	0.148	-0.0693	0.945	0.982	ENSG00000102243
144	0.65	0.21	3.09	0.002	0.0328	ENSG00000165359
11.3	-0.457	0.317	-1.44	0.149	0.433	ENSG00000178947
139	0.36	0.198	1.82	0.0691	0.289	ENSG00000173275
0.685	-1.43	1.44	-0.991	0.322		ENSG00000169551
308	-0.000583	0.11	-0.00529	0.996	0.999	ENSG00000203950
13	0.0396	0.26	0.152	0.879	0.96	ENSG00000184785
972	0.152	0.205	0.743	0.457	0.747	ENSG00000101928
632	-0.0482	0.0778	-0.62	0.535	0.798	ENSG00000156504
5.47	0.496	0.457	1.09	0.278	0.593	ENSG00000170965
952	0.0343	0.0914	0.375	0.708	0.889	ENSG00000156531
49.5	-1.04	0.398	-2.62	0.00885	0.085	ENSG00000147257
0.0887	-0.225	6.23	-0.0361	0.971		ENSG00000183434
45800	-0.288	0.147	-1.96	0.0501	0.241	ENSG00000076770
1690	-0.309	0.115	-2.69	0.0071	0.0746	ENSG00000134602
560	-0.0998	0.181	-0.551	0.582	0.826	ENSG00000213468
0.376	-0.239	1.47	-0.162	0.871		ENSG00000286060
2.12	0.725	0.701	1.03	0.301		ENSG00000147256
92.5	-0.00683	0.116	-0.0589	0.953	0.985	ENSG00000102078
4390	0.102	0.148	0.688	0.492	0.772	ENSG00000085185
0.409	-0.864	2.07	-0.417	0.677		ENSG00000235189
1010	0.114	0.086	1.33	0.185	0.483	ENSG00000188706
0.125	0.445	6.23	0.0714	0.943		ENSG00000123165
1.07	1.93	0.85	2.28	0.0229		ENSG00000198354
11.3	0.325	0.331	0.982	0.326	0.641	ENSG00000009694
0.519	0.996	1.49	0.669	0.503		ENSG00000282419
2290	0.151	0.0895	1.69	0.0919	0.337	ENSG00000101966
2960	0.126	0.0817	1.54	0.123	0.392	ENSG00000125676
0.972	1.46	1	1.45	0.146		ENSG00000125675
335	-0.0472	0.122	-0.387	0.699	0.886	ENSG00000171155
2170	0.246	0.119	2.07	0.0382	0.206	ENSG00000158290
3670	-0.0354	0.0536	-0.66	0.509	0.783	ENSG00000005893
2.84	-0.32	0.609	-0.525	0.599		ENSG00000125355
9.95	-0.163	0.466	-0.35	0.727	0.898	ENSG00000258545
231	-0.264	0.169	-1.56	0.118	0.385	ENSG00000125352
2.9	0.452	0.461	0.981	0.326		ENSG00000286366
1580	0.175	0.115	1.52	0.129	0.403	ENSG00000125354
482	-0.0462	0.151	-0.306	0.759	0.914	ENSG00000018610
2560	-0.0321	0.226	-0.142	0.887	0.963	ENSG00000077721
3990	-0.0739	0.187	-0.395	0.693	0.883	ENSG00000005022
8.58	0.165	0.344	0.478	0.633	0.853	ENSG00000224281
0.729	-0.349	1.16	-0.302	0.763		ENSG00000237903
73.1	-0.0124	0.202	-0.0616	0.951	0.984	ENSG00000077713
30.2	1.46	0.273	5.34	9.41e-08	2.9e-05	ENSG00000175556
54.9	-0.151	0.184	-0.82	0.412	0.714	ENSG00000235244
5110	0.0666	0.0578	1.15	0.249	0.561	ENSG00000102024
1.2	-0.101	1.03	-0.0975	0.922		ENSG00000288595
0.128	0.0677	6.23	0.0109	0.991		ENSG00000286767
3.18	-0.215	0.593	-0.362	0.717		ENSG00000077279
0.0921	0.239	6.23	0.0383	0.969		ENSG00000133136
