baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Name
770	-0.0426	0.0901	-0.473	0.636	0.803	ENSG00000271254
45.7	-1.23	0.333	-3.69	0.000224	0.0044	ENSG00000277196
60.9	-0.933	0.322	-2.89	0.0038	0.0306	ENSG00000278817
0.0546	-0.0253	6.48	-0.0039	0.997		ENSG00000276017
303	-0.356	0.101	-3.53	0.000422	0.00696	ENSG00000198692
7.21	-0.0923	0.535	-0.173	0.863	0.934	ENSG00000229236
18	-0.409	0.328	-1.25	0.212	0.421	ENSG00000260197
101	-0.213	0.252	-0.844	0.398	0.618	ENSG00000290853
3050	0.263	0.102	2.57	0.0101	0.0592	ENSG00000067048
1.42	0.173	0.997	0.174	0.862		ENSG00000286009
0.752	-0.273	1.37	-0.199	0.843		ENSG00000290323
0.395	-0.295	2.05	-0.143	0.886		ENSG00000277930
0.451	-0.652	1.79	-0.365	0.715		ENSG00000176679
247	0.0655	0.185	0.355	0.723	0.855	ENSG00000231535
26.5	0.307	0.188	1.63	0.102	0.269	ENSG00000233070
1.24	0.297	0.941	0.316	0.752		ENSG00000278847
356	0.273	0.0817	3.34	0.000841	0.011	ENSG00000182484
2.5	-0.0402	0.607	-0.0661	0.947		ENSG00000124334
720	-0.0897	0.0653	-1.37	0.17	0.368	ENSG00000124333
3.52	-0.159	1.14	-0.139	0.889	0.947	ENSG00000224533
14.8	-0.502	0.337	-1.49	0.137	0.322	ENSG00000155961
0.252	-0.975	2.93	-0.333	0.739		ENSG00000274183
19.1	0.512	0.557	0.92	0.358	0.581	ENSG00000203870
96.3	-0.285	0.682	-0.418	0.676	0.828	ENSG00000154620
5740	0.0524	0.24	0.219	0.827	0.916	ENSG00000130830
2.05	-0.513	0.759	-0.676	0.499		ENSG00000272681
315	0.07	0.0993	0.705	0.481	0.687	ENSG00000269335
1050	-0.202	0.128	-1.58	0.114	0.288	ENSG00000160211
421	-0.28	0.0891	-3.14	0.00166	0.0175	ENSG00000102178
953	0.358	0.143	2.51	0.012	0.0666	ENSG00000130827
1000	0.287	0.116	2.46	0.0137	0.0727	ENSG00000071859
155	0.1	0.107	0.938	0.348	0.572	ENSG00000013563
10.3	-0.368	0.326	-1.13	0.258	0.476	ENSG00000280195
522	-0.319	0.13	-2.46	0.014	0.0737	ENSG00000169057
33.8	-0.0425	0.203	-0.21	0.834	0.92	ENSG00000177854
3.32	0.0419	0.671	0.0625	0.95	0.976	ENSG00000102032
24.7	0.15	0.227	0.66	0.509	0.71	ENSG00000089820
199	-0.42	0.422	-0.995	0.32	0.544	ENSG00000198910
2.02	1.73	0.766	2.26	0.0237		ENSG00000067840
1770	0.287	0.111	2.59	0.0096	0.0574	ENSG00000180879
637	0.00616	0.0982	0.0628	0.95	0.976	ENSG00000067829
2.66	0.0293	0.536	0.0548	0.956		ENSG00000198753
2860	0.102	0.112	0.916	0.36	0.583	ENSG00000185825
110	0.0894	0.524	0.171	0.865	0.935	ENSG00000130822
720	0.482	0.225	2.15	0.0319	0.126	ENSG00000067842
0.899	0.0905	1.1	0.0823	0.934		ENSG00000214897
3.67	-0.434	0.619	-0.701	0.483	0.689	ENSG00000183837
486	-0.211	0.122	-1.73	0.0834	0.237	ENSG00000147383
357	-0.154	0.0853	-1.81	0.0709	0.213	ENSG00000147400
1050	-0.336	0.116	-2.9	0.00373	0.0302	ENSG00000160131
4690	-0.826	0.171	-4.82	1.44e-06	0.00012	ENSG00000029993
319	-0.47	0.131	-3.6	0.00032	0.00568	ENSG00000102181
1050	-0.138	0.071	-1.95	0.0512	0.173	ENSG00000063601
0.767	-0.537	1.36	-0.394	0.693		ENSG00000013619
204	-0.249	0.101	-2.46	0.0137	0.0727	ENSG00000269556
31.3	0.0144	0.284	0.0507	0.96	0.981	ENSG00000241769
1.34	1.3	0.984	1.33	0.185		ENSG00000287796
0.0119	0	6.48	0	1		ENSG00000203926
1.37	-2.43	1.3	-1.87	0.0617		ENSG00000277215
294	-0.143	0.0968	-1.48	0.139	0.325	ENSG00000182195
0.341	1.03	2.68	0.385	0.7		ENSG00000134595
200	-0.901	0.231	-3.9	9.79e-05	0.0025	ENSG00000129682
10.8	-0.241	0.342	-0.703	0.482	0.687	ENSG00000291054
1.81	0.574	0.807	0.711	0.477		ENSG00000233093
3710	0.191	0.154	1.24	0.214	0.422	ENSG00000102243
144	0.678	0.219	3.09	0.00198	0.0197	ENSG00000165359
11.3	0.0396	0.323	0.122	0.903	0.954	ENSG00000178947
139	0.202	0.207	0.975	0.33	0.554	ENSG00000173275
0.685	-0.452	1.44	-0.313	0.754		ENSG00000169551
308	-0.099	0.116	-0.851	0.395	0.615	ENSG00000203950
13	-0.859	0.337	-2.55	0.0107	0.0619	ENSG00000184785
972	0.161	0.213	0.755	0.45	0.662	ENSG00000101928
632	-0.244	0.0823	-2.96	0.00303	0.0263	ENSG00000156504
5.47	0.699	0.481	1.45	0.146	0.335	ENSG00000170965
952	-0.352	0.0963	-3.66	0.000257	0.00488	ENSG00000156531
49.5	-0.91	0.413	-2.2	0.0278	0.116	ENSG00000147257
0.0887	0.245	6.48	0.0377	0.97		ENSG00000183434
45800	-0.4	0.153	-2.61	0.00897	0.0548	ENSG00000076770
1690	-0.68	0.12	-5.67	1.45e-08	3.89e-06	ENSG00000134602
560	-0.142	0.189	-0.755	0.45	0.662	ENSG00000213468
0.376	-0.982	1.53	-0.643	0.521		ENSG00000286060
2.12	1.07	0.737	1.45	0.146		ENSG00000147256
92.5	-0.308	0.129	-2.39	0.0169	0.0837	ENSG00000102078
4390	0.411	0.154	2.67	0.0075	0.0484	ENSG00000085185
0.409	-1.67	2.16	-0.775	0.439		ENSG00000235189
1010	0.21	0.0896	2.34	0.0193	0.0916	ENSG00000188706
0.125	0.962	6.48	0.148	0.882		ENSG00000123165
1.07	1.16	0.971	1.19	0.232		ENSG00000198354
11.3	-0.196	0.376	-0.52	0.603	0.778	ENSG00000009694
0.519	0.115	1.6	0.0719	0.943		ENSG00000282419
2290	0.143	0.0931	1.54	0.124	0.302	ENSG00000101966
2960	0.119	0.0851	1.4	0.163	0.359	ENSG00000125676
0.972	0.568	1.16	0.488	0.625		ENSG00000125675
335	-0.317	0.129	-2.45	0.0143	0.0746	ENSG00000171155
2170	0.162	0.123	1.31	0.189	0.393	ENSG00000158290
3670	-0.14	0.056	-2.5	0.0123	0.0679	ENSG00000005893
2.84	-1.73	0.869	-1.99	0.047		ENSG00000125355
9.95	-0.51	0.495	-1.03	0.303	0.527	ENSG00000258545
231	-0.124	0.176	-0.707	0.479	0.686	ENSG00000125352
2.9	0.191	0.513	0.372	0.71		ENSG00000286366
1580	0.174	0.12	1.44	0.148	0.339	ENSG00000125354
482	0.104	0.157	0.661	0.509	0.709	ENSG00000018610
2560	0.054	0.235	0.23	0.818	0.911	ENSG00000077721
3990	-0.0411	0.195	-0.212	0.832	0.919	ENSG00000005022
8.58	0.0643	0.381	0.169	0.866	0.936	ENSG00000224281
0.729	-0.479	1.27	-0.377	0.706		ENSG00000237903
73.1	-0.0585	0.212	-0.275	0.783	0.89	ENSG00000077713
30.2	1.75	0.284	6.18	6.42e-10	3.25e-07	ENSG00000175556
54.9	-0.418	0.196	-2.13	0.0332	0.13	ENSG00000235244
5110	-0.101	0.0603	-1.67	0.0945	0.256	ENSG00000102024
1.2	-3.03	1.26	-2.4	0.0163		ENSG00000288595
0.128	-0.485	6.48	-0.0749	0.94		ENSG00000286767
3.18	0.573	0.554	1.03	0.301	0.525	ENSG00000077279
0.0921	0.0142	6.48	0.00219	0.998		ENSG00000133136
4.26	-0.158	0.467	-0.338	0.736	0.863	ENSG00000224142
948	-0.846	0.146	-5.8	6.65e-09	2.09e-06	ENSG00000157600
2.19	0.0723	0.751	0.0963	0.923		ENSG00000289365
4250	0.347	0.209	1.66	0.0975	0.261	ENSG00000068366
3.75	0.443	0.546	0.811	0.417	0.634	ENSG00000101890
0.961	0.244	0.9	0.271	0.787		ENSG00000237863
811	0.0325	0.166	0.196	0.845	0.925	ENSG00000197565
219	0.0133	0.177	0.075	0.94	0.972	ENSG00000101844
23.5	-0.238	0.243	-0.979	0.328	0.552	ENSG00000080561
