baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Name
770	-0.0341	0.118	-0.289	0.772	0.961	ENSG00000271254
45.7	-0.669	0.426	-1.57	0.116	0.62	ENSG00000277196
60.9	-0.837	0.418	-2	0.0452	0.463	ENSG00000278817
0.0546	0.489	8.55	0.0572	0.954		ENSG00000276017
303	0.00785	0.126	0.062	0.951	0.993	ENSG00000198692
7.21	-1.63	0.786	-2.08	0.0377	0.435	ENSG00000229236
18	0.0836	0.398	0.21	0.834	0.971	ENSG00000260197
101	-0.703	0.334	-2.11	0.0351	0.424	ENSG00000290853
3050	-0.196	0.135	-1.45	0.147	0.654	ENSG00000067048
1.42	1.38	1.04	1.32	0.186	0.697	ENSG00000286009
0.752	-0.949	1.8	-0.527	0.598		ENSG00000290323
0.395	1.66	2.58	0.645	0.519		ENSG00000277930
0.451	-0.495	2.37	-0.209	0.834		ENSG00000176679
247	-0.398	0.245	-1.62	0.105	0.603	ENSG00000231535
26.5	-0.383	0.254	-1.51	0.132	0.635	ENSG00000233070
1.24	-0.168	1.18	-0.142	0.887	0.98	ENSG00000278847
356	0.0235	0.107	0.22	0.826	0.97	ENSG00000182484
2.5	1.05	0.647	1.62	0.105	0.604	ENSG00000124334
720	-0.0122	0.084	-0.145	0.885	0.98	ENSG00000124333
3.52	0.0174	1.48	0.0117	0.991	0.998	ENSG00000224533
14.8	-0.338	0.419	-0.806	0.42	0.849	ENSG00000155961
0.252	-0.044	3.86	-0.0114	0.991		ENSG00000274183
19.1	-0.294	0.736	-0.4	0.689	0.941	ENSG00000203870
96.3	-0.522	0.897	-0.582	0.561	0.901	ENSG00000154620
5740	-0.0378	0.316	-0.12	0.905	0.984	ENSG00000130830
2.05	-2.05	1.3	-1.58	0.114	0.617	ENSG00000272681
315	0.0774	0.127	0.608	0.543	0.895	ENSG00000269335
1050	0.0739	0.168	0.441	0.659	0.931	ENSG00000160211
421	0.0631	0.112	0.563	0.573	0.904	ENSG00000102178
953	0.0958	0.188	0.51	0.61	0.915	ENSG00000130827
1000	0.0309	0.153	0.202	0.84	0.973	ENSG00000071859
155	-0.0424	0.137	-0.309	0.758	0.956	ENSG00000013563
10.3	-0.0422	0.394	-0.107	0.915	0.986	ENSG00000280195
522	-0.0778	0.169	-0.46	0.646	0.928	ENSG00000169057
33.8	-0.156	0.255	-0.611	0.541	0.895	ENSG00000177854
3.32	-0.268	0.916	-0.293	0.77	0.96	ENSG00000102032
24.7	-0.258	0.297	-0.869	0.385	0.832	ENSG00000089820
199	1.51	0.55	2.75	0.00588	0.216	ENSG00000198910
2.02	0.648	0.997	0.65	0.515	0.887	ENSG00000067840
1770	-0.0847	0.146	-0.58	0.562	0.901	ENSG00000180879
637	0.119	0.128	0.929	0.353	0.816	ENSG00000067829
2.66	-0.556	0.773	-0.72	0.471	0.873	ENSG00000198753
2860	-0.0695	0.147	-0.472	0.637	0.925	ENSG00000185825
110	-1.23	0.698	-1.76	0.0778	0.55	ENSG00000130822
720	0.149	0.296	0.502	0.616	0.917	ENSG00000067842
0.899	-0.542	1.64	-0.331	0.74	0.953	ENSG00000214897
3.67	0.668	0.698	0.957	0.339	0.808	ENSG00000183837
486	0.0543	0.157	0.345	0.73	0.95	ENSG00000147383
357	-0.236	0.109	-2.17	0.0297	0.395	ENSG00000147400
1050	0.131	0.151	0.869	0.385	0.832	ENSG00000160131
4690	-0.424	0.226	-1.88	0.0603	0.504	ENSG00000029993
319	-0.148	0.169	-0.875	0.381	0.83	ENSG00000102181
1050	-0.139	0.0924	-1.51	0.132	0.635	ENSG00000063601
0.767	1.27	1.64	0.778	0.437		ENSG00000013619
204	0.0501	0.125	0.401	0.689	0.941	ENSG00000269556
31.3	-0.331	0.378	-0.876	0.381	0.83	ENSG00000241769
1.34	-1.43	1.67	-0.856	0.392	0.835	ENSG00000287796
0.0119	0	8.55	0	1		ENSG00000203926
1.37	-1.58	1.75	-0.902	0.367	0.822	ENSG00000277215
294	0.0059	0.123	0.0481	0.962	0.994	ENSG00000182195
0.341	1.61	3.47	0.463	0.643		ENSG00000134595
200	0.379	0.287	1.32	0.187	0.698	ENSG00000129682
10.8	-0.872	0.476	-1.83	0.0667	0.519	ENSG00000291054
1.81	0.801	1	0.799	0.425	0.851	ENSG00000233093
3710	0.0911	0.203	0.449	0.653	0.93	ENSG00000102243
144	-0.0551	0.292	-0.189	0.85	0.975	ENSG00000165359
11.3	0.299	0.375	0.797	0.425	0.851	ENSG00000178947
139	-0.431	0.276	-1.56	0.119	0.622	ENSG00000173275
0.685	-2.48	2	-1.24	0.214		ENSG00000169551
308	0.0172	0.149	0.115	0.908	0.985	ENSG00000203950
13	0.0677	0.337	0.201	0.841	0.973	ENSG00000184785
972	-0.302	0.281	-1.07	0.283	0.773	ENSG00000101928
632	-0.038	0.106	-0.36	0.719	0.947	ENSG00000156504
5.47	0.21	0.62	0.339	0.735	0.952	ENSG00000170965
952	0.0283	0.125	0.227	0.821	0.969	ENSG00000156531
49.5	-0.062	0.537	-0.116	0.908	0.985	ENSG00000147257
0.0887	-0.169	8.55	-0.0198	0.984		ENSG00000183434
45800	-0.0191	0.202	-0.0949	0.924	0.988	ENSG00000076770
1690	-0.0509	0.157	-0.324	0.746	0.954	ENSG00000134602
560	-0.519	0.249	-2.08	0.0372	0.434	ENSG00000213468
0.376	-0.477	2.02	-0.237	0.813		ENSG00000286060
2.12	-1.7	1.31	-1.3	0.194	0.705	ENSG00000147256
92.5	-0.172	0.157	-1.1	0.271	0.763	ENSG00000102078
4390	-0.192	0.203	-0.945	0.345	0.811	ENSG00000085185
0.409	-2.41	2.86	-0.844	0.399		ENSG00000235189
1010	-0.136	0.118	-1.15	0.25	0.748	ENSG00000188706
0.125	0	8.55	0	1		ENSG00000123165
1.07	3.26	0.996	3.28	0.00104	0.0957	ENSG00000198354
11.3	0.321	0.44	0.731	0.464	0.87	ENSG00000009694
0.519	-1.78	2.26	-0.788	0.431		ENSG00000282419
2290	-0.00572	0.123	-0.0466	0.963	0.994	ENSG00000101966
2960	-0.171	0.112	-1.52	0.127	0.63	ENSG00000125676
0.972	2.65	1.22	2.18	0.0291	0.393	ENSG00000125675
335	0.148	0.165	0.895	0.371	0.824	ENSG00000171155
2170	-0.137	0.163	-0.838	0.402	0.839	ENSG00000158290
3670	-0.122	0.0734	-1.65	0.0979	0.59	ENSG00000005893
2.84	1.01	0.691	1.46	0.144	0.653	ENSG00000125355
