baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Name
770	-0.0363	0.12	-0.301	0.763	0.861	ENSG00000271254
45.7	-1.97	0.467	-4.23	2.38e-05	0.000238	ENSG00000277196
60.9	-0.291	0.422	-0.689	0.491	0.657	ENSG00000278817
0.0546	0.369	8.78	0.042	0.966		ENSG00000276017
303	0.409	0.127	3.22	0.00127	0.00694	ENSG00000198692
7.21	-0.0573	0.714	-0.0803	0.936	0.966	ENSG00000229236
18	0.0693	0.405	0.171	0.864	0.925	ENSG00000260197
101	0.163	0.335	0.487	0.627	0.765	ENSG00000290853
3050	0.113	0.138	0.813	0.416	0.593	ENSG00000067048
1.42	2.18	0.976	2.23	0.0254	0.0792	ENSG00000286009
0.752	1.23	1.55	0.795	0.427		ENSG00000290323
0.395	0.106	2.78	0.0383	0.969		ENSG00000277930
0.451	-0.522	2.43	-0.215	0.83		ENSG00000176679
247	0.571	0.247	2.31	0.021	0.0681	ENSG00000231535
26.5	0.0697	0.242	0.289	0.773	0.868	ENSG00000233070
1.24	-0.522	1.23	-0.423	0.672	0.799	ENSG00000278847
356	-0.118	0.11	-1.08	0.28	0.455	ENSG00000182484
2.5	-2.48	1.18	-2.1	0.0361	0.104	ENSG00000124334
720	0.0481	0.0855	0.562	0.574	0.724	ENSG00000124333
3.52	0.44	1.5	0.293	0.77	0.865	ENSG00000224533
14.8	-0.282	0.422	-0.667	0.505	0.669	ENSG00000155961
0.252	1.76	3.93	0.448	0.655		ENSG00000274183
19.1	-4.19	0.97	-4.32	1.57e-05	0.000166	ENSG00000203870
96.3	-3.82	0.953	-4	6.23e-05	0.000543	ENSG00000154620
5740	-0.177	0.325	-0.544	0.586	0.734	ENSG00000130830
2.05	-1.53	1.18	-1.3	0.194	0.355	ENSG00000272681
315	-0.0043	0.13	-0.033	0.974	0.987	ENSG00000269335
1050	-0.00432	0.172	-0.0251	0.98	0.99	ENSG00000160211
421	0.207	0.114	1.82	0.0684	0.167	ENSG00000102178
953	-0.138	0.193	-0.717	0.474	0.642	ENSG00000130827
1000	-0.66	0.158	-4.17	3.06e-05	0.000297	ENSG00000071859
155	-0.163	0.141	-1.16	0.247	0.417	ENSG00000013563
10.3	0.291	0.384	0.756	0.449	0.622	ENSG00000280195
522	0.231	0.172	1.34	0.181	0.338	ENSG00000169057
33.8	0.25	0.249	1.01	0.315	0.49	ENSG00000177854
3.32	0.0446	0.901	0.0495	0.96	0.98	ENSG00000102032
24.7	-0.319	0.302	-1.05	0.292	0.467	ENSG00000089820
199	-0.159	0.567	-0.28	0.779	0.872	ENSG00000198910
2.02	0.0904	1.06	0.0849	0.932	0.964	ENSG00000067840
1770	-0.543	0.15	-3.62	0.000297	0.00206	ENSG00000180879
637	-0.132	0.131	-1.01	0.315	0.49	ENSG00000067829
2.66	-1.11	0.865	-1.28	0.201	0.363	ENSG00000198753
2860	-0.244	0.151	-1.62	0.106	0.232	ENSG00000185825
110	1.22	0.708	1.72	0.0854	0.197	ENSG00000130822
720	-9.47	0.782	-12.1	8.1e-34	2.49e-31	ENSG00000067842
0.899	-2.32	1.77	-1.31	0.191		ENSG00000214897
3.67	-0.82	0.856	-0.958	0.338	0.515	ENSG00000183837
486	0.0656	0.161	0.407	0.684	0.807	ENSG00000147383
357	0.0363	0.109	0.334	0.739	0.844	ENSG00000147400
1050	0.229	0.154	1.48	0.138	0.28	ENSG00000160131
4690	0.889	0.232	3.84	0.000123	0.000983	ENSG00000029993
319	0.592	0.171	3.47	0.00052	0.00329	ENSG00000102181
1050	0.401	0.0934	4.29	1.78e-05	0.000185	ENSG00000063601
0.767	-1.72	1.95	-0.882	0.378		ENSG00000013619
204	0.912	0.122	7.5	6.21e-14	3.11e-12	ENSG00000269556
31.3	0.0643	0.378	0.17	0.865	0.926	ENSG00000241769
1.34	-2.4	1.7	-1.41	0.158	0.308	ENSG00000287796
0.0119	0	8.78	0	1		ENSG00000203926
1.37	-0.094	1.58	-0.0594	0.953	0.975	ENSG00000277215
294	-0.0107	0.125	-0.0857	0.932	0.964	ENSG00000182195
0.341	-0.771	3.63	-0.212	0.832		ENSG00000134595
200	1.29	0.291	4.45	8.57e-06	9.72e-05	ENSG00000129682
10.8	-0.526	0.459	-1.15	0.252	0.423	ENSG00000291054
1.81	-1.11	1.25	-0.889	0.374	0.552	ENSG00000233093
3710	0.0752	0.208	0.361	0.718	0.831	ENSG00000102243
144	-0.769	0.305	-2.52	0.0116	0.0426	ENSG00000165359
11.3	-2.49	0.586	-4.24	2.21e-05	0.000223	ENSG00000178947
139	0.478	0.277	1.73	0.0845	0.196	ENSG00000173275
0.685	-0.113	1.87	-0.0607	0.952		ENSG00000169551
308	0.382	0.151	2.53	0.0116	0.0424	ENSG00000203950
13	0.736	0.312	2.36	0.0181	0.0606	ENSG00000184785
972	-0.0604	0.288	-0.209	0.834	0.908	ENSG00000101928
632	0.519	0.106	4.87	1.12e-06	1.58e-05	ENSG00000156504
5.47	-0.499	0.672	-0.742	0.458	0.63	ENSG00000170965
952	0.595	0.127	4.68	2.82e-06	3.64e-05	ENSG00000156531
49.5	-1.65	0.566	-2.92	0.00349	0.016	ENSG00000147257
0.0887	-0.21	8.78	-0.0239	0.981		ENSG00000183434
45800	0.0892	0.207	0.43	0.667	0.795	ENSG00000076770
1690	0.105	0.161	0.653	0.514	0.676	ENSG00000134602
560	-0.704	0.256	-2.75	0.00591	0.0247	ENSG00000213468
0.376	0.257	1.99	0.129	0.898		ENSG00000286060
2.12	-3.68	1.44	-2.56	0.0105	0.0395	ENSG00000147256
92.5	-0.037	0.156	-0.237	0.813	0.893	ENSG00000102078
4390	-1.26	0.209	-6.02	1.74e-09	4.38e-08	ENSG00000085185
0.409	-2.5	2.93	-0.854	0.393		ENSG00000235189
1010	-0.478	0.122	-3.93	8.54e-05	0.00071	ENSG00000188706
0.125	0.865	8.78	0.0985	0.921		ENSG00000123165
1.07	2.32	1.09	2.13	0.0333	0.0975	ENSG00000198354
11.3	-0.671	0.502	-1.34	0.181	0.339	ENSG00000009694
0.519	-1.77	2.31	-0.766	0.444		ENSG00000282419
2290	-0.197	0.126	-1.56	0.118	0.25	ENSG00000101966
2960	0.0631	0.115	0.548	0.583	0.731	ENSG00000125676
0.972	0.873	1.44	0.607	0.544		ENSG00000125675
335	0.332	0.168	1.97	0.0483	0.129	ENSG00000171155
2170	0.369	0.167	2.21	0.0269	0.0825	ENSG00000158290
3670	0.409	0.0749	5.46	4.66e-08	8.9e-07	ENSG00000005893
2.84	-1.33	0.961	-1.38	0.167	0.32	ENSG00000125355
9.95	0.232	0.645	0.36	0.719	0.831	ENSG00000258545
231	0.00715	0.236	0.0303	0.976	0.988	ENSG00000125352
2.9	-0.229	0.689	-0.333	0.739	0.845	ENSG00000286366
1580	0.233	0.162	1.43	0.151	0.299	ENSG00000125354
482	-0.658	0.213	-3.09	0.00202	0.0102	ENSG00000018610
2560	-1.18	0.318	-3.71	0.000204	0.00151	ENSG00000077721
3990	-0.0137	0.263	-0.0519	0.959	0.979	ENSG00000005022
8.58	0.0742	0.453	0.164	0.87	0.928	ENSG00000224281
0.729	-1.01	1.63	-0.619	0.536		ENSG00000237903
73.1	-0.333	0.283	-1.18	0.239	0.409	ENSG00000077713
30.2	-0.0978	0.407	-0.24	0.81	0.891	ENSG00000175556
54.9	-0.543	0.264	-2.06	0.0394	0.111	ENSG00000235244
5110	-0.195	0.0813	-2.4	0.0166	0.0567	ENSG00000102024
1.2	-1.92	1.74	-1.1	0.271	0.445	ENSG00000288595
0.128	-0.299	8.78	-0.0341	0.973		ENSG00000286767
3.18	-0.836	0.944	-0.886	0.376	0.554	ENSG00000077279
0.0921	-0.665	8.78	-0.0757	0.94		ENSG00000133136
4.26	-1.29	0.896	-1.44	0.151	0.298	ENSG00000224142
948	0.205	0.195	1.05	0.292	0.468	ENSG00000157600
2.19	0.596	0.917	0.65	0.516	0.678	ENSG00000289365
4250	-0.281	0.284	-0.99	0.322	0.498	ENSG00000068366
3.75	-1.42	0.926	-1.54	0.125	0.26	ENSG00000101890
0.961	0.952	1.25	0.762	0.446		ENSG00000237863
811	0.386	0.224	1.72	0.0849	0.196	ENSG00000197565
219	-0.244	0.237	-1.03	0.304	0.479	ENSG00000101844
23.5	-0.644	0.316	-2.04	0.0414	0.115	ENSG00000080561
27	0.376	0.412	0.913	0.361	0.539	ENSG00000198088
0.815	-2.27	1.87	-1.22	0.224		ENSG00000165376
1.56	-3.79	1.49	-2.54	0.0111	0.041	ENSG00000147223
3300	-2.28	0.511	-4.45	8.54e-06	9.69e-05	ENSG00000133131
187	-0.0269	0.203	-0.133	0.894	0.942	ENSG00000133138
807	-0.166	0.311	-0.534	0.593	0.739	ENSG00000133135
981	1.08	0.18	6.02	1.76e-09	4.41e-08	ENSG00000157502
24.7	1.12	0.26	4.31	1.65e-05	0.000173	ENSG00000189108
1.68	-0.127	1.17	-0.108	0.914	0.955	ENSG00000166707
13.8	0.384	0.572	0.671	0.502	0.667	ENSG00000269226
3.66	0.918	0.679	1.35	0.176	0.332	ENSG00000231728
2.75	-1.05	0.908	-1.16	0.246	0.416	ENSG00000172476
7.2	1.39	0.5	2.78	0.00547	0.0232	ENSG00000234405
1160	0.819	0.169	4.84	1.28e-06	1.77e-05	ENSG00000185222
84.6	0.0373	0.412	0.0905	0.928	0.962	ENSG00000182916
161	0.296	0.135	2.2	0.0276	0.0841	ENSG00000133134
0.276	-0.461	5.8	-0.0795	0.937		ENSG00000147206
20.3	-0.00693	0.373	-0.0186	0.985	0.993	ENSG00000286846
15.7	0.829	0.879	0.943	0.346	0.523	ENSG00000286237
142	0.989	0.213	4.65	3.38e-06	4.28e-05	ENSG00000158301
195	0.389	0.19	2.04	0.0409	0.114	ENSG00000125962
0.0275	0	8.78	0	1		ENSG00000290811
0.0539	-0.287	8.78	-0.0327	0.974		ENSG00000184905
537	-0.369	0.13	-2.83	0.00464	0.0203	ENSG00000184867
0.547	1.77	1.65	1.07	0.283		ENSG00000228275
1480	0.129	0.147	0.88	0.379	0.557	ENSG00000102401
137	-2.81	0.429	-6.55	5.93e-11	1.92e-09	ENSG00000010671
300	0.401	0.273	1.47	0.142	0.286	ENSG00000102384
7.01	0.622	0.45	1.38	0.167	0.32	ENSG00000204086
723	0.892	0.208	4.3	1.74e-05	0.000181	ENSG00000147202
0.388	0.798	2.79	0.285	0.775		ENSG00000286523
23.7	-0.00295	0.36	-0.00821	0.993	0.997	ENSG00000186310
17.8	-2.27	0.629	-3.62	0.000297	0.00206	ENSG00000289479
0.262	1.6	5.18	0.309	0.758		ENSG00000234161
1.12	-2.65	1.49	-1.78	0.0757	0.181	ENSG00000184788
336	-0.203	0.105	-1.94	0.0529	0.138	ENSG00000072133
0.0265	0	8.78	0	1		ENSG00000196767
482	0.202	0.1	2.02	0.0437	0.12	ENSG00000131171
8.64	-0.955	0.503	-1.9	0.0575	0.147	ENSG00000147255
79.7	0.66	0.221	2.99	0.00282	0.0135	ENSG00000198157
2680	-0.11	0.223	-0.492	0.623	0.762	ENSG00000165288
0.434	-1.41	2.49	-0.568	0.57		ENSG00000122145
63.8	-0.329	0.181	-1.82	0.0692	0.169	ENSG00000078596
3010	-0.268	0.145	-1.85	0.0641	0.16	ENSG00000102158
44.2	0.716	0.218	3.28	0.00104	0.00588	ENSG00000198934
391	-0.0118	0.147	-0.0802	0.936	0.966	ENSG00000102390
162	0.0891	0.222	0.402	0.688	0.81	ENSG00000094841
109	0.142	0.406	0.349	0.727	0.837	ENSG00000147100
553	-0.105	0.228	-0.46	0.646	0.78	ENSG00000225470
1.56	-2.55	1.47	-1.73	0.0836	0.194	ENSG00000229807
0						ENSG00000131264
7.01	-5.75	1.31	-4.39	1.11e-05	0.000122	ENSG00000186288
3.22	0.675	2.09	0.322	0.747	0.85	ENSG00000269502
16.6	0.171	0.353	0.485	0.628	0.766	ENSG00000269911
406	0.0861	0.151	0.568	0.57	0.721	ENSG00000147099
10400	-0.219	0.117	-1.88	0.0607	0.153	ENSG00000198034
217	0.3	0.16	1.87	0.0613	0.155	ENSG00000186871
147	0.0607	0.124	0.491	0.624	0.763	ENSG00000102309
155	-0.526	0.387	-1.36	0.174	0.329	ENSG00000204131
0.7	2.31	1.39	1.66	0.0971		ENSG00000215113
11.8	0.417	0.395	1.06	0.291	0.466	ENSG00000281852
0.771	-2.15	1.78	-1.21	0.227		ENSG00000283599
1110	-0.0409	0.0823	-0.497	0.62	0.76	ENSG00000147133
7320	0.168	0.0925	1.81	0.0701	0.171	ENSG00000147140
61	-0.223	0.316	-0.705	0.481	0.649	ENSG00000196338
2440	0.466	0.102	4.56	5.2e-06	6.27e-05	ENSG00000184634
0.291	0.195	3.36	0.0582	0.954		ENSG00000147168
4210	0.875	0.218	4.01	6.2e-05	0.00054	ENSG00000184481
103	-1.44	0.314	-4.58	4.67e-06	5.71e-05	ENSG00000165349
264	0.16	0.117	1.37	0.17	0.325	ENSG00000120509
618	0.195	0.174	1.12	0.263	0.436	ENSG00000089289
27.3	-0.333	0.275	-1.21	0.227	0.395	ENSG00000158813
1990	-0.0474	0.123	-0.386	0.699	0.818	ENSG00000181704
4.59	0.233	0.657	0.355	0.723	0.834	ENSG00000289038
592	-0.394	0.254	-1.55	0.121	0.255	ENSG00000089472
2.59	-2.77	1.43	-1.94	0.052	0.137	ENSG00000274536
1.26	-1.83	1.47	-1.24	0.213	0.379	ENSG00000198881
200	0.426	0.252	1.69	0.0905	0.206	ENSG00000184675
708	0.935	0.275	3.4	0.000662	0.00404	ENSG00000186767
561	0.306	0.218	1.41	0.16	0.31	ENSG00000235437
63.3	0.191	0.27	0.707	0.48	0.648	ENSG00000198205
12.1	-0.312	0.454	-0.687	0.492	0.658	ENSG00000147059
64.9	0.248	0.164	1.52	0.129	0.268	ENSG00000186787
1450	0.51	0.226	2.25	0.0242	0.0763	ENSG00000102349
38.8	-0.0598	0.425	-0.141	0.888	0.939	ENSG00000227486
104	0.218	0.204	1.07	0.285	0.46	ENSG00000083750
74.2	0.199	0.317	0.626	0.531	0.69	ENSG00000247746
63.9	0.405	0.212	1.91	0.0556	0.144	ENSG00000182518
2150	0.0233	0.171	0.136	0.892	0.94	ENSG00000130119
249	-0.248	0.207	-1.2	0.231	0.4	ENSG00000196632
106	0.442	0.224	1.97	0.0485	0.13	ENSG00000184083
4.03	0.682	0.648	1.05	0.293	0.469	ENSG00000158423
3.57	-0.189	0.801	-0.235	0.814	0.894	ENSG00000235262
2770	-0.102	0.0908	-1.12	0.262	0.435	ENSG00000126012
598	0.302	0.228	1.33	0.185	0.343	ENSG00000232593
1220	-0.208	0.206	-1.01	0.313	0.488	ENSG00000184205
0.0157	-0.146	8.78	-0.0166	0.987		ENSG00000179028
11600	-0.407	0.11	-3.71	0.000209	0.00154	ENSG00000179222
253	0.414	0.187	2.21	0.027	0.0827	ENSG00000189369
1.13	-1.15	1.67	-0.688	0.492	0.658	ENSG00000223591
0.995	1.84	1.56	1.18	0.239	0.408	ENSG00000283093
13	0.573	0.43	1.33	0.183	0.34	ENSG00000224109
5.59	0.764	0.574	1.33	0.183	0.341	ENSG00000226530
1.9	-0.801	1.05	-0.76	0.447	0.62	ENSG00000230317
171	-0.817	0.18	-4.53	5.9e-06	6.99e-05	ENSG00000158352
70.4	-1.44	0.487	-2.97	0.00299	0.0141	ENSG00000274588
0.782	1.13	1.57	0.718	0.472		ENSG00000147081
35.9	0.271	0.303	0.894	0.371	0.549	ENSG00000270012
1.92	0.117	0.926	0.127	0.899	0.945	ENSG00000286181
150	0.124	0.158	0.787	0.431	0.606	ENSG00000012211
42.6	-1.63	0.278	-5.84	5.18e-09	1.21e-07	ENSG00000269313
48	-0.284	0.214	-1.33	0.184	0.342	ENSG00000243279
543	0.112	0.185	0.608	0.543	0.7	ENSG00000068400
398	0.0869	0.136	0.637	0.524	0.685	ENSG00000102100
0.137	-0.338	8.78	-0.0385	0.969		ENSG00000187682
625	0.111	0.338	0.328	0.743	0.847	ENSG00000094631
2.14	0.22	0.988	0.223	0.824	0.901	ENSG00000015285
2160	-0.0368	0.122	-0.303	0.762	0.861	ENSG00000102317
