baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Name
795	0.283	0.115	2.47	0.0135	0.107	ENSG00000271254
36	-0.169	0.332	-0.509	0.611	0.9	ENSG00000277196
51.4	-0.476	0.256	-1.86	0.0629	0.275	ENSG00000278817
0.414	0.0032	4.4	0.000728	0.999	1	ENSG00000276017
301	-0.345	0.286	-1.2	0.228	0.569	ENSG00000198692
8.35	-0.0363	0.614	-0.0591	0.953	1	ENSG00000229236
19.2	-0.652	0.531	-1.23	0.219	0.558	ENSG00000260197
64.2	0.308	0.308	1	0.316	0.674	ENSG00000290853
1940	-0.0448	0.174	-0.257	0.797	0.969	ENSG00000067048
3.53	-0.559	1.2	-0.464	0.642	0.918	ENSG00000286009
0.268	16.5	4.37	3.78	0.000159	0.00331	ENSG00000290323
0.167	-0.919	4.42	-0.208	0.835	0.969	ENSG00000277930
0.0851	0	4.42	0	1	1	ENSG00000176679
66.4	2.22	0.907	2.45	0.0145	0.111	ENSG00000231535
5.58	2.46	1.95	1.26	0.209	0.543	ENSG00000233070
0.995	-1.33	2.05	-0.647	0.518	0.846	ENSG00000278847
338	0.389	0.244	1.6	0.11	0.381	ENSG00000182484
1.71	0.488	1.51	0.324	0.746	0.957	ENSG00000124334
1120	-0.0145	0.138	-0.105	0.917	1	ENSG00000124333
5.89	-0.188	1.15	-0.164	0.87	0.978	ENSG00000224533
53.4	-0.307	0.36	-0.854	0.393	0.749	ENSG00000155961
0.811	0.428	2.42	0.177	0.86	0.975	ENSG00000274183
6.17	19.8	2.44	8.12	4.61e-16	6.75e-14	ENSG00000203870
52.5	-0.272	0.482	-0.565	0.572	0.879	ENSG00000154620
1090	3.47	1.44	2.41	0.016	0.119	ENSG00000130830
2.75	-2.38	1.68	-1.42	0.155	0.464	ENSG00000272681
250	0.175	0.124	1.41	0.157	0.467	ENSG00000269335
942	-0.117	0.135	-0.868	0.385	0.74	ENSG00000160211
406	-0.13	0.131	-0.993	0.32	0.678	ENSG00000102178
2670	-0.171	0.171	-1	0.317	0.675	ENSG00000130827
1010	0.238	0.16	1.49	0.137	0.434	ENSG00000071859
