baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Name
770	-0.125	0.122	-1.02	0.307	0.615	ENSG00000271254
45.7	-0.705	0.443	-1.59	0.111	0.397	ENSG00000277196
60.9	-1.02	0.435	-2.35	0.0188	0.177	ENSG00000278817
0.0546	-0.572	8.9	-0.0643	0.949		ENSG00000276017
303	0.24	0.129	1.85	0.0637	0.306	ENSG00000198692
7.21	-1.62	0.807	-2.01	0.0447	0.263	ENSG00000229236
18	0.398	0.402	0.99	0.322	0.628	ENSG00000260197
101	-0.159	0.342	-0.465	0.642	0.849	ENSG00000290853
3050	-0.202	0.141	-1.43	0.152	0.453	ENSG00000067048
1.42	0.0478	1.34	0.0356	0.972		ENSG00000286009
0.752	-0.228	1.77	-0.128	0.898		ENSG00000290323
0.395	0.159	2.82	0.0564	0.955		ENSG00000277930
0.451	1.03	2.32	0.443	0.658		ENSG00000176679
247	0.261	0.252	1.04	0.299	0.608	ENSG00000231535
26.5	-0.134	0.251	-0.532	0.595	0.823	ENSG00000233070
1.24	-0.987	1.32	-0.745	0.456		ENSG00000278847
356	-0.298	0.112	-2.65	0.00802	0.12	ENSG00000182484
2.5	-0.277	0.768	-0.361	0.718		ENSG00000124334
720	-0.0543	0.0871	-0.623	0.533	0.787	ENSG00000124333
3.52	-0.874	1.58	-0.552	0.581	0.815	ENSG00000224533
14.8	-0.303	0.429	-0.706	0.48	0.753	ENSG00000155961
0.252	0.173	4.02	0.0431	0.966		ENSG00000274183
19.1	-0.966	0.774	-1.25	0.212	0.522	ENSG00000203870
96.3	-0.029	0.932	-0.0311	0.975	0.991	ENSG00000154620
5740	-0.379	0.329	-1.15	0.25	0.561	ENSG00000130830
2.05	-2.96	1.46	-2.04	0.0418		ENSG00000272681
315	0.0251	0.132	0.19	0.849	0.945	ENSG00000269335
1050	0.0833	0.174	0.478	0.633	0.844	ENSG00000160211
421	0.237	0.115	2.06	0.0398	0.249	ENSG00000102178
953	-0.16	0.196	-0.818	0.413	0.704	ENSG00000130827
1000	-0.181	0.16	-1.13	0.257	0.567	ENSG00000071859
155	-0.0886	0.142	-0.625	0.532	0.786	ENSG00000013563
10.3	-0.128	0.411	-0.312	0.755	0.905	ENSG00000280195
