baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Name
770	-0.0422	0.12	-0.353	0.724	0.915	ENSG00000271254
45.7	-0.859	0.436	-1.97	0.0487	0.401	ENSG00000277196
60.9	-0.972	0.426	-2.28	0.0224	0.31	ENSG00000278817
0.0546	-0.523	8.7	-0.0601	0.952		ENSG00000276017
303	0.162	0.127	1.27	0.205	0.634	ENSG00000198692
7.21	-1.13	0.758	-1.49	0.135	0.556	ENSG00000229236
18	0.284	0.398	0.714	0.475	0.814	ENSG00000260197
101	-0.469	0.337	-1.39	0.163	0.593	ENSG00000290853
3050	-0.273	0.137	-1.99	0.0468	0.398	ENSG00000067048
1.42	1.86	1	1.86	0.0631		ENSG00000286009
0.752	-1.02	1.83	-0.56	0.576		ENSG00000290323
0.395	1.02	2.7	0.379	0.704		ENSG00000277930
0.451	-0.483	2.41	-0.201	0.841		ENSG00000176679
247	0.485	0.245	1.98	0.0482	0.401	ENSG00000231535
26.5	-0.644	0.267	-2.42	0.0157	0.277	ENSG00000233070
1.24	-0.286	1.21	-0.237	0.813		ENSG00000278847
356	-0.243	0.11	-2.21	0.027	0.334	ENSG00000182484
2.5	-0.883	0.841	-1.05	0.293	0.704	ENSG00000124334
720	-0.121	0.0857	-1.41	0.159	0.591	ENSG00000124333
3.52	0.606	1.49	0.407	0.684	0.9	ENSG00000224533
14.8	-0.321	0.423	-0.758	0.448	0.803	ENSG00000155961
0.252	1.01	3.93	0.257	0.797		ENSG00000274183
19.1	-0.3	0.748	-0.402	0.688	0.901	ENSG00000203870
96.3	-0.408	0.912	-0.448	0.654	0.89	ENSG00000154620
5740	-0.176	0.322	-0.546	0.585	0.865	ENSG00000130830
2.05	-2.96	1.44	-2.06	0.0393	0.379	ENSG00000272681
315	-0.0544	0.13	-0.419	0.675	0.897	ENSG00000269335
1050	0.164	0.17	0.961	0.337	0.735	ENSG00000160211
421	0.154	0.113	1.36	0.173	0.604	ENSG00000102178
953	-0.036	0.191	-0.188	0.851	0.959	ENSG00000130827
1000	-0.248	0.156	-1.59	0.113	0.521	ENSG00000071859
155	-0.183	0.14	-1.3	0.193	0.625	ENSG00000013563
10.3	-0.522	0.428	-1.22	0.222	0.65	ENSG00000280195
522	0.0332	0.172	0.193	0.847	0.958	ENSG00000169057
33.8	-0.0848	0.256	-0.331	0.74	0.922	ENSG00000177854
3.32	-0.484	0.955	-0.507	0.612	0.876	ENSG00000102032
24.7	-0.802	0.32	-2.51	0.0121	0.251	ENSG00000089820
199	0.899	0.56	1.61	0.108	0.514	ENSG00000198910
2.02	1.13	0.957	1.18	0.237	0.661	ENSG00000067840
1770	-0.208	0.149	-1.4	0.162	0.593	ENSG00000180879
637	0.0931	0.13	0.717	0.474	0.814	ENSG00000067829
2.66	-0.786	0.816	-0.963	0.336	0.734	ENSG00000198753
2860	-0.1	0.15	-0.668	0.504	0.828	ENSG00000185825
110	-1.63	0.713	-2.29	0.0223	0.31	ENSG00000130822
720	-0.0676	0.302	-0.224	0.823	0.951	ENSG00000067842
0.899	-0.415	1.64	-0.253	0.801		ENSG00000214897
3.67	0.731	0.706	1.04	0.3	0.71	ENSG00000183837
486	0.108	0.16	0.678	0.498	0.826	ENSG00000147383
357	-0.228	0.11	-2.07	0.0384	0.377	ENSG00000147400
1050	0.172	0.153	1.12	0.263	0.681	ENSG00000160131
4690	-0.493	0.23	-2.15	0.0319	0.355	ENSG00000029993
319	-0.123	0.171	-0.715	0.474	0.814	ENSG00000102181
1050	-0.0912	0.0937	-0.974	0.33	0.729	ENSG00000063601
0.767	0.084	1.85	0.0454	0.964		ENSG00000013619
204	0.109	0.126	0.863	0.388	0.772	ENSG00000269556
31.3	-0.485	0.387	-1.25	0.211	0.639	ENSG00000241769
1.34	-2.37	1.69	-1.4	0.161		ENSG00000287796
0.0119	0	8.7	0	1		ENSG00000203926
1.37	1.71	1.4	1.22	0.221		ENSG00000277215
294	-0.0272	0.125	-0.218	0.827	0.952	ENSG00000182195
0.341	-0.688	3.6	-0.191	0.848		ENSG00000134595
200	0.408	0.291	1.4	0.161	0.592	ENSG00000129682
10.8	0.117	0.429	0.272	0.786	0.937	ENSG00000291054
1.81	0.317	1.06	0.3	0.764	0.932	ENSG00000233093
3710	0.1	0.206	0.486	0.627	0.88	ENSG00000102243
144	-0.295	0.299	-0.987	0.324	0.725	ENSG00000165359
11.3	-0.329	0.404	-0.814	0.415	0.785	ENSG00000178947
139	0.0267	0.277	0.0963	0.923	0.98	ENSG00000173275
0.685	0.849	1.76	0.483	0.629		ENSG00000169551
308	-0.0529	0.152	-0.348	0.728	0.917	ENSG00000203950
