baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Name
770	-0.03	0.113	-0.265	0.791	0.876	ENSG00000271254
45.7	1.12	0.39	2.88	0.00392	0.0179	ENSG00000277196
60.9	0.0336	0.394	0.0851	0.932	0.963	ENSG00000278817
0.0546	-0.258	8.2	-0.0315	0.975		ENSG00000276017
303	0.197	0.121	1.63	0.104	0.221	ENSG00000198692
7.21	-0.602	0.693	-0.868	0.385	0.556	ENSG00000229236
18	0.44	0.376	1.17	0.242	0.404	ENSG00000260197
101	0.55	0.312	1.76	0.0782	0.179	ENSG00000290853
3050	-0.129	0.13	-0.993	0.321	0.49	ENSG00000067048
1.42	-0.748	1.4	-0.536	0.592	0.734	ENSG00000286009
0.752	1.23	1.47	0.831	0.406		ENSG00000290323
0.395	-0.757	2.6	-0.291	0.771		ENSG00000277930
0.451	0.371	2.19	0.169	0.866		ENSG00000176679
247	0.211	0.233	0.906	0.365	0.535	ENSG00000231535
26.5	-0.398	0.253	-1.57	0.116	0.239	ENSG00000233070
1.24	-1.82	1.48	-1.23	0.217	0.374	ENSG00000278847
356	-0.6	0.108	-5.54	3.08e-08	9.35e-07	ENSG00000182484
2.5	-0.462	0.787	-0.587	0.557	0.706	ENSG00000124334
720	-0.119	0.0818	-1.45	0.146	0.283	ENSG00000124333
3.52	-1.83	1.59	-1.15	0.249	0.412	ENSG00000224533
14.8	0.999	0.364	2.75	0.00601	0.0253	ENSG00000155961
0.252	-0.389	3.7	-0.105	0.916		ENSG00000274183
19.1	-1.2	0.731	-1.64	0.102	0.217	ENSG00000203870
96.3	0.449	0.858	0.523	0.601	0.741	ENSG00000154620
5740	-0.293	0.303	-0.967	0.334	0.503	ENSG00000130830
2.05	0.0152	0.901	0.0169	0.987	0.992	ENSG00000272681
315	-0.202	0.125	-1.62	0.106	0.224	ENSG00000269335
1050	-0.0564	0.161	-0.35	0.726	0.833	ENSG00000160211
421	0.0862	0.108	0.795	0.427	0.594	ENSG00000102178
953	-0.44	0.181	-2.43	0.0152	0.0518	ENSG00000130827
1000	-0.459	0.148	-3.1	0.00196	0.0103	ENSG00000071859
155	-0.0984	0.134	-0.732	0.464	0.627	ENSG00000013563
10.3	0.219	0.371	0.59	0.555	0.704	ENSG00000280195
522	0.506	0.161	3.14	0.00169	0.00911	ENSG00000169057
33.8	-0.567	0.267	-2.12	0.0337	0.0952	ENSG00000177854
3.32	0.146	0.841	0.173	0.862	0.921	ENSG00000102032
24.7	-0.195	0.29	-0.673	0.501	0.66	ENSG00000089820
199	1.75	0.527	3.32	0.000897	0.00558	ENSG00000198910
2.02	1.66	0.889	1.87	0.0621	0.152	ENSG00000067840
1770	-0.513	0.141	-3.65	0.000265	0.0021	ENSG00000180879
637	-0.273	0.124	-2.2	0.0279	0.0827	ENSG00000067829
2.66	-0.168	0.698	-0.24	0.81	0.887	ENSG00000198753
2860	-0.59	0.142	-4.17	3.09e-05	0.000362	ENSG00000185825
110	-3.28	0.704	-4.66	3.21e-06	5.28e-05	ENSG00000130822
720	-1.84	0.288	-6.4	1.53e-10	8.56e-09	ENSG00000067842
0.899	-1.54	1.67	-0.923	0.356		ENSG00000214897
3.67	-0.406	0.78	-0.521	0.603	0.742	ENSG00000183837
486	0.137	0.151	0.905	0.365	0.536	ENSG00000147383
357	0.184	0.103	1.78	0.0745	0.173	ENSG00000147400
1050	0.355	0.145	2.46	0.014	0.0487	ENSG00000160131
4690	-0.926	0.217	-4.27	1.92e-05	0.000242	ENSG00000029993
319	-0.704	0.166	-4.24	2.2e-05	0.000271	ENSG00000102181
1050	0.224	0.0881	2.55	0.0109	0.04	ENSG00000063601
0.767	-1.03	1.83	-0.561	0.575		ENSG00000013619
204	0.0175	0.122	0.144	0.886	0.937	ENSG00000269556
31.3	0.418	0.349	1.2	0.231	0.391	ENSG00000241769
1.34	-2.46	1.62	-1.52	0.129	0.257	ENSG00000287796
0.0119	0	8.2	0	1		ENSG00000203926
1.37	1.38	1.31	1.06	0.29	0.458	ENSG00000277215
294	0.432	0.116	3.71	0.000206	0.00172	ENSG00000182195
0.341	0.66	3.4	0.194	0.846		ENSG00000134595
200	1.99	0.27	7.35	1.95e-13	2.06e-11	ENSG00000129682
10.8	0.179	0.406	0.44	0.66	0.786	ENSG00000291054
1.81	-0.818	1.19	-0.689	0.491	0.651	ENSG00000233093
3710	-1.07	0.195	-5.5	3.9e-08	1.15e-06	ENSG00000102243
144	0.126	0.279	0.451	0.652	0.78	ENSG00000165359
11.3	-2.29	0.622	-3.69	0.000227	0.00186	ENSG00000178947
139	0.633	0.259	2.45	0.0144	0.0498	ENSG00000173275
0.685	-1.41	1.92	-0.733	0.463		ENSG00000169551
308	0.135	0.144	0.939	0.348	0.518	ENSG00000203950
13	0.564	0.309	1.82	0.0683	0.163	ENSG00000184785
972	-0.398	0.27	-1.47	0.141	0.275	ENSG00000101928
632	0.183	0.101	1.8	0.0713	0.168	ENSG00000156504
5.47	-1.53	0.814	-1.88	0.0605	0.149	ENSG00000170965
952	0.465	0.119	3.9	9.48e-05	0.00091	ENSG00000156531
49.5	-0.013	0.515	-0.0253	0.98	0.988	ENSG00000147257
0.0887	0.798	8.2	0.0974	0.922		ENSG00000183434
45800	-0.59	0.193	-3.05	0.00231	0.0117	ENSG00000076770
1690	0.336	0.15	2.23	0.0256	0.0772	ENSG00000134602
560	-0.995	0.24	-4.14	3.43e-05	0.000394	ENSG00000213468
0.376	0.637	1.84	0.345	0.73		ENSG00000286060
2.12	0.982	0.876	1.12	0.262	0.427	ENSG00000147256
92.5	0.0481	0.151	0.32	0.749	0.849	ENSG00000102078
