baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Name
770	-0.0503	0.119	-0.424	0.672	0.828	ENSG00000271254
45.7	1.59	0.41	3.87	0.000107	0.00146	ENSG00000277196
60.9	0.0352	0.414	0.0851	0.932	0.968	ENSG00000278817
0.0546	0.436	8.63	0.0505	0.96		ENSG00000276017
303	0.0385	0.127	0.304	0.761	0.882	ENSG00000198692
7.21	-0.759	0.73	-1.04	0.298	0.53	ENSG00000229236
18	-0.00832	0.401	-0.0207	0.983	0.993	ENSG00000260197
101	0.263	0.329	0.8	0.424	0.649	ENSG00000290853
3050	-0.183	0.136	-1.34	0.181	0.387	ENSG00000067048
1.42	1.36	1.05	1.3	0.193		ENSG00000286009
0.752	-0.105	1.72	-0.0614	0.951		ENSG00000290323
0.395	2.03	2.57	0.789	0.43		ENSG00000277930
0.451	-1.47	2.39	-0.617	0.537		ENSG00000176679
247	-0.148	0.246	-0.6	0.548	0.744	ENSG00000231535
26.5	0.097	0.238	0.408	0.683	0.834	ENSG00000233070
1.24	-0.329	1.2	-0.275	0.783		ENSG00000278847
356	-0.51	0.111	-4.61	4.11e-06	9.32e-05	ENSG00000182484
2.5	-0.371	0.762	-0.487	0.626	0.798	ENSG00000124334
720	-0.0116	0.0845	-0.137	0.891	0.949	ENSG00000124333
3.52	-0.017	1.49	-0.0114	0.991	0.996	ENSG00000224533
14.8	0.812	0.385	2.11	0.0348	0.129	ENSG00000155961
0.252	2.43	3.81	0.639	0.523		ENSG00000274183
19.1	-1.15	0.756	-1.51	0.13	0.315	ENSG00000203870
96.3	0.436	0.903	0.483	0.629	0.8	ENSG00000154620
5740	-0.0464	0.319	-0.145	0.884	0.946	ENSG00000130830
2.05	-0.759	1.04	-0.731	0.465	0.681	ENSG00000272681
315	-0.267	0.13	-2.06	0.0398	0.141	ENSG00000269335
1050	-0.173	0.169	-1.02	0.306	0.538	ENSG00000160211
421	0.0366	0.113	0.325	0.745	0.872	ENSG00000102178
953	-0.489	0.191	-2.56	0.0103	0.0534	ENSG00000130827
1000	-0.264	0.155	-1.71	0.0882	0.244	ENSG00000071859
155	-0.00621	0.137	-0.0453	0.964	0.982	ENSG00000013563
10.3	-0.191	0.402	-0.474	0.636	0.804	ENSG00000280195
522	0.338	0.169	1.99	0.0462	0.157	ENSG00000169057
33.8	-0.0998	0.253	-0.394	0.694	0.84	ENSG00000177854
3.32	0.496	0.851	0.583	0.56	0.752	ENSG00000102032
24.7	-0.636	0.31	-2.05	0.04	0.142	ENSG00000089820
199	0.554	0.556	0.996	0.319	0.551	ENSG00000198910
2.02	0.701	0.983	0.713	0.476	0.69	ENSG00000067840
1770	-0.206	0.147	-1.4	0.163	0.363	ENSG00000180879
637	-0.168	0.129	-1.3	0.195	0.406	ENSG00000067829
2.66	-1.4	0.911	-1.53	0.126	0.309	ENSG00000198753
2860	-0.43	0.149	-2.89	0.00389	0.0254	ENSG00000185825
110	-3.18	0.733	-4.34	1.45e-05	0.00027	ENSG00000130822
720	-1.43	0.302	-4.75	1.99e-06	4.92e-05	ENSG00000067842
0.899	1.3	1.4	0.929	0.353		ENSG00000214897
3.67	0.541	0.71	0.762	0.446	0.666	ENSG00000183837
486	-0.0964	0.159	-0.606	0.544	0.742	ENSG00000147383
