baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Name
770	-0.155	0.114	-1.35	0.176	0.322	ENSG00000271254
45.7	1.33	0.392	3.39	0.000691	0.00462	ENSG00000277196
60.9	-0.629	0.403	-1.56	0.118	0.242	ENSG00000278817
0.0546	-0.319	8.26	-0.0386	0.969		ENSG00000276017
303	0.276	0.121	2.27	0.0231	0.0721	ENSG00000198692
7.21	-2.36	0.854	-2.77	0.00569	0.0246	ENSG00000229236
18	-0.394	0.407	-0.969	0.332	0.5	ENSG00000260197
101	0.0379	0.317	0.12	0.905	0.945	ENSG00000290853
3050	0.06	0.13	0.46	0.646	0.774	ENSG00000067048
1.42	1.46	0.997	1.46	0.144	0.278	ENSG00000286009
0.752	-1.69	1.75	-0.965	0.334		ENSG00000290323
0.395	0.192	2.62	0.0733	0.942		ENSG00000277930
0.451	-0.517	2.29	-0.226	0.821		ENSG00000176679
247	-0.0412	0.235	-0.175	0.861	0.918	ENSG00000231535
26.5	-0.173	0.243	-0.714	0.475	0.635	ENSG00000233070
1.24	-1.04	1.36	-0.764	0.445		ENSG00000278847
356	-0.49	0.108	-4.55	5.35e-06	8.55e-05	ENSG00000182484
2.5	-1.51	0.981	-1.54	0.123	0.249	ENSG00000124334
720	-0.0304	0.0817	-0.372	0.71	0.821	ENSG00000124333
3.52	-0.702	1.48	-0.476	0.634	0.766	ENSG00000224533
14.8	1.01	0.365	2.76	0.00581	0.025	ENSG00000155961
0.252	0.671	3.73	0.18	0.857		ENSG00000274183
19.1	-0.899	0.725	-1.24	0.215	0.369	ENSG00000203870
96.3	0.566	0.865	0.654	0.513	0.668	ENSG00000154620
5740	0.00274	0.305	0.00896	0.993	0.996	ENSG00000130830
2.05	-1.01	1.04	-0.965	0.335	0.502	ENSG00000272681
315	-0.132	0.125	-1.05	0.293	0.458	ENSG00000269335
1050	0.0505	0.162	0.311	0.756	0.852	ENSG00000160211
421	0.133	0.109	1.22	0.221	0.376	ENSG00000102178
953	-0.574	0.183	-3.14	0.00168	0.00938	ENSG00000130827
1000	-0.352	0.149	-2.36	0.0182	0.0606	ENSG00000071859
155	-0.321	0.138	-2.33	0.0197	0.0643	ENSG00000013563
10.3	0.0509	0.38	0.134	0.894	0.938	ENSG00000280195
522	0.27	0.163	1.66	0.0964	0.209	ENSG00000169057
33.8	-0.612	0.267	-2.29	0.0221	0.07	ENSG00000177854
3.32	-0.447	0.913	-0.49	0.624	0.759	ENSG00000102032
24.7	-0.823	0.316	-2.61	0.00908	0.0353	ENSG00000089820
199	2.22	0.53	4.18	2.89e-05	0.000356	ENSG00000198910
2.02	1.4	0.909	1.54	0.123	0.249	ENSG00000067840
1770	-0.35	0.141	-2.47	0.0134	0.0477	ENSG00000180879
637	-0.241	0.125	-1.93	0.0541	0.137	ENSG00000067829
2.66	-0.759	0.781	-0.972	0.331	0.499	ENSG00000198753
2860	-0.465	0.143	-3.26	0.0011	0.0067	ENSG00000185825
110	-3.69	0.723	-5.1	3.37e-07	7.97e-06	ENSG00000130822
720	-1.95	0.29	-6.71	1.95e-11	1.41e-09	ENSG00000067842
0.899	-0.624	1.58	-0.395	0.693		ENSG00000214897
3.67	0.205	0.714	0.287	0.774	0.864	ENSG00000183837
486	0.316	0.152	2.08	0.0372	0.103	ENSG00000147383
357	0.293	0.103	2.85	0.00438	0.02	ENSG00000147400
1050	0.465	0.145	3.2	0.00138	0.00801	ENSG00000160131
4690	-1.11	0.218	-5.07	3.91e-07	9.08e-06	ENSG00000029993
319	-0.93	0.168	-5.53	3.24e-08	1.04e-06	ENSG00000102181
1050	0.203	0.0887	2.29	0.0219	0.0694	ENSG00000063601
0.767	-0.0761	1.75	-0.0434	0.965		ENSG00000013619
204	-0.0489	0.123	-0.397	0.691	0.808	ENSG00000269556
31.3	0.0923	0.357	0.258	0.796	0.878	ENSG00000241769
1.34	-2.44	1.63	-1.5	0.134		ENSG00000287796
0.0119	0	8.26	0	1		ENSG00000203926
1.37	0.838	1.36	0.615	0.538		ENSG00000277215
294	0.39	0.117	3.33	0.000861	0.00549	ENSG00000182195
0.341	2.11	3.32	0.635	0.525		ENSG00000134595
200	2.07	0.272	7.6	2.97e-14	3.69e-12	ENSG00000129682
