release	gene	nGenes	nDE_05	nDE_01	base_gene	max_nDE_01
2025_06_JAX_RNAseq08	ASCL2_day_6	22499	4831	1825	ASCL2	1825
2025_06_JAX_RNAseq08	ASCL2_day_6	21473	2	0	ASCL2	1825
2024_05_JAX_RNAseq2_ExtraEmbryonic	BHLHE40_day_6	23756	1461	484	BHLHE40	484
2025_06_JAX_RNAseq08	DLX3_day_6	21782	2584	1427	DLX3	1427
2024_09_JAX_RNAseq5_ExE_CBO	DLX4_day_6	22968	11	0	DLX4	0
2024_09_JAX_RNAseq5_ExE_CBO	DLX5_day_6	22968	20	5	DLX5	5
2024_09_JAX_RNAseq5_ExE_CBO	DLX6_day_6	22968	92	15	DLX6	15
2024_06_JAX_RNAseq4_ExEm_brain	DMRTA1_day_9	21336	1156	243	DMRTA1	243
2025_06_JAX_RNAseq08	ELF5_day_6	22499	6584	2705	ELF5	2705
2025_06_JAX_RNAseq08	ELF5_day_6	21473	399	45	ELF5	2705
2025_06_JAX_RNAseq09	EMX2_day_14	19471	103	44	EMX2	44
2024_09_JAX_RNAseq6_Diverse	EPAS1_Diverse_hyp_day_6	19217	5651	2230	EPAS1	4131
2024_09_JAX_RNAseq6_Diverse	EPAS1_Diverse_nor_day_6	19031	213	19	EPAS1	4131
2023_12_JAX_RNAseq_ExtraEmbryonic	EPAS1_hyp_day_6	23326	3148	1780	EPAS1	4131
2023_12_JAX_RNAseq_ExtraEmbryonic	EPAS1_hyp_vs_nor_day_6	21031	5557	3026	EPAS1	4131
2024_09_JAX_RNAseq6_Diverse	EPAS1_hyp_vs_nor_Diverse_day_6	18883	7016	3556	EPAS1	4131
2023_12_JAX_RNAseq_ExtraEmbryonic	EPAS1_nor_day_6	23493	645	122	EPAS1	4131
2024_09_JAX_RNAseq7_Reversion	EPAS1_reverted_hyp_day_6	20041	174	8	EPAS1	4131
2024_09_JAX_RNAseq7_Reversion	EPAS1_reverted_hyp_vs_nor_day_6	19869	7369	4131	EPAS1	4131
2024_09_JAX_RNAseq7_Reversion	EPAS1_reverted_nor_day_6	19813	687	185	EPAS1	4131
2025_06_JAX_RNAseq11	FEZF2_day_5	22632	1409	59	FEZF2	59
2024_06_JAX_RNAseq_Neuroectoderm	FEZF2_day_6	23818	1	1	FEZF2	59
2024_06_JAX_RNAseq_Neuroectoderm	FEZF2_day_7	23665	0	0	FEZF2	59
2024_06_JAX_RNAseq_Neuroectoderm	FEZF2_day_8	23000	0	0	FEZF2	59
2023_12_JAX_RNAseq_ExtraEmbryonic	FOSB_day_6	23493	207	50	FOSB	50
2025_06_JAX_RNAseq09	FOXG1_day_8	19411	613	39	FOXG1	39
2023_12_JAX_RNAseq_ExtraEmbryonic	GCM1_day_6	23493	6982	3585	GCM1	5964
2024_09_JAX_RNAseq6_Diverse	GCM1_Diverse_day_6	18424	9786	5964	GCM1	5964
2024_09_JAX_RNAseq7_Reversion	GCM1_reverted_day_6	22569	2220	497	GCM1	5964
2023_12_JAX_RNAseq_ExtraEmbryonic	GRHL1_day_6	23493	8121	4130	GRHL1	4130
2024_09_JAX_RNAseq6_Diverse	GRHL1_Diverse_day_6	19355	4763	1210	GRHL1	4130
2024_09_JAX_RNAseq7_Reversion	GRHL1_reverted_day_6	22569	146	27	GRHL1	4130
2025_06_JAX_RNAseq09	HES5_day_11	21247	350	30	HES5	30
2024_09_JAX_RNAseq5_ExE_CBO	HEY1_day_6	23092	33	6	HEY1	6
2025_06_JAX_RNAseq08	HIF1A_day_6	22499	3311	905	HIF1A	905
2025_06_JAX_RNAseq08	HIF1A_day_6	20600	13	2	HIF1A	905
2024_09_JAX_RNAseq5_ExE_CBO	HOPX_day_6	23092	2	2	HOPX	2
2025_06_JAX_RNAseq10	ISL1_day_5	21714	441	13	ISL1	261
2023_12_JAX_RNAseq_ExtraEmbryonic	ISL1_day_6	23842	634	261	ISL1	261
2024_06_JAX_RNAseq_Neuroectoderm	LHX5_day_3	23242	12	9	LHX5	12
2025_06_JAX_RNAseq11	LHX5_day_3	24015	66	11	LHX5	12
2025_06_JAX_RNAseq11	LHX5_day_4	24015	68	12	LHX5	12
2024_06_JAX_RNAseq_Neuroectoderm	LHX5_day_6	23818	0	0	LHX5	12
2024_06_JAX_RNAseq4_ExEm_brain	LMO2_day_6	23762	250	51	LMO2	51
2025_06_JAX_RNAseq08	MAFB_day_6	20321	16	6	MAFB	6
2024_09_JAX_RNAseq5_ExE_CBO	MAFF_day_6	23092	329	25	MAFF	25
2024_09_JAX_RNAseq5_ExE_CBO	MBNL2_day_6	22849	63	9	MBNL2	9
2024_09_JAX_RNAseq5_ExE_CBO	MBNL3_day_6	22849	1933	442	MBNL3	442
2024_05_JAX_RNAseq2_ExtraEmbryonic	MEF2C_day_6	24060	0	0	MEF2C	0
