"ISL1_day_6"	"EPAS1_hypoxia_day_6"	"EPAS1_day_6"	"FOSB_day_6"	"GCM1_day_6"	"GRHL1_day_6"	"PPARG_day_6"	"MEIS1_day_6"	"MEIS2_day_6"	"BHLHE40_day_6"	"MXD1_day_6"	"RUNX1_day_6"	"OTX1_day_9"	"RFX4_day_9"	"DMRTA1_day_9"	"LMO2_day_6"	"OVOL1_day_6"	"PITX1_day_6"	"ZBTB7C_day_6"	"NR2F1_day_22"	"SIX3_day_8"	"DLX6_day_6"	"MAFF_day_6"	"MBNL3_day_6"	"PAX6_Diverse_day_9"	"EPAS1_Diverse;hypoxia_day_6"	"EPAS1_Diverse_day_6"	"GCM1_Diverse_day_6"	"GRHL1_Diverse_day_6"	"PPARG_Diverse_day_6"	"PAX6_day_9"	"PAX6_Reversion_day_9"	"EPAS1_Reversion_day_6"	"GCM1_Reversion_day_6"	"GRHL1_Reversion_day_6"	"PPARG_Reversion_day_6"	"ASCL2_hypoxia_day_6"	"ELF5_hypoxia_day_6"	"HIF1A_hypoxia_day_6"	"TP63_hypoxia_day_6"	"DLX3_day_6"	"ELF5_day_6"	"MSX2_day_6"	"NR2F2_day_6"	"VGLL1_day_6"	"HES5_day_11"	"POU3F2_day_11"	"SOX1_day_11"	"EMX2_day_14"	"FOXG1_day_8"	"POU3F1_day_8"	"SOX21_day_8"	"SP8_day_9"	"ISL1_day_5"	"LHX5_day_3"	"LHX5_day_4"	"FEZF2_day_5"
"TNMD"	0	0	0	0	0	0	0	0	0	0	0	0	-0.271	0	0	0	0	0	0	0	0	0	0	0	-1.06280833137647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.27	0	0
"DPM1"	0.1485	0.1495	0.0625	-0.0725	-0.2981947143624	-0.677	-0.056	-0.0424	-0.0242	-0.02365	0.0196	0.1475	0.0426	-0.01925	0.0071	-0.0332	-0.742	0.0297	-0.04	-0.049	0.01055	-0.057	-0.063	-0.0805	-0.0248	0.1135	-0.073	0.354231006616633	-0.1085	-0.454	0.0184	-0.0176	0.0139	0.09	0.0461	-0.056	-0.237350564545837	-0.282695967400912	-0.0254	0.000144	0.14	-0.04525	-0.0414	-0.03145	0.03745	0.0444	0.0237	-0.01935	0.01685	-0.0091	0.0555	-0.0675	0.03815	-0.0835	0.0605	-0.03755	-0.270530586126113
"SCYL3"	0.076	0.000197	-0.089	-0.064	0.089	-0.331602059252395	-0.0815	0.0485	-0.02575	-0.0825	-0.0845	0.474599826370408	-0.01045	-0.0965	0.0364	-0.037	-0.1035	-0.079	-0.0585	-0.01285	-0.0225	-0.1505	-0.0505	-0.079	-0.02165	-0.02315	-0.1145	0.174	-0.1265	-0.269398032895481	0.006	0.0183	-0.0225	0.0855	0.0103	0.02345	0.117	0.184	0.0715	0.03005	0.1155	-0.04505	0.086	-0.1055	-0.2545	-0.0122	-0.04135	-0.000895	-0.0145	0.1465	0.062	0.0164	0.03245	-0.03195	-0.1895	0.0375	-0.000925
"C1orf112"	-0.1375	-0.1725	-0.1495	-0.02455	0.1655	0.297035449746357	0.682	-0.078	-0.224	0.1085	-0.087	-0.079	0.0058	-0.0263	0.084	0.0114	0.054	-0.0373	0.095	0.0379	-0.01875	0.0202	0.073	0.0203	-0.01485	-0.133	-0.04395	0.380015793481161	0.127	0.607	-0.0117	-0.02955	0.02025	-0.079	-0.052	-0.13	0.145	0.236754901797077	0.056	0.0328	0.03155	0.075	0.370614020568943	0.125	-0.03975	0.0063	0.00925	-0.0885	0.03295	0.04685	0.0395	-0.0389	0.0451	0.102	-0.01335	0.02225	-0.00442
"FGR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.88	0	0.3155	-0.865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FUCA2"	0.0505	0.0069	0.064	0.019	-0.02375	-0.1065	-0.0535	0.00247	-0.01365	-0.0358	-0.019	-0.02135	0.106	-0.0605	0.0117	-0.0239	-0.368	-0.054	0.0442	0.644	0.0082	-0.0243	-0.00068	0.0555	0.0494	-0.04895	0.0213	0.066	-0.024	-0.209886438883549	0.0735	0.0795	-0.04285	-0.00123	-0.00835	0.238323918813077	0.0815	0.167597625395269	-0.0004905	0.01265	0.0745	-0.004625	-0.0194	0.01695	-0.0125	0.04595	-0.02655	-0.073	-0.04515	0.00193	-0.072	-0.02165	-0.178989630007558	-0.0483	-0.0081	-0.0385	-0.01475
"GCLC"	0.622	0.1365	0.038	0.01055	-0.0695	-0.073	-0.152	-0.0124	0.1065	-0.13	0.03645	0.113	-0.057	0.02255	0.057	-0.0173	-0.463	-0.029	-0.00291	0.0575	0.0085	-0.0486	-0.0605	0.0162	0.058	-0.046	-0.00058	0.422	-0.0755	-0.454	0.04095	-0.0103	0.00475	0.095	0.04485	-0.0162	-0.003105	0.0293	0.1285	0.01315	-0.206	-0.0223	0.567267209087731	0.00815	-0.1495	-0.0381	-0.053	-0.04285	0.04185	0.03325	0.063	0.0325	-0.07	-0.0457	0.02445	-0.0203	0.0077
"NFYA"	-0.04975	-0.00775	0.0284	-0.0164	0.084	0.04725	0.269163443668001	-0.01315	-0.0426	0.0755	0.02055	0.176977502159975	-0.02595	0.0374	0.0107	-0.00855	-0.00074	-0.0001885	0.0352	-0.00675	-0.0184	0.069	0.03395	0.00477	0.0645	0.119	-0.00705	0.411	0.308305157554558	0.12418380480211	0.081	-0.01	-0.0154	-0.0665	-0.059	-0.0515	-0.346618194436188	-0.575	-0.0239	0.004715	1.08769382272692	0.0345	-0.0072	0.423	0.1605	0.0333	0.04975	0.01355	-0.064	-0.01265	0.02135	0.0014	0.04435	-0.066	-0.04675	-0.01265	0.0605
"STPG1"	0.072	-0.116	-0.075	-0.01	0.122	0.3195	-0.0209	0.079	0.01265	0.0065	-0.07	-0.0143	0.1125	-0.099	-0.2025	-0.0373	0.49472426632068	0.0404	0.076	0.275	-0.0655	0.1085	0.1005	-0.1375	0.1005	-0.3565	0	-0.055	0.0965	0.00515	0.0465	-0.067	0.2445	-0.2015	-0.1165	-0.106	0.1545	0.182	-0.0082	-0.064	-0.0233	0.2465	-0.00084	0.179	-0.0243	-0.0334	-0.1095	0.099	0.122	-0.0775	0.0058	-0.1075	-0.0352	-0.01555	-0.1	0.1	-0.1055
"NIPAL3"	0.1035	0.019	0.000935	-0.0905	-0.0409	0.0373	-0.01385	0.0398	0.1285	0.03645	0.039	0.1155	-0.0425	0.076	-0.165	0.0296	-0.351	-0.0198	-0.0216	-0.00645	-0.063	0.0196	0.0194	-0.296427582020387	-0.0835	-0.297193131992326	0.01065	-0.07	-0.01675	-0.382	0.0438	0.0063	0.063	-7.2e-05	0.01955	0.0446	-0.03845	0.0192	0.04725	0.086	0.059	0.03535	0.02115	0.04225	-0.136	-0.0091	-0.01985	0.1395	-0.0655	-0.0745	0.074	-0.084	0.099	-0.0494	0.0428	0.082	0.1265
