gene_ID	hgnc_symbol	chr	strand	start	end	EOMES_KO_log2FoldChange	EOMES_KO_pvalue	EOMES_KO_padj
ENSG00000271254		KI270711.1	-	4612	29626	0.787	3.26e-19	1.65e-18
ENSG00000276345		KI270721.1	+	2585	11802	-1.97	0.33	
ENSG00000277196		KI270734.1	-	138082	161852	-3.87	3.66e-18	1.79e-17
ENSG00000278817		KI270734.1	+	131494	137392	-0.816	0.0013	0.00269
ENSG00000224533	TMLHE-AS1	chrX	+	155466540	155611616	-0.656	0.657	0.734
ENSG00000155961	RAB39B	chrX	-	155258235	155264491	-0.949	3.49e-15	1.52e-14
ENSG00000130830	MPP1	chrX	-	154778684	154821007	1.15	3.43e-27	2.21e-26
ENSG00000272681	FAM223B	chrX	-	154632470	154633182	-2.71	0.152	0.217
ENSG00000269335	IKBKG	chrX	+	154541199	154565046	0.00339	0.976	0.985
ENSG00000160211	G6PD	chrX	-	154517825	154547572	0.371	2.18e-10	7.53e-10
ENSG00000102178	UBL4A	chrX	-	154483717	154486615	-0.53	6.53e-17	3.04e-16
ENSG00000130827	PLXNA3	chrX	+	154458281	154477779	0.175	0.0198	0.0347
ENSG00000071859	FAM50A	chrX	+	154444141	154450654	-0.347	1.62e-05	4.07e-05
ENSG00000013563	DNASE1L1	chrX	-	154401236	154412112	-0.472	1.96e-05	4.89e-05
ENSG00000280195		chrX	-	154396878	154398842	-0.293	0.476	0.568
ENSG00000007350	TKTL1	chrX	+	154295795	154330350	-0.114	0.946	0.965
ENSG00000169057	MECP2	chrX	-	154021573	154137103	0.128	0.0336	0.0564
ENSG00000177854	TMEM187	chrX	+	153972754	153983194	-0.604	0.0139	0.0251
ENSG00000102032	RENBP	chrX	-	153935269	153944687	-0.705	6.42e-05	0.000153
ENSG00000089820	ARHGAP4	chrX	-	153907367	153934999	-1.41	1.05e-37	8.57e-37
ENSG00000273769	L1CAM-AS1	chrX	+	153880672	153888990	0.725	0.772	
ENSG00000198910	L1CAM	chrX	-	153861514	153886173	1.37	2.16e-90	3.73e-89
ENSG00000067840	PDZD4	chrX	-	153802166	153830565	-1.72	1.03e-100	2e-99
ENSG00000180879	SSR4	chrX	+	153793516	153798499	0.274	2.59e-06	6.95e-06
ENSG00000067829	IDH3G	chrX	-	153785766	153794512	0.373	1.37e-06	3.75e-06
ENSG00000198753	PLXNB3	chrX	+	153764196	153779346	1.23	0.0106	0.0195
ENSG00000185825	BCAP31	chrX	-	153700492	153724565	-0.484	2.34e-18	1.15e-17
ENSG00000130822	PNCK	chrX	-	153669733	153689010	-0.971	0.0199	0.0348
ENSG00000067842	ATP2B3	chrX	+	153517642	153582939	3.36	0.0128	0.0233
ENSG00000183837	PNMA3	chrX	+	153056409	153060467	-0.909	3.62e-13	1.44e-12
ENSG00000147383	NSDHL	chrX	+	152830967	152869729	-0.0732	0.368	0.461
ENSG00000147400	CETN2	chrX	-	152826994	152830757	-0.249	5.57e-05	0.000133
ENSG00000214915		chrX	+	151515551	151516245	-3.57	0.0791	
ENSG00000160131	VMA21	chrX	+	151396515	151409364	-0.046	0.391	0.485
ENSG00000234696	GPR50-AS1	chrX	-	151175192	151177836	1.93	0.17	0.239
ENSG00000029993	HMGB3	chrX	+	150980509	150990771	-0.231	1.9e-07	5.51e-07
ENSG00000102181	CD99L2	chrX	-	150766336	150898816	2.11	2.89e-118	6.56e-117
ENSG00000063601	MTMR1	chrX	+	150692971	150765108	-0.385	4.76e-07	1.35e-06
ENSG00000013619	MAMLD1	chrX	+	150361422	150514178	1.86	1.17e-05	2.99e-05
ENSG00000269556	TMEM185A	chrX	-	149596556	149631912	-0.5	7.57e-16	3.37e-15
ENSG00000241769	EOLA1-DT	chrX	-	149527591	149540959	-1.02	0.0182	0.0322
ENSG00000277215	SPANXA2-OT1	chrX	+	141177284	141649927	0.0328	0.954	0.97
