gene_ID	hgnc_symbol	chr	strand	start	end	TP63_PTC_log2FoldChange	TP63_PTC_pvalue	TP63_PTC_padj
ENSG00000271254		KI270711.1	-	4612	29626	0.0532	0.512	1
ENSG00000277196		KI270734.1	-	138082	161852	-0.454	0.0931	1
ENSG00000278817		KI270734.1	+	131494	137392	-0.23	0.299	1
ENSG00000124334	IL9R	chrX	+	155997696	156010817	-0.565	0.671	1
ENSG00000124333	VAMP7	chrX	+	155881345	155943769	0.0496	0.623	1
ENSG00000224533	TMLHE-AS1	chrX	+	155466540	155611616	1.42	0.287	1
ENSG00000155961	RAB39B	chrX	-	155258235	155264491	-0.376	0.274	1
ENSG00000274183	H2AB1	chrX	+	154884972	154885558	-1.33	0.647	
ENSG00000203870	SMIM9	chrX	-	154823348	154834662	-0.41	0.544	1
ENSG00000130830	MPP1	chrX	-	154778684	154821007	-0.0557	0.533	1
ENSG00000272681	FAM223B	chrX	-	154632470	154633182	2.08	0.209	1
ENSG00000184033	CTAG1B	chrX	-	154617609	154619282	-0.971	0.651	1
ENSG00000269335	IKBKG	chrX	+	154541199	154565046	-0.0568	0.676	1
ENSG00000160211	G6PD	chrX	-	154517825	154547572	-0.0522	0.606	1
ENSG00000102178	UBL4A	chrX	-	154483717	154486615	-0.0854	0.496	1
ENSG00000130827	PLXNA3	chrX	+	154458281	154477779	0.0194	0.837	1
ENSG00000071859	FAM50A	chrX	+	154444141	154450654	0.0191	0.812	1
ENSG00000013563	DNASE1L1	chrX	-	154401236	154412112	-0.0629	0.662	1
ENSG00000280195		chrX	-	154396878	154398842	-0.694	0.347	1
ENSG00000169057	MECP2	chrX	-	154021573	154137103	0.0511	0.58	1
ENSG00000177854	TMEM187	chrX	+	153972754	153983194	-0.12	0.703	1
ENSG00000102032	RENBP	chrX	-	153935269	153944687	0.0592	0.937	1
ENSG00000089820	ARHGAP4	chrX	-	153907367	153934999	-0.413	0.381	1
ENSG00000198910	L1CAM	chrX	-	153861514	153886173	0.62	0.0356	0.884
ENSG00000067840	PDZD4	chrX	-	153802166	153830565	0.56	0.776	1
ENSG00000180879	SSR4	chrX	+	153793516	153798499	0.0318	0.69	1
ENSG00000067829	IDH3G	chrX	-	153785766	153794512	-0.0408	0.688	1
ENSG00000198753	PLXNB3	chrX	+	153764196	153779346	-0.518	0.675	1
ENSG00000185825	BCAP31	chrX	-	153700492	153724565	-0.156	0.0125	0.518
ENSG00000130822	PNCK	chrX	-	153669733	153689010	-2.04	1.71e-39	1.24e-36
ENSG00000067842	ATP2B3	chrX	+	153517642	153582939	0.11	0.399	1
ENSG00000214897	PNMA6E	chrX	-	153395639	153401392	16.3	1.08e-08	
ENSG00000183837	PNMA3	chrX	+	153056409	153060467	-0.214	0.881	1
ENSG00000147383	NSDHL	chrX	+	152830967	152869729	-0.0197	0.873	1
ENSG00000147400	CETN2	chrX	-	152826994	152830757	0.00601	0.967	1
ENSG00000160131	VMA21	chrX	+	151396515	151409364	0.0722	0.579	1
ENSG00000029993	HMGB3	chrX	+	150980509	150990771	-0.384	2.23e-06	0.000224
ENSG00000102181	CD99L2	chrX	-	150766336	150898816	-0.356	0.0174	0.638
ENSG00000063601	MTMR1	chrX	+	150692971	150765108	-0.241	0.00418	0.232
ENSG00000013619	MAMLD1	chrX	+	150361422	150514178	-2.86	0.182	1
ENSG00000269556	TMEM185A	chrX	-	149596556	149631912	0.275	0.0907	1
ENSG00000241769	EOLA1-DT	chrX	-	149527591	149540959	0.627	0.108	1
ENSG00000287796		chrX	+	147879361	147885249	0.000703	0.999	1
ENSG00000277215	SPANXA2-OT1	chrX	+	141177284	141649927	-0.978	0.756	
ENSG00000182195	LDOC1	chrX	-	141111605	141177129	0.0757	0.592	1
ENSG00000134595	SOX3	chrX	-	140502985	140505069	0.975	0.721	1
ENSG00000129682	FGF13	chrX	-	138614727	139222777	-0.288	0.348	1
ENSG00000233093	LINC00892	chrX	+	136639535	136642433	1.7	0.275	1
ENSG00000102243	VGLL1	chrX	+	136532215	136556807	0.15	0.0476	1
ENSG00000198689	SLC9A6	chrX	+	135973841	136047269	0.108	0.251	1
ENSG00000165359	INTS6L	chrX	+	135520659	135582510	0.347	0.00723	0.353
ENSG00000178947	SMIM10L2A	chrX	+	135421944	135428075	0.895	0.135	1
ENSG00000173275	ZNF449	chrX	+	135344796	135363413	0.326	0.0134	0.541
ENSG00000169551	CT55	chrX	-	135156540	135171398	1.02	0.683	
ENSG00000203950	RTL8A	chrX	-	135050932	135052196	-0.0704	0.619	1
ENSG00000184785	SMIM10	chrX	+	134990991	134992473	0.928	0.422	1
ENSG00000156504	PABIR2	chrX	-	134769566	134797232	0.0186	0.87	1
ENSG00000170965	PLAC1	chrX	-	134565838	134764322	1.11	0.456	1
ENSG00000156531	PHF6	chrX	+	134373288	134428791	0.161	0.104	1
ENSG00000147257	GPC3	chrX	-	133535745	133987100	-0.118	0.587	1
ENSG00000183434	TFDP3	chrX	-	133216662	133218354	-1.88	0.612	
ENSG00000076770	MBNL3	chrX	-	132369320	132489968	-0.151	0.169	1
ENSG00000134602	STK26	chrX	+	132023302	132075943	-0.278	0.00364	0.208
ENSG00000213468	FIRRE	chrX	-	131688779	131830862	-0.294	0.0131	0.534
ENSG00000147256	ARHGAP36	chrX	+	131058346	131089885	0.00215	0.999	1
ENSG00000102078	SLC25A14	chrX	+	130339888	130373361	-0.00186	0.993	1
ENSG00000085185	BCORL1	chrX	+	129981107	130058071	0.0566	0.504	1
ENSG00000235189		chrX	-	129869064	129957528	-16.9	8.8e-11	
ENSG00000188706	ZDHHC9	chrX	-	129803288	129843909	-0.0536	0.505	1
ENSG00000198889	DCAF12L1	chrX	-	126549383	126552814	-2.43	0.265	
ENSG00000198354	DCAF12L2	chrX	-	126163499	126166289	-1.49	0.447	1
ENSG00000009694	TENM1	chrX	-	124375903	125204312	-0.755	0.325	1
ENSG00000282419	TEX13D	chrX	+	124246249	124336863	1.51	0.557	1
ENSG00000101966	XIAP	chrX	+	123859712	123913972	-0.0237	0.753	1
ENSG00000125676	THOC2	chrX	-	123600561	123733056	0.041	0.569	1
ENSG00000125675	GRIA3	chrX	+	123184153	123490915	-1.37	0.521	1
ENSG00000171155	C1GALT1C1	chrX	-	120625674	120630054	-0.321	0.137	1
ENSG00000158290	CUL4B	chrX	-	120505920	120604074	0.00109	0.991	1
ENSG00000005893	LAMP2	chrX	-	120426148	120469365	-0.0244	0.727	1
ENSG00000125355	TMEM255A	chrX	-	120258650	120311556	-0.545	0.62	1
ENSG00000258545	RHOXF1-AS1	chrX	+	120036236	120146855	-0.123	0.795	1
ENSG00000125352	RNF113A	chrX	-	119870475	119871733	-0.136	0.241	1
ENSG00000286366		chrX	+	119791971	119810949	2.18	0.252	1
ENSG00000125354	SEPTIN6	chrX	-	119615724	119693370	0.000743	0.992	1
ENSG00000077721	UBE2A	chrX	+	119474802	119591083	0.0305	0.686	1
ENSG00000018610	STEEP1	chrX	-	119538149	119565409	-0.0757	0.466	1
ENSG00000005022	SLC25A5	chrX	+	119468422	119471396	-0.139	0.104	1
ENSG00000224281	SLC25A5-AS1	chrX	-	119465986	119469128	0.904	0.362	1
ENSG00000237903		chrX	+	119422917	119423547	2.23	0.352	1
ENSG00000077713	SLC25A43	chrX	+	119399336	119454478	-0.0394	0.867	1
ENSG00000175556	LONRF3	chrX	+	118974614	119018355	-0.0335	0.91	1
ENSG00000235244	DANT2	chrX	-	115694880	115969148	0.223	0.485	1
ENSG00000102024	PLS3	chrX	+	115561174	115650861	-0.0356	0.626	1
ENSG00000077279	DCX	chrX	-	111293779	111412429	-0.12	0.893	1
ENSG00000077274	CAPN6	chrX	-	111245099	111270483	0.0103	0.879	1
ENSG00000224142	AMMECR1-IT1	chrX	-	110305420	110307221	-2.23	0.0271	0.785
ENSG00000157600	TMEM164	chrX	+	110002631	110182734	-0.052	0.661	1
ENSG00000068366	ACSL4	chrX	-	109624244	109733403	-0.177	0.039	0.918
ENSG00000101890	GUCY2F	chrX	-	109372906	109482086	1.52	0.248	1
ENSG00000237863	IRS4-AS1	chrX	+	108736011	108739223	1.11	0.31	1
ENSG00000197565	COL4A6	chrX	-	108155607	108439497	-0.0757	0.48	1
ENSG00000101844	ATG4A	chrX	+	108091668	108154671	-0.0508	0.775	1
ENSG00000080561	MID2	chrX	+	107825755	107931637	-0.0848	0.86	1
ENSG00000198088	NUP62CL	chrX	-	107123427	107206433	-0.117	0.663	1
ENSG00000165376	CLDN2	chrX	+	106900164	106930861	0.205	0.91	1
